04-iGMM-link,08-slytherin-link
"['https://www.resmed.com', 'https://www.facebook.com/resmed', 'https://twitter.com/resmed', 'https://www.linkedin.com/company/resmed', 'https://en.wikipedia.org/wiki/resmed']",https://disfold.com/company/arvee-laboratories/
['https://www.neste.com'],https://disfold.com/company/art-nirman-ltd/
['https://www.fenjiu.com.cn'],https://disfold.com/company/winsome-yarns-ltd/
['https://www.coinbase.com'],https://disfold.com/company/gb-global-ltd/
"['https://www.nio.com', 'https://www.facebook.com/nioglobal/', 'https://twitter.com/nioglobal', 'https://www.linkedin.com/company/nio_perce8_perc94_perc9a_perce6_perc9d_perca5/', 'https://en.wikipedia.org/wiki/nio_(car_company)']",https://disfold.com/company/talwalkars-healthclubs-ltd/
"['https://www.cloudflare.com', 'https://www.facebook.com/cloudflare', 'https://twitter.com/cloudflare', 'https://www.linkedin.com/company/cloudflare-inc-', 'https://en.wikipedia.org/wiki/cloudflare']",https://disfold.com/company/cox-kings-financial-service-ltd/
['https://www.danone.com'],https://disfold.com/company/cura-technologies-ltd/
"['https://www.lyondellbasell.com', 'https://en.wikipedia.org/wiki/lyondellbasell']",https://disfold.com/company/euro-multivision-ltd/
"['https://www.wasteconnections.com', 'https://en.wikipedia.org/wiki/waste_connections']",https://disfold.com/company/medigus-ltd/
"['https://www.transdigm.com', 'https://www.facebook.com/pages/transdigm-group/137149616355352', 'https://www.linkedin.com/company/transdigm-goup-inc-/', 'https://en.wikipedia.org/wiki/transdigm_group']",https://disfold.com/company/cofix-group-ltd/
"['https://www.pseg.com', 'https://en.wikipedia.org/wiki/public_service_enterprise_group']",https://disfold.com/company/ludan-engineering-co-ltd/
"['https://www.telus.com', 'https://www.facebook.com/telus', 'https://twitter.com/telus', 'https://www.linkedin.com/company/telus', 'https://en.wikipedia.org/wiki/telus_corporation']",https://disfold.com/company/elsight-limited/
"['https://www.natwestgroup.com', 'https://en.wikipedia.org/wiki/natwest_group']",https://disfold.com/company/bsd-crown-ltd/
"['https://www.hess.com', 'https://www.facebook.com/hesscorporation', 'https://twitter.com/hesscorporation', 'https://www.linkedin.com/company/hess-corporation', 'https://en.wikipedia.org/wiki/hess_corporation']",https://disfold.com/company/rewalk-robotics-ltd/
"['https://www.orange.com', 'https://www.facebook.com/orange', 'https://twitter.com/orange', 'https://www.linkedin.com/company/orange', 'https://en.wikipedia.org/wiki/orange_s.a.']",https://disfold.com/company/qualitau-ltd/
['https://www.deutsche-boerse.com'],https://disfold.com/company/airtouch-solar-ltd/
"['https://www.cenovus.com', 'https://www.facebook.com/cenovus', 'https://twitter.com/cenovus', 'https://www.linkedin.com/company/cenovus-energy', 'https://en.wikipedia.org/wiki/cenovus_energy']",https://disfold.com/company/shagrir-group-vehicle-services-ltd/
