00-avengers-market_cap,06-MarScoToc-master_cap,09-wissel-earnings,02-GioPonSpiz-pricecap,03-gren-market_capitalization_usd,09-wissel-revenue,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap
doll_151.61 b,doll_142.50 b,doll_0.69 b,doll_145.63 b,doll_141.36 b,doll_1.69 b,doll_2.80 b,doll_52.85 b,doll_136.61 b,doll_5.70 b
doll_152.24 b,doll_140.45 b,doll_1.26 b,doll_145.06 b,doll_140.5 b,doll_2.23 b,doll_2.81 b,doll_53.40 b,doll_136.43 b,doll_7.03 b
doll_153.33 b,doll_139.27 b,doll_0.47 b,doll_144.98 b,doll_140.42 b,doll_1.37 b,doll_2.81 b,doll_53.25 b,doll_134.75 b,doll_15.43 b
doll_152.34 b,doll_139.22 b,doll_22.42 m,doll_144.37 b,doll_139.19 b,doll_0.31 b,doll_2.80 b,doll_53.17 b,doll_134.70 b,doll_0.23 b
doll_154.57 b,doll_138.71 b,doll_0.30 b,doll_143.44 b,doll_137.02 b,doll_1.00 b,doll_2.82 b,doll_53.58 b,doll_134.32 b,doll_1.38 b
doll_153.93 b,doll_137.77 b,doll_0.18 b,doll_139.33 b,doll_135.09 b,doll_1.63 b,doll_2.81 b,doll_53.73 b,doll_133.76 b,doll_2.82 b
doll_158.77 b,doll_137.05 b,-doll_0.21 b,doll_138.66 b,doll_132.37 b,doll_0.58 b,doll_2.81 b,doll_53.92 b,doll_132.32 b,doll_0.14 b
doll_155.03 b,doll_136.14 b,doll_0.50 b,doll_136.85 b,doll_132.05 b,doll_1.99 b,doll_2.82 b,doll_53.73 b,doll_132.29 b,doll_10.38 b
doll_155.65 b,doll_135.82 b,doll_0.22 b,doll_134.78 b,doll_130.34 b,doll_2.88 b,doll_2.82 b,doll_53.92 b,doll_132.08 b,doll_2.46 b
doll_160.50 b,doll_133.23 b,doll_0.99 b,doll_134.50 b,doll_129.93 b,doll_4.07 b,doll_2.82 b,doll_44.77 b,doll_132.03 b,doll_13.93 b
doll_160.34 b,doll_133.14 b,doll_0.46 b,doll_133.87 b,doll_129.5 b,doll_18.87 b,doll_2.82 b,doll_44.62 b,doll_130.10 b,doll_1.74 b
doll_161.23 b,doll_131.25 b,doll_43 m,doll_133.02 b,doll_129.29 b,doll_1.00 b,doll_2.83 b,doll_41.55 b,doll_128.72 b,doll_1.06 b
