01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
doll_131 m,doll_1 b,doll_3.1 b
doll_120 m,doll_1 b,doll_3.1 b
doll_1.05 b,doll_1 b,doll_3.1 b
doll_510.6 m,doll_1 b,doll_3 b
doll_33.83 m,doll_1 b,doll_3 b
doll_300 m,doll_1 b,doll_3 b
doll_231.6 m,doll_1 b,doll_3 b
doll_348.5 m,doll_1 b,doll_3 b
doll_52 m,doll_1 b,doll_3 b
doll_281 m,doll_1 b,doll_3 b
doll_224.4 m,doll_1 b,doll_3 b
doll_129.89 m,doll_1 b,doll_3.2 b
doll_1.776 b,doll_1 b,doll_3 b
doll_159.5 m,doll_1 b,doll_3 b
doll_375 m,doll_1 b,doll_3 b
doll_80 m,doll_1 b,doll_3 b
doll_101 m,doll_1 b,doll_3 b
doll_732 m,doll_1 b,doll_3 b
doll_223.06 m,doll_1 b,doll_3 b
doll_234.47 m,doll_1 b,doll_3 b
non e,doll_1 b,doll_3 b
doll_487.81 m,doll_1 b,doll_3 b
doll_101 m,doll_1 b,doll_3 b
doll_59.23 m,doll_1 b,doll_3 b
doll_215.6 m,doll_1.01 b,doll_3.1 b
doll_466.54 m,doll_1 b,doll_3 b
doll_1.761 b,doll_1.01 b,doll_3 b
doll_330.88 m,doll_1.02 b,doll_3 b
doll_77.4 m,doll_1.03 b,doll_3 b
doll_271.3 m,doll_1.02 b,doll_3 b
doll_221.47 m,doll_1.05 b,doll_3.3 b
doll_284.52 m,doll_1.05 b,doll_3 b
doll_217.2 m,doll_1.05 b,doll_3 b
doll_219.64 m,doll_1.05 b,doll_3 b
doll_249.21 m,doll_1.05 b,doll_3 b
doll_62.12 m,doll_1.04 b,doll_3 b
doll_111.72 m,doll_1.07 b,doll_3 b
doll_321.89 m,doll_1.07 b,doll_3 b
doll_187.82 m,doll_1.08 b,doll_3 b
doll_53.05 m,doll_1.08 b,doll_2.92 b
doll_200.11 m,doll_1.07 b,doll_2.92 b
doll_131.94 m,doll_1.05 b,doll_2.9 b
doll_398 m,doll_1.1 b,doll_2.9 b
doll_85.01 m,doll_1.05 b,doll_2.85 b
doll_154.3 m,doll_1.08 b,doll_2.85 b
doll_160.3 m,doll_1.07 b,doll_2.85 b
doll_295.71 m,doll_1.1 b,doll_2.8 b
doll_171.12 m,doll_1.1 b,doll_2.8 b
doll_173.8 m,doll_1.1 b,doll_2.77 b
doll_100 m,doll_1.1 b,doll_2.75 b
doll_155 m,doll_1.1 b,doll_2.75 b
doll_215.3 m,doll_1.1 b,doll_2.75 b
doll_100 m,doll_1.1 b,doll_2.74 b
doll_140 m,doll_1.1 b,doll_3.95 b
doll_205 m,doll_1.1 b,doll_2.7 b
doll_190.24 m,doll_1.1 b,doll_2.7 b
doll_294.2 m,doll_1.1 b,doll_2.7 b
doll_287.88 m,doll_1.1 b,doll_2.7 b
doll_291.5 m,doll_1.1 b,doll_2.7 b
doll_553.63 m,doll_1.1 b,doll_2.66 b
doll_136.05 m,doll_1.1 b,doll_2.6 b
doll_90 m,doll_1.1 b,doll_2.62 b
doll_120.98 m,doll_1.1 b,doll_2.6 b
doll_239.55 m,doll_1.1 b,doll_2.6 b
doll_192.5 m,doll_1.1 b,doll_2.6 b
doll_265.07 m,doll_1.1 b,doll_2.6 b
doll_447.67 m,doll_1.1 b,doll_2 b
doll_188.64 m,doll_1.1 b,doll_2.62 b
doll_428 m,doll_1.1 b,doll_2.6 b
doll_151.6 m,doll_1.1 b,doll_2.55 b
doll_443 m,doll_1.1 b,doll_2.59 b
doll_163.7 m,doll_1.1 b,doll_2.5 b
doll_1.836 b,doll_1.1 b,doll_2.5 b
non e,doll_1.1 b,doll_2.5 b
doll_217 m,doll_1 b,doll_2.5 b
doll_329.9 m,doll_1.1 b,doll_2.5 b
doll_130 m,doll_1.1 b,doll_2.5 b
doll_1.243 b,doll_1.1 b,doll_2.5 b
doll_476 m,doll_1.1 b,doll_2.5 b
doll_310.02 m,doll_1.1 b,doll_2.5 b
doll_136.05 m,doll_1.1 b,doll_2.5 b
doll_133 m,doll_1.1 b,doll_2.5 b
doll_558.36 m,doll_1.1 b,doll_2.68 b
doll_278 m,doll_1.1 b,doll_2.5 b
doll_884.79 m,doll_1.1 b,doll_2.5 b
doll_203.25 m, doll_1.1 b,doll_2.5 b
doll_262.55 m, doll_1 b,doll_2.5 b
doll_292 m,doll_1.12 b,doll_2.5 b
doll_193.24 m,doll_1.12 b,doll_2.5 b
doll_554.5 m,doll_1.13 b,doll_2.5 b
doll_373.44 m,doll_1.1 b,doll_2.5 b
doll_369.13 m, doll_1.12  b,doll_2.5 b
doll_546.47 m, doll_1.1 b,doll_2.45 b
doll_10 k,doll_1.15 b,doll_2.45 b
doll_174 m,doll_1.15 b,doll_2.45 b
doll_150 m,doll_1.15 b,doll_2.44 b
doll_444.63 m,doll_1.15 b,doll_2.41 b
doll_197 m,doll_1.17 b,doll_2.41 b
doll_233.12 m, doll_1.16  b,doll_2.41 b
doll_580.45 m,doll_1.16 b,doll_2.4 b
doll_553.61 m,doll_1.17 b,doll_2.4 b
doll_188.15 m,doll_1.18 b,doll_2.4 b
doll_508.9 m, doll_1.16  b,doll_2.4 b
doll_343.7 m,doll_1.15 b,doll_2.4 b
doll_168.06 m,doll_1.17 b,doll_2.4 b
doll_1.003 b,doll_1.19 b,doll_2.4 b
doll_339 m,doll_1.15 b,doll_2.4 b
doll_118.64 m,doll_1.19 b,doll_2.4 b
non e,doll_1.2 b,doll_2.4 b
doll_279.18 m,doll_1.2 b,doll_2.62 b
doll_169.6 m,doll_1.2 b,doll_2.62 b
doll_215.6 m,doll_1.2 b,doll_2.35 b
doll_118.5 m,doll_1.2 b,doll_2.35 b
doll_368.96 m,doll_1.15 b,doll_2.34 b
doll_371.69 m,doll_1.2 b,doll_2.32 b
doll_251 m,doll_1.2 b,doll_2.31 b
doll_404.5 m,doll_1.2 b,doll_2.3 b
doll_472.94 m,doll_1.2 b,doll_2.85 b
doll_307.5 m,doll_1.2 b,doll_2.3 b
doll_249.55 m,doll_1.2 b,doll_2.3 b
doll_445 m,doll_1.2 b,doll_2.3 b
doll_430 m,doll_1.2 b,doll_2.27 b
doll_188.2 m,doll_1.2 b,doll_2.25 b
doll_176.67 m,doll_1.4 b,doll_2.25 b
doll_111.1 m,doll_1.2 b,doll_2.25 b
doll_281.3 m,doll_1.2 b,doll_2.2 b
doll_181.5 m,doll_1.2 b,doll_2.2 b
doll_276.05 m,doll_1.2 b,doll_2.2 b
doll_352.48 m,doll_1.2 b,doll_2.2 b
doll_300 m,doll_1.2 b,doll_2.2 b
doll_578.79 m,doll_1.2 b,doll_2.2 b
non e,doll_1.2 b,doll_2.2 b
doll_190.73 m,doll_1.2 b,doll_2.2 b
doll_175.31 m,doll_1.2 b,doll_2.2 b
doll_267.73 m,doll_1.2 b, doll_2.20  b
doll_345.5 m,doll_1.2 b,doll_2.19 b
doll_800 m,doll_1.2 b,doll_2.19 b
doll_263.9 m,doll_1.2 b,doll_2.18 b
doll_20 m,doll_1.2 b,doll_2.17 b
doll_11.3 m,doll_1.2 b,doll_2.17 b
doll_68.13 m,doll_1.2 b,doll_2.17 b
doll_479 m, doll_1.22  b,doll_2 b
doll_911.62 m,doll_1.22 b,doll_2.15 b
doll_166.2 m,doll_1.22 b,doll_2.15 b
doll_283.88 m,doll_1.2 b,doll_2.1 b
doll_123.7 m,doll_1.2 b,doll_2.1 b
doll_146 m,doll_1.2 b,doll_2.1 b
doll_678.35 m,doll_1.3 b,doll_2.1 b
doll_817.5 m,doll_1.2 b,doll_2.1 b
doll_536.1 m,doll_1.2 b,doll_2.1 b
doll_267.4 m,doll_1.65 b,doll_2.1 b
non e,doll_1.2 b,doll_2.1 b
doll_405.65 m,doll_1.24 b,doll_2.1 b
doll_470.52 m,doll_1.24 b,doll_2 b
doll_280.4 m,doll_1.25 b,doll_2 b
doll_171.5 m,doll_1.25 b,doll_2 b
doll_260 m,doll_1.25 b,doll_2 b
doll_255 m,doll_1.25 b,doll_2 b
doll_136.64 m,doll_1.23 b,doll_2 b
doll_595 m,doll_1.25 b,doll_2 b
doll_116.88 m,doll_1.25 b,doll_2 b
doll_159.12 m,doll_1.25 b,doll_2 b
doll_157.15 m,doll_1.26 b,doll_2 b
doll_221.12 m,doll_1.25 b,doll_2 b
doll_156.34 m,doll_1.25 b,doll_2 b
doll_300 m,doll_1.3 b,doll_2 b
doll_296.77 m,doll_1.24 b,doll_2 b
doll_377.75 m,doll_1.26 b,doll_2 b
doll_227.34 m,doll_1.28 b,doll_2 b
doll_165 m, doll_1.23  b,doll_2 b
doll_700 m,doll_1.23 b,doll_2 b
doll_321.14 m,doll_1.3 b,doll_2 b
doll_622.12 m,doll_1.25 b,doll_2 b
doll_306.98 m,doll_1.27 b,doll_2 b
doll_256 m,doll_1.28 b,doll_2 b
doll_240.25 m,doll_1.28 b,doll_2 b
doll_85.69 m,doll_1.24 b,doll_2 b
doll_80 m,doll_1.3 b,doll_2 b
doll_155.9 m,doll_1.25 b,doll_2 b
doll_246.1 m,doll_1.25 b,doll_2 b
doll_345.2 m,doll_1.3 b,doll_2 b
doll_461.85 m,doll_1.3 b,doll_2 b
doll_227 m,doll_1.3 b,doll_2 b
doll_101.62 m,doll_1.3 b,doll_2.7 b
doll_207.3 m,doll_1.3 b,doll_2.1 b
doll_260 m,doll_1.3 b,doll_2 b
doll_131.2 m,doll_1.3 b,doll_2 b
doll_171.05 m,doll_1.3 b,doll_2 b
non e,doll_1.3 b,doll_2 b
doll_290 m,doll_1.3 b,doll_2 b
doll_11.54 m,doll_1.3 b,doll_2 b
doll_200 m,doll_1.3 b,doll_2 b
doll_399.7 m,doll_1.3 b,doll_2 b
doll_165.7 m,doll_1.3 b,doll_2 b
doll_659.05 m,doll_1.3 b,doll_2 b
doll_435 m,doll_1.3 b,doll_2 b
doll_542.41 m,doll_1.3 b,doll_2 b
doll_834.59 m,doll_1.3 b,doll_2 b
doll_255.55 m,doll_1.3 b,doll_2 b
doll_310 m,doll_1.3 b,doll_2 b
doll_157.5 m,doll_1.3 b,doll_2 b
doll_408.58 m,doll_1.3 b,doll_2 b
doll_141.97 m,doll_1.31 b,doll_2 b
doll_320.5 m,doll_1.3 b,doll_2 b
doll_361.44 m,doll_1.32 b,doll_2 b
doll_66.16 m,doll_1.32 b,doll_2 b
doll_235.51 m,doll_1.32 b,doll_2 b
doll_339.11 m,doll_1.31 b,doll_2 b
doll_115 m,doll_1.32 b,doll_2 b
doll_331.23 m,doll_1.33 b,doll_2 b
doll_497.19 m,doll_1.35 b,doll_2 b
doll_291.62 m,doll_1.35 b,doll_8 b
non e,doll_1.34 b,doll_2 b
doll_411.2 m,doll_1.34 b,doll_2 b
doll_274.59 m,doll_1.33 b,doll_2 b
doll_79.28 m,doll_1.35 b,doll_2 b
doll_721.19 m,doll_1.35 b,doll_2 b
non e,doll_1.38 b,doll_2 b
non e,doll_1.4 b,doll_2 b
doll_43.25 m,doll_1.4 b,doll_2 b
doll_97.56 m,doll_1.36 b,doll_2 b
doll_202 m,doll_1.4 b,doll_2.25 b
doll_314.28 m,doll_1.4 b,doll_2 b
doll_437.1 m,doll_1.4 b,doll_2 b
doll_270.74 m,doll_1.4 b,doll_2 b
doll_358.07 m,doll_1.4 b,doll_2 b
doll_385.92 m,doll_1.4 b,doll_2 b
doll_163.02 m,doll_1.4 b,doll_2 b
doll_491.85 m,doll_1.4 b,doll_2 b
