00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
doll_45.74 b,doll_9.5 m,doll_39.71 b,doll_48.15 b,doll_48.15 b,doll_1.03 b,doll_54.54 b,doll_18.93 b,doll_48.15 b
doll_45.77 b,doll_9.4 m,doll_32.81 b,doll_48.14 b,doll_48.14 b,doll_1.02 b,doll_54.31 b,doll_18.94 b,doll_48.14 b
doll_45.83 b,doll_10.2 m,doll_32.84 b,doll_48.00 b,doll_48.0 b,doll_1.02 b,doll_54.30 b,doll_18.95 b,doll_48.00 b
doll_¥5.621 t,doll_9.9 m,doll_32.99 b,doll_47.89 b,doll_47.89 b,0,doll_53.86 b,doll_18.98 b,doll_47.89 b
hkdoll_360.16 b,doll_10.3 m,doll_33.02 b,doll_47.73 b,doll_47.73 b,doll_1.01 b,doll_53.86 b,doll_19.03 b,doll_47.73 b
doll_chf42.59 b,doll_10.6 m,doll_33.02 b,doll_47.69 b,doll_47.69 b,doll_1.01 b,doll_53.78 b,doll_19.11 b,doll_47.69 b
doll_€41.75 b,doll_10.7 m,doll_33.05 b,doll_47.17 b,doll_47.17 b,doll_1.01 b,doll_53.76 b,doll_19.12 b,doll_47.17 b
doll_¥5.676 t,doll_10.7 m,doll_33.08 b,doll_47.15 b,doll_47.15 b,doll_998.7 m,doll_53.33 b,doll_19.12 b,doll_47.15 b
rdoll_217.62 b,doll_10.8 m,doll_33.09 b,doll_47.07 b,doll_47.07 b,doll_997.0 m,doll_53.30 b,doll_19.15 b,doll_47.07 b
doll_46.86 b,doll_11.2 m,doll_33.22 b,doll_46.86 b,doll_46.86 b,doll_985.2 m,doll_52.76 b,doll_19.20 b,doll_46.86 b
doll_46.86 b,doll_11.9 m,doll_33.26 b,doll_46.86 b,doll_46.86 b,doll_983.5 m,doll_52.47 b,doll_19.21 b,doll_46.86 b
doll_47.07 b,doll_11.7 m,doll_33.29 b,doll_46.71 b,doll_46.71 b,0,doll_52.30 b,doll_19.55 b,doll_46.71 b
doll_₽4.043 t,doll_11.4 m,doll_33.32 b,doll_46.33 b,doll_46.33 b,doll_960.6 m,,doll_19.55 b,doll_46.33 b
doll_47.17 b,doll_12.1 m,doll_33.35 b,doll_46.13 b,doll_46.13 b,doll_957.5 m,doll_52.29 b,doll_19.59 b,doll_46.13 b
