link,name,industry,founded,country,ceo,employees,revenue
https://www.forbes.com/companies/state-bank-of-india,State Bank of India,Banking,1955,India,Swaminathan Janakiraman,"245,652",$54.4B
https://www.forbes.com/companies/commonwealth-bank,Commonwealth Bank,Banking,1911,Australia,Matthew Comyn,"44,375",$21.9B
https://www.forbes.com/companies/shanghai-pudong-development,Shanghai Pudong Development,Banking,1992,China,Guo Fu Gao,"61,686",$54.8B
https://www.forbes.com/companies/raytheon-technologies,Raytheon Technologies,Aerospace & Defense,1922,United States,Gregory J. Hayes,"174,000",$64.4B
https://www.forbes.com/companies/enel,Enel,Utilities,1962,Italy,Francesco Starace,"66,279",$99.4B
https://www.forbes.com/companies/eni,Eni,Oil & Gas Operations,1953,Italy,Claudio Descalzi,"30,775",$90.5B
https://www.forbes.com/companies/capital-one,Capital One,Banking and Financial Services,1994,United States,Richard D. Fairbank ,"50,767",$32.1B
https://www.forbes.com/companies/bristol-myers-squibb,Bristol Myers Squibb,Drugs & Biotechnology,1933,United States,Giovanni Caforio,"32,200",$46.4B
https://www.forbes.com/companies/coca-cola,Coca-Cola,"Food, Soft Beverages, Alcohol & Tobacco",1892,United States,James Quincey,"79,000",$38.7B
https://www.forbes.com/companies/oracle,Oracle,"IT, Internet, Software & Services",1977,United States,Safara Catz,"133,000",$41.8B
https://www.forbes.com/companies/sberbank,Sberbank,Banking,1841,Russia,Herman Oskarovich Gref,"287,866",$57.4B
https://www.forbes.com/companies/bank-of-montreal,Bank of Montreal,Banking and Financial Services,1817,Canada,Darryl White,"43,863",$26.5B
https://www.forbes.com/companies/vale,Vale,Materials,1942,Brazil,Eduardo De Salles Bartolomeo,"72,266",$54.4B
https://www.forbes.com/companies/edf,EDF ,Utilities,1955,France,Jean-Bernard Levy,"165,790",$99.8B
https://www.forbes.com/companies/thermo-fisher-scientific,Thermo Fisher Scientific,Drugs & Biotechnology,1983,United States,Marc N. Casper ,"130,000",$39.2B
https://www.forbes.com/companies/credit-agricole,Credit Agricole,Banking and Financial Services,1894,France,Philippe Brassac,"147,000",$73.6B
https://www.forbes.com/companies/airbus,AIRBUS,"Engineering, Manufacturing",1970,Netherlands,Guillaume Faury,"126,495",$61.6B
https://www.forbes.com/companies/costco-wholesale,Costco Wholesale,Retail and Wholesale,1983,United States,W. Craig Jelinek,"192,000",$210.2B
https://www.forbes.com/companies/hon-hai-precision,Hon Hai Precision ,Technology Hardware & Equipment,1974,Taiwan,Yang-wei Liu,Not found,$214.6B
https://www.forbes.com/companies/unilever,Unilever,Packaged Goods,1929,United Kingdom,Alan Jope,"148,000",$62B
https://www.forbes.com/companies/charter-communications,Charter Communications,Media,1993,United States,Thomas M. Rutledge,"93,700",$51.7B
https://www.forbes.com/companies/sumitomo-mitsui-financial,Sumitomo Mitsui Financial,Banking,2002,Japan,Jun Ohta,"86,781",$35.5B
https://www.forbes.com/companies/conocophillips,ConocoPhillips,"Construction, Oil & Gas Operations, Mining and Chemicals",1875,United States,Ryan Lance,"9,400",$46.1B
https://www.forbes.com/companies/glaxosmithkline,GlaxoSmithKline,Drugs & Biotechnology,2000,United Kingdom,Emma N. Walmsley,"90,096",$46.9B
