,revenue,team
858,$1.05 B,09-wissel
859,$0.80 B,09-wissel
860,$0.66 B,09-wissel
861,$0.48 B,09-wissel
862,$1.59 B,09-wissel
863,$0.43 B,09-wissel
864,$45.83 M,09-wissel
865,$0.35 B,09-wissel
866,$0.21 B,09-wissel
867,$0.25 B,09-wissel
868,$1.26 B,09-wissel
869,$0.24 B,09-wissel
870,$0.48 B,09-wissel
871,$0.89 B,09-wissel
872,$0.27 B,09-wissel
873,,09-wissel
874,$0.60 B,09-wissel
875,$1.58 M,09-wissel
876,$3.42 B,09-wissel
877,$0.41 B,09-wissel
878,$1.53 B,09-wissel
879,$1.95 B,09-wissel
880,$4.39 B,09-wissel
881,$0.42 B,09-wissel
882,$0.23 B,09-wissel
883,$0.76 B,09-wissel
884,$0.35 B,09-wissel
885,$60.32 M,09-wissel
886,$0.29 B,09-wissel
887,$0.20 B,09-wissel
888,$0.56 B,09-wissel
889,$0.23 B,09-wissel
890,$0.54 B,09-wissel
891,$0.28 B,09-wissel
892,$0.34 B,09-wissel
893,$0.53 B,09-wissel
894,$0.20 B,09-wissel
895,$0.32 B,09-wissel
896,$0.32 B,09-wissel
897,$0.31 B,09-wissel
898,$0.63 B,09-wissel
899,$0.29 B,09-wissel
900,$0.29 B,09-wissel
901,$0.71 B,09-wissel
902,$0.21 B,09-wissel
903,$0.14 B,09-wissel
904,$0.69 B,09-wissel
905,$0.93 B,09-wissel
906,$1.24 B,09-wissel
907,$1.16 B,09-wissel
908,$0.13 B,09-wissel
909,$0.29 B,09-wissel
910,$0.28 B,09-wissel
911,$0.25 B,09-wissel
912,$0.26 B,09-wissel
913,$0.32 B,09-wissel
914,$0.39 B,09-wissel
915,$0.16 B,09-wissel
916,$0.18 B,09-wissel
917,,09-wissel
918,$0.79 B,09-wissel
919,$1.13 B,09-wissel
920,$0.19 B,09-wissel
921,$0.58 B,09-wissel
922,$0.35 B,09-wissel
923,,09-wissel
924,$0.53 B,09-wissel
925,$0.73 B,09-wissel
926,$3.04 B,09-wissel
927,$0.55 M,09-wissel
928,$95.04 M,09-wissel
929,$1.68 B,09-wissel
930,$0.42 B,09-wissel
931,$0.44 B,09-wissel
932,$29.86 M,09-wissel
933,$0.70 B,09-wissel
