,earnings,team
525,$0.44 B,09-wissel
526,-$0.12 B,09-wissel
527,$0.42 B,09-wissel
528,-$0.15 B,09-wissel
529,-$20.71 M,09-wissel
530,$0.17 B,09-wissel
531,$0.55 B,09-wissel
532,$0.18 B,09-wissel
533,-$0.35 B,09-wissel
534,-$24.37 M,09-wissel
535,-$13.14 M,09-wissel
536,$1.33 B,09-wissel
537,$0.15 B,09-wissel
538,-$82.53 M,09-wissel
539,$3.73 B,09-wissel
540,$0.26 B,09-wissel
541,-$1.28 B,09-wissel
542,$0.26 B,09-wissel
543,$7.61 M,09-wissel
544,$0.15 B,09-wissel
545,$3.77 B,09-wissel
546,$0.5 M,09-wissel
547,$69.28 M,09-wissel
548,-$71.93 M,09-wissel
549,-$34.3 M,09-wissel
550,$0.39 B,09-wissel
551,$0.15 B,09-wissel
552,$53.55 M,09-wissel
553,$9.6 M,09-wissel
554,$0.17 B,09-wissel
555,$16.9 M,09-wissel
556,-$33.85 M,09-wissel
557,$0.11 B,09-wissel
558,-$0.39 B,09-wissel
559,$47.5 M,09-wissel
560,$1.35 B,09-wissel
561,$5.92 M,09-wissel
562,-$16.48 M,09-wissel
563,$41.22 M,09-wissel
564,$0.16 B,09-wissel
565,$0.11 B,09-wissel
566,-$77.98 M,09-wissel
567,$0.17 B,09-wissel
568,$39.87 M,09-wissel
569,$0.35 B,09-wissel
570,$0.30 B,09-wissel
571,$0.45 B,09-wissel
572,$82.9 M,09-wissel
573,-$4.3 M,09-wissel
574,$1.13 B,09-wissel
575,$29.87 M,09-wissel
576,$0.29 B,09-wissel
577,$0.90 B,09-wissel
578,$0.17 B,09-wissel
579,-$0.21 B,09-wissel
580,-$18.21 M,09-wissel
581,$45.11 M,09-wissel
582,-$0.29 B,09-wissel
583,-$16.82 M,09-wissel
584,-$0.46 B,09-wissel
585,$0.68 B,09-wissel
586,$0.18 B,09-wissel
587,-$0.56 B,09-wissel
588,$0.15 B,09-wissel
589,$20.54 M,09-wissel
590,$0.22 B,09-wissel
591,$51.57 M,09-wissel
592,$81.52 M,09-wissel
593,$54.88 M,09-wissel
594,$0.32 B,09-wissel
595,-$78.69 M,09-wissel
596,-$1.23 M,09-wissel
597,$10.17 M,09-wissel
598,-$82.45 M,09-wissel
599,$0.27 B,09-wissel
600,$59.04 M,09-wissel
601,$22.65 M,09-wissel
602,-$0.13 B,09-wissel
603,$0.69 B,09-wissel
604,$0.12 B,09-wissel
605,$0.16 B,09-wissel
606,$26.49 M,09-wissel
607,$0.42 B,09-wissel
608,$0.21 B,09-wissel
609,-$0.59 B,09-wissel
610,-$3.69 M,09-wissel
611,-$0.48 B,09-wissel
612,$18.85 M,09-wissel
613,-$48.89 M,09-wissel
614,-$0.17 B,09-wissel
615,$0.14 B,09-wissel
616,$38.83 M,09-wissel
617,$0.14 B,09-wissel
618,$58.13 M,09-wissel
619,$0.59 B,09-wissel
620,$61.16 M,09-wissel
621,$6.84 M,09-wissel
622,-$65.82 M,09-wissel
623,-$0.15 B,09-wissel
624,$48.43 M,09-wissel
625,$0.35 B,09-wissel
626,-$53.75 M,09-wissel
627,$0.33 B,09-wissel
628,-$91.78 M,09-wissel
629,$0.12 B,09-wissel
630,$3.00 B,09-wissel
631,-$6.11 M,09-wissel
632,-$34.35 M,09-wissel
633,-$40.25 M,09-wissel
634,$0.59 B,09-wissel
635,$29.82 M,09-wissel
636,$0.10 B,09-wissel
637,-$98 M,09-wissel
638,$0.43 B,09-wissel
639,$0.10 B,09-wissel
640,$12.93 M,09-wissel
641,-$47.47 M,09-wissel
642,-$62.3 M,09-wissel
643,-$45.3 M,09-wissel
644,$0.39 B,09-wissel
645,$0.10 B,09-wissel
646,$37.04 M,09-wissel
647,$0.12 B,09-wissel
648,$67.32 M,09-wissel
649,$0.35 B,09-wissel
650,-$0.17 B,09-wissel
651,$5.53 M,09-wissel
652,$0.15 B,09-wissel
653,-$0.23 B,09-wissel
654,$0.23 B,09-wissel
655,$0.33 B,09-wissel
656,-$96.24 M,09-wissel
657,-$0.35 B,09-wissel
658,-$73.39 M,09-wissel
659,$77.55 M,09-wissel
660,$0.13 B,09-wissel
661,-$22.12 M,09-wissel
662,$0.31 B,09-wissel
663,$0.12 B,09-wissel
664,-$0.33 B,09-wissel
665,$65.07 M,09-wissel
666,-$0.15 B,09-wissel
667,$0.14 B,09-wissel
668,$0.34 B,09-wissel
669,$0.46 B,09-wissel
670,-$0.2 B,09-wissel
671,$0.15 B,09-wissel
672,$0.13 B,09-wissel
673,$0.14 B,09-wissel
674,$0.18 B,09-wissel
675,-$15.33 M,09-wissel
676,$0.21 B,09-wissel
677,-$0.54 B,09-wissel
678,-$0.15 B,09-wissel
679,-$72.69 M,09-wissel
680,$0.14 B,09-wissel
681,$0.43 B,09-wissel
682,$0.15 B,09-wissel
683,$0.16 B,09-wissel
684,$35.45 M,09-wissel
685,$18.68 M,09-wissel
686,$73.21 M,09-wissel
687,$25.19 M,09-wissel
688,$96.64 M,09-wissel
689,$63.16 M,09-wissel
690,-$0.17 B,09-wissel
691,$53.53 M,09-wissel
692,-$3.57 M,09-wissel
693,$53.73 M,09-wissel
694,-$38.22 M,09-wissel
695,$0.15 B,09-wissel
696,$0.12 B,09-wissel
697,$1.47 B,09-wissel
698,-$0.2 B,09-wissel
699,$0.18 B,09-wissel
700,$0.18 B,09-wissel
701,$94.57 M,09-wissel
702,-$0.3 B,09-wissel
703,$0.22 B,09-wissel
704,-$0.64 B,09-wissel
705,-$3.56 M,09-wissel
706,$78.45 M,09-wissel
707,-$0.37 B,09-wissel
708,$16.18 M,09-wissel
709,$6.14 M,09-wissel
710,$0.15 B,09-wissel
711,$0.24 B,09-wissel
712,$52.3 M,09-wissel
713,$94.8 M,09-wissel
714,$26.5 M,09-wissel
715,$0.26 B,09-wissel
716,-$27.29 M,09-wissel
717,$38.39 M,09-wissel
718,$62.26 M,09-wissel
719,$4.93 M,09-wissel
720,-$18.83 M,09-wissel
721,$61.73 M,09-wissel
722,$0.23 B,09-wissel
723,-$44.72 M,09-wissel
724,$27.17 M,09-wissel
725,$97.96 M,09-wissel
726,$11.81 M,09-wissel
727,$57.61 M,09-wissel
728,$0.64 B,09-wissel
729,-$0.35 B,09-wissel
730,$0.12 B,09-wissel
731,-$9.8 M,09-wissel
732,$30.48 M,09-wissel
733,$0.27 B,09-wissel
734,$0.42 B,09-wissel
735,$0.87 M,09-wissel
736,-$0.21 B,09-wissel
737,-$27.16 M,09-wissel
738,-$0.26 B,09-wissel
739,$0.24 B,09-wissel
740,$0.24 B,09-wissel
741,$0.11 B,09-wissel
742,$34.48 M,09-wissel
743,$0.22 B,09-wissel
744,$89.59 M,09-wissel
745,-$33.43 M,09-wissel
746,$16.78 M,09-wissel
747,$0.30 B,09-wissel
748,$0.81 B,09-wissel
749,$0.13 B,09-wissel
750,$0.13 B,09-wissel
751,$92.05 M,09-wissel
752,-$58.44 M,09-wissel
753,-$87.6 M,09-wissel
754,$23.01 M,09-wissel
755,-$15.63 M,09-wissel
756,-$25.18 M,09-wissel
757,-$14.64 M,09-wissel
758,$0.33 B,09-wissel
759,$55.87 M,09-wissel
760,$0.15 B,09-wissel
761,$60.24 M,09-wissel
762,-$5.24 M,09-wissel
763,$58.11 M,09-wissel
764,-$0.06 M,09-wissel
765,$0.33 B,09-wissel
766,-$0.23 B,09-wissel
767,-$16.85 M,09-wissel
768,$0.12 B,09-wissel
769,$0.19 B,09-wissel
770,-$0.33 B,09-wissel
771,-$0.2 B,09-wissel
772,$0.74 B,09-wissel
773,$0.96 B,09-wissel
774,$0.11 B,09-wissel
775,$0.93 B,09-wissel
776,$98.43 M,09-wissel
777,-$9.81 M,09-wissel
778,-$0.16 B,09-wissel
779,$46 M,09-wissel
780,$53.73 M,09-wissel
781,$0.38 B,09-wissel
782,$9.97 M,09-wissel
783,$22.31 M,09-wissel
784,$32.11 M,09-wissel
785,-$0.14 B,09-wissel
786,-$97.67 M,09-wissel
787,$1.51 M,09-wissel
788,$22.88 M,09-wissel
789,-$0.13 B,09-wissel
790,$0.13 B,09-wissel
791,$1.51 B,09-wissel
792,$0.18 B,09-wissel
793,$5.19 B,09-wissel
794,$0.11 B,09-wissel
795,-$60.44 M,09-wissel
796,-$8.89 M,09-wissel
797,$89.56 M,09-wissel
798,-$0.11 B,09-wissel
799,-$29.49 M,09-wissel
800,$0.11 B,09-wissel
801,$0.92 B,09-wissel
802,$40 M,09-wissel
803,-$0.18 B,09-wissel
804,$0.49 B,09-wissel
805,$0.10 B,09-wissel
806,-$0.72 B,09-wissel
807,-$0.29 B,09-wissel
808,-$63.16 M,09-wissel
809,$24.56 M,09-wissel
810,$0.47 B,09-wissel
811,,09-wissel
812,$91.67 M,09-wissel
813,$0.14 B,09-wissel
814,-$2.74 M,09-wissel
815,-$0.31 B,09-wissel
816,$0.25 B,09-wissel
817,$48.15 M,09-wissel
818,$0.73 B,09-wissel
819,-$53.09 M,09-wissel
820,$94.57 M,09-wissel
821,$0.11 B,09-wissel
822,-$47.67 M,09-wissel
823,-$24.2 M,09-wissel
824,$40.38 M,09-wissel
825,$77.33 M,09-wissel
826,-$0.53 B,09-wissel
827,$47.65 M,09-wissel
828,$72.28 M,09-wissel
829,-$72.74 M,09-wissel
830,-$51.33 M,09-wissel
831,-$46.8 M,09-wissel
832,$0.12 B,09-wissel
833,$0.31 B,09-wissel
834,$5.91 B,09-wissel
835,$12.85 M,09-wissel
836,-$57.01 M,09-wissel
837,$61.12 M,09-wissel
838,-$10.35 M,09-wissel
839,-$37.29 M,09-wissel
840,-$0.23 B,09-wissel
841,$0.11 B,09-wissel
842,$0.15 B,09-wissel
843,-$0.39 B,09-wissel
844,$17.02 M,09-wissel
845,-$38.01 M,09-wissel
846,-$26.46 M,09-wissel
847,-$0.15 B,09-wissel
848,-$22.59 M,09-wissel
849,$13.63 M,09-wissel
850,$0.10 B,09-wissel
851,$0.10 B,09-wissel
852,$0.22 B,09-wissel
853,-$0.2 B,09-wissel
854,-$21.33 M,09-wissel
855,$0.16 B,09-wissel
856,-$0.72 B,09-wissel
857,-$0.33 B,09-wissel
858,$0.21 B,09-wissel
859,$85.2 M,09-wissel
860,$0.44 B,09-wissel
861,$58.6 M,09-wissel
862,$0.25 B,09-wissel
863,$99.54 M,09-wissel
864,-$61.42 M,09-wissel
865,$27.57 M,09-wissel
866,$12.9 M,09-wissel
867,$15.43 M,09-wissel
868,-$40.72 M,09-wissel
869,$0.12 B,09-wissel
870,$0.10 B,09-wissel
871,$79.39 M,09-wissel
872,-$8.36 M,09-wissel
873,-$0.57 B,09-wissel
874,$41.4 M,09-wissel
875,-$0.44 B,09-wissel
876,$85.27 M,09-wissel
877,$0.20 B,09-wissel
878,$0.21 B,09-wissel
879,-$21.14 M,09-wissel
880,$1.69 B,09-wissel
881,$46.69 M,09-wissel
882,-$94.4 M,09-wissel
883,$1.07 B,09-wissel
884,-$19.41 M,09-wissel
885,-$0.53 B,09-wissel
886,$0.10 B,09-wissel
887,$78.04 M,09-wissel
888,-$13.55 M,09-wissel
889,$95.86 M,09-wissel
890,-$57.05 M,09-wissel
891,$12.36 M,09-wissel
892,-$72.83 M,09-wissel
893,-$22.81 M,09-wissel
894,-$57.2 M,09-wissel
895,$0.14 B,09-wissel
896,-$40.8 M,09-wissel
897,$7.06 M,09-wissel
898,$58.94 M,09-wissel
899,-$0.36 B,09-wissel
900,-$21.03 M,09-wissel
901,$17.09 M,09-wissel
902,$54.38 M,09-wissel
903,$24.41 M,09-wissel
904,$0.20 B,09-wissel
905,-$25.46 M,09-wissel
906,-$1.92 B,09-wissel
907,$84.02 M,09-wissel
908,-$0.14 B,09-wissel
909,$0.13 B,09-wissel
910,-$44.05 M,09-wissel
911,$5.24 M,09-wissel
912,$0.10 B,09-wissel
913,-$35.39 M,09-wissel
