,employees,team
665,1.2,09-wissel
666,1.2,09-wissel
667,1.2,09-wissel
668,1.2,09-wissel
669,1.196,09-wissel
670,1.196,09-wissel
671,1.184,09-wissel
672,1.182,09-wissel
673,1.179,09-wissel
674,1.175,09-wissel
675,1.173,09-wissel
676,1.169,09-wissel
677,1.167,09-wissel
678,1.164,09-wissel
679,1.162,09-wissel
680,1.16,09-wissel
681,1.156,09-wissel
682,1.156,09-wissel
683,1.155,09-wissel
684,1.15,09-wissel
685,1.15,09-wissel
686,1.15,09-wissel
687,1.149,09-wissel
688,1.148,09-wissel
689,1.139,09-wissel
690,1.138,09-wissel
691,1.135,09-wissel
692,1.135,09-wissel
693,1.133,09-wissel
694,1.131,09-wissel
695,1.13,09-wissel
696,1.127,09-wissel
697,1.127,09-wissel
698,1.124,09-wissel
699,1.122,09-wissel
700,1.121,09-wissel
701,1.12,09-wissel
702,1.119,09-wissel
703,1.119,09-wissel
704,1.119,09-wissel
705,1.116,09-wissel
706,1.115,09-wissel
707,1.108,09-wissel
708,1.106,09-wissel
709,1.1,09-wissel
710,1.1,09-wissel
711,1.1,09-wissel
712,1.1,09-wissel
713,1.1,09-wissel
714,1.1,09-wissel
715,1.1,09-wissel
716,1.1,09-wissel
717,1.094,09-wissel
718,1.091,09-wissel
719,1.091,09-wissel
720,1.087,09-wissel
721,1.086,09-wissel
722,1.084,09-wissel
723,1.082,09-wissel
724,1.079,09-wissel
725,1.078,09-wissel
726,1.074,09-wissel
727,1.073,09-wissel
728,1.073,09-wissel
729,1.071,09-wissel
730,1.068,09-wissel
731,1.068,09-wissel
732,1.054,09-wissel
733,1.052,09-wissel
734,1.046,09-wissel
735,1.044,09-wissel
736,1.042,09-wissel
737,1.035,09-wissel
738,1.035,09-wissel
739,1.032,09-wissel
740,1.03,09-wissel
741,1.028,09-wissel
742,1.027,09-wissel
743,1.027,09-wissel
744,1.025,09-wissel
745,1.021,09-wissel
746,1.021,09-wissel
747,1.015,09-wissel
748,1.013,09-wissel
749,1.009,09-wissel
750,1.007,09-wissel
751,1.005,09-wissel
752,1.004,09-wissel
753,1.0,09-wissel
754,1.0,09-wissel
755,1.0,09-wissel
756,1.0,09-wissel
757,1.0,09-wissel
758,1.0,09-wissel
759,1.0,09-wissel
760,1.0,09-wissel
761,1.0,09-wissel
762,997.0,09-wissel
763,997.0,09-wissel
764,991.0,09-wissel
765,990.0,09-wissel
766,989.0,09-wissel
767,988.0,09-wissel
768,988.0,09-wissel
769,984.0,09-wissel
770,980.0,09-wissel
771,976.0,09-wissel
772,973.0,09-wissel
773,970.0,09-wissel
774,969.0,09-wissel
775,965.0,09-wissel
776,964.0,09-wissel
777,960.0,09-wissel
778,958.0,09-wissel
779,954.0,09-wissel
780,954.0,09-wissel
781,954.0,09-wissel
782,953.0,09-wissel
783,950.0,09-wissel
784,950.0,09-wissel
785,950.0,09-wissel
786,946.0,09-wissel
787,945.0,09-wissel
788,944.0,09-wissel
789,943.0,09-wissel
790,940.0,09-wissel
791,938.0,09-wissel
792,937.0,09-wissel
793,936.0,09-wissel
794,935.0,09-wissel
795,931.0,09-wissel
796,929.0,09-wissel
797,920.0,09-wissel
798,917.0,09-wissel
799,905.0,09-wissel
800,903.0,09-wissel
801,902.0,09-wissel
802,900.0,09-wissel
803,900.0,09-wissel
804,900.0,09-wissel
805,900.0,09-wissel
806,900.0,09-wissel
807,900.0,09-wissel
808,899.0,09-wissel
809,895.0,09-wissel
810,895.0,09-wissel
811,,09-wissel
812,894.0,09-wissel
813,894.0,09-wissel
814,893.0,09-wissel
815,892.0,09-wissel
816,891.0,09-wissel
817,891.0,09-wissel
818,890.0,09-wissel
819,889.0,09-wissel
820,887.0,09-wissel
821,887.0,09-wissel
822,887.0,09-wissel
823,887.0,09-wissel
824,884.0,09-wissel
825,883.0,09-wissel
826,882.0,09-wissel
827,880.0,09-wissel
828,877.0,09-wissel
829,876.0,09-wissel
830,875.0,09-wissel
831,875.0,09-wissel
832,874.0,09-wissel
833,870.0,09-wissel
834,870.0,09-wissel
835,869.0,09-wissel
836,865.0,09-wissel
837,863.0,09-wissel
838,860.0,09-wissel
839,859.0,09-wissel
840,858.0,09-wissel
841,856.0,09-wissel
842,856.0,09-wissel
843,850.0,09-wissel
844,850.0,09-wissel
845,849.0,09-wissel
846,849.0,09-wissel
847,847.0,09-wissel
848,846.0,09-wissel
849,846.0,09-wissel
850,844.0,09-wissel
851,843.0,09-wissel
852,842.0,09-wissel
853,841.0,09-wissel
854,840.0,09-wissel
855,840.0,09-wissel
856,840.0,09-wissel
857,836.0,09-wissel
858,833.0,09-wissel
859,833.0,09-wissel
860,829.0,09-wissel
861,825.0,09-wissel
862,823.0,09-wissel
863,823.0,09-wissel
864,817.0,09-wissel
865,817.0,09-wissel
866,812.0,09-wissel
867,811.0,09-wissel
868,810.0,09-wissel
869,809.0,09-wissel
870,808.0,09-wissel
871,807.0,09-wissel
872,805.0,09-wissel
873,805.0,09-wissel
874,804.0,09-wissel
875,804.0,09-wissel
876,803.0,09-wissel
877,802.0,09-wissel
878,801.0,09-wissel
879,800.0,09-wissel
880,800.0,09-wissel
881,800.0,09-wissel
882,800.0,09-wissel
883,800.0,09-wissel
884,800.0,09-wissel
885,799.0,09-wissel
886,797.0,09-wissel
887,794.0,09-wissel
888,791.0,09-wissel
889,790.0,09-wissel
890,789.0,09-wissel
891,789.0,09-wissel
892,788.0,09-wissel
893,786.0,09-wissel
894,786.0,09-wissel
895,786.0,09-wissel
896,785.0,09-wissel
897,783.0,09-wissel
898,783.0,09-wissel
899,781.0,09-wissel
900,780.0,09-wissel
901,780.0,09-wissel
902,779.0,09-wissel
903,774.0,09-wissel
904,773.0,09-wissel
905,771.0,09-wissel
906,766.0,09-wissel
907,766.0,09-wissel
908,766.0,09-wissel
909,763.0,09-wissel
910,761.0,09-wissel
911,761.0,09-wissel
912,760.0,09-wissel
913,760.0,09-wissel
914,760.0,09-wissel
915,758.0,09-wissel
916,758.0,09-wissel
917,757.0,09-wissel
918,756.0,09-wissel
919,754.0,09-wissel
920,753.0,09-wissel
921,751.0,09-wissel
922,750.0,09-wissel
923,745.0,09-wissel
924,745.0,09-wissel
925,744.0,09-wissel
926,743.0,09-wissel
927,740.0,09-wissel
928,740.0,09-wissel
929,740.0,09-wissel
930,736.0,09-wissel
931,736.0,09-wissel
932,736.0,09-wissel
933,732.0,09-wissel
934,731.0,09-wissel
935,730.0,09-wissel
936,728.0,09-wissel
937,728.0,09-wissel
938,727.0,09-wissel
939,725.0,09-wissel
940,717.0,09-wissel
941,716.0,09-wissel
942,715.0,09-wissel
943,713.0,09-wissel
944,711.0,09-wissel
945,710.0,09-wissel
946,709.0,09-wissel
947,709.0,09-wissel
948,707.0,09-wissel
949,706.0,09-wissel
950,706.0,09-wissel
951,706.0,09-wissel
952,706.0,09-wissel
953,704.0,09-wissel
954,704.0,09-wissel
955,704.0,09-wissel
956,703.0,09-wissel
957,702.0,09-wissel
958,700.0,09-wissel
959,700.0,09-wissel
960,700.0,09-wissel
961,700.0,09-wissel
962,697.0,09-wissel
963,697.0,09-wissel
964,697.0,09-wissel
965,697.0,09-wissel
966,696.0,09-wissel
967,693.0,09-wissel
968,693.0,09-wissel
969,693.0,09-wissel
970,692.0,09-wissel
971,690.0,09-wissel
972,690.0,09-wissel
973,690.0,09-wissel
974,689.0,09-wissel
975,687.0,09-wissel
976,687.0,09-wissel
977,681.0,09-wissel
978,681.0,09-wissel
979,680.0,09-wissel
980,680.0,09-wissel
981,676.0,09-wissel
982,675.0,09-wissel
983,674.0,09-wissel
984,674.0,09-wissel
985,673.0,09-wissel
986,672.0,09-wissel
987,672.0,09-wissel
988,672.0,09-wissel
989,671.0,09-wissel
990,671.0,09-wissel
991,670.0,09-wissel
992,669.0,09-wissel
