name,code,rank,marketcap,country,sharePrice,change(1day),change(1year),categories
Gilat Telecom,GILT,5733,$0.31 B,Israel,$5.63,-0.71%,-24.63%,['Telecommunication']
Voltamp Transformers,VOLTAMP.NS,5732,$0.31 B,India,$31.46,-0.13%,10.89%,"['Electricity', 'Energy']"
Pizza Pizza,PZA.TO,5729,$0.32 B,Canada,$9.97,0.59%,6.29%,"['Pizza', 'Food', 'Restaurantchains']"
Saratoga Investment,SAR,5730,$0.31 B,USA,$26.85,4.80%,-7.51%,"['AssetManagement', 'Investment']"
Innovid,CTV,5728,$0.32 B,USA,$2.40,-4.00%,-71.08%,['Advertising']
Aadi Bioscience,AADI,5726,$0.32 B,USA,$13.19,-1.35%,-37.43%,"['Pharmaceuticals', 'Biotech']"
Siyaram Silk Mills,SIYSIL.NS,5727,$0.32 B,India,$6.85,2.13%,14.93%,[]
Inspired Entertainment,INSE,5724,$0.32 B,USA,$12.48,0.40%,3.14%,"['Gambling', 'Videogames', 'Entertainment']"
Arctic Paper,ARP.ST,5725,$0.32 B,Poland,$4.66,-0.21%,143.98%,['Pulpandpaper']
G1 Therapeutics,GTHX,5723,$0.32 B,USA,$6.38,0.63%,-44.13%,"['Pharmaceuticals', 'Biotech']"
Quantum-Si,QSI,5722,$0.32 B,USA,$2.31,0.43%,-64.13%,"['Biotech', 'ScientificTechnicalInstruments']"
Largo,LGO,5719,$0.32 B,Canada,$5.02,-0.40%,-47.71%,['Batteries']
Sudarshan Chemical,SUDARSCHEM.NS,5721,$0.32 B,India,$4.67,-0.93%,-37.48%,['Chemicals']
Grupo Supervielle,SUPV,5720,$0.32 B,Argentina,$1.82,4.00%,-15.35%,"['Banks', 'Financialservices']"
Gabriel India,GABRIEL.NS,5718,$0.32 B,India,$2.26,-0.37%,22.83%,[]
Tucows,TCX,5716,$0.32 B,Canada,$30.31,0.13%,-64.00%,"['Software', 'Tech', 'Internet']"
Cosmo Films,COSMOFILMS.NS,5714,$0.32 B,India,$12.01,0.00%,-35.95%,[]
Lordstown Motors,RIDE,5717,$0.32 B,USA,$1.42,-7.19%,-66.90%,"['Automakers', 'ElectricVehicles']"
Dynamic Materials Corporation,BOOM,5713,$0.32 B,USA,$16.80,-0.94%,-56.14%,[]
Aeva Technologies,AEVA,5715,$0.32 B,USA,$1.50,-5.66%,-84.11%,"['Lidar', 'Tech', 'TechHardware', 'Autonomousdriving']"
NL Industries,NL,5711,$0.32 B,USA,$6.73,-0.30%,-3.86%,[]
Cyxtera Technologies,CYXT,5710,$0.32 B,USA,$1.83,-2.66%,-82.57%,"['Internet', 'Infrastructure', 'Tech']"
ReconAfrica,0XD.F,5712,$0.32 B,Canada,$1.61,-1.99%,-67.01%,"['OilGas', 'Energy']"
First Bancorp,FNLC,5709,$0.32 B,USA,$29.79,-1.52%,-4.76%,"['Banks', 'Financialservices']"
NanoString Technologies,NSTG,5707,$0.32 B,USA,$7.06,-0.56%,-82.67%,[]
Sonder Holdings,SOND,5708,$0.32 B,USA,$1.51,-4.43%,-84.76%,"['RentalLeasingServices', 'Realestate', 'Travel']"
Hippo,HIPO,5706,$0.32 B,USA,$14.28,0.49%,353.33%,"['Insurance', 'Tech']"
Precigen,PGEN,5702,$0.33 B,USA,$1.59,0.63%,-59.64%,['Pharmaceuticals']
LexinFintech Holdings,LX,5705,$0.33 B,China,$1.79,-5.29%,-57.78%,['Financialservices']
Sierra Bancorp,BSRR,5703,$0.33 B,USA,$21.93,-0.50%,-15.78%,"['Banks', 'Financialservices']"
EverQuote,EVER,5681,$0.34 B,USA,$10.67,-3.87%,-27.32%,"['Insurance', 'Internet']"
Belpointe OZ,OZ,5679,$0.34 B,USA,$100.05,0.05%,-0.02%,['Realestate']
The Manitowoc Company,MTW,5704,$0.33 B,USA,$9.39,-0.95%,-53.00%,['Manufacturing']
Astra Microwave,ASTRAMICRO.NS,5680,$0.34 B,India,$3.91,2.04%,15.34%,[]
LumiraDx,LMDX,5677,$0.34 B,UK,$1.09,-10.66%,-88.02%,['DiagnosticsandTesting']
Nilkamal,NILKAMAL.NS,5678,$0.34 B,India,$23.20,-0.23%,-24.01%,[]
Village Super Market,VLGEA,5676,$0.34 B,USA,$23.89,0.80%,5.99%,"['SupermarketChains', 'Retail']"
Gladstone Capital,GLAD,5675,$0.34 B,USA,$9.87,0.30%,-14.10%,"['Investment', 'Financialservices']"
Blade Air Mobility,BLDE,5674,$0.34 B,USA,$4.84,-0.21%,-41.26%,['Transportation']
Richardson Electronics,RELL,5673,$0.34 B,USA,$24.95,-2.35%,123.37%,['Electronics']
Bushiroad,7803.T,5671,$0.34 B,Japan,$5.12,-1.27%,-70.32%,"['Videogames', 'Entertainment', 'MediaPress']"
Organogenesis,ORGO,5672,$0.34 B,USA,$2.65,1.92%,-74.40%,"['Biotech', 'Medicaldevices']"
Wave Life Sciences,WVE,5670,$0.34 B,Singapore,$4.00,-8.88%,9.29%,"['Pharmaceuticals', 'Biotech']"
North American Construction Group,NOA,5668,$0.34 B,Canada,$13.13,2.58%,-11.34%,['Construction']
Velo3D,VLD,5669,$0.34 B,USA,$1.87,-1.06%,-79.76%,"['3DPrinting', 'Tech']"
Kaveri Seed,KSCL.NS,5666,$0.35 B,India,$6.34,0.60%,-3.94%,['Agriculture']
Home Bancorp,HBCP,5665,$0.35 B,USA,$42.29,-1.31%,2.37%,"['Banks', 'Financialservices']"
American Battery Technology Company,ABML,5667,$0.34 B,USA,$0.54,-1.04%,-55.74%,"['Mining', 'Batteries']"
Aviat Networks,AVNW,5664,$0.35 B,USA,$30.94,-2.98%,0.03%,"['Networkinghardware', 'Telecommunicationsequipment']"
Summit Financial Group,SMMF,5662,$0.35 B,USA,$27.43,-1.40%,1.55%,['Financialservices']
Rimini Street,RMNI,5663,$0.35 B,USA,$3.97,-1.73%,-32.37%,"['Software', 'Tech']"
Arizona Metals,AMC.V,5660,$0.35 B,Canada,$2.92,3.10%,-27.72%,['Mining']
Prime Focus,PFOCUS.NS,5661,$0.35 B,India,$1.17,7.95%,11.43%,[]
Comtech Telecommunications,CMTL,5659,$0.35 B,USA,$12.68,3.59%,-49.56%,"['Telecommunicationsequipment', 'Tech', 'Manufacturing']"
Ottakringer Getränke,OTS.VI,5658,$0.35 B,Austria,$157.63,0.00%,-4.34%,"['Beverages', 'Alcoholicbeverages']"
Ooma,OOMA,5657,$0.35 B,USA,$14.55,-1.09%,-25.73%,['Telecommunication']
NIU,NIU,5654,$0.35 B,China,$4.61,-8.71%,-76.24%,['ElectricVehicles']
Aldeyra Therapeutics,ALDX,5656,$0.35 B,USA,$6.04,-2.58%,-17.60%,['Pharmaceuticals']
NeoGames,NGMS,5655,$0.35 B,Israel,$13.83,-0.50%,-54.39%,"['Gambling', 'Videogames', 'Entertainment']"
Liquidia Technologies,LQDA,5652,$0.35 B,USA,$5.54,2.21%,28.24%,"['Biotech', 'Pharmaceuticals']"
Orchid Island Capital,ORC,5653,$0.35 B,USA,$10.63,1.33%,137.81%,"['Realestate', 'Investment', 'REITs']"
Postal Realty Trust,PSTL,5651,$0.35 B,USA,$15.30,-0.13%,-15.24%,"['REITs', 'Realestate', 'Investment']"
Agora.io,API,5650,$0.35 B,China,$3.09,-3.74%,-83.73%,"['Software', 'Tech']"
iRadimed,IRMD,5649,$0.35 B,USA,$28.56,-0.76%,-40.83%,['Medicaldevices']
SciPlay,SCPL,5648,$0.35 B,USA,$15.82,-1.43%,-1.43%,"['Videogames', 'Entertainment', 'Tech']"
HBL Power Systems,HBLPOWER.NS,5647,$0.35 B,India,$1.30,-1.02%,60.49%,"['Engineering', 'Professionalservices']"
Eneti,NETI,5646,$0.35 B,Monaco,$9.36,-0.95%,6.48%,"['Energy', 'Renewableenergy', 'Construction']"
Skillz,SKLZ,5645,$0.36 B,USA,$0.86,-3.73%,-90.99%,"['Videogames', 'Entertainment', 'Tech']"
Trinity Capital,TRIN,5644,$0.36 B,USA,$10.24,-1.25%,-37.25%,['Financialservices']
Northwest Pipe Company,NWPX,5643,$0.36 B,USA,$36.28,-0.74%,22.57%,"['Construction', 'Engineering']"
Devolver Digital,DEVO.L,5642,$0.36 B,USA,$0.82,0.00%,-66.12%,"['Videogames', 'Entertainment']"
Civista Bancshares,CIVB,5640,$0.36 B,USA,$22.95,-0.52%,-4.53%,"['Banks', 'Financialservices']"
National Fertilizers,NFL.NS,5641,$0.36 B,India,$0.73,-0.49%,8.96%,['Fertilizercompanies']
OraSure Technologies,OSUR,5639,$0.36 B,USA,$4.98,-0.99%,-44.48%,"['DiagnosticsandTesting', 'Biotech']"
Tredegar,TG,5638,$0.36 B,USA,$10.64,1.33%,-10.44%,[]
GreenTree Hospitality,GHG,5637,$0.36 B,China,$3.53,-1.12%,-55.93%,[]
Automotive Axles,AUTOAXLES.NS,5636,$0.36 B,India,$24.14,1.32%,40.02%,['AutomotiveSuppliers']
Daily Journal,DJCO,5634,$0.36 B,USA,$264.43,-2.06%,-24.49%,['MediaPress']
Taseko Mines,TGB,5635,$0.36 B,Canada,$1.27,-3.79%,-41.20%,['Mining']
Webzen,069080.KQ,5633,$0.36 B,South Korea,$11.67,-2.84%,-44.67%,"['Videogames', 'Entertainment', 'Tech']"
Financial Institutions,FISI,5631,$0.36 B,USA,$23.88,-1.89%,-24.81%,"['Banks', 'Financialservices']"
Aurora Cannabis,ACB,5630,$0.36 B,Canada,$1.13,-6.61%,-82.29%,['Cannabis']
Tata Steel Long Products,TATASTLLP.NS,5632,$0.36 B,India,$8.11,0.33%,-16.48%,['Steelindustry']
BioAtla,BCAB,5629,$0.36 B,USA,$9.75,-1.22%,-58.76%,"['Pharmaceuticals', 'Biotech']"
Telesat,TSAT,5628,$0.36 B,Canada,$7.51,-6.12%,-72.10%,['Aerospace']
Carriage Services,CSV,5625,$0.36 B,USA,$25.04,2.12%,-54.85%,[]
Gannett,GCI,5627,$0.36 B,USA,$2.51,-9.39%,-49.90%,['MediaPress']
Codexis,CDXS,5626,$0.36 B,USA,$5.60,0.36%,-83.49%,"['Pharmaceuticals', 'Biotech']"
Hathway,HATHWAY.NS,5624,$0.36 B,India,$0.21,1.18%,-22.22%,['Telecommunication']
City Office REIT,CIO,5623,$0.36 B,Canada,$9.28,0.54%,-47.60%,"['REITs', 'Realestate', 'Investment']"
Hailiang Education,HLG,5622,$0.36 B,China,$14.30,0.00%,-26.67%,['Education']
Global Indemnity,GBLI,5621,$0.36 B,Cayman Islands,$25.28,-0.86%,-2.77%,['Insurance']
Aaron's,AAN,5620,$0.36 B,USA,$12.01,-2.12%,-49.69%,[]
Turning Point Brands,TPB,5619,$0.36 B,USA,$21.05,-0.94%,-43.88%,['Tobacco']
New Pacific Metals,NEWP,5618,$0.36 B,Canada,$2.31,4.52%,-24.01%,"['Mining', 'SilverMining']"
ON24,ONTF,5617,$0.37 B,USA,$7.71,3.21%,-53.33%,"['Software', 'Tech']"
Newpark Resources,NR,5616,$0.37 B,USA,$3.94,-1.01%,30.90%,"['OilGas', 'Energy']"
Transcontinental Realty Investors,TCI,5615,$0.37 B,USA,$42.92,-1.31%,8.71%,"['REITs', 'Realestate', 'Investment']"
Hawesko,HAW.DE,5614,$0.37 B,Germany,$41.40,0.00%,-33.06%,"['Alcoholicbeverages', 'Beverages']"
Macatawa Bank,MCBC,5613,$0.37 B,USA,$10.88,0.18%,25.93%,"['Banks', 'Financialservices']"
Citizens & Northern Corp,CZNC,5612,$0.37 B,USA,$24.05,-1.43%,-6.93%,"['Banks', 'Financialservices']"
Penseco Financial Services,PFIS,5611,$0.37 B,USA,$52.12,-1.90%,7.42%,"['Banks', 'Financialservices']"
Wemade,112040.KQ,5610,$0.37 B,South Korea,$22.78,-20.29%,-82.76%,"['Videogames', 'Entertainment', 'Tech']"
Marine Products Corporation,MPX,5609,$0.37 B,USA,$10.93,2.63%,-15.47%,[]
Gold Royalty Corp,GROY,5607,$0.37 B,Canada,$2.61,1.95%,-45.85%,[]
CareMax,CMAX,5608,$0.37 B,USA,$3.15,-3.08%,-51.24%,"['Healthcare', 'MedicalCareFacilities']"
Protagonist Therapeutics,PTGX,5605,$0.37 B,USA,$7.65,-0.39%,-77.38%,['Pharmaceuticals']
Build-A-Bear,BBW,5606,$0.37 B,USA,$25.17,1.45%,15.14%,[]
Kodiak Sciences,KOD,5603,$0.37 B,USA,$7.20,-1.10%,-92.00%,[]
Marimekko,MEKKO.HE,5604,$0.37 B,Finland,$9.28,-0.56%,-61.89%,['Clothing']
Gran Tierra Energy,GTE,5601,$0.37 B,Canada,$1.04,-1.89%,36.84%,"['OilGas', 'Energy']"
India Tourism Development Corp,ITDC.NS,5602,$0.37 B,India,$4.39,-1.74%,-14.92%,['Travel']
DouYu,DOYU,5581,$0.38 B,China,$1.21,-1.63%,-51.79%,['Internet']
Satellogic,SATL,5580,$0.38 B,USA,$4.24,-2.87%,-55.37%,['Aerospace']
Shore Bancshares,SHBI,5578,$0.38 B,USA,$19.41,-0.21%,-3.43%,"['Banks', 'Financialservices']"
TuSimple,TSP,5579,$0.38 B,USA,$1.71,-6.56%,-95.73%,"['Tech', 'Software', 'Autonomousdriving']"
GrowGeneration,GRWG,5577,$0.38 B,USA,$6.34,-8.51%,-58.94%,"['Retail', 'Cannabis']"
PennantPark Investment,PNNT,5575,$0.38 B,USA,$5.93,0.34%,-14.92%,['Investment']
Hindustan Construction Company,HCC.NS,5576,$0.38 B,India,$0.26,8.79%,52.94%,"['Construction', 'Engineering']"
Alta Equipment Group,ALTG,5574,$0.38 B,USA,$12.02,-1.64%,-14.51%,['RentalLeasingServices']
FutureFuel,FF,5572,$0.38 B,USA,$8.85,1.72%,15.23%,"['Chemicals', 'Renewableenergy', 'Energy', 'Biofuel']"
Sun Corp,6736.T,5570,$0.38 B,Japan,$16.37,-1.28%,-29.29%,"['Videogames', 'Entertainment']"
Luxfer,LXFR,5571,$0.38 B,UK,$14.26,0.78%,-26.65%,"['Aluminum', 'Manufacturing']"
International General Insurance,IGIC,5569,$0.38 B,Jordan,$7.88,2.60%,-0.76%,['Insurance']
Gamania Digital,6180.TWO,5573,$0.38 B,Taiwan,$2.21,1.35%,-2.21%,"['Videogames', 'Entertainment', 'Internet']"
Farmers & Merchants Bancorp,FMAO,5567,$0.38 B,USA,$28.58,0.11%,-5.14%,"['Banks', 'Financialservices']"
Phnom Penh Autonomous Port,PPAP.KH,5568,$0.38 B,Cambodia,$3.39,-0.14%,,"['Ports', 'Infrastructure']"
Avon Protection,AVON.L,5562,$0.39 B,UK,$12.93,1.60%,-8.56%,"['Defensecontractors', 'Manufacturing']"
Zur Rose Group,ROSE.SW,5566,$0.38 B,Switzerland,$28.85,-3.76%,-91.96%,"['Drugstore', 'ECommerce', 'Internet', 'Retail']"
Lexicon Pharmaceuticals,LXRX,5564,$0.39 B,USA,$2.07,-1.90%,-52.19%,['Pharmaceuticals']
American National Bank & Trust Company,AMNB,5565,$0.39 B,USA,$36.80,-1.60%,-1.31%,"['Banks', 'Financialservices']"
HomeTrust Bancshares,HTBI,5563,$0.39 B,USA,$25.02,0.20%,-17.10%,"['Banks', 'Financialservices']"
Professional Holding,PFHD,5561,$0.39 B,USA,$28.33,-0.39%,49.89%,"['Banks', 'Financialservices']"
Olympic Steel,ZEUS,5560,$0.39 B,USA,$35.20,-5.45%,57.92%,"['Steelindustry', 'Steelproducers']"
374Water,SCWO,5558,$0.39 B,USA,$3.10,0.32%,21.57%,['WasteRecycling']
Atlanticus,ATLC,5559,$0.39 B,USA,$27.15,-1.42%,-54.05%,['Financialservices']
El Pollo Loco,LOCO,5557,$0.39 B,USA,$10.57,-0.84%,-22.56%,"['Restaurantchains', 'Food']"
Chennai Petroleum,CHENNPETRO.NS,5556,$0.39 B,India,$2.64,-0.89%,95.56%,"['OilGas', 'Energy']"
Huuuge,HUG.WA,5554,$0.39 B,USA,$5.02,-2.19%,-21.81%,"['Videogames', 'Entertainment']"
Strides Pharma,STAR.NS,5555,$0.39 B,India,$4.37,1.58%,-28.94%,['Pharmaceuticals']
Destination XL,DXLG,5552,$0.39 B,USA,$6.33,-0.63%,-8.13%,"['Clothing', 'Retail']"
CS Disco,LAW,5553,$0.39 B,USA,$6.69,-2.19%,-82.43%,"['Software', 'Tech']"
Hyzon Motors,HYZN,5551,$0.39 B,USA,$1.60,-2.44%,-76.78%,"['ElectricVehicles', 'Hydrogenfuelcell', 'SpecialtyVehicles', 'Manufacturing']"
CapStar Financial,CSTR,5550,$0.39 B,USA,$18.10,0.72%,-14.18%,"['Banks', 'Financialservices']"
Evolus,EOLS,5549,$0.39 B,USA,$7.06,-1.67%,22.78%,[]
1-800-PetMeds,PETS,5548,$0.39 B,USA,$18.86,-1.67%,-31.02%,"['ECommerce', 'Internet', 'Tech']"
Jumia,JMIA,5547,$0.39 B,Germany,$3.98,-7.01%,-70.23%,"['Internet', 'ECommerce', 'Tech', 'Retail']"
McPhy Energy,MCPHY.PA,5544,$0.39 B,France,$13.86,1.62%,-46.88%,"['Energy', 'Renewableenergy']"
Anant Raj,ANANTRAJ.NS,5545,$0.39 B,India,$1.23,0.10%,26.80%,['Realestate']
Scholar Rock Holding,SRRK,5546,$0.39 B,USA,$7.70,0.92%,-70.32%,"['Pharmaceuticals', 'Biotech']"
Grindrod Shipping,GRIN,5543,$0.39 B,Singapore,$20.99,0.10%,47.51%,"['Transportation', 'Maritimetransportation']"
SkyWater Technology,SKYT,5542,$0.39 B,USA,$9.23,4.53%,-52.08%,"['Semiconductors', 'Tech', 'TechHardware']"
AGC Networks,AGCNET.NS,5540,$0.40 B,India,$12.11,0.00%,0.67%,['Professionalservices']
Global Cord Blood,CO,5541,$0.40 B,Hong Kong,$2.99,0.00%,-26.72%,['Biotech']
Sportsman's Warehouse,SPWH,5539,$0.40 B,USA,$10.31,2.59%,-19.58%,"['Retail', 'Sportsgoods']"
PREOS Real Estate,PAG.F,5537,$0.40 B,Germany,$3.54,0.90%,-4.07%,"['Realestate', 'Investment']"
Arbutus Biopharma,ABUS,5536,$0.40 B,USA,$2.57,4.90%,-35.10%,['Pharmaceuticals']
EHang Holdings,EH,5538,$0.40 B,China,$6.49,-8.85%,-62.31%,[]
Reservoir Media,RSVR,5535,$0.40 B,USA,$6.25,-2.34%,-18.94%,"['MediaPress', 'Entertainment']"
MOIL,MOIL.NS,5533,$0.40 B,India,$1.98,-0.12%,-14.29%,['Mining']
Ring Energy,REI,5532,$0.40 B,USA,$2.31,-2.53%,-6.10%,"['OilGas', 'Energy']"
C4 Therapeutics,CCCC,5534,$0.40 B,USA,$8.22,1.23%,-77.65%,"['Pharmaceuticals', 'Biotech']"
NexPoint Real Estate Finance,NREF,5531,$0.40 B,USA,$18.27,-0.33%,-16.04%,"['Realestate', 'Investment', 'REITs']"
Civeo,CVEO,5529,$0.40 B,USA,$29.50,2.90%,36.70%,[]
CECO Environmental,CECO,5530,$0.40 B,USA,$11.80,0.17%,,[]
Bank Mayapada Internasional,MAYA.JK,5527,$0.40 B,Indonesia,$0.03000,-0.93%,-40.00%,"['Banks', 'Financialservices']"
Seer,SEER,5526,$0.40 B,USA,$6.47,-3.14%,-74.29%,['Biotech']
Powell Industries,POWL,5525,$0.40 B,USA,$34.40,6.37%,34.85%,[]
ESS Tech,GWH,5528,$0.40 B,USA,$2.64,-7.69%,-81.05%,"['Batteries', 'Electricity', 'Energy', 'Renewableenergy']"
Torrid,CURV,5524,$0.40 B,USA,$3.92,-8.62%,-76.37%,"['Clothing', 'Retail']"
Teekay,TK,5522,$0.40 B,Canada,$4.05,-5.37%,21.26%,"['OilGas', 'Transportation', 'Maritimetransportation']"
89bio,ETNB,5523,$0.40 B,USA,$8.35,4.77%,-37.41%,"['Pharmaceuticals', 'Biotech']"
Blue Bird Corporation,BLBD,5521,$0.40 B,USA,$12.71,-1.40%,-30.96%,[]
ShotSpotter,SSTI,5519,$0.40 B,USA,$33.42,3.18%,-0.65%,"['Software', 'Tech']"
Oil States International,OIS,5520,$0.40 B,USA,$6.37,0.31%,20.19%,"['OilGas', 'Energy']"
Borussia Dortmund,BVB.F,5517,$0.40 B,Germany,$3.71,0.17%,-27.25%,['Football']
Stitch Fix,SFIX,5518,$0.40 B,USA,$3.69,0.54%,-85.22%,"['Clothing', 'Tech']"
Allbirds,BIRD,5516,$0.40 B,USA,$2.74,-0.36%,-82.93%,"['Footwear', 'Clothing']"
Magnachip,MX,5515,$0.40 B,Luxembourg,$9.28,-0.64%,-48.90%,"['Semiconductors', 'Tech', 'TechHardware']"
Guaranty Bancshares,GNTY,5514,$0.41 B,USA,$34.44,-0.61%,-9.06%,"['Banks', 'Financialservices']"
Computer Programs and Systems,CPSI,5513,$0.41 B,USA,$28.45,-0.70%,-6.04%,"['Software', 'Tech']"
GasLog Partners,GLOP,5512,$0.41 B,Greece,$7.60,3.68%,62.05%,"['OilGas', 'Transportation', 'Maritimetransportation', 'Energy']"
Traeger,COOK,5508,$0.41 B,USA,$3.38,-2.03%,-75.13%,[]
AO World,AO.L,5511,$0.41 B,UK,$0.69,-0.10%,-47.33%,"['HomeKitchenAppliances', 'Electronics', 'Retail']"
Orthofix Medical,OFIX,5510,$0.41 B,USA,$20.69,2.88%,-33.34%,[]
Eagle Pharmaceuticals,EGRX,5509,$0.41 B,USA,$31.84,-5.69%,-33.14%,"['Pharmaceuticals', 'Biotech']"
Similarweb,SMWB,5507,$0.41 B,Israel,$5.46,3.80%,-66.87%,"['Tech', 'Software', 'Internet']"
Vesuvius India,VESUVIUS.NS,5505,$0.41 B,India,$20.55,-2.18%,35.82%,[]
Canaan,CAN,5506,$0.41 B,China,$2.42,-1.22%,-62.42%,"['Tech', 'Bitcoin', 'TechHardware', 'Bitcoinmining']"
Apollo Endosurgery,APEN,5504,$0.41 B,USA,$10.02,0.10%,16.65%,['Medicaldevices']
GAMCO Investors,GAMI,5503,$0.41 B,USA,$15.51,-0.58%,,"['Investment', 'Financialservices']"
Inox Wind,INOXWIND.NS,5502,$0.41 B,India,$1.48,0.29%,-16.38%,"['Electricity', 'Renewableenergy', 'Energy']"
SI-BONE,SIBN,5501,$0.41 B,USA,$12.13,0.83%,-42.67%,"['Medicaldevices', 'Biotech']"
Cerberus Cyber Sentinel,CISO,5482,$0.43 B,USA,$2.82,3.68%,,"['ITsecurity', 'Tech', 'Software']"
ALX Oncology,ALXO,5481,$0.43 B,USA,$10.61,0.38%,-67.71%,"['Pharmaceuticals', 'Biotech']"
Icelandair,ICEAIR.IC,5480,$0.43 B,Iceland,$0.01000,-0.35%,0.00%,"['Airlines', 'Travel', 'Transportation']"
Smith & Wesson,SWBI,5479,$0.43 B,USA,$9.49,-19.58%,-46.89%,[]
Nuvation Bio,NUVB,5477,$0.43 B,USA,$1.99,0.00%,-79.16%,"['Pharmaceuticals', 'Biotech']"
Priority Technology Holdings,PRTH,5475,$0.43 B,USA,$5.73,1.42%,-18.03%,"['Financialservices', 'Software', 'Tech']"
Sutro Biopharma,STRO,5478,$0.43 B,USA,$7.56,2.02%,-51.23%,"['Biotech', 'Pharmaceuticals']"
Biglari,BH,5476,$0.43 B,USA,$142.00,0.10%,-1.34%,"['Restaurantchains', 'Food']"
The Children's Place,PLCE,5474,$0.43 B,USA,$35.72,0.25%,-61.15%,['Clothing']
TPI Composites,TPIC,5473,$0.43 B,USA,$10.42,-4.05%,-38.71%,[]
Tarsus Pharmaceuticals,TARS,5472,$0.43 B,USA,$16.44,-0.66%,-34.81%,"['Pharmaceuticals', 'Biotech']"
ZeroFox,ZFOX,5471,$0.43 B,USA,$3.72,-12.26%,-63.02%,"['ITsecurity', 'Software', 'Tech']"
Focus Universal,FCUV,5470,$0.44 B,USA,$10.15,-0.98%,-24.03%,"['IoT', 'Tech', 'TechHardware']"
Ramkrishna Forgings,RKFORGE.NS,5467,$0.44 B,India,$2.77,0.15%,-78.09%,[]
Newtek,NEWT,5469,$0.44 B,USA,$18.09,2.96%,-40.28%,['Investment']
Atara Biotherapeutics,ATRA,5468,$0.44 B,USA,$4.66,4.02%,-73.95%,"['Pharmaceuticals', 'Biotech']"
Gevo,GEVO,5466,$0.44 B,USA,$1.87,0.00%,-66.31%,"['Energy', 'Biofuel', 'Renewableenergy']"
Phathom Pharmaceuticals,PHAT,5465,$0.44 B,USA,$10.68,-2.47%,-43.97%,[]
Indoco Remedies,INDOCO.NS,5463,$0.44 B,India,$4.83,-0.08%,-14.21%,"['Pharmaceuticals', 'Biotech']"
Mitek Systems,MITK,5464,$0.44 B,USA,$9.95,-3.86%,-43.08%,"['Software', 'Tech']"
Dutch Lady Milk Industries,3026.KL,5462,$0.44 B,Malaysia,$6.96,-0.20%,-11.90%,"['Dairycompanies', 'Beverages']"
Gladstone Investment,GAIN,5461,$0.44 B,USA,$13.42,1.05%,-19.59%,['Investment']
Cue Health,HLTH,5460,$0.44 B,USA,$2.99,-2.61%,-74.11%,"['Healthcare', 'DiagnosticsandTesting']"
Oppenheimer Holdings,OPY,5459,$0.44 B,USA,$40.79,-0.92%,-14.77%,"['Banks', 'Financialservices', 'Investment']"
Babcock & Wilcox,BW,5457,$0.44 B,USA,$5.05,0.00%,-42.61%,"['Electricity', 'Energy']"
Tetra Technologies,TTI,5458,$0.44 B,USA,$3.48,-4.40%,30.34%,[]
Purple Innovation,PRPL,5456,$0.44 B,USA,$4.90,4.93%,-52.01%,['Furniture']
Aura Biosciences,AURA,5454,$0.44 B,USA,$12.43,1.47%,-20.83%,"['Pharmaceuticals', 'Biotech']"
Zumiez,ZUMZ,5453,$0.44 B,USA,$22.99,2.09%,-52.30%,"['Retail', 'Clothing']"
Akoya Biosciences,AKYA,5455,$0.44 B,USA,$11.80,-4.14%,-14.12%,"['Biotech', 'ScientificTechnicalInstruments']"
Astec Lifesciences,ASTEC.NS,5452,$0.44 B,India,$22.51,-2.60%,27.32%,['Chemicals']
Paisalo Digital,PAISALO.NS,5451,$0.44 B,India,$1.00,-1.91%,-91.60%,['Financialservices']
Axogen,AXGN,5450,$0.44 B,USA,$10.61,0.38%,2.51%,['Biotech']
Veru,VERU,5449,$0.44 B,USA,$5.57,-1.59%,-12.28%,"['Pharmaceuticals', 'Biotech']"
OPTiM,3694.T,5448,$0.44 B,Japan,$8.17,-0.53%,-35.21%,"['Tech', 'Software']"
Lindblad Expeditions,LIND,5447,$0.45 B,USA,$8.50,1.80%,-47.24%,['Travel']
Vera Therapeutics,VERA,5445,$0.45 B,USA,$16.30,-2.04%,-43.58%,"['Pharmaceuticals', 'Biotech']"
Bakhu Holdings,BKUH,5446,$0.45 B,USA,$1.50,0.00%,-55.88%,[]
Qingci Games,6633.HK,5444,$0.45 B,China,$0.66,-0.39%,,"['Videogames', 'Entertainment']"
Archosaur Games,9990.HK,5442,$0.45 B,China,$0.57,19.19%,-53.28%,"['Videogames', 'Entertainment']"
Jindal Poly Films,JINDALPOLY.NS,5440,$0.45 B,India,$10.36,-0.16%,-30.38%,['Packaging']
PMV Pharmaceuticals,PMVP,5441,$0.45 B,USA,$9.94,-0.50%,-57.85%,"['Pharmaceuticals', 'Biotech']"
Preformed Line Products,PLPC,5439,$0.45 B,USA,$92.43,-1.50%,44.85%,[]
ContextLogic (wish.com),WISH,5438,$0.45 B,USA,$0.62,-3.10%,-83.42%,"['ECommerce', 'Internet', 'Tech']"
Albireo Pharma,ALBO,5437,$0.45 B,USA,$22.02,-0.14%,-5.82%,"['Pharmaceuticals', 'Biotech']"
Zymeworks,ZYME,5436,$0.45 B,Canada,$7.40,5.26%,-59.45%,"['Pharmaceuticals', 'Biotech']"
Great Lakes Dredge & Dock Corp.,GLDD,5434,$0.45 B,USA,$6.90,-1.99%,-55.31%,[]
Inovio Pharmaceuticals,INO,5435,$0.45 B,USA,$1.83,2.23%,-71.98%,"['Pharmaceuticals', 'Biotech']"
