name,codice,pricecap,price,country
Micron Technology,MU,$62.12 B,$56.93,USA
Vinci,DG.PA,$61.90 B,$109.86,France
Mindray,300760.SZ,$61.86 B,$51.02,China
Investor AB,IVS.F,$61.79 B,$19.91,Sweden
Scotiabank,BNS,$61.61 B,$51.65,Canada
Sumitomo Mitsui Financial Group,SMFG,$61.44 B,$9.03,Japan
Blackstone Group,BX,$61.39 B,$85.04,USA
Bayer,BAYZF,$61.01 B,$62.10,Germany
Siemens Healthineers,SHL.DE,$60.88 B,$54.39,Germany
Daiichi Sankyō,4568.T,$60.70 B,$31.67,Japan
KKR & Co.,KKR,$60.60 B,$54.00,USA
Charter Communications,CHTR,$60.47 B,$388.47,USA
Midea,000333.SZ,$60.25 B,$8.61,China
Emirates Telecom (Etisalat Group),EAND.AE,$60.23 B,$6.93,UAE
Intercontinental Exchange,ICE,$60.11 B,$107.63,USA
Activision Blizzard,ATVI,$59.99 B,$76.66,USA
Southern Copper,SCCO,$59.57 B,$77.06,USA
KLA,KLAC,$59.52 B,$420.04,USA
Occidental Petroleum,OXY,$59.36 B,$65.31,USA
The Saudi National Bank,1180.SR,$59.23 B,$13.35,S. Arabia
Norfolk Southern,NSC,$59.06 B,$255.13,USA
Hong Kong Exchanges & Clearing,0388.HK,$59.00 B,$46.54,Hong Kong
Atlas Copco,ATCO-B.ST,$58.92 B,$11.02,Sweden
Foshan Haitian Flavouring and Food,603288.SS,$58.83 B,$12.70,China
Uber,UBER,$58.71 B,$29.44,USA
Safran,SAF.PA,$58.68 B,$137.60,France
Housing Development Finance Corporation,HDFC.NS,$58.33 B,$31.94,India
Westpac Banking,WBC.AX,$58.29 B,$16.67,Australia
Anglo American,AAL.L,$58.17 B,$43.50,UK
China Telecom,0728.HK,$58.05 B,$0.44,China
NetEase,NTES,$58.03 B,$88.36,China
Moody's,MCO,$57.62 B,$314.53,USA
Verbund AG,OEWA.F,$57.54 B,$82.65,Austria
Heineken,HEIA.AS,$57.26 B,$99.48,Netherlands
Marathon Petroleum,MPC,$57.14 B,$121.93,USA
Emerson,EMR,$57.01 B,$97.92,USA
Fast Retailing,9983.T,$56.99 B,$557.78,Japan
Pioneer Natural Resources,PXD,$56.78 B,$238.99,USA
Santander,SAN,$56.75 B,$3.37,Spain
Industrial Bank,601166.SS,$56.52 B,$2.72,China
Thomson Reuters,TRI,$56.47 B,$117.80,Canada
MetLife,MET,$56.42 B,$71.92,USA
Enterprise Products,EPD,$56.02 B,$25.75,USA
RELX,RELX,$55.76 B,$29.14,UK
Bharti Airtel,BHARTIARTL.NS,$55.70 B,$9.34,India
ENI,E,$55.40 B,$31.45,Italy
Life Insurance Corporation of India (LIC),LICI.NS,$55.21 B,$8.73,India
MercadoLibre,MELI,$54.46 B,"$1,083",Argentina
Pernod Ricard,RI.PA,$54.25 B,$211.83,France
McKesson,MCK,$54.13 B,$381.81,USA
United Heavy Machinery,OMZZP.ME,$53.58 B,$63.30,Russia
Vmware,VMW,$53.41 B,$124.93,USA
Monster Beverage,MNST,$53.29 B,$102.08,USA
Tokyo Electron,8035.T,$53.07 B,$340.79,Japan
BASF,BAS.DE,$52.95 B,$57.66,Germany
