07-silvestri-revenue_2020,08-slytherin-revenue,01-DDD-revenue_2017_euro,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu
doll_6.52 m,doll_1.86 m,"923,730",doll_6.52 m,doll_6.52 m
doll_9.55 m,doll_4.45 m,"1,354,980",doll_9.55 m,doll_9.55 m
doll_2.34 m,doll_5.93 m,"335,460",doll_2.34 m,doll_2.34 m
doll_25.67 m,doll_6.4 m,"3,659,630",doll_25.67 m,doll_25.67 m
doll_1.81 m,doll_20.3 m,"259,342",doll_1.81 m,doll_1.81 m
doll_1.51 m,doll_41.00 m,"219,999",doll_1.51 m,doll_1.51 m
doll_1.9 m,doll_5.30 m,"276,750",doll_1.9 m,doll_1.9 m
doll_4.48 m,doll_13.83 m,"657,382",doll_4.48 m,doll_4.48 m
doll_115.79 m,doll_5.15 m,"18,106,514",doll_115.79 m,doll_115.79 m
doll_32.61 m,doll_14.42 m,"4,829,922",doll_32.61 m,doll_32.61 m
doll_4.68 m,doll_2.76 m,"688,860",doll_4.68 m,doll_4.68 m
doll_19.58 m,doll_3.63 m,"2,880,891",doll_19.58 m,doll_19.58 m
doll_4.53 m,doll_132.43 m,"667,170",doll_4.53 m,doll_4.53 m
doll_146.45 m,doll_5.72 m,"21,640,253",doll_146.45 m,doll_146.45 m
doll_1.53 m,doll_10.39 m,"226,295",doll_1.53 m,doll_1.53 m
doll_6.53 m,doll_3.7 m,"991,534",doll_6.53 m,doll_6.53 m
doll_1.79 m,doll_9.16 m,"274,790",doll_1.79 m,doll_1.79 m
doll_2.07 m,doll_14.00 m,"310,810",doll_2.07 m,doll_2.07 m
doll_30.44 m,doll_1.71 m,"4,601,266",doll_30.44 m,doll_30.44 m
doll_9.38 m,doll_13.39 m,"1,411,811",doll_9.38 m,doll_9.38 m
doll_10.54 m,doll_25.46 m,"1,587,500",doll_10.54 m,doll_10.54 m
doll_2.68 m,doll_11.79 m,"404,819",doll_2.68 m,doll_2.68 m
doll_1.65 m,doll_5.60 m,"251,795",doll_1.65 m,doll_1.65 m
doll_32.27 m,doll_4.86 m,"5,033,032",doll_32.27 m,doll_32.27 m
doll_21.25 m,doll_81.42 m,"3,241,629",doll_21.25 m,doll_21.25 m
doll_2.86 m,doll_20.9 m,"436,610",doll_2.86 m,doll_2.86 m
doll_45.23 m,doll_8.50 m,"6,936,038",doll_45.23 m,doll_45.23 m
doll_3.0 m,doll_10.36 m,"461,000",doll_3.0 m,doll_3.0 m
doll_4.11 m,doll_1.27 m,"656,172",doll_4.11 m,doll_4.11 m
doll_6.69 m,doll_1.48 m,"1,034,093",doll_6.69 m,doll_6.69 m
doll_2.91 m,doll_1.44 m,"449,771",doll_2.91 m,doll_2.91 m
doll_32.04 m,doll_1.47 m,"4,954,590",doll_32.04 m,doll_32.04 m
doll_32.17 m,doll_3.59 m,"4,979,484",doll_32.17 m,doll_32.17 m
doll_2.7 m,doll_2.91 m,"422,610",doll_2.7 m,doll_2.7 m
doll_2.0 m,doll_2.55 m,"322,050",doll_2.0 m,doll_2.0 m
doll_1.95 m,doll_2.43 m,"304,833",doll_1.95 m,doll_1.95 m
doll_4.97 m,doll_4.33 m,"789,058",doll_4.97 m,doll_4.97 m
doll_33.65 m,doll_8.21 m,"5,361,088",doll_33.65 m,doll_33.65 m
doll_28.99 m,doll_40.7 m,"4,653,721",doll_28.99 m,doll_28.99 m
doll_1.53 m,doll_137.60 m,"245,974",doll_1.53 m,doll_1.53 m
doll_73.51 m,doll_18.08 m,"11,756,712",doll_73.51 m,doll_73.51 m
doll_11.03 m,doll_5.85 m,"1,765,457",doll_11.03 m,doll_11.03 m
doll_1.99 m,doll_314.83 m,"318,940",doll_1.99 m,doll_1.99 m
doll_2.39 m,doll_11.99 m,"385,266",doll_2.39 m,doll_2.39 m
doll_22.89 m,doll_40.40 m,"3,733,539",doll_22.89 m,doll_22.89 m
doll_5.7 m,doll_9.67 m,"923,000",doll_5.7 m,doll_5.7 m
doll_3.69 m,doll_2.53 m,"598,678",doll_3.69 m,doll_3.69 m
doll_25.0 m,doll_8.95 m,"4,174,549",doll_25.0 m,doll_25.0 m
doll_4.53 m,doll_17.16 m,"737,936",doll_4.53 m,doll_4.53 m
doll_4.28 m,doll_11.51 m,"698,300",doll_4.28 m,doll_4.28 m
doll_3.38 m,doll_4.1 m,"551,848",doll_3.38 m,doll_3.38 m
doll_7.79 m,doll_4.95 m,"1,277,410",doll_7.79 m,doll_7.79 m
doll_10.0 m,doll_1.28 m,"1,644,899",doll_10.0 m,doll_10.0 m
doll_33.9 m,doll_1.75 m,"5,643,295",doll_33.9 m,doll_33.9 m
doll_4.13 m,doll_4.80 m,"685,370",doll_4.13 m,doll_4.13 m
doll_6.04 m,doll_1.28 m,"1,002,579",doll_6.04 m,doll_6.04 m
doll_6.26 m,doll_102.55 m,"1,043,440",doll_6.26 m,doll_6.26 m
doll_6.31 m,doll_12.88 m,"1,122,907",doll_6.31 m,doll_6.31 m
doll_6.48 m,doll_2.5 m,"1,091,925",doll_6.48 m,doll_6.48 m
doll_2.92 m,doll_31.33 m,"492,860",doll_2.92 m,doll_2.92 m
doll_5.36 m,doll_5.0 m,"916,511",doll_5.36 m,doll_5.36 m
doll_7.1 m,doll_37.22 m,"1,207,613",doll_7.1 m,doll_7.1 m
doll_8.21 m,doll_12.22 m,"1,396,400",doll_8.21 m,doll_8.21 m
doll_14.6 m,doll_21.46 m,"2,484,783",doll_14.6 m,doll_14.6 m
doll_3.06 m,doll_4.68 m,"521,250",doll_3.06 m,doll_3.06 m
doll_12.17 m,doll_7.51 m,"2,076,139",doll_12.17 m,doll_12.17 m
doll_3.4 m,doll_355.88 m,"580,644",doll_3.4 m,doll_3.4 m
doll_19.8 m,doll_4.66 m,"3,380,420",doll_19.8 m,doll_19.8 m
doll_4.98 m,doll_16.48 m,"853,561",doll_4.98 m,doll_4.98 m
doll_2.05 m,doll_8.59 m,"352,000",doll_2.05 m,doll_2.05 m
doll_1.67 m,doll_3.55 m,"287,985",doll_1.67 m,doll_1.67 m
doll_5.09 m,doll_3.37 m,"877,275",doll_5.09 m,doll_5.09 m
