01-DDD-sector,03-gren-sector,07-silvestri-sector,08-slytherin-industry
health,health,health,technology
health,health,health,property
financial services,financial services,financial services,construction
technology,technology,technology,advertising
transport,transport,transport,insurance
retail,retail,retail,health
retail,retail,retail,media
technology,technology,technology,financial services
interiors,interiors,interiors,media
construction,construction,construction,technology
retail,retail,retail,construction
ecommerce,ecommerce,ecommerce,technology
automobiles,automobiles,automobiles,travel & leisure
technology,technology,technology,retail
retail,retail,retail,technology
retail,retail,retail,ecommerce
technology,technology,technology,fashion
support services,support services,support services,fashion
construction,construction,construction,advertising
property,property,property,construction
media,media,media,fintech
telecoms,telecoms,telecoms,personal & household goods
technology,technology,technology,construction
ecommerce,ecommerce,ecommerce,management consulting
industrial goods,industrial goods,industrial goods,support services
technology,technology,technology,advertising
construction,construction,construction,aerospace & defence
retail,retail,retail,chemicals
retail,retail,retail,technology
construction,construction,construction,technology
retail,retail,retail,construction
technology,technology,technology,ecommerce
health,health,health,support services
support services,support services,support services,retail
support services,support services,support services,technology
sales and marketing,sales and marketing,sales and marketing,technology
telecoms,telecoms,telecoms,construction
technology,technology,technology,property
food & beverage,food & beverage,food & beverage,retail
automobiles,automobiles,automobiles,automobiles
support services,support services,support services,technology
construction,construction,construction,insurance
energy,energy,energy,advertising
construction,construction,construction,construction
beauty,beauty,beauty,media
advertising,advertising,advertising,travel & leisure
construction,construction,construction,ecommerce
technology,technology,technology,support services
property,property,property,support services
management consulting,management consulting,management consulting,fintech
technology,technology,technology,construction
technology,technology,technology,technology
health,health,health,pharmaceuticals
support services,support services,support services,property
personal & household goods,personal & household goods,personal & household goods,beauty
technology,technology,technology,technology
construction,construction,construction,fintech
construction,construction,construction,travel & leisure
retail,retail,retail,technology
technology,technology,technology,industrial goods
automobiles,automobiles,automobiles,telecoms
aerospace & defence,aerospace & defence,aerospace & defence,construction
industrial goods,industrial goods,industrial goods,technology
financial services,financial services,financial services,technology
advertising,advertising,advertising,property
automobiles,automobiles,automobiles,industrial goods
management consulting,management consulting,management consulting,technology
technology,technology,technology,technology
technology,technology,technology,technology
technology,technology,technology,technology
interiors,interiors,interiors,food & beverage
retail,retail,retail,sales & marketing
retail,retail,retail,health
advertising,advertising,advertising,technology
health,health,health,waste management & recycling
technology,technology,technology,property
interiors,interiors,interiors,transport
industrial goods,industrial goods,industrial goods,technology
health,health,health,technology
technology,technology,technology,support services
technology,technology,technology,sales & marketing
health,health,health,technology
technology,technology,technology,ecommerce
technology,technology,technology,technology
transport,transport,transport,management consulting
construction,construction,construction,health
ecommerce,ecommerce,ecommerce,technology
automobiles,automobiles,automobiles,fashion
energy,energy,energy,waste management & recycling
property,property,property,management consulting
support services,support services,support services,fashion
ecommerce,ecommerce,ecommerce,media
education,education,education,construction
technology,technology,technology,technology
support services,support services,support services,technology
personal & household goods,personal & household goods,personal & household goods,education
health,health,health,industrial goods
