07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,01-DDD-revenue_2020_euro
"7,522,000",7522000,"7,522,000",662.76,doll_57.38 m
"1,556,607",1556607,"1,556,607",661.92,doll_11.86 m
"2,058,315",2058315,"2,058,315",660.16,doll_15.65 m
"8,508,398",8508398,"8,508,398",656.17,doll_63.88 m
"2,570,000",2570000,"2,570,000",655.91,doll_19.43 m
"26,626,422",26626422,"26,626,422",655.01,doll_197.26 m
"546,226",546226,"546,226",651.57,doll_4.11 m
"2,708,983",2708983,"2,708,983",651.07,doll_20.2 m
"975,140",975140,"975,140",650.65,doll_7.32 m
"316,525",316525,"316,525",645.92,doll_2.16 m
"884,885",884885,"884,885",641.45,doll_6.56 m
"559,778",559778,"559,778",640.72,doll_4.15 m
"2,146,950",2146950,"2,146,950",639.39,doll_15.87 m
"340,000",340000,"340,000",635.85,doll_2.5 m
"1,062,649",1062649,"1,062,649",635.77,doll_7.65 m
"621,636",621636,"621,636",634.70,doll_4.53 m
"350,019",350019,"350,019",633.03,doll_2.57 m
"330,522",330522,"330,522",631.54,doll_2.42 m
"410,520",410520,"410,520",629.15,doll_2.99 m
"2,051,133",2051133,"2,051,133",628.49,doll_14.94 m
"674,805",674805,"674,805",627.38,doll_4.8 m
"670,685",670685,"670,685",626.96,doll_4.88 m
"255,000",255000,"255,000",625.88,doll_1.85 m
"3,417,815",3417815,"3,417,815",624.36,doll_24.58 m
"364,485",364485,"364,485",623.62,doll_2.64 m
"15,653,388",15653388,"15,653,388",612.55,doll_111.54 m
"954,700",954700,"954,700",611.08,doll_6.79 m
"49,833,511",49833511,"49,833,511",608.12,doll_352.88 m
"2,669,247",2669247,"2,669,247",608.11,doll_18.77 m
"309,471",309471,"309,471",607.97,doll_2.0 m
"923,730",923730,"923,730",605.35,doll_6.52 m
"1,354,980",1354980,"1,354,980",604.94,doll_9.55 m
"335,460",335460,"335,460",601.43,doll_2.34 m
"3,659,630",3659630,"3,659,630",601.37,doll_25.67 m
"259,342",259342,"259,342",598.10,doll_1.81 m
"219,999",219999,"219,999",590.77,doll_1.51 m
"276,750",276750,"276,750",586.95,doll_1.9 m
"657,382",657382,"657,382",586.89,doll_4.48 m
"18,106,514",18106514,"18,106,514",581.48,doll_115.79 m
"4,829,922",4829922,"4,829,922",580.10,doll_32.61 m
"688,860",688860,"688,860",579.81,doll_4.68 m
"2,880,891",2880891,"2,880,891",579.56,doll_19.58 m
"667,170",667170,"667,170",578.64,doll_4.53 m
"21,640,253",21640253,"21,640,253",576.76,doll_146.45 m
"226,295",226295,"226,295",575.79,doll_1.53 m
"991,534",991534,"991,534",573.05,doll_6.53 m
"274,790",274790,"274,790",569.09,doll_1.79 m
