09-wissel-registration_date,09-wissel-deletion_date,09-wissel-code
22.02.2016,,80397632.0
16.04.2021,,16208903.0
07.05.2021,,16225103.0
01.06.2009,30.08.2017,11663100.0
06.02.2006,06.05.2020,80225842.0
29.12.2003,02.06.2008,10996785.0
13.09.2006,,11298468.0
29.10.2020,,80587634.0
19.02.2004,24.10.2013,11005414.0
29.10.2020,,16086156.0
27.08.2008,,11531433.0
02.11.2022,,16606153.0
09.11.1998,29.11.2005,70001662.0
03.11.1998,13.09.2002,90003054.0
21.04.2005,26.11.2010,11125319.0
27.09.2016,,14121523.0
15.06.2018,,14508601.0
21.08.2018,03.02.2020,80553500.0
08.08.2019,,80568482.0
13.11.2020,,16097332.0
11.08.2004,07.03.2022,11059605.0
03.05.2013,,12467594.0
18.11.2003,24.09.2007,10989578.0
24.08.2015,30.07.2019,12900252.0
14.02.2008,29.08.2013,11463217.0
04.08.2022,,80614360.0
13.10.2008,10.09.2013,11546038.0
22.04.2008,,11492756.0
02.05.2014,,12655732.0
13.07.2021,,16269497.0
17.11.2020,,16100318.0
15.02.2021,,16162182.0
17.08.2021,,16293748.0
15.05.2020,,14972020.0
23.07.1998,04.04.2019,10477915.0
11.11.2021,,16363973.0
20.09.2004,,11070021.0
15.09.2016,,14114782.0
11.12.2017,,14387540.0
03.03.2021,,16174630.0
01.11.2013,,12562815.0
24.11.2021,,16373654.0
12.12.2018,,14625057.0
08.10.1996,15.12.2014,10111212.0
30.12.2013,,12590649.0
08.02.2001,20.09.2005,10736340.0
31.01.2017,,14195355.0
12.11.2007,,11447164.0
10.11.2015,,12944048.0
03.11.2017,,14364786.0
05.12.2014,,12764010.0
25.04.2000,13.01.2009,90001799.0
18.12.2020,,16124499.0
11.09.2009,19.02.2019,11714429.0
22.07.2022,,16540276.0
10.01.2022,,16419592.0
09.11.2021,,16362082.0
10.03.2017,,14219067.0
06.03.1998,,10399262.0
29.08.2018,,14554133.0
26.10.2015,,12935523.0
18.10.2005,06.10.2011,11178899.0
25.10.2021,,16349874.0
21.12.2015,02.10.2019,12966720.0
28.07.2020,,16017824.0
29.12.2020,,16129397.0
27.12.2019,,14875908.0
12.12.2017,,14388781.0
22.01.2019,,14646786.0
15.12.2000,,10720132.0
28.06.2018,,14515825.0
16.03.2001,02.02.2016,10744262.0
17.09.2018,,14567762.0
07.02.2014,,12610778.0
22.12.1998,29.11.2005,70003141.0
01.07.2022,,16527778.0
03.01.2022,,16412035.0
06.11.2019,,14842702.0
27.02.2013,,12428571.0
05.02.2004,03.06.2013,11001741.0
08.10.2019,,14821433.0
23.03.2004,,11022230.0
04.09.2002,14.06.2012,10881912.0
30.11.2021,,16378551.0
30.03.2009,25.07.2013,11621828.0
20.02.2006,17.12.2014,11222927.0
21.10.2022,,16598749.0
21.03.2016,03.01.2020,14017702.0
09.09.2014,,12717281.0
29.10.2018,,14596108.0
23.09.2022,,16579858.0
17.12.2021,,16393023.0
05.08.2016,,14092589.0
15.02.2021,,16161857.0
17.04.2020,,14954163.0
22.12.2003,,10995870.0
22.12.2021,,16397146.0
08.01.2020,,14883121.0
23.07.2008,16.03.2021,11518266.0
07.04.2015,,12830103.0
21.03.2014,,12632708.0
28.09.2015,,12920473.0
07.08.2013,,12516683.0
16.04.2012,,12267659.0
17.04.2012,,12268446.0
27.09.2021,,16325980.0
16.06.2010,,11957008.0
28.05.2001,11.08.2009,10766909.0
16.02.2022,,16443705.0
20.11.2007,,11448962.0
10.08.2016,,14094677.0
02.03.2015,,12808115.0
06.05.2014,,12656958.0
17.01.2017,,14186497.0
02.10.2020,,16067733.0
15.04.1998,26.08.2022,10428532.0
25.01.2013,14.05.2019,12411079.0
12.09.2014,,12719475.0
07.12.2021,,16383664.0
17.05.2018,,14490634.0
25.07.2005,28.08.2012,11153853.0
21.08.2014,,12706701.0
05.05.2021,,16223438.0
27.02.2015,,80381890.0
09.10.2007,,11430933.0
27.03.2012,22.11.2021,12255739.0
02.04.2008,19.01.2010,11488677.0
08.11.1999,29.11.2005,70005588.0
05.09.2017,,14325898.0
04.11.2014,,12746681.0
19.08.2016,,14099775.0
09.07.2007,18.01.2011,90003611.0
06.02.2009,,11587043.0
28.11.2012,,12384796.0
02.07.2018,,14517468.0
04.08.2016,,14092170.0
19.06.1998,31.05.2007,10461392.0
25.09.2012,,12351302.0
14.09.2006,17.05.2011,11298480.0
16.02.2018,,14430974.0
20.04.2004,09.07.2015,11027692.0
01.10.2015,09.09.2019,12922874.0
23.09.2019,,14810694.0
31.05.2004,,11042987.0
03.03.2016,,14006868.0
30.07.2021,,16281107.0
06.02.2020,,14905851.0
17.05.2022,,16502293.0
19.12.2008,24.08.2015,11559839.0
17.12.2004,,80215358.0
28.09.2010,26.02.2020,11998533.0
03.04.2009,,80280746.0
25.09.2020,,16061156.0
23.09.2020,,16059449.0
09.01.2015,,12779804.0
25.05.2010,21.05.2019,11945732.0
28.01.2022,,16431156.0
01.02.2008,,11466405.0
12.10.2021,,16338942.0
12.04.2010,,11924090.0
11.11.2019,,14845899.0
04.06.2010,17.07.2015,80310097.0
27.03.2006,10.08.2009,11239483.0
17.08.2007,16.07.2019,11407839.0
26.10.1999,02.09.2020,10589040.0
12.01.2010,,11877901.0
12.01.2022,,16421175.0
12.04.1999,29.11.2005,70004525.0
22.04.2005,,11108195.0
06.09.2021,,16307545.0
27.12.2021,,16399748.0
12.06.2009,23.02.2012,11674486.0
08.07.2003,,10957199.0
02.03.2015,,12808084.0
02.09.2013,,12529763.0
07.07.2003,02.07.2012,10957093.0
11.09.2017,,14329654.0
27.09.2021,,16327080.0
12.08.2005,12.05.2014,11157182.0
01.02.2022,,80606863.0
20.10.2016,,14136967.0
16.07.2008,22.07.2013,11517158.0
20.08.1996,,10073342.0
08.03.2022,,16456203.0
05.11.2013,,12564587.0
25.03.1999,,10543428.0
14.12.1999,,10611785.0
06.11.1998,,10487813.0
26.09.2017,,14339722.0
23.02.2006,11.12.2009,11224116.0
01.02.2006,,11204444.0
28.02.2017,,14212697.0
02.04.2020,,14947192.0
03.01.2022,,16411662.0
08.04.2011,,12088230.0
30.05.2016,,14057245.0
26.06.2007,,11399614.0
23.08.2006,11.06.2013,11282289.0
17.07.2009,12.11.2013,11691378.0
02.05.2011,17.05.2017,12099848.0
20.11.2017,,14373638.0
20.01.2021,,16143776.0
11.10.2018,01.07.2021,14584855.0
12.05.2006,18.08.2022,11254076.0
04.10.2019,,80571082.0
06.01.2020,,14881530.0
08.10.2007,20.09.2019,11410669.0
28.10.2022,,16603290.0
17.01.2005,,80216180.0
30.09.2020,19.09.2022,16065384.0
26.10.1999,,10589092.0
17.03.2022,,80608767.0
30.08.2013,11.03.2016,12528901.0
10.12.2015,,12961526.0
05.03.2013,26.04.2017,12432609.0
02.01.2018,,14398696.0
10.12.2014,,12766701.0
10.12.2013,21.11.2019,12582154.0
28.09.2010,,11998355.0
31.03.2014,27.05.2019,12637122.0
18.12.2006,12.08.2015,11331332.0
30.12.2011,27.01.2016,12211558.0
01.11.2007,21.01.2011,11444958.0
05.12.2003,09.04.2010,10986485.0
29.01.2008,,11465452.0
10.02.2014,,12611111.0
10.11.2014,30.04.2015,12749482.0
03.12.2021,,16381582.0
02.12.2020,,16113350.0
05.07.2021,,16263233.0
27.02.2017,,14211580.0
20.03.1998,,10411684.0
29.09.1998,,10498047.0
14.06.2022,,16519313.0
30.03.1998,02.11.2000,10420973.0
26.05.2021,,16238637.0
22.12.2021,,16397815.0
04.03.1998,,10400083.0
24.07.2007,20.10.2011,11405220.0
19.03.2012,,12250624.0
16.08.2021,,16293339.0
16.02.1999,21.11.2005,10532169.0
16.08.2010,13.11.2015,11978499.0
03.04.2012,,12260427.0
07.09.2021,,16309685.0
10.08.2006,08.08.2011,11279471.0
22.08.2006,,11281924.0
23.08.2007,29.06.2017,11416436.0
29.04.2005,28.08.2012,11127368.0
25.08.1997,16.03.2018,10239110.0
04.06.2009,18.05.2020,11665257.0
15.10.2007,28.06.2018,11432576.0
12.11.2020,,16096344.0
19.01.2005,,80216292.0
05.03.2009,,11606059.0
08.06.2015,,12862356.0
