name,country,market_value_apr_2022,sector,stock
China Railway Group Ltd,hong kong,$20.15 B,industrials,390
CTBC Financial Holding Co. Ltd,taiwan,$20.15 B,financials,2891
Imperial Brands plc,united kingdom,$20.14 B,consumer staples,IMB
"Principal Financial Group, Inc.",united states,$20.13 B,financials,PFG
Norsk Hydro ASA,NULL,$20.10 B,NULL,NHY
"PerkinElmer, Inc.",united states,$20.05 B,healthcare,PKI
Hannover Rück SE,germany,$20.02 B,financials,HNRB
"Sun Communities, Inc.",united states,$19.98 B,real estate,SUI
Tradeweb Markets Inc.,united states,$19.98 B,financials,TW
Trina Solar Co. Ltd,china,$19.94 B,technology,688599
Vedanta Limited,india,$19.93 B,basic materials,VEDL
"Paycom Software, Inc.",united states,$19.87 B,technology,PAYC
Klabin SA,brazil,NULL,basic materials,KLBN11
Kao Corp,japan,$19.85 B,consumer staples,4452
"Teradyne, Inc.",united states,$19.85 B,technology,TER
China Resources Beer (Holdings) Company Ltd,hong kong,$19.84 B,consumer staples,291
China Communications Construction Co Ltd,china,$19.83 B,industrials,601800
Aviva plc,united kingdom,$19.82 B,financials,AV.
Standard Bank Group Ltd,south africa,$19.82 B,financials,SBK
Ryanair Holdings plc,ireland,NULL,industrials,RY4C
"Hologic, Inc.",united states,$19.75 B,healthcare,HOLX
Kerry Group plc,ireland,$19.74 B,consumer staples,KRZ
Renesas Electronics Corp,japan,$19.73 B,technology,6723
Brookfield Infrastructure Partners L.P.,NULL,$19.70 B,NULL,BIP.UN
Shiseido Co Ltd,japan,$19.69 B,consumer staples,4911
CGI Inc.,canada,$19.67 B,technology,GIB.A
Henderson Land Development Co Ltd,hong kong,$19.67 B,real estate,12
"Bill.com Holdings, Inc.",united states,$19.65 B,technology,BILL
Shanghai Fosun Pharmaceutical,china,$19.63 B,healthcare,600196
"Akamai Technologies, Inc.",united states,$19.59 B,technology,AKAM
China Tower Corp Ltd,china,$19.55 B,communication services,788
"Huatai Securities Co., Ltd.",china,$19.55 B,financials,601688
Marathon Oil Corporation,united states,$19.54 B,energy,MRO
Arch Capital Group Ltd.,NULL,$19.54 B,NULL,ACGL
TransUnion,united states,$19.53 B,industrials,TRU
JBS SA,brazil,$19.53 B,consumer staples,JBSS3
Shenzhou International Group Holdings Ltd,hong kong,$19.50 B,consumer discretionary,2313
"Avantor, Inc.",united states,$19.48 B,basic materials,AVTR
"Molina Healthcare, Inc.",united states,$19.46 B,healthcare,MOH
"Ferrovial, SA",spain,$19.44 B,industrials,FER
EDP - Energias de Portugal SA,NULL,$19.43 B,NULL,EDP
Fresenius Medical Care AG & Co. KGaA,germany,$19.42 B,healthcare,FME
Svenska Handelsbanken AB,sweden,$19.42 B,financials,SHB.A
KB Financial Group Inc.,south korea,$19.39 B,financials,105560
Magna International Inc.,canada,$19.36 B,consumer discretionary,MG
Snam S.p.A.,italy,$19.27 B,utilities,SRG
CGN Power Co. Ltd,china,$19.25 B,utilities,3816
Croda International plc,united kingdom,NULL,basic materials,CRDA
Warner Music Group Corp.,united states,$19.21 B,communication services,WMG
Zhejiang Huayou Cobalt Co. Ltd,china,$19.20 B,basic materials,603799
"SS&C Technologies Holdings, Inc.",united states,$19.15 B,technology,SSNC
Carlsberg A-S,denmark,$19.12 B,consumer staples,CARL.A
NICE Ltd.,israel,NULL,technology,NICE
Waters Corporation,united states,$19.11 B,healthcare,WAT
Otsuka Holdings Co. Ltd,japan,$19.03 B,healthcare,4578
Tenaris SA,NULL,$18.98 B,NULL,TEN
"Citizens Financial Group, Inc.",united states,$18.95 B,financials,CFG
Check Point Software Technologies Ltd.,israel,$18.94 B,technology,CHKP
Toshiba Corp,japan,$18.93 B,industrials,6502
"LG Electronics, Inc.",south korea,$18.91 B,technology,66570
Astra International Tbk PT,indonesia,$18.90 B,consumer discretionary,ASJA
Omnicom Group Inc.,united states,$18.80 B,communication services,OMC
"Aecc Aviation Power Co.,Ltd",china,$18.79 B,industrials,600893
International Paper Company,united states,NULL,consumer discretionary,INPAP
Scottish Mortgage Investment Trust plc,united kingdom,$18.78 B,financials,SMT
George Weston Limited,canada,$18.77 B,consumer staples,WN
"NetApp, Inc.",united states,$18.76 B,technology,NTAP
"Healthpeak Properties, Inc.",united states,$18.76 B,real estate,PEAK
"MS&AD Insurance Group Holdings, Inc.",japan,$18.75 B,financials,8725
The Liberty SiriusXM Group,united states,$18.74 B,communication services,LSXMB
Credit Suisse Group AG,switzerland,$18.72 B,financials,CSGN
Air China Ltd,china,$18.72 B,industrials,601111
Power Construction Corp of China Ltd,china,$18.69 B,industrials,601669
"JD Health International, Inc.",china,$18.69 B,healthcare,8ZN
South32 Limited,australia,$18.67 B,basic materials,S32
"Huaneng Power International, Inc.",china,$18.57 B,utilities,600011
HEICO Corporation,united states,$18.49 B,industrials,HEI
GF Securities Co. Ltd,china,$18.44 B,financials,776
Genuine Parts Company,united states,$18.41 B,consumer discretionary,GPC
Vodacom Group Ltd,south africa,$18.41 B,communication services,VOD
"Take-Two Interactive Software, Inc.",united states,$18.35 B,communication services,TTWO
China Merchants Securities Co. Ltd,china,$18.35 B,financials,600999
"Alnylam Pharmaceuticals, Inc.",united states,$18.33 B,healthcare,ALNY
Aeon Co. Ltd,japan,$18.32 B,consumer discretionary,8267
Link Real Estate Investment Trust,hong kong,$18.27 B,real estate,823
Shionogi & Co. Ltd,japan,$18.27 B,healthcare,4507
Ubiquiti Inc.,united states,$18.25 B,technology,UI
"Quanta Services, Inc.",united states,$18.25 B,industrials,PWR
"Catalent, Inc.",united states,$18.24 B,healthcare,CTLT
Haitong Securities Co. Ltd,china,$18.23 B,financials,600837
Asahi Group Holdings Ltd,japan,$18.21 B,consumer staples,2502
Capitec Bank Holdings Ltd,south africa,$18.21 B,financials,CPI
Restaurant Brands International Inc.,canada,$18.19 B,consumer discretionary,QSR
"Yum China Holdings, Inc.",china,$18.18 B,consumer discretionary,YUMC
CEZ AS,NULL,NULL,NULL,CEZ
Veolia Environnement SA,france,$18.14 B,industrials,VIE
"Avis Budget Group, Inc.",united states,$18.12 B,industrials,CAR
