,name,symbol,marketcap,price,country
200,csx corporation,csx,doll_68.68 b,doll_32.67,usa
201,general dynamics,gd,doll_68.36 b,doll_249.02,usa
202,waste management,wm,doll_68.36 b,doll_166.54,usa
203,boston scientific,bsx,doll_67.57 b,doll_47.18,usa
204,softbank,9984.t,doll_67.51 b,doll_46.17,japan
205,axa,cs.pa,doll_67.49 b,doll_28.71,france
206,bank central asia,bbca.jk,doll_67.10 b,doll_0.54,indonesia
207,state bank of india,sbin.ns,doll_67.01 b,doll_7.51,india
208,china yangtze power,600900.ss,doll_66.97 b,doll_2.94,china
209,colgate-palmolive,cl,doll_66.26 b,doll_79.34,usa
210,u.s. bancorp,usb,doll_66.24 b,doll_43.29,usa
211,humana,hum,doll_66.02 b,doll_521.51,usa
212,national australia bank,nab.ax,doll_66.00 b,doll_20.94,australia
213,equinix,eqix,doll_65.09 b,doll_703.43,usa
214,sabic,2010.sr,doll_64.96 b,doll_21.65,s. arabia
215,fiserv,fisv,doll_64.71 b,doll_101.91,usa
216,dbs group,d05.si,doll_64.68 b,doll_25.13,singapore
217,kering,ker.pa,doll_64.62 b,doll_528.26,france
218,sherwin-williams,shw,doll_64.44 b,doll_248.68,usa
219,kddi,9433.t,doll_64.36 b,doll_29.61,japan
220,eaton,etn,doll_64.17 b,doll_161.36,ireland
221,cnooc,0883.hk,doll_64.09 b,doll_1.29,china
222,lam research,lrcx,doll_63.85 b,doll_468.24,usa
223,fast retailing,9983.t,doll_63.42 b,doll_620.67,japan
224,daiichi sankyō,4568.t,doll_63.38 b,doll_33.07,japan
225,aon,aon,doll_63.32 b,doll_306.14,uk
226,china tourism group duty free,601888.ss,doll_63.26 b,doll_31.53,china
227,cme group,cme,doll_62.92 b,doll_174.92,usa
228,canadian natural resources,cnq,doll_61.97 b,doll_55.98,canada
229,verbund ag,oewa.f,doll_61.82 b,doll_88.07,austria
230,nongfu spring,9633.hk,doll_61.55 b,doll_5.47,china
231,bank of montreal,bmo,doll_61.44 b,doll_90.19,canada
232,walmex,wmmvf,doll_61.02 b,doll_3.50,mexico
233,siemens healthineers,shl.de,doll_60.65 b,doll_53.30,germany
234,investor ab,ivs.f,doll_60.58 b,doll_19.85,sweden
235,pnc financial services,pnc,doll_60.34 b,doll_149.62,usa
236,activision blizzard,atvi,doll_60.29 b,doll_77.04,usa
237,norfolk southern,nsc,doll_59.82 b,doll_258.42,usa
238,housing development finance corporation,hdfc.ns,doll_59.63 b,doll_32.69,india
239,petrobras,pbr,doll_59.61 b,doll_9.14,brazil
240,bharti airtel,bhartiartl.ns,doll_59.56 b,doll_10.00,india
241,micron technology,mu,doll_59.55 b,doll_54.59,usa
242,atlas copco,atco-b.st,doll_59.54 b,doll_11.63,sweden
243,crown castle,cci,doll_59.53 b,doll_137.48,usa
244,airbnb,abnb,doll_59.47 b,doll_93.93,usa
245,abb,abb,doll_59.45 b,doll_31.71,switzerland
246,postal savings bank of china,601658.ss,doll_59.41 b,doll_0.65,china
247,bmw,bmw.de,doll_58.62 b,doll_88.91,germany
248,ubs,ubs,doll_58.61 b,doll_18.42,switzerland
249,scotiabank,bns,doll_58.60 b,doll_49.19,canada
250,the saudi national bank,1180.sr,doll_58.56 b,doll_13.19,s. arabia
251,america movil,amx,doll_58.19 b,doll_18.35,mexico
252,blackstone group,bx,doll_58.19 b,doll_80.60,usa
253,intercontinental exchange,ice,doll_58.05 b,doll_103.93,usa
254,occidental petroleum,oxy,doll_57.87 b,doll_63.68,usa
255,kla,klac,doll_57.56 b,doll_406.21,usa
256,vinci,dg.pa,doll_57.30 b,doll_101.13,france
257,metlife,met,doll_57.15 b,doll_72.84,usa
258,emerson,emr,doll_56.90 b,doll_97.72,usa
259,enel,enel.mi,doll_56.54 b,doll_5.57,italy
260,freeport-mcmoran,fcx,doll_56.35 b,doll_39.43,usa
261,truist financial,tfc,doll_56.01 b,doll_42.22,usa
262,adani enterprises,adanient.ns,doll_55.94 b,doll_49.07,india
263,westpac banking,wbc.ax,doll_55.86 b,doll_15.98,australia
264,thomson reuters,tri,doll_55.77 b,doll_116.34,canada
265,relx,relx,doll_55.40 b,doll_28.93,uk
266,kkr & co.,kkr,doll_55.38 b,doll_49.35,usa
267,dollar general,dg,doll_55.33 b,doll_247.48,usa
268,uber,uber,doll_54.78 b,doll_27.47,usa
269,life insurance corporation of india (lic),lici.ns,doll_54.77 b,doll_8.66,india
270,hong kong exchanges & clearing,0388.hk,doll_54.63 b,doll_43.09,hong kong
271,heineken,heia.as,doll_54.54 b,doll_94.66,netherlands
272,moody's,mco,doll_54.52 b,doll_297.62,usa
273,bayer,bayzf,doll_54.50 b,doll_55.48,germany
274,general motors,gm,doll_54.49 b,doll_38.36,usa
275,mindray,300760.sz,doll_54.22 b,doll_44.20,china
276,ford,f,doll_54.19 b,doll_13.48,usa
277,midea,000333.sz,doll_53.84 b,doll_7.70,china
278,united heavy machinery,omzzp.me,doll_53.58 b,doll_63.30,russia
279,pioneer natural resources,pxd,doll_53.48 b,doll_225.12,usa
280,china telecom,0728.hk,doll_53.42 b,doll_0.41,china
281,safran,saf.pa,doll_53.28 b,doll_124.95,france
282,foshan haitian flavouring and food,603288.ss,doll_53.28 b,doll_11.50,china
283,monster beverage,mnst,doll_53.20 b,doll_101.90,usa
284,reckitt benckiser,rkt.l,doll_53.13 b,doll_71.78,uk
285,vmware,vmw,doll_52.98 b,doll_124.55,usa
286,enterprise products,epd,doll_52.95 b,doll_24.34,usa
287,keurig dr pepper,kdp,doll_52.88 b,doll_37.34,usa
288,public storage,psa,doll_52.86 b,doll_300.18,usa
289,mckesson,mck,doll_52.79 b,doll_372.31,usa
290,anglo american,aal.l,doll_52.69 b,doll_38.09,uk
291,shin-etsu chemical,4063.t,doll_52.63 b,doll_130.12,japan
292,tokyo electron,8035.t,doll_52.38 b,doll_336.35,japan
293,industrial bank,601166.ss,doll_52.35 b,doll_2.52,china
294,rosneft,rosn.me,doll_52.21 b,doll_5.50,russia
295,marathon petroleum,mpc,doll_51.99 b,doll_110.94,usa
296,general mills,gis,doll_51.83 b,doll_87.33,usa
297,sempra energy,sre,doll_51.47 b,doll_163.75,usa
298,itc,itc.ns,doll_51.27 b,doll_4.13,india
299,pernod ricard,ri.pa,doll_51.24 b,doll_199.45,france
300,london stock exchange,ls4c.f,doll_51.19 b,doll_93.12,uk
301,charter communications,chtr,doll_51.11 b,doll_328.34,usa
302,archer daniels midland (adm),adm,doll_50.97 b,doll_92.80,usa
303,o'reilly automotive,orly,doll_50.96 b,doll_814.50,usa
304,recruit,6098.t,doll_50.86 b,doll_31.71,japan
305,eni,e,doll_50.71 b,doll_28.79,italy
306,american electric power,aep,doll_50.61 b,doll_98.49,usa
307,synopsys,snps,doll_50.60 b,doll_332.03,usa
308,marriott international,mar,doll_50.43 b,doll_159.33,usa
309,dassault systèmes,dsy.pa,doll_50.01 b,doll_38.07,france
310,hitachi,6501.t,doll_49.68 b,doll_52.97,japan
311,edf (electricité de france),edf.pa,doll_49.64 b,doll_12.78,france
312,dominion energy,d,doll_49.38 b,doll_59.27,usa
313,kraft heinz,khc,doll_49.19 b,doll_40.16,usa
314,longi green energy technology,601012.ss,doll_49.16 b,doll_6.48,china
315,nintendo,7974.t,doll_49.02 b,doll_41.97,japan
316,santander,san,doll_48.87 b,doll_2.91,spain
317,bajaj finance,bajfinance.ns,doll_48.84 b,doll_80.68,india
318,deutsche post,dpw.de,doll_48.80 b,doll_40.07,germany
319,shopify,shop,doll_48.64 b,doll_38.24,canada
320,anz bank,anz.ax,doll_48.64 b,doll_16.25,australia
321,amphenol,aph,doll_48.63 b,doll_81.72,usa
322,saudi telecom company,7010.sr,doll_48.54 b,doll_9.72,s. arabia
323,palo alto networks,panw,doll_48.44 b,doll_160.23,usa
324,daikin,6367.t,doll_48.40 b,doll_165.39,japan
325,the hershey company,hsy,doll_48.40 b,doll_236.01,usa
326,brookfield asset management,bam,doll_48.34 b,doll_29.50,canada
327,bank rakyat indonesia,byra.f,doll_48.34 b,doll_0.29,indonesia
328,mitsubishi corporation,8058.t,doll_48.29 b,doll_32.99,japan
329,snowflake,snow,doll_47.98 b,doll_149.20,usa
330,netease,ntes,doll_47.93 b,doll_72.98,china
331,takeda pharmaceutical,tak,doll_47.91 b,doll_15.41,japan
332,phillips 66,psx,doll_47.86 b,doll_101.28,usa
333,dexcom,dxcm,doll_47.68 b,doll_121.49,usa
334,adani total gas,atgl.ns,doll_47.63 b,doll_43.31,india
335,adyen,adyen.as,doll_47.51 b,"doll_1,534",netherlands
336,southern copper,scco,doll_47.38 b,doll_61.29,usa
