,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
251,Live Nation,LYV,993.0,doll_16.42 B,USA,doll_71.14,0.32_perc,-34.51_perc,['Entertainment']
252,Itaúsa,ITSA3.SA,992.0,doll_16.43 B,Brazil,doll_1.73,0.67_perc,-1.70_perc,[]
253,W. P. Carey,WPC,991.0,doll_16.44 B,USA,doll_79.06,-0.74_perc,-0.28_perc,[]
254,,,,,,,,,
255,Ball Corporation,BALL,988.0,doll_16.47 B,USA,doll_52.49,-4.22_perc,-43.83_perc,['Packaging']
256,Cincinnati Financial,CINF,990.0,doll_16.47 B,USA,doll_104.80,-2.00_perc,-11.01_perc,['Insurance']
257,,,,,,,,,
258,Power Corporation of Canada,POW.TO,986.0,doll_16.49 B,Canada,doll_24.41,-0.95_perc,-26.28_perc,[]
259,First Solar,FSLR,985.0,doll_16.49 B,USA,doll_154.74,-1.73_perc,52.91_perc,[]
260,,,,,,,,,
261,Atmos Energy,ATO,983.0,doll_16.54 B,USA,doll_117.41,-0.03_perc,23.75_perc,['Utilitycompanies']
262,Novozymes,NZYM.VI,981.0,doll_16.57 B,Denmark,doll_60.49,0.14_perc,-21.46_perc,[]
263,,,,,,,,,
264,,,,,,,,,
265,Swedish Match,SWMA.ST,977.0,doll_16.64 B,Sweden,doll_10.94,0.13_perc,49.45_perc,['Tobacco']
266,J.M. Smucker Company,SJM,979.0,doll_16.60 B,USA,doll_155.68,1.39_perc,19.55_perc,['Food']
267,Magna International,MGA,976.0,doll_16.65 B,Canada,doll_58.04,-1.19_perc,-28.28_perc,['AutomotiveSuppliers']
268,Ems-Chemie,EMSN.SW,1014.0,doll_15.97 B,Switzerland,doll_683.10,-1.15_perc,-31.24_perc,['Chemicals']
269,,,,,,,,,
270,,,,,,,,,
271,,,,,,,,,
272,,,,,,,,,
273,,,,,,,,,
274,,,,,,,,,
275,Bunge,BG,1096.0,doll_14.30 B,USA,doll_95.51,0.04_perc,8.81_perc,['Food']
276,,,,,,,,,
277,Sodexo,SW.PA,1094.0,doll_14.32 B,France,doll_98.11,0.80_perc,12.80_perc,['Food']
278,,,,,,,,,
279,,,,,,,,,
280,Arca Continental,AC.MX,1090.0,doll_14.41 B,Mexico,doll_8.26,-1.39_perc,34.09_perc,['Beverages']
281,,,,,,,,,
282,,,,,,,,,
283,,,,,,,,,
284,Grasim Industries,GRASIM.NS,1087.0,doll_14.48 B,India,doll_22.00,0.24_perc,-1.61_perc,[]
285,Shinhan Financial Group,SHG,1086.0,doll_14.48 B,South Korea,doll_28.24,-1.33_perc,-11.39_perc,[]
286,UCB,UCB.VI,1085.0,doll_14.48 B,Belgium,doll_76.27,0.00_perc,-31.71_perc,[]
287,AerCap,AER,1084.0,doll_14.50 B,Ireland,doll_58.99,-1.68_perc,-1.45_perc,['Aircraftleasing']
288,Hyundai Mobis,012330.KS,1083.0,doll_14.50 B,South Korea,doll_156.17,-0.72_perc,-24.13_perc,[]
289,,,,,,,,,
290,,,,,,,,,
291,,,,,,,,,
292,,,,,,,,,
293,,,,,,,,,
294,Avantor,AVTR,1075.0,doll_14.70 B,USA,doll_21.81,0.93_perc,-44.80_perc,['Chemicals']
295,,,,,,,,,
296,,,,,,,,,
297,,,,,,,,,
298,,,,,,,,,
299,Liberty Broadband,LBRDA,1200.0,doll_12.80 B,USA,doll_85.72,1.04_perc,-44.77_perc,[]
300,,,,,,,,,
301,Siemens Gamesa,GCTAF,1198.0,doll_12.84 B,Spain,doll_18.53,1.28_perc,-24.95_perc,[]
302,Britannia Industries,BRITANNIA.NS,1197.0,doll_12.84 B,India,doll_53.34,0.03_perc,15.76_perc,[]
303,International Paper,IP,1196.0,doll_12.85 B,USA,doll_36.15,-0.74_perc,-22.51_perc,['Pulpandpaper']
304,,,,,,,,,
305,,,,,,,,,
306,,,,,,,,,
307,TDK,6762.T,1191.0,doll_12.91 B,Japan,doll_34.08,-1.37_perc,-13.22_perc,['Electronics']
308,Telenor,TEL.OL,1193.0,doll_12.90 B,Norway,doll_9.22,-0.35_perc,-37.91_perc,['Telecommunication']
309,,,,,,,,,
310,CK Infrastructure,1038.HK,1188.0,doll_12.94 B,Hong Kong,doll_5.14,-0.37_perc,-12.59_perc,['Infrastructure']
311,,,,,,,,,
312,,,,,,,,,
313,,,,,,,,,
314,Carlisle Companies,CSL,1185.0,doll_12.97 B,USA,doll_250.96,-0.43_perc,3.80_perc,[]
315,Secom,9735.T,1182.0,doll_13.03 B,Japan,doll_60.35,-0.06_perc,-10.86_perc,[]
316,Dabur,DABUR.NS,1184.0,doll_12.99 B,India,doll_7.34,0.36_perc,-3.29_perc,['Consumergoods']
317,,,,,,,,,
318,Grupo Elektra,XEKT.MC,1183.0,doll_13.00 B,Mexico,doll_51.49,-1.21_perc,-22.02_perc,['Retail']
319,Polyus,PLZL.ME,1178.0,doll_13.04 B,Russia,doll_95.09,-14.24_perc,-48.58_perc,[]
320,Everest Re,RE,1180.0,doll_13.03 B,BM,doll_332.95,-1.13_perc,22.91_perc,['Insurance']
321,QBE Insurance,QBE.AX,1179.0,doll_13.04 B,Australia,doll_8.79,-1.44_perc,4.64_perc,['Insurance']
322,AECOM,ACM,1272.0,doll_11.77 B,USA,doll_84.95,-0.34_perc,16.56_perc,['Engineering']
323,,,,,,,,,
324,Albertsons,ACI,1298.0,doll_11.47 B,USA,doll_21.45,1.80_perc,-40.15_perc,['Retail']
325,Croda International,CRDA.L,1300.0,doll_11.44 B,UK,doll_81.73,-1.73_perc,-38.75_perc,['Chemicals']
326,The Toro Company,TTC,1296.0,doll_11.48 B,USA,doll_110.19,0.37_perc,7.43_perc,[]
327,,,,,,,,,
328,,,,,,,,,
329,,,,,,,,,
330,,,,,,,,,
331,Mineral Resources,MIN.AX,1293.0,doll_11.50 B,Australia,doll_59.10,-2.53_perc,88.52_perc,['Mining']
332,,,,,,,,,
333,,,,,,,,,
334,GBL,GBLB.VI,1289.0,doll_11.55 B,Belgium,doll_81.02,0.00_perc,-27.33_perc,[]
335,,,,,,,,,
