"Name","Master Cap","Country","Rank","Share Price"
"Waste Management","$62.41 B","USA","#242","$152.06"
"Enel","$62.41 B","Italy","#243","$6.14"
"Atlas Copco","$62.30 B","Sweden","#244","$11.29"
"PNC Financial Services","$62.10 B","USA","#245","$154.87"
"Nongfu Spring","$61.85 B","China","#246","$5.50"
"Eaton","$61.84 B","Ireland","#247","$155.51"
"Mindray","$61.71 B","China","#248","$50.90"
"Charter Communications","$61.66 B","USA","#249","$396.11"
"Scotiabank","$61.55 B","Canada","#250","$51.67"
"China Telecom","$61.42 B","China","#251","$0.48"
"Blackstone Group","$61.37 B","USA","#252","$85.01"
"Housing Development Finance Corporation","$61.06 B","India","#253","$33.43"
"Occidental Petroleum","$60.81 B","USA","#254","$66.91"
"Emirates Telecom (Etisalat Group)","$60.71 B","United Arab Emirates","#255","$6.98"
"Intercontinental Exchange","$60.59 B","USA","#256","$108.48"
"Uber","$60.55 B","USA","#257","$30.36"
"Siemens Healthineers","$60.53 B","Germany","#258","$52.28"
"Bayer","$60.15 B","Germany","#259","$60.75"
"Anglo American","$60.05 B","UK","#260","$43.57"
"Safran","$59.94 B","France","#261","$140.55"
"Hong Kong Exchanges & Clearing","$59.81 B","Hong Kong","#262","$47.18"
"KKR & Co.","$59.68 B","USA","#263","$53.18"
"Fast Retailing","$59.68 B","Japan","#264","$584.03"
"Midea","$59.60 B","China","#265","$8.52"
"Investor AB","$59.32 B","Sweden","#266","$19.41"
"Marathon Petroleum","$58.92 B","USA","#267","$125.72"
"Norfolk Southern","$58.72 B","USA","#268","$253.66"
"Moody's","$58.71 B","USA","#269","$320.47"
"KLA","$58.64 B","USA","#270","$413.85"
"NetEase","$58.51 B","China","#271","$89.09"
"Westpac Banking","$58.46 B","Australia","#272","$16.72"
"Sumitomo Mitsui Financial Group","$58.38 B","Japan","#273","$8.58"
"Southern Copper","$58.02 B","USA","#274","$75.05"
"Activision Blizzard","$57.78 B","USA","#275","$73.84"
"Verbund AG","$57.61 B","","#276","$82.59"
"Pioneer Natural Resources","$56.88 B","USA","#277","$239.40"
"The Saudi National Bank","$56.81 B","Saudi Arabia","#278","$12.80"
"Heineken","$56.73 B","Netherlands","#279","$98.57"
"Thomson Reuters","$56.55 B","Canada","#280","$117.97"
