valuetoday-annual_net_income_usd,forbes-assets,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,companiesmarketcap-pricecap,forbes-sales,disfold-market_cap,globaldata-market_cap,cbinsights-valuation,forbes-market_value,companiesmarketcap-share_price,ft-revenue_2020_eu,valuetoday-annual_revenue_usd,forbes-profit,ft-revenue_2017_eu,companiesmarketcap-earnings
doll_0.007465 b,doll_204.46 b,0,0,doll_1.0 b,0,doll_960.28 b,doll_110.39 b,doll_15.806000000000001 b,doll_1.5 b,doll_1 b,doll_103.98 b,doll_94.13,doll_0.00213 b,doll_0.029453 b,doll_10.15 b,"103,240",0
doll_0.01986 b,doll_192.59 b,0,0,doll_1.0 b,0,doll_1901.0 b,doll_86.85 b,doll_19.996000000000002 b,doll_13.4 b,doll_1 b,doll_228.63 b,doll_255.02,doll_0.06422 b,doll_0.07901999999999999 b,doll_7.81 b,"3,188,715",0
doll_0.021547999999999998 b,doll_1350.32 b,0,0,doll_1.0 b,0,doll_1303.0 b,doll_60.53 b,doll_16.319 b,doll_3.0 b,doll_1 b,doll_68.59 b,doll_100.83,doll_0.00475 b,doll_0.078492 b,doll_12.82 b,"238,216",0
doll_0.004169 b,doll_260.48 b,0,0,doll_1.0 b,0,doll_1938.0 b,doll_89.9 b,doll_16.405 b,doll_2.1 b,doll_1 b,doll_108.84 b,doll_8.81,doll_0.01166 b,doll_0.025370999999999998 b,doll_7.99 b,"585,280",0
doll_0.007598 b,doll_1814.78 b,0,0,doll_1.0 b,0,doll_125.25 b,doll_78.22 b,doll_16.431 b,doll_1.4 b,doll_1 b,doll_58.21 b,doll_68.59,doll_0.00744 b,doll_0.087614 b,doll_9.6 b,"376,519",0
doll_0.001444 b,doll_3176.37 b,0,0,doll_1.0 b,0,doll_126.75 b,doll_48.28 b,doll_1050.0 b,doll_0.07659999999999999 b,doll_1 b,doll_75.75 b,doll_68.20,doll_0.00401 b,doll_0.026492 b,doll_11.29 b,"203,950",0
doll_0.02206 b,doll_139.35 b,0,0,doll_1.0 b,0,doll_125.66 b,doll_61.47 b,doll_16.553 b,0,doll_1 b,doll_494.6 b,doll_523.60,doll_0.00514 b,doll_0.13361 b,doll_23.63 b,"270,090",0
doll_0.01416 b,doll_257.04 b,0,0,doll_1.0 b,0,doll_128.87 b,doll_136.34 b,doll_16.607 b,doll_3.5 b,doll_1 b,doll_60.8 b,doll_380.58,doll_0.0069500000000000004 b,doll_0.11638 b,doll_17.94 b,"369,000",0
doll_0.044469 b,doll_142.5 b,0,0,doll_1.0 b,0,doll_129.63 b,doll_75.9 b,doll_15.386000000000001 b,doll_5.8 b,doll_1 b,doll_346.8 b,doll_0.74,doll_0.009789999999999998 b,doll_0.12093000000000001 b,doll_14.23 b,"535,070",0
doll_0.014566 b,doll_1830.4 b,0,0,doll_1.0 b,0,doll_130.04 b,doll_76.0 b,doll_17.056 b,doll_0.6239 b,doll_1 b,doll_52.82 b,doll_496.23,doll_0.01537 b,doll_0.056414 b,doll_12.98 b,"858,482",0
doll_0.019870000000000002 b,doll_120.22 b,0,0,doll_1.0 b,0,doll_129.91 b,doll_79.62 b,doll_17.128 b,doll_0.10729999999999999 b,doll_1 b,doll_386.53 b,doll_214.84,doll_0.03594 b,doll_0.16886 b,doll_14.6 b,"2,007,000",0
doll_0.01289 b,doll_277.28 b,0,0,doll_1.0 b,0,doll_131.5 b,doll_131.48 b,doll_17.225 b,doll_5.1 b,doll_1 b,doll_55.98 b,doll_65.60,doll_0.00663 b,doll_0.09728700000000001 b,doll_14.64 b,"375,323",0
doll_0.004797 b,doll_174.68 b,0,0,doll_1.0 b,0,doll_131.15 b,doll_83.89 b,doll_17.588 b,doll_0.5739 b,doll_1 b,doll_83.98 b,doll_51.50,doll_0.00639 b,doll_0.024002 b,doll_19.77 b,"362,320",0
doll_0.002318 b,doll_340.56 b,0,0,doll_1.0 b,0,doll_132.01 b,doll_128.59 b,doll_18.419 b,doll_1.3 b,doll_1 b,doll_91.72 b,doll_214.73,doll_0.01418 b,doll_0.018969999999999997 b,doll_4.93 b,"805,870",0
doll_0.007545 b,doll_146.53 b,0,0,doll_1.0 b,0,doll_133.25 b,doll_56.2 b,doll_1181.0 b,doll_1.6 b,doll_1 b,doll_273.76 b,doll_148.67,doll_0.05767 b,doll_0.023222 b,doll_11.46 b,"3,306,795",0
doll_0.01779 b,doll_135.88 b,0,0,doll_1.0 b,0,doll_133.48 b,doll_51.63 b,doll_1183.0 b,doll_0.4106 b,doll_1 b,doll_200.73 b,doll_21.57,doll_0.10925 b,doll_0.048553 b,doll_24.14 b,"6,287,460",0
doll_0.024021 b,doll_244.72 b,0,0,doll_1.0 b,0,doll_133.26 b,doll_127.0 b,doll_18.657 b,doll_1.1 b,doll_1 b,doll_57.89 b,doll_112.03,doll_0.00221 b,doll_0.052877 b,doll_10.02 b,"128,176",0
doll_0.00904 b,doll_147.12 b,0,0,doll_1.0 b,0,doll_134.78 b,doll_88.37 b,doll_1205.0 b,0,doll_1 b,doll_117.87 b,doll_102.58,doll_0.004 b,doll_0.03356 b,doll_8.57 b,"255,062",0
doll_0.005855000000000001 b,doll_769.88 b,0,0,doll_1.0 b,0,doll_134.49 b,doll_130.5 b,doll_19.05 b,doll_1.3 b,doll_1 b,doll_43.02 b,doll_445.61,doll_0.0051600000000000005 b,doll_0.018996 b,doll_7.87 b,"330,763",0
doll_0.112 b,doll_101.32 b,0,0,doll_1.0 b,0,doll_135.84 b,doll_68.69 b,doll_19.380000000000003 b,doll_1.4 b,doll_1 b,doll_308.14 b,doll_751.90,doll_0.00183 b,doll_0.037417 b,doll_15.24 b,"107,492",0
doll_-0.02168 b,doll_334.88 b,0,0,doll_1.0 b,0,doll_135.55 b,doll_45.16 b,doll_19.957 b,doll_0.18280000000000002 b,doll_1 b,doll_120.19 b,doll_19.02,doll_0.00221 b,doll_0.18064 b,doll_7.43 b,"131,164",0
doll_0.021390999999999997 b,doll_759.71 b,0,0,doll_1.0 b,0,doll_139.63 b,doll_71.08 b,doll_20.000999999999998 b,doll_0.5619 b,doll_1 b,doll_57.39 b,doll_99.64,doll_0.020149999999999998 b,doll_0.045066 b,doll_6.55 b,"1,199,580",0
doll_0.006522999999999999 b,doll_105.72 b,0,0,doll_1.0 b,0,doll_136.36 b,doll_65.55 b,doll_20.172 b,doll_1.4 b,doll_1 b,doll_178.07 b,doll_55.83,doll_0.04081 b,doll_0.021803999999999997 b,doll_16.92 b,"2,474,341",0
doll_0.007769 b,doll_71.88 b,0,0,doll_1.0 b,0,doll_140.86 b,doll_151.16 b,doll_15.384 b,doll_4.3 b,doll_1 b,doll_310.13 b,doll_125.66,doll_0.0044599999999999996 b,doll_0.018344000000000003 b,doll_16.43 b,"270,750",0
doll_0.008409000000000002 b,doll_196.0 b,0,0,doll_1.0 b,0,doll_142.58 b,doll_46.29 b,doll_18.895 b,doll_22.1 b,doll_1 b,doll_136.72 b,doll_320.41,doll_0.01176 b,doll_0.09625 b,doll_7.86 b,"742,746",0
doll_0.003573 b,doll_164.22 b,0,0,doll_1.0 b,0,doll_140.4 b,doll_76.46 b,doll_15.836000000000002 b,doll_4.9 b,doll_1 b,doll_102.23 b,doll_0.41,doll_0.004900000000000001 b,doll_0.017068999999999997 b,doll_6.55 b,"314,150",0
doll_0.003826 b,doll_195.33 b,0,0,doll_1.0 b,0,doll_144.55 b,doll_176.61 b,doll_12.677 b,doll_1.8 b,doll_1 b,doll_44.26 b,doll_144.56,doll_0.00387 b,doll_0.030793 b,doll_16.78 b,"249,176",0
doll_0.002695 b,doll_410.15 b,0,0,doll_1.0 b,0,doll_147.29 b,doll_69.58 b,doll_12.828999999999999 b,doll_1.9 b,doll_1 b,doll_69.22 b,doll_219.08,doll_0.00484 b,doll_0.009898 b,doll_5.21 b,"320,411",0
doll_0.005542 b,doll_219.41 b,0,0,doll_1.0 b,0,doll_148.49 b,doll_111.4 b,doll_13.031 b,doll_1.2 b,doll_1 b,doll_48.79 b,doll_101.01,doll_0.01002 b,doll_0.034392000000000006 b,doll_11.98 b,"672,821",0
doll_0.015964 b,doll_102.9 b,0,0,doll_1.0 b,0,doll_149.18 b,doll_63.46 b,doll_11.973 b,doll_3.8 b,doll_1 b,doll_117.78 b,doll_6.59,doll_2.12007 b,doll_0.20229 b,doll_21.06 b,"145,398,192",0
doll_0.009109 b,doll_391.0 b,0,0,doll_1.0 b,0,doll_151.61 b,doll_78.82 b,doll_13.392 b,0,doll_1 b,doll_80.94 b,doll_60.61,doll_0.00564 b,doll_0.031405 b,doll_3.97 b,"387,161",0
doll_0.006437 b,doll_151.02 b,0,0,doll_1.0 b,0,doll_152.24 b,doll_174.27 b,doll_12.145 b,doll_2.0 b,doll_1 b,doll_81.2 b,doll_122.18,doll_0.0035 b,doll_0.072397 b,doll_5.37 b,"245,000",0
doll_0.003162 b,doll_937.58 b,0,0,doll_1.0 b,0,doll_153.33 b,doll_70.93 b,doll_85.425 b,doll_1.7 b,doll_1 b,doll_43.6 b,doll_0.78,doll_0.00729 b,doll_0.016434 b,doll_7.61 b,"518,613",0
doll_0.012230000000000001 b,doll_92.38 b,0,0,doll_1.0 b,0,doll_152.34 b,doll_79.47 b,doll_13.527000000000001 b,doll_1.6 b,doll_1 b,doll_238.13 b,doll_285.51,doll_0.00369 b,doll_0.035376 b,doll_7.62 b,"262,421",0
