,name,industry,headquarters,founded,area_served
237,gopro,technology videography consumer electronics,"tempe, arizona",2002,worldwide
238,harley-davidson,technology videography consumer electronics,"milwaukee, wisconsin, u.s.",1903,
239,hermès,luxury goods,rue du faubourg saint-honoré,1837,
240,haier,home appliances consumer electronics,rue du faubourg saint-honoré,1984,
241,harrods,retail,brompton road,1849,
242,haribo,confectionery,brompton road,0,
243,hard rock cafe,"casual dining restaurants, casinos, hotels",davie,0,
244,halliburton,fossil fuel,"houston, texas",1919,worldwide
245,hankook tire,auto and truck parts,bundang-gu,0,
246,house foods,food,bundang-gu,0,worldwide
247,hartwall,food,bundang-gu,0,
248,h&m,retail,bundang-gu,1947,worldwide
249,hasbro,toys and entertainment,bundang-gu,1923,worldwide
250,hearst communications,media,hearst tower,0,
251,henkel,fmcg,düsseldorf,1876,
252,hewlett packard enterprise,information technology,düsseldorf,0,worldwide
253,hilti,manufacturing,schaan,1941,
254,hisamitsu pharmaceutical,pharmaceuticals,"tosu, saga",1847,worldwide
255,hitachi,conglomerate,"tosu, saga",1910,worldwide
256,honda,manufacturing,"tosu, saga",0,worldwide
257,honeywell,conglomerate,"charlotte, north carolina, u.s.",1906,worldwide
258,hp inc.,computer hardware,"charlotte, north carolina, u.s.",0,worldwide
259,hsbc,financial services,8 canada square,0,worldwide
260,htc,telecommunications equipment,8 canada square,0,worldwide
261,huayi brothers,entertainment,8 canada square,1994,china
262,huawei,consumer electronics telecom equipment networking equipment semiconductors artificial intelligence automation cloud computing internet of things,8 canada square,0,worldwide (exempting united states since 2019)
263,huntington bancshares,banking,"columbus, ohio",1866,"colorado, indiana, kentucky, minnesota, michigan, ohio, pennsylvania, west virginia, illinois, and wisconsin"
264,huntington ingalls industries,"defense, shipbuilding, defense technologies","columbus, ohio",0,worldwide
265,huntsman corporation,chemicals,"the woodlands, texas, u.s.",1970,
266,hytera,telecommunications,shenzhen,1993,worldwide
267,hmd global,consumer electronics,espoo,0,worldwide
268,hyundai motor company,automotive,espoo,0,worldwide
269,ibm,information technology,espoo,0,177 countries[2]
270,nex group,financial services,espoo,1999,
271,icici bank,financial services,espoo,0,worldwide
272,ijm corporation,construction property infrastructure plantations industry,espoo,1983,
273,indeed,construction property infrastructure plantations industry,"austin, texas",0,
274,intracom holdings,conglomerate,"austin, texas",1977,europe middle east & africa united states south east asia
275,ikea,retail,,0,europe middle east north africa east asia india southeast asia oceania north america south america
276,illinois tool works,manufacturing,"glenview, illinois",1912,worldwide
277,infosys,information technology consulting outsourcing,"glenview, illinois",0,worldwide
278,ing group,financial services,amsterdam,1991,"europe, asia, oceania, north america, south america"
279,ingersoll rand,diversified machinery,amsterdam,1859,
280,intel,semiconductors computer hardware autonomous cars automation artificial intelligence,amsterdam,0,worldwide
281,intesa sanpaolo,financial services,grattacielo intesa sanpaolo,2007,
282,isuzu,manufacturing,grattacielo intesa sanpaolo,0,worldwide
283,jelly belly,confections,"fairfield, california",1869,worldwide
284,jim beam,confections,"fairfield, california",1869,
285,the j.m. smucker company,food beverage,"fairfield, california",1897,
286,jardine matheson,conglomerate,jardine house,0,worldwide
287,jg summit holdings,various,robinsons equitable tower,1990,philippines
288,johnnie walker,various,robinsons equitable tower,1990,
289,johnson & johnson,pharmaceutical medical technology consumer healthcare,"new brunswick, new jersey",0,worldwide
290,jollibee foods corporation,restaurants,ortigas center,0,"east asia, southeast asia, middle east, north america, western europe"
291,jpmorgan chase,financial services,383 madison avenue,0,worldwide
292,jvckenwood,electronics,383 madison avenue,0,
293,jxd,consumer electronics,383 madison avenue,0,"north america, south america, europe, asia, middle east, africa, oceania"
294,kbc group,financial services,brussels,1935,
295,kawasaki heavy industries,heavy equipment automotive defense,ch??,0,
296,kappa (brand),sports equipment textile,ch??,1978,worldwide
297,kellogg's,food processing,ch??,0,worldwide
298,kikkoman,food,ch??,1603,
299,kirin company,beverage,ch??,1888,
300,kimberly-clark,personal care,irving,1872,worldwide
301,kingston technology,storage devices,irving,1987,worldwide
302,klim type foundry,storage devices,irving,1987,
303,knorr (brand),storage devices,irving,1987,
304,komatsu limited,"heavy equipment (construction, mining and forestry), defense technology",tokyo,0,
305,konami,video games entertainment,tokyo,0,worldwide
306,korg,electronics,inagi,1962,
307,keumyoung group,"music, entertainment, karaoke",seoul,1983,south korea
308,kpmg,professional services,,1987,worldwide
309,kraft heinz,food,,0,worldwide
310,lactalis,dairy products,,0,
311,lam research,semiconductors,"fremont, california",1980,
312,lagardère group,"publishing, travel retail, live entertainment, media",paris,1992,
313,larsen & toubro,conglomerate,ballard estate,0,worldwide
314,latam airlines group,aviation,santiago,0,
315,lazada,e-commerce,santiago,0,"singapore, malaysia, indonesia, thailand, vietnam, and the philippines"
316,levi strauss & co.,textile,san francisco,0,worldwide
317,lear corporation,manufacturing,san francisco,0,international
318,lindt,confectionery,san francisco,1845,
319,lenovo,computer hardware electronics,"hong kong, china[1] (registered office) beijing, china[2][3] (operational headquarters) lorong chuan, singapore[4] (operational centre) morrisville, north carolina, united states[5] (operational headquarters)",0,worldwide
320,leeco,conglomerate,"hong kong, china[1] (registered office) beijing, china[2][3] (operational headquarters) lorong chuan, singapore[4] (operational centre) morrisville, north carolina, united states[5] (operational headquarters)",0,"worldwide (china, india, usa and russia mainly)"
321,leonardo s.p.a.,aerospace industry defence industry space industry,rome,1948,
322,leoni ag,"manufacturing, engineering",nuremberg,1917,
323,lexmark,"manufacturing, engineering",lexington,0,worldwide
324,lg electronics,consumer electronics home appliances computer hardwares,yeouido-dong,0,worldwide
325,linde plc,chemical industry,dublin,0,
326,linpus linux,chemical industry,dublin,0,
327,lionbridge,language localization software testing e-learning,"waltham, massachusetts",0,
328,liugong,conglomerate,"waltham, massachusetts",1958,
329,lockheed martin,advanced technologies information security aerospace defense,"bethesda, maryland",0,worldwide
330,l'oréal,consumer goods,"bethesda, maryland",0,worldwide
331,lotte corporation,conglomerate,songpa district,0,
332,louisa coffee,coffee shop,songpa district,2006,worldwide
333,lufthansa,coffee shop,cologne,0,
334,lukoil,oil and gas,cologne,0,"europe, kazakhstan, uzbekistan, iraq, egypt, ghana, nigeria, cameroon, united states, mexico"
335,lupin limited,pharmaceuticals,cologne,1968,
336,luxgen,automotive,miaoli county,2009,worldwide
337,luxottica,"eyewear manufacturing, luxury, eyewear manufacturing and wholesale distribution, eyewear retailing",miaoli county,1961,worldwide
338,lyondellbasell,chemicals,miaoli county,2007,
339,mg cars,sport cars,miaoli county,0,
340,macy's,retail,miaoli county,0,
341,mahindra group,conglomerate,mumbai,0,worldwide
342,"mars, incorporated",food veterinary services,,1911,worldwide
343,maton,musical instruments,,1946,worldwide
344,marshall amplification,amplification musical instrument manufacturing,,0,"united kingdom, canada, australia, europe, asia, united states"
345,mark simonson,amplification musical instrument manufacturing,,0,
346,martini & rossi,alcoholic beverages,,0,
347,maersk,freight transport,copenhagen,0,
348,mama sita's holding company,food processing,san juan,1980,
349,mamee double-decker,"food processing, snack, dairy products","ayer keroh, malacca",1971,
350,mattel,toys and entertainment,,0,worldwide
351,maxxis,toys and entertainment,yuanlin,0,worldwide
352,mccain foods,frozen food,yuanlin,0,worldwide
353,mcdonald's,"restaurants, real estate[1][2]",yuanlin,0,worldwide (119+ countries)
354,mediatek,semiconductors gpus graphics cards consumer electronics computer hardware,yuanlin,0,worldwide
355,meiji holdings,food pharmaceutical healthcare,yuanlin,0,
356,meitu,consumer electronics,yuanlin,2008,
357,meizu,consumer electronics,yuanlin,2003,"china, india, turkey, russia, israel, indonesia, malaysia, philippines"
358,melstacorp,beverages diversified financial services it/bpo manufacturing health telecommunications plantation power hospitality logistics media,yuanlin,2003,
359,mercedes-benz,automotive,yuanlin,0,worldwide
360,meta platforms,social media social network advertising consumer electronics virtual reality,"menlo park, california",0,worldwide
361,michaels,retail,irving,1973,
362,michelin,auto and truck parts,irving,0,worldwide
363,micro-star international,computer hardware electronics,zhonghe,0,worldwide
364,micromax informatics,electronics consumer electronics computer hardwares home appliances,zhonghe,0,worldwide
365,microsoft,information technology,one microsoft way,0,worldwide
366,mizuno,sports equipment,suminoe,0,
367,merck millipore,life sciences biotech,suminoe,0,
368,miniso,variety store,suminoe,0,worldwide
369,mindtree,information technology consulting outsourcing,global village tech park,0,worldwide
370,mitsubishi electric,electrical equipment electronics,tokyo building,0,worldwide
371,mobil,electrical equipment electronics,tokyo building,1911,worldwide
372,monotype imaging,pre-press and pre-media services machinery industry and plant construction,tokyo building,1887,
373,monotype imaging,pre-press and pre-media services machinery industry and plant construction,tokyo building,1887,
374,morinaga & company,food,tokyo building,0,worldwide
375,mustek systems,food,hsinchu,0,worldwide
376,nando's,casual dining/chain restaurant,hsinchu,1987,
377,bandai namco holdings,entertainment,"minato, tokyo",0,worldwide
378,nbcuniversal,media entertainment,30 rockefeller plaza,0,worldwide
379,new balance,footwear,"boston, massachusetts",1906,
380,newell brands,consumer goods,"boston, massachusetts",1903,worldwide
381,nestlé,food processing,vevey,1866,worldwide
382,nec,information technology electronics,vevey,0,worldwide
383,netapp,cloud computing storage device,vevey,1992,worldwide
384,"nike, inc.",apparel accessories sports equipment,"beaverton, oregon",0,worldwide
385,nivea,apparel accessories sports equipment,"beaverton, oregon",0,
386,nikon,consumer electronics,"minato, tokyo",0,worldwide
387,nintendo,video games electronics,"minami-ku, kyoto",0,worldwide
388,nissan,automotive,"minami-ku, kyoto",0,worldwide
389,nokia,telecommunications technology electronics,"minami-ku, kyoto",0,worldwide
390,norsk hydro,metals,oslo,1905,
391,novartis,pharmaceuticals,,0,worldwide
392,novo nordisk,"pharmaceuticals, health care",bagsværd,0,
393,olympus corporation,electronics,bagsværd,0,worldwide
394,oknoplast,"windows, doors, roller shutters, aluminium",bagsværd,1994,worldwide
395,ooredoo,telecommunications,bagsværd,1987,
396,otobi,telecommunications,dhaka,1975,
397,officemax,retail,,0,united states mexico (since 1996)
398,oracle corporation,enterprise software business software cloud computing computer hardware consulting,,0,worldwide
399,orange s.a.,telecommunications,issy-les-moulineaux,0,worldwide
400,ornua,food retail,dublin,1961,"asia, europe, middle east, north america, africa, australasia"
401,pandora (jewelry),jewellery retail,dublin,1982,worldwide
402,panasonic,conglomerate,"kadoma, osaka",0,worldwide (except russia since 2022)
403,paper mate,stationery,oak brook,1940,worldwide
404,paramount global,media entertainment,one astor plaza,0,worldwide
405,parrot sa,wireless / uav,one astor plaza,1994,
406,puma (brand),textile footwear,herzogenaurach,1948,worldwide
407,pepper lunch,restaurants,tokyo,1994,
408,pepsico,beverages food processing,"harrison, new york",0,worldwide
409,perficient,consulting,"st. louis, missouri",1997,worldwide
410,petronas,oil and gas,petronas towers,0,worldwide
411,pernod ricard,alcohol,petronas towers,1975,worldwide
412,penguin random house,alcohol,random house tower,0,worldwide
413,petrovietnam,oil and gas industry,random house tower,1977,
414,pfizer,pharmaceutical biotechnology,new york city,1849,worldwide
415,philips,conglomerate,amsterdam,0,worldwide
416,ping an bank,financial services,amsterdam,0,worldwide
417,ping an insurance,financial services,amsterdam,1988,worldwide
418,pioneer corporation,consumer electronics,bunky?,0,
419,pirelli,automotive,bunky?,1872,worldwide[1]
420,pilot (pen company),stationery,bunky?,1918,worldwide
421,playmobil,stationery,bunky?,1918,
422,pladis,stationery,london,2016,
423,pldt,telecommunications,london,0,worldwide
424,pollo campero,restaurants,"dallas, texas",1971,"guatemala, united states (including puerto rico), bahrain, ecuador, el salvador, honduras, italy, nicaragua, mexico, spain, belize, haiti, dominican republic, montserrat, british virgin islands, africa, brazil, canada"
425,procter & gamble,consumer goods,"dallas, texas",0,worldwide (except north korea)
426,proton holdings,automotive,"dallas, texas",0,"worldwide, mainly malaysia"
427,prada,fashion,,1913,worldwide
428,prudential financial,insurance retirement investment,,1875,
429,pvh corp.,clothing,,1881,worldwide
430,pwc,professional services,london,1998,worldwide
431,qnb group,banking and financial services,london,0,worldwide[2]
432,qantas,banking and financial services,"mascot, new south wales",0,
433,qualcomm,telecoms equipments semiconductors,"mascot, new south wales",0,worldwide
434,qatarenergy,oil and gas,"mascot, new south wales",1974,
435,rabobank,financial services,rabotoren,1895,worldwide
436,ranpak,"recyclable packing, packaging, packaging machinery",rabotoren,1972,
437,reckitt,consumer goods,slough,1814,
438,recruit (company),published media,slough,1960,
439,red bull,published media,slough,1960,
440,iwg plc,industrial services,,0,
441,reliance industries,conglomerate,,0,worldwide
442,renault,automotive,,0,worldwide; 128 countries[1]
443,repsol,petroleum,repsol campus,1987,worldwide
444,ricoh,"electronics, imaging","ota, tokyo",0,worldwide
445,robert bosch gmbh,conglomerate,gerlingen,0,worldwide
446,roland corporation,electronics,gerlingen,0,
447,rohde & schwarz,electronics,munich,0,
448,royal bank of canada,financial services,montreal,1864,
449,shell plc,energy petroleum,shell centre,0,worldwide
450,rpg group,conglomerate,worli,0,
451,rusal,aluminium,moscow,2007,
452,ssangyong motor,automotive,pyeongtaek,0,worldwide
453,saab ab,aerospace and defence,stockholm,1937,worldwide
454,saks fifth avenue,retail,stockholm,1867,
455,samsung electronics,electronics semiconductors information technology artificial intelligence automation home appliances medical devices internet of things robotics,samsung digital city,0,worldwide
456,samsonite,electronics semiconductors information technology artificial intelligence automation home appliances medical devices internet of things robotics,luxembourg city,0,
457,newell custom writing instruments,writing implements,luxembourg city,1857,worldwide
458,san miguel corporation,conglomerate,san miguel avenue,0,"worldwide worldwide philippines philippines, united states, europe, japan, australia philippines and malaysia philippines philippines"
459,sandisk,storage devices,san miguel avenue,1988,
460,sandvik,engineering,stockholm,1862,
461,sanrio,wholesale[1],stockholm,0,
462,sanofi,pharmaceuticals biotechnology healthcare,paris,1973,worldwide
463,saudi aramco,oil and gas,dhahran,0,global
464,sap,enterprise software business software cloud computing consulting,dhahran,0,worldwide
465,publicis sapient,"consumer products energy & commodities financial services health public sector retail telecommunications, media & technology transportation & mobility travel & hospitality",dhahran,1990,
466,sas group,aviation,sas frösundavik office building,1946,europe
467,sasken technologies,telecommunications technology data centers product engineering semiconductor industrials,"bangalore, karnataka",1989,worldwide
468,sasol,oil and gas chemical nuclear coal tar,"bangalore, karnataka",1950,
469,schlumberger,oilfield services and equipment,,1926,worldwide
