revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
,,,eodh sa,30,,,,2003,,105.35,doll_2.6 m,,,,aerospace & defence,,765.91,greece,20,,
,,,multix solutions,5,,,,2015,,105.23,doll_11.59 m,,,,health,,764.38,italy,2,,
,,,b2digit,12,,,,2016,,105.19,doll_1.98 m,,,,technology,,763.88,france,2,,
,,,a million ads,47,,,,2015,,105.03,doll_4.88 m,,,,advertising,,761.93,uk,5,,
,,,woodwatch,25,,,,2013,,104.76,doll_5.59 m,,,,retail,,758.51,the netherlands,5,,
,,,fenãªtres du doubs,12,,,,2010,,104.36,doll_2.24 m,,,,construction,,753.42,france,3,,
,,,koesea,65,,,,2016,,104.08,doll_3.4 m,,,,construction,,750.00,germany,3,,
,,,podium advanced technologies,38,,,,2011,,103.68,doll_18.03 m,,,,automobiles,,744.97,italy,14,,
,,,spegra,166,,,,2010,,103.61,doll_17.06 m,,,,construction,,744.07,croatia,109,,
,,,gpainnova,117,,,,2013,,103.25,doll_15.25 m,,,,industrial goods,,739.66,spain,18,,
,,,soluzione tasse,23,,,,2016,,102.97,doll_18.94 m,,,,management consulting,,736.20,italy,4,,
,,,velocultour,15,,,,2016,,102.58,doll_2.46 m,,,,retail,,731.33,germany,2,,
,,,butorpiac.hu,7,,,,2011,,102.55,doll_2.18 m,,,,ecommerce,,731.00,hungary,2,,
,,,success solutions,44,,,,2016,,102.26,doll_2.63 m,,,,technology,,727.39,czech republic,8,,
,,,bug bite thing europe,1,,,,1989,,101.84,doll_1.58 m,,,,health,,722.29,denmark,1,,
,,,dexatel,24,,,,2015,,101.78,doll_11.09 m,,,,technology,,721.49,estonia,4,,
,,,gemco,6,,,,2015,,101.54,doll_3.94 m,,,,construction,,718.65,italy,1,,
,,,lyonnaise de construction et renovation,none,,,,2015,,101.44,doll_6.64 m,,,,construction,,717.46,france,none,,
,,,gousto,702,,,,2012,,101.13,doll_210.95 m,,,,food & beverage,,713.62,uk,204,,
