headquarters,founded,area_served,industry,name,sector,notes
derio,1995,,telecommunications,euskaltel,fixed line telecommunications,
mondragón,1956,,consumer goods,fagor,durable household products,
madrid,1952,,industrials,ferrovial,heavy construction,
barcelona,1902,,consumer goods,festina,clothing & accessories,
madrid,1961,,conglomerates,fierro group,-,
barcelona,1900,,industrials,fomento de construcciones y contratas,heavy construction,
zamudio,1976,,oil & gas,gamesa,renewable energy equipment,
madrid,1991,,utilities,naturgy,oil & gas distribution,
tres cantos,1984,,conglomerates,gmv innovating solutions,-,
málaga,2005,,technology,grundig mobile,telecommunications equipment,
barcelona,1867,,utilities,grupo agbar,water,
burgos,1950,,consumer goods,grupo antolin,auto parts,
carballo,1940,,consumer goods,grupo calvo,food products,
murcia,1927,,utilities,grupo gea perona,oil & gas distribution,
granada,1996,,consumer goods,grupo lo monaco,furnishings,
madrid,1985,,industrials,grupo puma,building materials & fixtures,
a coruña,1906,,consumer goods,hijos de rivera,brewers,
madrid,1979,,consumer services,hipercor,food retailers & wholesalers,
bilbao,1992,,utilities,iberdrola,conventional electricity,
madrid,1927,,consumer services,iberia,airlines,
barcelona,1940,,consumer goods,idilia foods,food products,
arteixo,1985,,consumer services,inditex,apparel retailers,
madrid,1993,,industrials,indra sistemas,aerospace,
madrid,1946,,financials,inmobiliaria colonial,real estate holding & development,
ormaiztegi,1889,,industrials,irizar,commercial vehicles & trucks,
portillo de toledo,1965,,consumer goods,joma,clothing & accessories,
elche,1977,,consumer services,kelme,apparel retailers,
valencia,1990,,financials,la caixa,banks,
madrid,1949,,consumer services,la casera,food retailers & wholesalers,
zaragoza,1852,,consumer goods,lacasa,food products,
tavernes blanques,1953,,consumer goods,lladró,recreational products,
murcia,2009,,consumer goods,llaollao,food products,
madrid,1890,,consumer goods,mahou san miguel,brewers,
palma,1890,,consumer goods,majorica,clothing & accessories,
palau-solità i plegamans,1984,,consumer services,mango,apparel retailers,
majadahonda,1933,,financials,mapfre,full line insurance,
barcelona,2011,,technology,marfeel,software,
madrid,1989,,consumer services,mediaset españa comunicación,broadcasting & entertainment,
palma,1956,,consumer services,meliá hotels international,hotels,
tavernes blanques,1977,,consumer services,mercadona,food retailers & wholesalers,
mondragón,1956,,conglomerates,mondragon corporation,-,
madrid,1930,,financials,mutua madrileña,full line insurance,
vitoria-gasteiz,1868,,industrials,naipes heraclio fournier,recreational products,
valencia,1943,,conglomerates,natra,-,
madrid,2005,,industrials,navantia,shipbuilding,
madrid,1978,,consumer services,nh hotel group,hotels,
bueu,1982,,industrials,nodosa shipyard,shipbuilding,
madrid,1999,,industrials,obrascón huarte lain,heavy construction,
mallabia,1931,,consumer goods,orbea,recreational products,
ibiza,1967,,consumer services,pacha group,travel & tourism,
redondela,1960,,consumer goods,pescanova,food products,
barcelona,1949,,consumer services,planeta group,publishing,
villarreal,1973,,industrials,porcelanosa,building materials & fixtures,
