00-avengers-type,00-avengers-id,00-avengers-hhid,00-avengers-nation
corporation,4eec821aefd148e58b444867b4958e17,h-it0070625298,italy
corporation,03ad01b76b5f452a886d200d3ca50b8f,h-it0217081009,italy
foreign company,04f02cc1f3be4bed896ee1f3876d51e0,h-it0018652387,italy
corporation,09a3237e201248819e2afb6f84b73bf8,h-it0071579257,italy
foreign company,6416738bb42745f5b5d020a98f9a39fb,h-it0291923964,italy
corporation,b03085f03ffe4b2481a078b666a24ff1,h-it0068400934,italy
corporation,c7a219a4e19f4ecfae764ed764852a7e,h-it0055387381,italy
corporation,135a4a81133e48c2b3bf1b6423ce0e51,h-it0074280767,italy
corporation,3bdfc63487794c6f8e4e962bcc0eae75,h-it0051956802,italy
corporation,68be9ffa97b749f4bebfeeeb8ef7a72c,h-it0014969920,italy
corporation,029e52bf01b64e84b1e37329a9adefe6,h-it0000836494,italy
corporation,158857ba61d6450083b5ecf2208e0906,h-it0010257845,italy
corporation,6d607578758c4efbb2203c340396d2bd,h-it0061888974,italy
corporation,9420dc36d5944aa49a88a3fc29f7831f,h-it0052284743,italy
corporation,7a4524d0a3e341f9ac1195de30551501,h-it0059947489,italy
corporation,2848b03504484862a72450ff3615ed7b,h-it0002212226,italy
corporation,7f8ffd865f1b4051a123caa88fa107cb,h-it0054930944,italy
corporation,b0089eb177d84195b396b26c009e1ceb,h-it0035479205,italy
foreign company,47578a6218674654adbb7b7f342a9c76,h-it0007067275,italy
corporation,7ac1ae0acdf54c99b9792312bd2f05a5,h-it0068420188,italy
corporation,a00cd17ba3314feb9102802975dad000,h-it0074590448,italy
corporation,919ddebfd1854c52815226fcfe8e4db0,h-it0041217519,italy
corporation,c041059a4b504e21adddac8c88c66634,h-it0002240947,italy
corporation,38b55ae77b1a44b18c43d6b8122d3873,h-it0018316182,italy
corporation,ea244f82d0eb4e969822d5bacaa287be,h-it0029146542,italy
corporation,4882c575b64f42f18b953928fd873738,h-it0011941758,italy
corporation,90664e5603994490b19346f5ea8c56fb,h-it0044646682,italy
corporation,c6fbb2ce8eab4eb79983515c258aa9b1,h-it0068290586,italy
corporation,09d85da9d5ed4d92a0188c9d6a0abcfa,h-it0040460681,italy
corporation,2b6315f630504df6a2aaf83d5e359549,h-it0008911185,italy
corporation,ed47634e6e4a4b4c96920b4876e6c44f,h-it0001756354,italy
corporation,e0a5779a1132410dadf18c0d4666b8bf,h-it0017380286,italy
corporation,d2b959ea8c0b4fbd97a6418747d792cb,h-it0071274197,italy
corporation,714c0bb5d083403fb98cccfee3c0e058,h-it0074055054,italy
corporation,9c6ecd1c256c47f59b1788080d1afefd,h-it0038498553,italy
corporation,57217ce6cca64836961de59259428906,h-it0069484236,italy
corporation,7cf434d7dd0d4dc0ba6b2415691f361b,h-it0002558351,italy
corporation,a3fa97efe1b8489586ecb90274117744,h-it0588755479,italy
corporation,e1be721f597b4cb0b62339b6e004897f,h-it0042004292,italy
corporation,7ddd1f2bef8743cbab4277fb7359c4bd,h-it0014652935,italy
corporation,07676551061549baaab01df200944a7d,h-it0066891477,italy
foreign company,a56b9f8688234142ae46492429b4d24b,h-it0289923537,italy
corporation,dfdc8d4272a04d10aff239899eb41f30,h-it0015232751,italy
corporation,4264f07216ef4551bbb1d18858f2259a,h-it0010010882,italy
corporation,6cc164edb1a74068b44a5b06b4806f09,h-it0009236252,italy
corporation,e44194144e0b4b76adc76ec46002d7ac,h-it0074299816,italy
corporation,b4d7fec2077d4625a0bb27a751ef451f,h-it0072309458,italy
corporation,cad1a9d6c70748759ee469510bcc8fd8,h-it0011938420,italy
