02-GioPonSpiz-price,03-gren-price,05-MalPatSaj-price,00-avengers-share_price,01-DDD-share_price,06-MarScoToc-share_price,09-wissel-share_price,04-iGMM-shareprice
doll_58.28,135.0,doll_103.30,doll_190.13,doll_107.23,doll_4.28,doll_44.49,doll_52.32
doll_156.97,72.0,doll_18.72,doll_74.66,doll_25.81,doll_57.35,doll_63.49,doll_11.22
doll_45.62,149.0,doll_19.63,doll_21.32,doll_0.83,doll_64.78,doll_1.94,doll_351.52
doll_4.27,72.0,,doll_239.01,doll_33.90,doll_44.94,doll_41.72,
doll_104.98,135.0,doll_16.41,doll_47.63,doll_1.04,doll_309.84,doll_150.87,doll_47.73
doll_65.00,55.0,doll_22.26,doll_168.63,doll_35.72,doll_18.78,doll_51.58,doll_19.28
doll_136.88,62.0,doll_71.11,doll_20.19,doll_97.40,doll_722.00,doll_72.78,
doll_722.13,4.0,doll_4.07,doll_213.41,doll_0.87,doll_134.95,doll_77.87,doll_59.70
doll_133.65,18.0,doll_145.87,doll_173.91,doll_42.84,doll_101.82,doll_45.48,doll_113.91
doll_72.88,127.0,doll_32.21,doll_182.35,doll_0.50,doll_132.75,doll_49.32,
doll_18.52,70.0,doll_131.66,doll_228.29,doll_84.58,doll_0.68,doll_21.35,doll_8.19
doll_300.94,290.0,doll_126.58,doll_126.99,doll_2.31,doll_71.45,doll_24.64,
doll_0.67,21.0,doll_125.93,doll_255.74,doll_629.32,doll_163.81,doll_70.83,
doll_70.32,367.0,doll_35.92,doll_318.44,doll_62.93,doll_25.18,doll_23.48,doll_65.37
doll_129.46,259.0,doll_3.10,doll_0.58,doll_65.11,doll_21.52,doll_54.10,doll_184.85
doll_25.34,160.0,doll_68.42,doll_45.13,doll_32.63,doll_11.46,doll_34.05,doll_36.57
doll_164.60,31.0,doll_78.40,doll_480.52,doll_147.91,doll_162.21,doll_167.85,
doll_21.67,1.0,doll_0.63,doll_252.38,doll_3.99,doll_127.63,doll_31.42,doll_73.89
doll_31.96,78.0,doll_325.12,doll_35.35,doll_26.00,doll_193.98,doll_85.71,doll_21.93
doll_160.92,24.0,doll_254.04,doll_589.41,doll_49.82,doll_261.40,doll_7.53,doll_87.13
doll_609.37,255.0,doll_484.72,doll_67.49,doll_16.74,doll_31.37,doll_1.66,
doll_192.00,35.0,doll_50.43,doll_0.64,doll_17.25,doll_79.21,doll_9.67,doll_89.00
doll_79.11,46.0,doll_11.68,doll_157.42,doll_85.90,doll_67.12,doll_8.17,doll_193.84
doll_258.87,474.0,doll_5.50,doll_67.34,doll_548.44,doll_35.38,doll_58.34,
doll_255.85,11.0,doll_151.78,doll_3.10,doll_69.18,doll_1.46,doll_55.20,doll_195.99
doll_35.38,127.0,doll_152.51,doll_11.40,doll_7.54,doll_253.81,doll_31.19,
doll_47.33,227.0,doll_126.09,doll_131.07,doll_9.22,doll_11.73,doll_129.46,
doll_11.82,180.0,doll_56.38,doll_52.79,doll_22.21,doll_3.14,doll_12.09,doll_0.41
doll_233.24,3.0,doll_244.70,doll_32.12,doll_6.48,doll_480.69,doll_45.08,doll_0.58
doll_129.51,310.0,doll_224.22,doll_11.43,doll_15.25,doll_30.69,doll_35.95,
doll_34.74,148.0,doll_32.67,doll_169.81,doll_56.66,doll_46.46,doll_52.44,doll_51.32
doll_3.13,29.0,doll_249.02,doll_40.22,doll_7.16,doll_34.40,doll_7.42,
doll_461.43,248.0,doll_166.54,doll_28.75,doll_10.24,doll_577.33,doll_398.46,doll_0.51
doll_30.53,555.0,doll_47.18,doll_28.41,doll_46.12,doll_98.85,doll_12.05,doll_71.08
doll_477.35,32.0,doll_46.17,doll_19.15,doll_36.16,doll_226.28,doll_26.01,doll_80.15
doll_10.84,95.0,doll_28.71,doll_103.46,doll_76.97,doll_22.02,doll_64.25,
doll_7.05,33.0,doll_0.54,doll_52.25,doll_39.30,doll_450.76,doll_24.75,doll_22.62
doll_22.05,10.0,doll_7.51,doll_18.46,doll_80.95,doll_6.89,doll_134.67,
doll_3.93,80.0,doll_2.94,doll_106.36,doll_69.79,doll_0.55,doll_35.16,doll_5.88
doll_311.40,46.0,doll_79.34,doll_254.07,doll_61.06,doll_304.40,doll_36.77,
doll_97.95,164.0,doll_43.29,doll_89.79,doll_13.06,doll_21.17,doll_9.08,
doll_32.42,26.0,doll_521.51,doll_75.76,doll_118.41,doll_325.40,doll_94.30,doll_148.31
doll_26.37,1.0,doll_20.94,doll_31.63,doll_26.92,doll_32.01,doll_1.47,doll_304.89
doll_1.34,159.0,doll_703.43,doll_32.74,doll_68.61,doll_26.13,doll_150.51,doll_7.39
doll_721.89,30.0,doll_21.65,doll_54.68,doll_28.06,doll_3.83,doll_32.37,
doll_46.53,7.0,doll_101.91,doll_45.06,doll_13.26,doll_30.84,doll_1.09,
doll_0.54,102.0,doll_25.13,doll_13.52,doll_40.87,doll_0.73,doll_132.12,
doll_7.42,4.0,doll_528.26,doll_11.53,doll_29.27,doll_60.35,doll_41.82,
doll_45.26,161.0,doll_248.68,doll_76.91,doll_7.25,doll_120.65,doll_23.07,doll_87.72
doll_164.00,44.0,doll_29.61,doll_109.25,doll_27.20,doll_20.90,doll_34.47,
doll_20.78,1.0,doll_161.36,doll_140.17,doll_22.86,doll_720.06,doll_27.52,doll_38.23
doll_240.29,307.0,doll_1.29,doll_392.69,doll_49.56,doll_45.54,doll_18.03,
doll_0.72,20.0,doll_468.24,doll_54.32,doll_35.86,doll_104.05,doll_80.75,
doll_99.86,20.0,doll_620.67,doll_85.16,doll_7.93,doll_45.62,doll_19.18,doll_149.32
doll_317.17,6.0,doll_33.07,doll_51.21,doll_16.02,doll_7.29,doll_147.84,doll_100.91
doll_164.45,1.0,doll_306.14,doll_605.94,doll_16.09,doll_45.41,doll_3.00,
doll_150.86,146.0,doll_31.53,doll_10.42,doll_54.52,doll_472.50,doll_4.20,
doll_102.56,175.0,doll_174.92,doll_18.90,doll_10.78,doll_112.60,doll_19.96,
doll_77.85,674.0,doll_55.98,doll_68.21,doll_17.54,doll_97.71,doll_22.93,
doll_20.51,493.0,doll_88.07,doll_90.04,doll_12.40,doll_148.12,doll_12.19,doll_2.96
doll_5.76,94.0,doll_5.47,doll_32.81,doll_31.03,doll_101.28,doll_41.96,doll_133.81
doll_473.67,57.0,doll_90.19,doll_457.67,doll_12.78,doll_232.79,doll_33.61,
doll_29.70,19.0,doll_3.50,doll_306.78,doll_13.21,doll_58.46,doll_25.73,doll_185.56
doll_45.05,236.0,doll_53.30,doll_5.66,doll_10.88,doll_47.92,doll_2.42,
doll_245.88,597.0,doll_19.85,doll_1.28,doll_9.36,doll_245.31,doll_50.75,
doll_6.26,33.0,doll_149.62,doll_176.63,doll_0.94,doll_33.96,doll_12.78,
doll_57.33,46.0,doll_77.04,doll_691.47,doll_39.28,doll_75.44,doll_0.78,
doll_100.37,55.0,doll_258.42,doll_101.00,doll_11.20,doll_175.06,doll_3.40,doll_36.30
doll_154.19,445.0,doll_32.69,doll_163.31,doll_44.27,doll_497.30,doll_77.21,
doll_175.62,78.0,doll_9.14,doll_29.82,doll_2.18,doll_32.58,doll_35.10,doll_84.03
doll_47.57,42.0,doll_10.00,doll_25.49,doll_42.10,doll_152.06,doll_12.88,
doll_33.58,50.0,doll_54.59,doll_78.17,doll_79.06,doll_6.14,doll_357.66,
doll_491.36,6.0,doll_11.63,doll_164.23,doll_22.20,doll_11.29,doll_41.65,
doll_56.93,256.0,doll_137.48,doll_3.78,doll_0.14,doll_154.87,doll_49.76,
doll_109.86,46.0,doll_93.93,doll_7.46,doll_6.78,doll_5.50,doll_8.09,doll_3.85
doll_51.02,13.0,doll_31.71,doll_46.60,doll_14.04,doll_155.51,doll_95.10,
doll_19.91,105.0,doll_0.65,doll_257.75,doll_2.87,doll_50.90,doll_10.01,doll_5.53
doll_51.65,30.0,doll_88.91,doll_59.96,doll_30.28,doll_396.11,doll_5.44,doll_472.54
doll_9.03,104.0,doll_18.42,doll_105.46,doll_13.86,doll_51.67,doll_5.34,
doll_85.04,64.0,doll_49.19,doll_22.36,doll_45.19,doll_0.48,doll_34.51,
doll_62.10,74.0,doll_13.19,doll_21.33,doll_17.33,doll_85.01,doll_6.71,doll_42.32
doll_54.39,10.0,doll_18.35,doll_32.05,doll_522.00,doll_33.43,doll_46.13,doll_71.14
doll_31.67,31.0,doll_80.60,doll_45.10,doll_113.05,doll_66.91,doll_24.40,doll_1.73
doll_54.00,368.0,doll_103.93,doll_28.84,doll_15.46,doll_6.98,doll_18.07,doll_79.06
doll_388.47,79.0,doll_63.68,doll_239.03,doll_10.22,doll_108.48,doll_13.55,
doll_8.61,98.0,doll_406.21,doll_5.50,doll_38.12,doll_30.36,doll_1.20,doll_52.49
doll_6.93,398.0,doll_101.13,doll_99.84,doll_10.02,doll_52.28,doll_50.97,doll_104.80
doll_107.63,11.0,doll_72.84,doll_55.55,doll_8.58,doll_60.75,doll_5.45,
doll_76.66,18.0,doll_97.72,doll_45.64,doll_31.00,doll_43.57,doll_14.89,doll_24.41
doll_77.06,117.0,doll_5.57,doll_546.78,doll_13.00,doll_140.55,doll_30.23,doll_154.74
doll_420.04,98.0,doll_39.43,doll_3.04,doll_0.45,doll_47.18,doll_62.99,
doll_65.31,46.0,doll_42.22,doll_165.93,doll_278.52,doll_53.18,doll_57.40,doll_117.41
doll_13.35,89.0,doll_49.07,doll_5.50,doll_14.80,doll_584.03,doll_37.52,doll_60.49
doll_255.13,42.0,doll_15.98,doll_172.69,doll_35.31,doll_8.52,doll_24.62,
doll_46.54,48.0,doll_116.34,doll_165.63,doll_44.66,doll_19.41,doll_31.39,
doll_11.02,50.0,doll_28.93,doll_200.82,doll_42.14,doll_125.72,doll_2.89,doll_10.94
doll_12.70,28.0,doll_49.35,doll_29.06,doll_32.76,doll_253.66,doll_95.43,doll_155.68
doll_29.44,249.0,doll_247.48,doll_123.38,doll_12.29,doll_320.47,doll_113.42,doll_58.04
doll_137.60,233.0,doll_27.47,doll_348.17,doll_26.48,doll_413.85,doll_33.58,doll_683.10
doll_31.94,8.0,doll_8.66,doll_74.24,doll_30.39,doll_89.09,doll_75.40,
doll_16.67,16.0,doll_43.09,doll_63.30,doll_7.26,doll_16.72,doll_159.91,
doll_43.50,79.0,doll_94.66,doll_858.41,doll_111.93,doll_8.58,doll_48.01,
doll_0.44,129.0,doll_297.62,doll_24.85,doll_1.39,doll_75.05,doll_13.43,
doll_88.36,0.0,doll_55.48,doll_40.53,doll_10.42,doll_73.84,doll_7.26,
doll_314.53,8.0,doll_38.36,doll_104.04,doll_4.22,doll_82.59,doll_37.97,
doll_82.65,117.0,doll_44.20,doll_348.10,doll_19.08,doll_239.40,doll_12.33,doll_95.51
