04-iGMM-code,02-GioPonSpiz-codice,09-wissel-company_code,05-MalPatSaj-symbol
BOKA.AS,vna.de,rvlv,ulta
383220.KS,gpc,hstm,sand.st
REM.JO,sqm,hayn,adaniports.ns
AAK.ST,k,enlc,dte
,ec,legn,caj
EEFT,ftv,pfc,ads.de
HWC,8750.t,farm,na.to
,eqr,cert,aee
,gwo.to,bzh,601066.ss
OMF,fitb,tw,nestleind.ns
,lr.pa,aray,tsn
,acgl,ptra,mkc
KRC,hnr1.de,modn,2881.tw
LTHM,frc,amwl,601919.ss
VNO,9022.t,efsc,sct.f
,cnhi,jack,edpr.ls
COKE,avb,sybt,rci
HUSQ-A.ST,nestleind.ns,vicr,8113.t
CAST.ST,wy,gnk,dash
XPO,600009.ss,fmbh,mlm
,itba.f,ingn,tcom
STVN,bpac3.sa,pra,luv
,crwd,cvbf,dsm.as
OGS,aee,tpg,li
,ir,rbcaa,ongc.ns
,tsn,cpk,0291.hk
ASGN,zto,tfsl,frc
,dsm.as,casa,lr.pa
AAON,siri,frog,600188.ss
SLM,ttd,fc,acgl
,601818.ss,nrdy,anss
FCFS,epi-a.st,kirk,bpac3.sa
TNET,evo.st,opad,tib1.f
,1113.hk,egle,fitb
,tef,bbw,argx
U14.SI,ml.pa,whd,ir
,ares,ttgt,udr
,ongc.ns,rail,601818.ss
TA1.F,601919.ss,jbgs,0001.hk
PNM,dte,fstr,4543.t
AL,7733.t,mc,dal
IAC,035720.ks,twst,ahchf
,vrsn,tcmd,exr
EVR,bax,ccoi,bgne
HAE,ppl,med,cnhi
,jswsteel.ns,amrs,eric
,edpr.ls,fsly,jswsteel.ns
,688599.ss,virt,db
7PZ.F,rep.mc,crc,pwr
MTG,etr,tmp,6301.t
SPWR,caj,uthr,mt
,borouge.ae,ctbi,rivn
APLAPOLLO.NS,600188.ss,gifi,ppl
,ddog,rent,podd
,didiy,ccbg,zto
AIMC,schn.sw,calx,pfg
APPF,lh,exel,002460.sz
SDF.F,argx,osg,9020.t
MSGS,anss,clar,1113.hk
TRTN,sct.f,orgo,stan.l
INDF.JK,mlm,pd,evo.st
,ahchf,inta,zm
,8113.t,nvro,ares
,tscdf,nine,epi-a.st
,000725.sz,sumo,4901.t
,aena.mc,mov,600009.ss
ATI,luv,swn,vna.de
,li,irt,vrsn
,udr,ctra,9613.t
ALQ.AX,pfg,hmst,6503.t
,1929.hk,slg,6752.t
UMBF,mkc,pfmt,8053.t
,600031.ss,uvsp,gfnorteo.mx
AVT,bimboa.mx,domo,tscdf
,ele.mc,qmco,035420.ks
,fsra.f,chco,601111.ss
DIOD,600016.ss,vrsn,nio
,teck,bmbl,rep.mc
RLX,gle.pa,aomr,gwo.to
,6301.t,lgih,hpe
FCC.MC,0762.hk,acel,gib
AB,exr,nkla,xyl
WNS,podd,cyrx,cah
,pwr,amba,600016.ss
SR,002460.sz,npk,upm.he
,8053.t,arlp,
GCO.MC,hpe,,wat
,ryaay,gabc,lh
SFSN.SW,xyl,ocfc,1766.hk
