01-DDD-change1y,00-avengers-change_1_year,04-iGMM-change_1year
43.17_perc,-4.97_perc,
-2.23_perc,6.54_perc,-8.79_perc
18.99_perc,-46.56_perc,
-2.65_perc,-8.98_perc,-22.15_perc
-26.14_perc,63.54_perc,-16.13_perc
50.70_perc,-0.77_perc,
-12.25_perc,-38.80_perc,-31.49_perc
8.58_perc,-10.61_perc,-43.47_perc
24.09_perc,-76.49_perc,
4.20_perc,12.19_perc,-17.30_perc
-14.73_perc,13.33_perc,9.56_perc
-26.62_perc,-14.72_perc,-29.93_perc
-11.97_perc,18.94_perc,-9.34_perc
-56.72_perc,-13.79_perc,-33.78_perc
-18.03_perc,-23.31_perc,-17.64_perc
-36.24_perc,-20.37_perc,-70.49_perc
-43.40_perc,-14.83_perc,
-42.96_perc,-12.20_perc,-23.36_perc
19.36_perc,-8.97_perc,
-21.13_perc,-2.14_perc,
-6.39_perc,2.70_perc,
-35.61_perc,-22.09_perc,40.84_perc
-1.71_perc,-16.01_perc,
-6.10_perc,22.96_perc,0.66_perc
2.49_perc,10.73_perc,
-41.55_perc,18.52_perc,
27.19_perc,14.53_perc,
8.39_perc,,2.52_perc
-39.35_perc,-29.47_perc,-9.61_perc
-27.16_perc,-6.60_perc,-7.93_perc
-20.32_perc,-12.58_perc,
-22.57_perc,-23.70_perc,-29.32_perc
35.02_perc,-1.41_perc,-26.45_perc
-8.05_perc,8.09_perc,
-59.29_perc,-7.62_perc,-29.44_perc
164.75_perc,-17.68_perc,
58.62_perc,21.02_perc,-3.06_perc
-37.88_perc,-27.89_perc,
20.55_perc,-3.56_perc,
-3.90_perc,23.37_perc,
-6.82_perc,-22.75_perc,
25.59_perc,25.07_perc,
-14.77_perc,-8.80_perc,
-34.78_perc,34.42_perc,-21.26_perc
-10.70_perc,-21.25_perc,-7.50_perc
-12.07_perc,-21.92_perc,
-10.39_perc,-22.88_perc,-32.19_perc
-9.57_perc,-28.01_perc,
-0.69_perc,28.87_perc,
-18.78_perc,30.50_perc,-37.83_perc
-40.51_perc,-26.23_perc,25.66_perc
-11.76_perc,6.67_perc,-49.88_perc
-49.37_perc,-40.77_perc,-37.20_perc
0.09_perc,-17.90_perc,-37.87_perc
-19.12_perc,0.76_perc,-14.77_perc
-27.01_perc,44.21_perc,
-15.61_perc,-24.85_perc,
-1.29_perc,-6.02_perc,
-27.89_perc,-23.05_perc,-28.18_perc
1.84_perc,19.83_perc,18.77_perc
-41.27_perc,-2.24_perc,
-12.64_perc,-43.17_perc,
-2.01_perc,6.72_perc,-16.96_perc
-2.29_perc,-30.18_perc,12.50_perc
9.30_perc,2.54_perc,
-48.92_perc,1.84_perc,42.27_perc
13.20_perc,,-28.62_perc
-24.05_perc,-29.68_perc,18.85_perc
-44.03_perc,-23.59_perc,74.07_perc
24.60_perc,-33.35_perc,-27.70_perc
28.44_perc,0.13_perc,
-16.40_perc,-13.64_perc,
-27.51_perc,13.71_perc,-31.40_perc
-11.03_perc,-17.55_perc,-35.02_perc
-30.67_perc,56.64_perc,
-13.96_perc,23.88_perc,
-26.60_perc,-0.93_perc,
51.52_perc,-23.15_perc,
-48.11_perc,-0.79_perc,11.40_perc
-10.39_perc,-71.69_perc,
-34.23_perc,-12.11_perc,
-19.35_perc,10.51_perc,
-35.12_perc,-50.32_perc,39.72_perc
-4.87_perc,9.91_perc,-3.93_perc
-35.13_perc,-15.38_perc,40.80_perc
-53.10_perc,-14.77_perc,22.95_perc
1.09_perc,-9.76_perc,
9.36_perc,-41.60_perc,
-7.53_perc,21.73_perc,11.44_perc
-5.77_perc,-37.43_perc,
-24.32_perc,11.57_perc,
20.70_perc,-8.78_perc,-6.68_perc
84.57_perc,-37.53_perc,-43.99_perc
-9.81_perc,-12.02_perc,
-40.39_perc,-0.81_perc,15.50_perc
2.97_perc,3.19_perc,-6.07_perc
-10.44_perc,-1.27_perc,
-59.62_perc,36.88_perc,
-11.99_perc,-58.60_perc,31.06_perc
53.29_perc,8.79_perc,
0.00_perc,-15.88_perc,-24.11_perc
-12.42_perc,-16.84_perc,
38.77_perc,-11.15_perc,
-37.93_perc,65.73_perc,-54.07_perc
-27.77_perc,1.10_perc,-17.89_perc
-24.59_perc,-38.86_perc,-25.60_perc
-6.18_perc,-9.41_perc,
-25.17_perc,-11.17_perc,-26.79_perc
-16.23_perc,-47.72_perc,
-0.44_perc,-4.26_perc,
24.05_perc,28.19_perc,
21.73_perc,4.58_perc,-48.57_perc
-15.74_perc,-0.18_perc,-93.74_perc
-35.36_perc,-1.19_perc,-35.48_perc
-10.00_perc,-33.44_perc,
-63.05_perc,-20.69_perc,-11.53_perc
-33.28_perc,-21.93_perc,
-8.54_perc,-25.03_perc,
-11.21_perc,-38.04_perc,
-23.56_perc,-24.33_perc,-32.87_perc
none,-31.67_perc,-14.35_perc
12.71_perc,19.22_perc,-19.04_perc
-15.44_perc,-38.07_perc,
-30.27_perc,-20.98_perc,-26.12_perc
7.79_perc,11.56_perc,
-0.62_perc,-40.29_perc,-23.93_perc
6.22_perc,36.67_perc,-17.88_perc
-11.14_perc,-8.31_perc,8.24_perc
23.67_perc,-19.59_perc,
-20.81_perc,-8.93_perc,-41.33_perc
-37.81_perc,21.51_perc,
-10.33_perc,-11.69_perc,
-59.54_perc,10.17_perc,
-12.00_perc,-9.80_perc,-25.89_perc
25.87_perc,-1.86_perc,
0.39_perc,-16.70_perc,
-19.50_perc,0.03_perc,
-27.48_perc,,
-6.82_perc,-26.14_perc,
-42.93_perc,-18.30_perc,-15.01_perc
0.43_perc,13.54_perc,
-21.00_perc,5.60_perc,-3.66_perc
-29.86_perc,-4.97_perc,-53.39_perc
48.48_perc,-21.94_perc,25.81_perc
9.06_perc,5.94_perc,-68.12_perc
