00-avengers-market_cap,03-gren-market_capitalization_usd,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap,06-MarScoToc-master_cap,02-GioPonSpiz-pricecap
doll_78.78 b,83630000000.0,doll_2.95 b,doll_29.83 B,doll_85.47 b,doll_35.33 b,doll_88.48 b,doll_89.26 b
doll_79.02 b,83550000000.0,doll_2.95 b,,doll_85.30 b,doll_5.50 b,doll_87.45 b,doll_87.63 b
doll_80.89 b,83530000000.0,doll_2.93 b,,doll_84.51 b,doll_17.05 b,doll_86.77 b,doll_87.42 b
doll_80.89 b,83240000000.0,doll_2.95 b,,doll_84.46 b,doll_2.36 b,doll_86.68 b,doll_86.38 b
doll_81.20 b,82670000000.0,doll_2.95 b,doll_29.99 B,doll_84.11 b,doll_3.42 b,doll_85.86 b,doll_86.06 b
doll_82.49 b,82470000000.0,doll_2.96 b,,doll_84.09 b,doll_0.33 b,doll_85.03 b,doll_85.85 b
doll_81.62 b,82360000000.0,doll_2.95 b,,doll_82.80 b,doll_0.42 b,doll_84.87 b,doll_85.43 b
doll_82.91 b,81540000000.0,doll_2.96 b,doll_30.05 B,doll_81.84 b,doll_0.48 b,doll_84.75 b,doll_85.34 b
doll_82.78 b,80990000000.0,doll_2.96 b,doll_30.16 B,doll_81.67 b,doll_0.81 b,doll_84.28 b,doll_84.62 b
doll_83.39 b,80710000000.0,doll_2.98 b,doll_30.17 B,doll_81.53 b,doll_4.13 b,doll_84.12 b,doll_84.48 b
doll_83.46 b,80610000000.0,doll_2.96 b,doll_28.66 B,doll_80.40 b,doll_0.73 b,doll_83.59 b,doll_83.84 b
doll_83.97 b,80270000000.0,doll_2.95 b,,doll_80.27 b,doll_1.02 b,doll_82.79 b,doll_83.80 b
doll_84.02 b,80250000000.0,doll_2.97 b,doll_24.28 B,doll_80.11 b,doll_4.01 b,doll_82.14 b,doll_83.11 b
doll_84.69 b,78740000000.0,doll_2.98 b,doll_24.20 B,doll_79.54 b,doll_2.31 b,doll_81.62 b,doll_82.64 b
doll_85.11 b,78600000000.0,doll_2.97 b,doll_24.29 B,doll_79.38 b,doll_0.48 b,doll_81.43 b,doll_82.56 b
doll_85.28 b,78060000000.0,doll_2.98 b,doll_24.36 B,doll_78.52 b,doll_0.19 b,doll_80.91 b,doll_81.75 b
doll_85.28 b,77980000000.0,doll_2.98 b,,,doll_9.43 b,doll_80.54 b,doll_81.09 b
doll_85.36 b,77720000000.0,doll_2.97 b,doll_24.45 B,doll_77.63 b,doll_5.56 b,doll_79.53 b,doll_80.84 b
doll_85.88 b,77280000000.0,doll_2.96 b,doll_24.55 B,doll_77.63 b,doll_7.11 b,doll_78.68 b,doll_80.18 b
doll_86.00 b,76770000000.0,doll_2.96 b,,doll_77.41 b,doll_4.73 b,doll_78.62 b,doll_80.00 b
doll_86.06 b,76120000000.0,doll_2.97 b,doll_24.88 B,doll_76.38 b,doll_4.14 b,doll_78.62 b,doll_78.64 b
doll_86.26 b,75410000000.0,doll_3.01 b,doll_24.49 B,doll_76.35 b,doll_0.49 b,doll_78.40 b,doll_78.18 b
doll_70.05 b,74870000000.0,doll_3.01 b,,doll_75.69 b,doll_3.42 b,doll_77.97 b,doll_77.97 b
doll_70.12 b,74850000000.0,doll_2.98 b,doll_24.57 B,doll_74.70 b,doll_3.00 b,doll_77.86 b,doll_77.58 b
doll_70.19 b,74490000000.0,doll_3.02 b,,doll_74.04 b,doll_0.69 b,doll_76.43 b,doll_77.24 b
doll_70.21 b,74440000000.0,doll_3.02 b,,doll_73.97 b,doll_31.65 b,doll_76.34 b,doll_76.56 b
doll_70.65 b,74030000000.0,doll_3.02 b,doll_24.96 B,doll_73.53 b,doll_0.65 b,doll_75.52 b,doll_76.55 b
doll_71.13 b,73720000000.0,doll_3.00 b,doll_25.02 B,doll_73.26 b,doll_2.64 b,doll_75.07 b,doll_76.04 b
doll_71.48 b,73710000000.0,doll_2.99 b,doll_25.07 B,doll_73.20 b,doll_0.54 b,doll_74.74 b,doll_76.00 b
doll_71.25 b,73330000000.0,doll_3.00 b,,doll_72.92 b,doll_23.48 b,doll_74.66 b,doll_75.76 b
doll_71.51 b,72940000000.0,doll_3.00 b,doll_25.21 B,doll_72.39 b,doll_2.28 b,doll_74.66 b,doll_75.59 b
doll_71.89 b,72110000000.0,doll_3.01 b,doll_25.28 B,doll_72.17 b,doll_4.33 b,doll_74.52 b,doll_75.10 b
doll_72.18 b,72040000000.0,doll_3.02 b,doll_25.12 B,doll_71.98 b,doll_0.36 b,doll_73.90 b,doll_75.00 b
doll_72.20 b,71950000000.0,doll_3.02 b,,doll_71.88 b,doll_1.05 b,doll_73.71 b,doll_74.48 b
doll_73.00 b,71840000000.0,doll_3.00 b,doll_25.35 B,doll_71.50 b,doll_6.58 b,doll_73.67 b,doll_73.76 b
doll_73.36 b,70860000000.0,doll_3.00 b,doll_23.73 B,doll_71.40 b,doll_0.22 b,doll_73.07 b,doll_73.66 b
doll_73.31 b,70360000000.0,doll_3.01 b,,doll_70.74 b,doll_3.72 b,doll_72.42 b,doll_73.18 b
doll_73.26 b,70180000000.0,doll_3.02 b,doll_20.77 B,doll_70.74 b,doll_2.45 b,doll_72.30 b,doll_72.72 b
doll_74.35 b,70040000000.0,doll_3.02 b,,doll_70.20 b,doll_0.22 b,doll_72.15 b,doll_72.42 b
doll_74.37 b,69710000000.0,doll_3.03 b,,doll_69.69 b,doll_76.04 b,doll_71.73 b,doll_72.42 b
doll_74.85 b,69280000000.0,doll_3.03 b,doll_20.88 B,doll_69.54 b,doll_0.85 b,doll_71.37 b,doll_72.22 b
doll_75.47 b,69050000000.0,doll_3.04 b,doll_20.87 B,doll_69.18 b,doll_2.25 b,doll_71.28 b,doll_71.64 b
doll_69.84 b,68850000000.0,doll_3.04 b,,doll_68.87 b,doll_2.98 b,doll_71.17 b,doll_71.58 b
doll_69.70 b,68810000000.0,doll_3.03 b,doll_20.88 B,doll_68.68 b,doll_1.55 b,doll_71.09 b,doll_71.45 b
doll_57.48 b,68460000000.0,doll_3.04 b,,doll_68.36 b,doll_1.54 b,doll_70.91 b,doll_71.17 b
doll_57.33 b,68150000000.0,doll_3.02 b,doll_20.95 B,doll_68.36 b,doll_18.70 b,doll_70.60 b,doll_71.01 b
doll_58.31 b,67890000000.0,doll_3.02 b,doll_20.99 B,doll_67.57 b,doll_0.95 b,doll_69.52 b,doll_70.81 b
doll_58.36 b,67690000000.0,doll_3.03 b,doll_21.01 B,doll_67.51 b,doll_11.45 b,doll_69.51 b,doll_70.78 b
doll_58.33 b,67440000000.0,doll_3.04 b,,doll_67.49 b,doll_3.45 b,doll_69.41 b,doll_70.69 b
doll_58.64 b,67360000000.0,doll_3.03 b,doll_21.07 B,doll_67.10 b,doll_0.90 b,doll_69.37 b,doll_70.46 b
doll_58.79 b,67040000000.0,doll_3.02 b,,doll_67.01 b,doll_16.92 b,doll_68.88 b,doll_69.52 b
doll_59.00 b,66800000000.0,doll_3.03 b,doll_21.12 B,doll_66.97 b,doll_2.14 b,doll_67.58 b,doll_69.25 b
