09-wissel-company_code,05-MalPatSaj-symbol,04-iGMM-code,02-GioPonSpiz-codice
expi,npsny,dva,cmi
hgty,600276.ss,0017.hk,bcs
slab,dsv.vi,brx,nwg
asan,dd,sol.ax,mfc
alny,all,ctc.to,amp
mho,hlag.de,7951.t,anet
hl,ea,5019.t,bntx
pnm,amp,igm.to,bn.pa
zeus,hcltech.ns,banb.sw,2914.t
plus,expgf,hog,aca.pa
jbi,odfl,4021.t,odfl
gtlb,tdg,klh.f,engi.pa
udmy,cmi,gme,mtd
arhs,6594.t,mtz,mrvl
tenb,6981.t,5486.t,otis
smhi,601668.ss,tiindia.ns,ea
iot,bn.pa,plnt,gold
alrm,csu.to,ote.f,6981.t
trhc,as7.f,aiz,asianpaint.ns
rblx,abc,3769.t,axisbank.bo
appf,mfc,npi.to,601601.ss
aur,otis,baln.sw,ed
mntv,hal,3p7.f,dsv.vi
ccs,bf-a,mdka.jk,mplx
cars,csgp,2310.sr,601668.ss
avdx,ilmn,asnd,crh
sqsp,vici,nep,7182.t
gety,dmart.ns,rrc,se
sond,mtd,259960.ks,pcg
dvn,db1.de,pii,006405.ks
sbac,keys,sbry.l,002142.sz
app,2359.hk,mro.l,holn.sw
crus,pcg,egie3.sa,well
hlth,ame,2615.tw,wcn
culp,mplx,reh.ax,ame
fizz,006405.ks,trent.ns,0066.hk
ceix,dltr,trq,enph
prk,002475.sz,naukri.ns,0267.hk
root,rmd,wch.f,abc
nr,tls.ax,sise.is,sbac
wldn,kr,tel2-a.st,csgp
cqp,bsp.f,spsn.sw,dhi
evri,600690.ss,mgy,ctsh
pro,nwg,3283.t,rok
hes,0066.hk,tpg.ax,601998.ss
ibtx,well,wdh1.f,db1.de
nvax,sbac,9532.t,dltr
amh,holn.sw,6479.t,kr
sncr,bcs,wfg,tls.ax
cown,2202.hk,stwd,keys
mro,601633.ss,industower.ns,gfs
prts,maruti.ns,sym,expgf
sono,0011.hk,lodha.ns,ibkr
bzfd,mfg,377300.ks,bf-a
klxe,ndaq,8795.t,wege3.sa
ppbi,ppg,cx,600000.ss
buse,bajajfinsv.ns,rrtl.f,6594.t
vvi,601998.ss,3003.t,rmd
boom,cap.pa,wtb.l,vici
mxl,rok,090430.ks,aot.bk
inse,z74.si,xray,600887.ss
pump,wec,1128.hk,bkr
lazy,aca.pa,sf,cap.pa
nutx,dlr,piind.ns,wba
wow,300015.sz,nycb,cabk.mc
bhf,6618.hk,ayi,oke
upst,gold,kfi1.f,ilmn
snpo,hxgbf,vly,wbd
nabl,cpng,tom.ol,002475.sz
nwe,peg,iob.ns,vwsb.f
gic,600000.ss,lfus,bsp.f
par,rwe.de,mgr.ax,2202.hk
oec,crh,nem.f,0011.hk
tipt,gmab,3034.tw,peg
bku,dhi,tvsmotor.ns,hymtf
enva,qsr,ssab-b.st,maruti.ns
chh,aot.bk,son,dlr
hmn,vwsb.f,xm,ucg.mi
clmt,002142.sz,soi.pa,bbd
slm,601601.ss,9064.t,ndaq
tlys,1339.hk,timb,ppg
hope,ctsh,ppc,601319.ss
wire,gmbxf,amg,z74.si
smtc,es,elan,hxgbf
irbt,dell,5332.t,1339.hk
iiiv,ad.as,stag,6954.t
plow,oke,lnc,601633.ss
zeta,cprt,dnb,rwe.de
faro,ceg,acc.ns,6273.t
tsp,ibkr,voya,vod
cvi,601319.ss,nykaa.ns,sunpharma.ns
ale,0267.hk,9766.t,lyb
dec.l,6273.t,4768.t,glw
fcf,l.to,2801.tw,stt
mlr,vod,crox,fmx
onto,imo,cflt,kbcsf
tree,givn.sw,4204.t,0027.hk
rily,stt,cpin.jk,wec
avid,wege3.sa,jswenergy.ns,scmn.sw
wd,tcl.ax,saia,6178.t
yext,on,tx,tu
fet,bkr,bzi.f,0688.hk
agys,sunpharma.ns,2290.sr,hen3.de
ramp,6954.t,slgn,ad.as
ffin,0027.hk,mksi,cpng
jout,dnb.ol,4250.sr,cprt
axti,gww,htz,sgo.pa
zuo,hen3.de,stn,givn.sw
tph,0688.hk,airc,000651.sz
ora,4503.t,3281.t,g.mi
lc,alb,isctr.is,ptt-r.bk
lyts,tu,cov.pa,knebv.he
ui,g.mi,c09.si,ads.de
asix,600887.ss,aubank.ns,qsr
gh,awk,2408.tw,iff
cwan,alny,aaf.l,eqt.st
dm,7182.t,sigi,dnb.ol
knbe,vrsk,colm,dmart.ns
zvo,scmn.sw,bez.l,dfs
mvst,glw,kgc,tcl.ax
bcpc,hymtf,unvr,es
agx,eqt.st,quinenco.sn,cht
tbk,mbly,mp,gpn
dxlg,fast,knbe,gww
eaf,wow.ax,3618.hk,alny
ostk,cqp,muthootfin.ns,awk
lcut,dfs,bros,ferg
drq,crwd,aden.sw,dell
bigc,cht,land.l,vrsk
hlit,bbd,car-un.to,wow.ax
parr,byan.jk,dtm,knin.sw
adtn,pperf,az2.f,imo
ax,nok,cybr,oran
hlx,ho.pa,mpl.ax,sren.sw
vrrm,fmx,ubsi,srt.de
chk,cabk.mc,efn.to,alb
verx,hpq,1812.t,slf
aort,wxxwy,vnom,on
lasr,wosb.f,bwxt,601138.ss
lstr,6178.t,civi,len
iii,fnv,raw.f,nok
bhlb,dtg.f,ebo.nz,bgne
zws,veev,fti,fnv
pch,it,am,eoan.de
hcci,ntgy.mc,nati,l.to
hoft,ferg,ctpnv.as,fast
inst,slf,irfc.ns,ceg
scor,titan.ns,ensg,pperf
cmax,lyb,pspn.sw,ams.mc
ns,knin.sw,fhzn.sw,cqp
lnn,ucg.mi,itci,wtw
nwpx,601138.ss,lhcg,0lc.f
pebo,0lc.f,cgpower.ns,aptv
fnko,iff,cln.sw,6618.hk
invh,zbh,iaa,hpq
txg,sren.sw,car.ax,bei.de
gshd,sampo.he,gxo,cbre
nwn,300124.sz,expo,uri
sft,000651.sz,iel.ax,ppba.f
bry,wtw,nhpc.ns,bajajfinsv.ns
udr,mkn2.f,bc,ntgy.mc
vmeo,trow,amn,6702.t
wish,knebv.he,6669.tw,4503.t
lz,wbd,yal.ax,300124.sz
csvi,gpn,vrt,sampo.he
expo,bax,bald-b.st,ho.pa
avav,cbhd.f,0489.hk,efx
dfh,wit,penn,it
carg,oran,lyi.f,wosb.f
smfr,aptv,ashokley.ns,gmab
gdot,ppba.f,edv.to,trow
hcat,bei.de,tataelxsi.ns,mbly
amrc,6702.t,osh,fang
njr,cdw,astral.ns,cdw
cboe,ptt-r.bk,4190.sr,6505.tw
eva,len,7276.t,titan.ns
mgrc,eix,rf.pa,asazf
cwt,5110.sr,mphasis.ns,wit
fbnc,sqm,gf.sw,dtg.f
nsa,6505.tw,bpop,ifc.to
semr,hznp,grumab.mx,eix
sji,ddog,2380.sr,seba.f
ptct,eoan.de,thc,db
brze,uri,ig.mi,cbhd.f
quot,seba.f,ykbnk.is,zbh
stba,ifc.to,bezq.ta,mkn2.f
caty,hrl,6305.t,ultracemco.ns
sbcf,sgo.pa,vbk.f,mtb
tcbk,600104.ss,1102.tw,601066.ss
pmts,gpc,tkwy.as,ccep
grc,ams.mc,hp,hznp
zip,1010.sr,roiv,600104.ss
nssc,5108.t,orcc,veev
sstk,k,9863.hk,are
csv,asazf,086280.ks,aem
cour,ccep,leg.de,5110.sr
hckt,are,njr,mt
arry,cbre,trex,ebk.de
ameh,eqr,cohr,1010.sr
trup,srt.de,rhp,sand.st
srce,ebk.de,6753.t,yumc
sxc,ultracemco.ns,axs,hrl
wes,2308.tw,qbr-b.to,0291.hk
joby,etr,r90.f,ebay
acls,ttd,alit,ulta
cash,kbcsf,ait,pghn.sw
nbhc,fang,igt,rjf
lmnd,clnx.mc,atkr,gmg.ax
pfs,efx,spsc,5108.t
rare,mtb,ldo.mi,stan.l
pay,7733.t,flr,lisp.sw
jill,vmc,smar,0001.hk
bynd,sgen,4751.t,tlk
dlth,pghn.sw,pirc.mi,na.to
aka,fe,nmdc.ns,clnx.mc
aroc,avb,tit.mi,beke
mtsi,wy,sam,sgen
bcor,hnr1.de,aalb.as,dal
nbix,aem,002602.sz,mlyby
tti,9022.t,tgna,fe
lthm,hig,5347.two,tib1.f
band,yumc,utg.l,tsco
evc,siri,tko.pa,hig
veco,tsco,dplm.l,vmc
nbevq,itba.f,mft.nz,035420.ks
ofix,ebay,he,2881.tw
ufcs,rjf,mtpof,rci
sasr,ftv,indianb.ns,gfnorteo.mx
voxx,tlk,pycr,2308.tw
salm,gmg.ax,honaut.ns,tcom
rvlv,ulta,boka.as,vna.de
hstm,sand.st,383220.ks,gpc
hayn,adaniports.ns,rem.jo,sqm
enlc,dte,aak.st,k
legn,caj,mndy,ec
pfc,ads.de,eeft,ftv
farm,na.to,hwc,8750.t
cert,aee,alkem.ns,eqr
bzh,601066.ss,infa,gwo.to
tw,nestleind.ns,omf,fitb
aray,tsn,pph.jo,lr.pa
ptra,mkc,sm,acgl
modn,2881.tw,krc,hnr1.de
amwl,601919.ss,lthm,frc
efsc,sct.f,vno,9022.t
jack,edpr.ls,light.as,cnhi
sybt,rci,coke,avb
vicr,8113.t,husq-a.st,nestleind.ns
gnk,dash,cast.st,wy
fmbh,mlm,xpo,600009.ss
ingn,tcom,powi,itba.f
pra,luv,stvn,bpac3.sa
cvbf,dsm.as,mega.jk,crwd
tpg,li,ogs,aee
rbcaa,ongc.ns,zd,ir
cpk,0291.hk,alks,tsn
tfsl,frc,asgn,zto
casa,lr.pa,tenb,dsm.as
frog,600188.ss,aaon,siri
fc,acgl,slm,ttd
nrdy,anss,lupin.ns,601818.ss
kirk,bpac3.sa,fcfs,epi-a.st
opad,tib1.f,tnet,evo.st
egle,fitb,ntra,1113.hk
bbw,argx,cpx.to,tef
whd,ir,u14.si,ml.pa
ttgt,udr,tdoc,ares
rail,601818.ss,jhg,ongc.ns
jbgs,0001.hk,ta1.f,601919.ss
fstr,4543.t,pnm,dte
mc,dal,al,7733.t
twst,ahchf,iac,035720.ks
tcmd,exr,bem.bk,vrsn
ccoi,bgne,evr,bax
med,cnhi,hae,ppl
amrs,eric,0880.hk,jswsteel.ns
fsly,jswsteel.ns,btu,edpr.ls
virt,db,hwdn.l,688599.ss
crc,pwr,7pz.f,rep.mc
tmp,6301.t,mtg,etr
uthr,mt,spwr,caj
ctbi,rivn,onex.to,borouge.ae
gifi,ppl,aplapollo.ns,600188.ss
rent,podd,sid,ddog
ccbg,zto,1295.kl,didiy
calx,pfg,aimc,schn.sw
exel,002460.sz,appf,lh
osg,9020.t,sdf.f,argx
clar,1113.hk,msgs,anss
orgo,stan.l,trtn,sct.f
pd,evo.st,indf.jk,mlm
inta,zm,newr,ahchf
nvro,ares,nvei,8113.t
nine,epi-a.st,act,tscdf
sumo,4901.t,six2.f,000725.sz
mov,600009.ss,cen.nz,aena.mc
swn,vna.de,ati,luv
irt,vrsn,be,li
ctra,9613.t,txg,udr
hmst,6503.t,alq.ax,pfg
slg,6752.t,agi,1929.hk
pfmt,8053.t,umbf,mkc
