,id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
95,beae9155dd0045ba97e5dfda83c30a72,sorgenia spa,"via alessandro algardi 4, milano, 20148, milano, italy",it12874490159,h-it0008852677,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1999
96,4bea9bbe49144967a7214ceaebe3af2c,f2i er 1 spa,"via san protaso 5, milano, 20121, milano, italy",it08731340967,h-it0042738679,"finance, insurance, and real estate",holding company (6719),corporation,2014
97,98cc2c21030e4ca28ea07ac1bdb1d708,fimedi spa,"corso re umberto 10, torino, 10121, torino, italy",it01123470013,h-it0003008487,"finance, insurance, and real estate",holding company (6719),corporation,1974
98,3f8df268707a401588ba5fa01643380e,buzzi unicem spa,"via luigi buzzi 6, casale monferrato, 15033, alessandria, italy",it01772030068,h-it0034644245,manufacturing,mfg hydraulic cement (3241),corporation,1907
99,599cdef9ac5c45cfbbed2bd580739a67,genertellife spa,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",it06515871009,h-it0071050442,"finance, insurance, and real estate",insurance carrier (6399),corporation,1999
100,e160172aaa2b4879824b6eb07850bf0a,logista italia spa,"via valadier 37, roma, 00193, roma, italy",it06741351008,h-it0058278001,wholesale trade,whol tobacco products (5194),corporation,2001
101,b6927443a712490cbae2119415dd6f86,pirelli tyre spa,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",it07211330159,h-it0037438514,manufacturing,mfg tires/inner tubes (3011),corporation,1983
102,547f26811f4a42c789fa2f449d406104,hera comm spa,"via molino rosso 8, imola, 40026, bologna, italy",it02221101203,h-it0074275860,"transportation, communications, electric, gas, and sanitary services",natural gas distribution (4924),corporation,2001
103,7a871e67040a43e5b14669c27c9ead09,autogrill spa,"galleria san babila 4/a, milano, 20122, milano, italy",it01630730032,h-it0072773472,retail trade,drinking place (5813),corporation,1946
104,4e842080df594726ad12e754569c2979,rete ferroviaria italiana spa,"piazza della croce rossa 1, roma, 00161, roma, italy",it01008081000,h-it0059184531,"transportation, communications, electric, gas, and sanitary services",local/suburban transportation (4111),corporation,1992
105,c57368e66cbe4a8382a6d9f30832b39b,swietelsky baugesellschaft m.b.h.,"via del sole 34, andriano, 39010, bolzano, italy",it02606390215,h-it0018329365,construction,trade contractor (1799),foreign company,2008
106,f609e6275db0451b872ac38f364be71b,cnh industrial italia spa,"viale delle nazioni 55, modena, 41122, modena, italy",it00370290363,h-it0009369996,manufacturing,mfg farm machinery/equipment (3523),corporation,1973
107,f38f0dc617804afdaf807aa5161f1a04,iren mercato spa,"via dei santi giacomo e filippo 7, genova, 16122, genova, italy",it01178580997,h-it0074908405,"transportation, communications, electric, gas, and sanitary services",natural gas distribution (4924),corporation,2000
108,8d10716e48f5458c961db21803f09932,duferco italia holding spa,"via armando diaz 248, san zeno naviglio, 25010, brescia, italy",it00948900329,h-it0054109205,"finance, insurance, and real estate",holding company (6719),corporation,1990
109,768024981b5f48a78227440073280be0,trasporti internazionali agenzia marittima savino del bene spa,"via del botteghino 24/26, scandicci, 50018, firenze, italy",it05300610481,h-it0072354240,"transportation, communications, electric, gas, and sanitary services",transportation services (4789),corporation,1920
110,bb12095703864918ad2d91bcae889881,unieuro spa,"via piero maroncelli 10, forli', 47121, forli'-cesena, italy",it00876320409,h-it0012529079,retail trade,ret misc general merchandise (5399),corporation,1935
111,c0cd5522e5f5477abc7869f43df4e715,axpo italia spa,"via xii ottobre 1, genova, 16121, genova, italy",it01141160992,h-it0061745170,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,2000
112,db371787344a49c2a253bedd628f9171,sind international srl,"via bigli 21, milano, 20121, milano, italy",it11073430156,h-it0071805583,"finance, insurance, and real estate",holding company (6719),corporation,1993
113,a4bda0d4a63448b298f508d3d0e17804,danieli & c. officine meccaniche spa,"via nazionale 41, buttrio, 33042, udine, italy",it00167460302,h-it0018276334,manufacturing,mfg rolling mill machinery (3547),corporation,1962
114,0a3f6005b26a4bb482f8821ed3a9daaf,md spa,"zona a.s.i.capannone 18, gricignano di aversa, 81030, caserta, italy",it03185210618,h-it0072485272,retail trade,ret groceries (5411),corporation,2005
115,ea4f3ced223145d2bc435b3155498557,isab srl,"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy",it01629050897,h-it0002560844,manufacturing,petroleum refiner (2911),corporation,2008
116,0e0f0ba80e5c45208a794d934263836e,astm spa,"corso regina margherita 165, torino, 10144, torino, italy",it00488270018,h-it0021352054,"finance, insurance, and real estate",holding company (6719),corporation,1928
117,c6578332a4f14995a9fc247db6cca655,alessandro patane' srl,"via amaseno 24, latina, 04100, latina, italy",it01943060598,h-it0071980229,services,computer related services (7379),corporation,1999
118,afb8cf87cd7e47d0b1bc583f525263e8,fpt industrial spa,"via puglia 15, torino, 10156, torino, italy",it09397710014,h-it0002560879,manufacturing,mfg motor vehicle/car bodies (3711),corporation,1974
119,e3bed9497f514b1b82003445badec506,luxottica group spa,"piazzale luigi cadorna 3, milano, 20123, milano, italy",it10182640150,h-it0049397494,wholesale trade,whol photo equipment/supplies (5043),corporation,1981
120,0cdf2fe323ba4912bd2932f631cd70e9,de' longhi spa,"via lodovico seitz 47, treviso, 31100, treviso, italy",it03162730265,h-it0075487071,"finance, insurance, and real estate",holding company (6719),corporation,1992
121,b4e7fa0a80ac4c0290732b1e0322f711,bridgestone europe nv sa,"via energy park 14, vimercate, 20871, monza e brianza, italy",it09712150961,h-it0053437772,manufacturing,mfg tires/inner tubes (3011),foreign company,2013
122,0b1db8eced084aee9e9c4616e932cf7f,gi group spa,"piazza iv novembre 5, milano, 20124, milano, italy",it11629770154,h-it0073103470,services,help supply services (7363),corporation,1995
