name,type,industry,founded,founders,headquarters,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
GlavKino,['Corporation'],['Motion pictures'],['2008'],[],"['Krasnogorsk', 'Moscow Oblast', 'Russia']",[],[],[],[],[],"['1,500']",['glavkino.ru']
Enjoy Movies,[],['Cinema'],['2010'],"['Sarik Andreasyan', 'Gevond Andreasyan', 'Georgiy Malkov']","['Moscow, (Russian HQ)']",[],['Movie Production'],[],[],[],[],['Enjoy-Movies.Ru']
Empresas Copec S.A.,['Sociedad Anónima'],['Energy'],['1934'],[],"['Santiago', 'Chile']",[],[],['US$'],[],[],"['8,644']",['www.ec.cl']
Lennauchfilm,['Corporation'],['Motion pictures'],['1933'],[],['St. Petersburg'],[],[],[],[],[],[],['http://www.lennauchfilm.ru']
Bazelevs,['Subsidiary'],['Cinema'],['1991'],['Timur Bekmambetov'],"['Moscow, Russia (Russian HQ)', 'New York, US (International HQ)']",[],"['Movie production', 'special effects']",[],[],[],[],"['bazelevs', '.ru']"
Central Partnership,"['Federal State Unitary Enterprise', 'Subsidiary']",['Motion pictures'],['1995'],[],"['Moscow, Russia']",[],[],[],[],[],[],"['centpart.ru', 'centpart.ru/en']"
Yacimientos Petrolíferos Fiscales Bolivianos,['State-owned enterprise'],['Oil and gas'],"['December\xa021, 1936']",[],"['La Paz', 'Bolivia']",[],[],[],[],[],[],"['ypfb', '.gob', '.bo']"
YPF S.A.,['Sociedad Anónima'],['Petroleum and natural gas'],"['June\xa03, 1922', ' ']","['Government of Argentina', 'Hipólito Yrigoyen']","['Buenos Aires', 'Argentina']",[],"['Fuel stations', 'LNG', 'Oil refining']",[' US$17.5\xa0billion '],[],"['US$24.4\xa0billion ', '(12/2014)', '[5]']","['14,000', '[6]']",['ypf.com']
Bridas,['Private'],"['Petroleum', 'energy']",['1948'],['Bulgheroni Family'],"['Buenos Aires', 'Argentina']",[],[],[' US$600 million (1997)'],[],[],[],[]
Russian World Studios,[],[],[],[],[],[],[],[],[],[],[],[]
Petróleo Brasileiro S.A. — Petrobras,"['Public', 'Mixed Economy']","['Energy', 'Oil and gas']",['3 October 1953'],['Government of Brazil'],['Rio de Janeiro'],[],[],['US$'],"[' ', 'US$', ' 37.5 billion ', '(2021)', '[5]']","[' ', 'US$', ' 174.3 billion ', '(2021)', '[5]']","['45,532 ', '(2021)', '[7]']",['www.petrobras.com.br']
Oil Search,['Dual-listed public company'],['Petroleum'],['1929'],[],['Port Morseby'],[],['Oil & gas exploration'],['US$'],"['(', 'US$', ' 175 million)\xa0(2020)']",[],[],['www.oilsearch.com']
Kinostudiya MosFilm,['Federal State Unitary Enterprise'],['Motion pictures'],['30\xa0January 1924'],[],"['Moscow', 'Russia']",[],[],"['$20.1\xa0million', '\xa0(2017)']","['$1.89\xa0million', '[1]', '\xa0(2017)']","['$63.2\xa0million', '[1]', '\xa0(2017)']","['1,500']","['en', '.mosfilm', '.ru']"
Melnitsa Animation Studio,[],"['Animation', 'Motion pictures']","['March 26, 1999']",[],"['Saint Petersburg', 'Russia']",[],[],"['$1.57\xa0million', '\xa0(2017)']","['$207,909', '[1]', '\xa0(2017)']","['$12.9\xa0million', '[1]', '\xa0(2017)']",['325 (2014)'],"['www', '.melnitsa', '.com']"
Animaccord Animation Studio,['Private'],"['Animation', 'Motion pictures']",['May 2008'],[],"['Miami', 'Florida', 'United States']",[],[],[],[],[],[],"['www', '.animaccord', '.com']"
Non-Stop Production,[],['Motion pictures'],['2005'],[],"['Moscow', 'Russia']",[],[],[],[],[],[],['nonstopkino.ru']
Wizart Animation,['Animation studio'],"['Motion pictures', 'Television']",['2007'],"['Vladimir Nikolaev', 'Yuri Moskvin']","['\n', '\n']",[],['Television'],[],[],[],['200 (2021)'],"['www', '.wizartanimation', '.com']"
"Computer Animation Studio, Petersburg",[],"['Animation', 'Motion pictures']",['March\xa02003'],[],"['Saint Petersburg', 'Russia']",[],[],[],[],[],['150+'],"['skapetersburg', '.ru']"
BHP Group Limited,['Public limited company'],"['Metals', 'Mining']",['1885'],[],"['Melbourne', 'Victoria, Australia']",[],[],"[' ', ' (2021)']","[' ', 'US$25.906 billion', ' (2021)', '[1]']","[' ', 'US$108.927 billion', ' (2021)', '[1]']","['80,000 (2021)', '[2]']","['www', '.bhp', '.com']"
The Todd Corporation Limited,"['Limited company', 'Private', 'Private']","['Conglomerate', 'Natural gas wholesaling', 'LPG wholesaling', 'Electricity generation', 'Electricity retailing', 'Natural gas retailing']","['Otago', 'New Zealand']",['Charles Todd Snr.'],"['Wellington', 'Wellington', 'New Zealand', 'Wellington', 'New Zealand']",[],[],[],[],[],['450'],"['ToddCorporation.com', 'www.toddenergy.co.nz']"
Woodside Energy Group Ltd,['Public'],['Oil and gas'],['26\xa0July\xa01954'],[],['Perth'],[],[],['A$ 6.96 billion (2021)'],[],[],"['≈5,000 (2022)']","['www', '.woodside', '.com', '.au']"
Santos Ltd.,['Public'],['Energy'],['18 March 1954'],[],"['Flinders Street, Adelaide', 'South Australia']",[],[],['US$3.660\xa0billion (2018)'],[],[],"['2,190 (2018)']","['santos', '.com']"
Origin Energy Ltd,['Public'],['Energy'],"['February 2000, but parts of the business date from the 20th century']",[],"['Barangaroo', 'Sydney', 'New South Wales']",[],[],['A$'],[],[],[],"['originenergy', '.com', '.au']"
AWE Limited,['Public'],['Energy'],['1997-2018'],[],"['Perth, Australia']",[],[],[],[],[],[],['https://mitsuiepmidwest.com.au']
XTO Energy Inc.,['Subsidiary'],['Petroleum industry'],['1986'],['Bob R. Simpson'],"['Spring', 'Texas', 'United States']",[],[],[],[],[],[],['xtoenergy.com']
Wizart Animation,['Animation studio'],"['Motion pictures', 'Television']",['2007'],"['Vladimir Nikolaev', 'Yuri Moskvin']","['\n', '\n']",[],['Television'],[],[],[],['200 (2021)'],"['www', '.wizartanimation', '.com']"
"VAALCO Energy, Inc.",['Public company'],['Petroleum industry'],['1985'],[],['Houston'],[],[],[' $199 million (2021)'],[],[' $263 million (2021)'],"['117, including 80 in ', 'Gabon', ' (2021)']","['www', '.vaalco', '.com']"
Valero Energy Corporation,['Public'],['Oil and gas'],"['January\xa01, 1980']",['William Greehey'],"['San Antonio', 'Texas', 'United States']",[],[],"[' ', ' ']","[' ', 'US$4.572 billion', ' ', '(2018)', '[1]']","[' ', 'US$50.158 billion', ' ', '(2018)', '[1]']","['10,015 ', '(January 2018)', '[1]']","['www', '.valero', '.com']"
Se-ma-for,[],['licensing'],['1947'],[],['Lodz'],[],[],[],[],[],[],"['www', '.se-ma-for', '.com']"
Star Cinema,['Subsidiary'],"['Broadcast media', 'Television production']","['May\xa08,\xa01993', '1997']",[],"['ABS-CBN Broadcasting Center', 'ABS-CBN Broadcasting Center', 'Diliman', 'Quezon City', 'Philippines']",[],['Film and television post-production'],"['₱', 'FY']",[],[],[],"['starcinema', '.abs-cbn', '.com']"
Viva Films,['Subsidiary'],['Motion pictures'],"['Quezon City', 'Philippines']",['Vicente del Rosario Jr.'],"['Pasig', 'Philippines']",[],[],[],[],[],[],[]
"Sampaguita Pictures, Inc.",['Film production'],['Motion pictures'],['1937'],[],"['Granada Street', 'New Manila', 'Quezon City', 'Philippines']",[],[],[],[],[],[],[]
Southwestern Energy Company,['Public company'],['Petroleum industry'],"['1929', ' (as Arkansas Western Gas Company)']",[],"['Spring, Texas']",[],[],"[' ', ' (2021)']",[],[' US$11.848 billion (2021)'],['938 (2020)'],"['www', '.swn', '.com']"
SM Energy Company,['Public company'],['Petroleum industry'],['1908'],[],['Denver'],[],[],[' $2.622 billion (2021)'],[],[' $5.233 billion (2021)'],['506 (2021)'],"['sm-energy', '.com']"
"Shell USA, Inc.",['Subsidiary'],['Oil and gas'],['U.S.'],[],"['Houston', 'Texas', 'United States']",[],[],['US$'],[],[],"['12,100+ (2021)', '[3]']","['www', '.shell', '.us']"
"SandRidge Energy, Inc.",['Public company'],['Petroleum industry'],['2006'],['Tom L. Ward'],"[' ', 'SandRidge Center', 'Oklahoma City', ', ', 'Oklahoma', 'United States']",[],[],[' $168 million (2021)'],[],[' $352 million (2021)'],['101 (2021)'],"['sandridgeenergy', '.com']"
LVN Pictures,['Private'],[],['1938'],[],"['Quezon City, Metro Manila']",[],"['Film studio', 'Post-production']",[],[],[],[],[]
OctoArts Films,['Subsidiary'],"['Theatrical distribution', 'film production', 'marketing']",['1989'],['Orlando R. Ilacad'],"['Quezon City', 'Philippines']",[],[],[],[],[],[],[]
SF Norge,['Film distribution'],[],['1989'],[],['Norway'],[],[],[],[],[],[],[]
Range Resources Corporation,['Public company'],['Petroleum industry'],['1976'],[],"['Fort Worth, Texas']",[],[],"[' ', ' (2021)']",[],[' US$6.660 billion (2021)'],['527 (2021)'],"['rangeresources', '.com']"
GMA Pictures,['Subsidiary'],"['Film distribution', 'Film production', 'Television production']",['1995'],['Felipe Gozon'],"['GMA Network Center', 'EDSA', 'Timog Avenue', 'Quezon City', 'Philippines']",[],[],[],[],[],[],"['gmanetwork', '.com', '/films']"
Storm Studios,[],['Entertainment'],"['November 1, 2001']",[],"['Oslo', 'Norway']",[],[],[],[],[],[],[]
Pioneer Natural Resources Company,['Public company'],['Petroleum industry'],['1997'],[],"['Irving, Texas']",[],[],[' $14.643 billion (2021)'],[],[' $36.811 billion (2021)'],"['1,932 (2021)']","['pxd', '.com']"
Ovintiv Inc.,['Public company'],['Petroleum industry'],"['Calgary', 'Alberta']",[],"['Denver, Colorado']",[],[],"[' ', ' (2021)']",[],[' US$14.055 billion (2021)'],"['1,713 (2021)']","['www', '.ovintiv', '.com']"
Occidental Petroleum Corporation,['Public company'],['Chemical industry'],['June\xa01909'],[],"['Houston, Texas']",[],[],['US$'],"[' ', 'US$', '2.790 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","[' ', 'US$', '75.036 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","[' 11,618 (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","['oxy', '.com']"
Murphy Oil Corporation,['Public company'],['Petroleum industry'],['1944'],['Charles H. Murphy Sr.'],"['Houston, Texas', 'United States']",[],[],[' $2.801 billion (2021)'],[],[' $10.305 billion (2021)'],['696 (2021)'],"['www', '.murphyoilcorp', '.com']"
Marathon Oil Corporation,['Public company'],['Petroleum'],"['1887', ' as ""The Ohio Oil Company""']",[],"['Marathon Oil Tower', 'Houston']",[],[],[' $3.086 billion (2020)'],[],[' $17.956 billion (2020)'],"['1,672 (2020)']",['marathonoil.com']
"Laredo Petroleum, Inc.",['Public company'],['Petroleum industry'],['2006'],['Randy A. Foutch'],"['Tulsa, Oklahoma']",[],[],[' $677 million (2020)'],[],[' $1.442 billion (2020)'],['257 (2020)'],"['laredopetro', '.com']"
"Koch Industries, Inc.",['Private'],['Conglomerate'],"['February\xa08, 1940']",['Fred C. Koch'],"['Wichita, Kansas']",[],[],['US$'],[],[],"['120,000 (2022)', '[4]']","['www', '.kochind', '.com']"
"WingNut Films, Inc.",['Public'],['Motion picture'],"['14 February 1987', ' (as an independent film company)', '17 March 2003', ' (as an incorporated company)']",['Michael Stephens'],['Wellington'],[],[],[],[],[],[],[]
"HKN, Inc.",['Public company'],['Petroleum industry'],['1973'],[],"['Southlake, Texas']",[],[],[' $385 thousand (2016)'],[],[' $11 million (2016)'],['18'],"['www', '.hkninc', '.com']"
New Zealand Film Commission,['Incentive'],[],[],[],[],[],[],[],[],[],[],[]
KRU Studios,['Private Limited Company'],[],"['Kuala Lumpur', 'Malaysia']",[],"['Bukit Jalil', 'Kuala Lumpur', 'Malaysia']",[],[],[],[],[],[],"['www', '.krustudios', '.com']"
Astro Shaw Sdn Bhd,['Private Limited Company'],['Film'],['2005'],[],['Malaysia'],[],"['Film production, distribution and marketing']",[],[],[],[],"['www', '.astroshaw', '.com', '.my']"
"Toei Company, Ltd.","['Public', 'KK']","['Film and television', 'Video games']",['Tokyu'],['Keita Goto'],"['Ginza', 'Chūō, Tokyo']",[],['Film and TV distribution and marketing'],"['¥ 66,300,000,000', '(as of March 2006)']",[],[],"['343', '(as of March 1, 2019)', '[1]']","['www', '.toei', '.co', '.jp']"
Hess Corporation,['Public'],['Oil and gas'],"['December\xa011, 1919']",['Leon Hess'],"['New York City', 'New York']",[],[],"[' ', '\xa0(2020)']","[' −', 'US$', '393', ' million', '[1]', '\xa0(2020)']","[' ', 'US$18.821 billion', '[1]', '\xa0(2020)']","['1621', '[1]', '\xa0(2020)']","['hess', '.com']"
"Toho Company, Ltd.","['Public', 'KK']","['Motion picture, theatre, television, video games']","['Tokyo', 'Japan']",['Ichizō Kobayashi'],"['Yūrakuchō', 'Chiyoda']",[],"['Film distribution', 'Film production', 'Movie theatres']",[],[],[],"['3,305', '[2]']","['www', '.toho', '.co', '.jp']"
"Diamondback Energy, Inc.",['Public company'],['Petroleum industry'],[],[],"['Midland, Texas']",[],[],"[' ', ' (2021)']",[],"[' ', 'US$22.898 billion', ' (2021)']",['870 (2021)'],"['www', '.diamondbackenergy', '.com']"
EQT Corporation,['Public company'],['Petroleum industry'],['1888'],['Michael and Obediah Haymaker'],"['EQT Plaza', 'Pittsburgh, Pennsylvania']",[],[],"[' ', ' (2020)']",[],[' US$18.113 billion (2020)'],['693 (Dec. 2021)'],"['www', '.eqt', '.com']"
"EOG Resources, Inc.",['Public company'],['Petroleum industry'],['1999'],['Mark G. Papa'],"['Heritage Plaza', 'Houston']",[],[],[' $11.032 billion (2020)'],[],[' $35.804 billion (2020)'],"['2,900 (2020)']","['www', '.eogresources', '.com']"
Devon Energy Corporation,['Public company'],['Petroleum industry'],['1971'],['J. Larry Nichols'],"['Devon Energy Center', 'Oklahoma City']",[],[],[' $12.206 billion (2021)'],[],[' $21.025 billion (2021)'],"['1,600 (2021)']","['www', '.devonenergy', '.com']"
"Continental Resources, Inc.",['Public company'],['Petroleum'],[],['Harold Hamm'],['Oklahoma City'],[],[],[' $5.719 billion (2021)'],[],[' $18.591 billion (2021)'],"['1,254 (2021)']","['clr', '.com']"
Coterra Energy Inc.,['Public company'],['Petroleum industry'],['1989'],[],"['Houston, Texas']",[],[],"[' ', ' (2021)']",[],[' US$19.900 billion (2021)'],['936 (2021)'],"['coterra', '.com']"
Denbury Inc.,['Public company'],['Petroleum industry'],['1951'],[],"['Plano, Texas']",[],[],[' $1.258 billion (2021)'],[],[' $1.902 billion (2021)'],['716 (2021)'],"['www', '.denbury', '.com']"
ConocoPhillips Company,['Public'],['Oil and gas'],"['30\xa0August 2002', ' (as ConocoPhillips Co.)']",['Frank Phillips'],"['Houston Energy Corridor', 'Houston, Texas']",[],[],"[' ', ' (2021)']","[' ', 'US$11.16 billion', ' (2021)']","[' ', 'US$90.66 billion', ' (2021)']","['c.', '\u20099,900', ' (December 2021)']",['conocophillips.com']
"Shochiku Co., Ltd.",['Public'],['Entertainment (Movie)'],"['Tokyo', 'Japan', 'kabuki']","['大谷竹次郎', '白井松次郎']",['Tsukiji'],[],[],['5.4 billion Yen\xa0(2021)'],[],[],['1427\xa0(2021)'],"['www', '.shochiku', '.co', '.jp']"
Nikkatsu,['Private'],"['Television production', 'Film']",['1912'],[],['Japan'],[],[],[],[],[],[],"['www', '.nikkatsu', '.com']"
CNX Resources Corporation,['Public company'],['Natural gas'],[],[],[],[],[],[' $756 million (2021)'],[],[' $8.100 billion (2021)'],['441 (2021)'],"['www', '.cnx', '.com']"
Kadokawa Daiei Studio,"['Private', 'KK']",['Film'],['November 2002'],[],"['1-8-19 Fujimi, Chiyoda-ku, Tokyo 102-8078']",[],[],[],[],[],[],"['kd-st', '.co', '.jp']"
Chord Energy Corporation,['Public company'],['Petroleum industry'],"['July\xa01, 2022']",[],"['Houston, Texas']",[],[],[],[],[],[],"['www', '.chordenergy', '.com']"
"Eiken Co., Ltd.",['Kabushiki-gaisha'],['Japanese animation'],"['March\xa010, 1969']",['Hidenori Murata'],['Arakawa-ku'],[],[],[],[],"['823,679,000 yen\xa0(December 31, 2020)']",['50'],[]
HVI Cat Canyon Inc.,['Privately held company'],"['Petroleum industry', 'Mining']","['1999', '(Saba; Horizontal Ventures)']",[],"['Santa Maria', 'California', 'U.S.']",[],[],[],[],[],['200'],"['www', '.greka', '.com']"
Enoki Films,[],"['Film, Anime']","['London, England']",[],"['Shinjuku, Tokyo']",[],[],[],[],[],[],['enoki-films.co.jp']
Titanus,['Production company'],[],['1904'],['Gustavo Lombardo'],"['Rome, Italy']",[],[],[],[],[],[],[]
Blacksands Pacific,['Private'],['Oil and Gas'],[],[],"['Los Angeles', 'Houston', 'United States']",[],[],[],[],[],['51-200'],"['www', '.blacksandspacific', '.com']"
Chesapeake Energy Corporation,['Public company'],['Petroleum industry'],['1989'],"['Aubrey McClendon', 'Tom L. Ward']","['Oklahoma City, Oklahoma', ', U.S.']",[],[],"[' ', ' (2021)']",[],"[' ', 'US$11.009 billion', ' (2021)']","['1,300 (2022)']","['chk', '.com']"
California Resources Corporation,['Public company'],['Petroleum industry'],['April\xa02014'],[],"['Los Angeles, California']",[],[],[' $1.889 billion (2021)'],[],[' $3.846 billion (2021)'],['970 (2021)'],"['crc', '.com']"
Berry Corporation,['Public company'],['Petroleum industry'],['1909'],['Clarence Berry'],"['Dallas, TX']",[],[],[' $544 million (2021)'],[],[' $1.456 billion (2021)'],"['1,224 (2021)']","['bry', '.com']"
APA Corporation,['Public company'],['Petroleum industry'],['1954'],['Raymond Plank'],"['Post Oak Central', 'Houston, Texas']",[],[],"[' ', ' (2021)']","[' ', 'US$1.891 billion', ' (2021)']","[' ', 'US$13.303 billion', ' (2021)']","['2,253 (2021)']","['apacorp', '.com']"
Antero Resources Corporation,['Public company'],['Petroleum industry'],['2002'],"['Paul M. Rady', 'Glen C. Warren, Jr.']","['Denver, Colorado']",[],[],"[' ', ' (2021)']",[],[' US$13.896 billion (2021)'],"['519 (December 31, 2021)']","['www', '.anteroresources', '.com']"
Petrotrin,['Public'],['Oil and gas industry'],['January\xa01993'],[],"['Pointe-a-Pierre', 'Trinidad and Tobago']",[],[],[],[],['TT$40.5 billion'],"['5,500', '[2]']","['www', '.petrotrin', '.com']"
Petróleos Mexicanos,['State-owned enterprise'],['Oil and gas'],"['June\xa07, 1938']",['Lázaro Cárdenas'],['Mexico City'],[],[],[' US$74.394 billion (2019)'],"[' US$1.965 billion (2019)', '[1]']","[' US$101.800 billion (2019)', '[1]']","['124,818 (2018)']","['www', '.pemex', '.com']"
Gasolineras Uno,[],['Oil and gas'],[],[],['Tegucigalpa'],[],[],[],[],[],[],"['www', '.uno-terra', '.com']"
Vermilion Energy Inc.,['Public'],['Petroleum'],['1994'],[],"['Calgary, Alberta', 'Canada']",[],[],['US$'],[],"['US$', '8.271\xa0billion ', 'dec18', '[1]']","['1,053', '[2]']","['vermilionenergy', '.com']"
Cuba Oil Union,['State'],['Oil and gas'],"['August\xa06, 1960']",[],['Havana'],[],[],[],[],[],"['24,000 (March 2016)', '[1]']","['www', '.cupet', '.cu', '/es']"
TC Energy Corporation,['Public'],['Energy'],['1951'],[],"['Calgary', 'Alberta']",[],"['Pipeline transport', 'Natural gas storage', 'Electricity generation']",['CA$'],"[' ', 'CA$', '2.166 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","[' ', 'CA$', '104.218 Billion (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","['7,000', '[2]']","['www', '.tcenergy', '.com']"
ShaMaran Petroleum Corp.,['Public'],['Oil and gas'],"['October\xa03,\xa01991']",[],"['Vancouver', 'Canada']",[],[],[],[],[],[],"['www', '.shamaranpetroleum', '.com']"
Syncrude Canada Ltd.,['Joint Venture'],['Petroleum'],['December\xa01964'],[],"['Fort McMurray', 'Alberta']",[],[],[],[],[],"['5,600 ', '(2009)']",['syncrude.ca']
Yash Raj Films,['Privately held company'],[],['1970'],['Yash Chopra'],['Mumbai'],[],[],[],[],[],[],[' ']
Vishesh Films,[],['Motion pictures'],['1986'],[],"['Mumbai', 'India']",[],[],[],[],[],[],"['www', '.visheshfilms', '.com']"
Vinod Chopra Films,['Private Limited Company'],['Motion pictures'],['1985'],['Vidhu Vinod Chopra'],"['Mumbai', 'India']",[],[],[],[],[],[],['https://www.vinodchoprafilms.com/']
Vijaya Vauhini Studios,[],['Motion picture'],['1948'],"['Moola Narayana Swamy', 'B. N. Reddy']","['Chennai', 'Tamil Nadu', 'India']",[],[],[],[],[],[],[]
UTV Motion Pictures,['Division'],"['Film production', 'film distribution']",['1996'],"['Ronnie Screwvala', 'Zarina Screwvala']","['Mumbai', 'India']",[],"['Film production, marketing and distribution']",[],[],[],[],"['corporate', '.disney', '.in', '/disney-companies', '/studios']"
Trimurti Films Pvt. Ltd.,[],['Motion pictures'],"['Mumbai', 'Maharashtra', 'India']",[],"['Mumbai', 'Maharashtra', 'India']",[],[],[],[],[],[],[]
Tips Industries,['Public'],"['Entertainment', 'Music', 'Film production']",['1975'],"['Kumar S. Taurani', 'Ramesh S. Taurani']","['Mumbai', 'Maharashtra', 'India']",[],"['Music Records label', 'Film Production', 'Film Promotion', 'Film Distribution']",[],[],[],[],"['tips', '.in']"
Viacom18 Studios,['Subsidiary'],['Film'],"['2006', ' in Mumbai']",[],"['Mumbai', 'India']",[],[],[],[],[],[],"['www', '.viacom18studios', '.com']"
Suresh Productions,['Private'],['Entertainment'],['1964'],['D. Ramanaidu'],"['Hyderabad', 'Telangana']",[],"['Film production', 'Film distribution']",[],[],[],[],['Suresh Productions']
Suncor Energy Inc.,['Public'],['Oil and gas'],['22\xa0August\xa01979'],[],"['Calgary', 'Alberta']",[],[],['CAN'],[],"['CAN', '$83.739 billion (2021)', '[2]']","['16,922 (2021)', '[3]']","['suncor', '.com']"
Super Cassette Industries Private Limited,['Private'],"['Music', 'Entertainment']",['Delhi'],['Gulshan Kumar'],"['Noida', 'India']",[],"['Music record label', 'Film production']",[],[],[],[],['TSeries.com']
Questerre Energy Corporation,"['Publicly traded', 'corporation']",['Petroleum industry'],['2000'],[],"['Calgary', 'Canada', 'Oslo', 'Norway']",[],[],['C$'],"[' (C$18.3 million) ', '(2010)', '[2]']","['C$269.0 million ', '(end 2010)', '[2]']","['20 ', '(end 2010)', '[3]']","['www', '.questerre', '.com']"
Surinder Films,['Private'],['Entertainment(2001-Present)'],[],['Surinder Singh'],"['Kolkata', 'West Bengal']",[],[],[],[],[],[],['Surinder Films']
Nalcor Energy,['Crown Corporation'],['Energy'],"[""St. John's, Newfoundland and Labrador""]",[],"[""St. John's, Newfoundland and Labrador"", 'Canada']",[],[],['Can$'],"['Can$132 Million ', '(2018)', '[3]']","['Can$19.3 Billion ', '(2018)', '[3]']",[],"['www', '.nalcorenergy', '.com']"
Imperial Oil Limited,['Public'],['Petroleum'],['1880'],[],"['Calgary', 'Alberta', 'Canada']",[],[],['CAD'],[],"['$43.170 billion ', 'CAD', ' (2015)', '[2]']","['5,263 (2012)', '[2]']",['imperialoil.ca']
MEG Energy Corp.,['Public'],['Oil and gas industry'],['1999 by William J McCaffery as  McCaffery Energy Group Inc'],[],['Calgary'],[],[],"['$3,931 million ']",[],"['C$7,866 million ', '(2019)', '[3]', '6%']",['485 (June 2013)'],"['www', '.megenergy', '.com']"
Irving Oil Ltd.,['Private'],['Oil and petroleum'],['1924'],['K. C. Irving'],"['Saint John, New Brunswick']",[],[],[],[],[],[],"['www', '.irvingoil', '.com']"
Ridgeback Resources Inc.,['Private company'],"['Petroleum and Natural Gas Exploration, Development and Production']",[],[],"['Calgary', 'Alberta']",[],[],[],[],[],[],"['www', '.ridgeback', '.com']"
Obsidian Energy Ltd.,['Public'],['Oil and natural gas'],"['Calgary', 'Alberta', 'Canada']",[],['Headquarters in Calgary; oil and gas wells throughout western Canada'],[],[],[],[],[],"['300 (2017)', '[1]']","['www', '.obsidianenergy', '.com']"
First Calgary Petroleums Ltd.,[],['Oil & Gas Drilling & Exploration'],[],[],"['Calgary, Alberta', 'Canada']",[],[],[],[],[],"['64 (2008)', '[1]']","['www', '.fcpl', '.ca']"
Studio Green,['Private'],"['Film, Producer']",['2005'],[],"['Chennai', 'Tamil Nadu']",[],[],[],[],[],[],['http://studiogreen.in']
Frontera Energy,['Public'],['Oil and Gas'],['2009'],[],"['Toronto', 'Ontario']",[],[],['US$'],"[' ', 'US$', ' 1.1 billion ', '(2013)']",[],"['2,506']",['www.fronteraenergy.ca']
Enerplus Corporation,['Public'],['Oil & Gas Drilling & Exploration'],[],"['Marcel Tremblay', 'John Brussa']","['Calgary, Alberta', 'Canada']",[],[],['$1.29 billion (2018)'],[],[],"['~400', '[2]']","['www', '.enerplus', '.com']"
Enbridge Inc.,['Public'],['Oil and gas'],"['April\xa030,\xa01949', '(as Interprovincial Pipe Line Company)']",['Imperial Oil'],"['Calgary', 'Alberta']",[],"['Pipeline transport', 'Oil storage', 'Renewable Energy']",['C$50.069\xa0billion(2019)'],['C$8.260\xa0billion(2019)'],"['C$163.269\xa0billion(2019)', '[1]']","['11,000+']",[' ']
Crescent Point Energy Corp.,['Public company'],['Oil and gas industry'],['2001 as Crescent Point Energy Ltd.'],[],['Calgary'],[],[],['CAD$1.7 billion (2020)'],[],[],[],"['www', '.crescentpointenergy', '.com']"
Cenovus Energy Inc.,['Public'],"['Oil', 'Natural gas']",['2009'],[],"['Calgary', 'Alberta']",[],[],['CAD'],[],[],"['~2,300 (2019)']","['www', '.cenovus', '.com']"
Sivaji Productions,"['Film production', 'Film distribution']","['Entertainment', 'Software']",['1956'],[],['Chennai'],[],[],[],[],[],[],[]
Shree Venkatesh Films,['Media and Entertainment Company'],[],['1995'],"['Shrikant Mohta', 'Mahendra Soni']",['Kolkata'],[],[],[],[],[],[],['SVF']
Shree Ashtavinayak Cine Vision Ltd,['Public'],['Motion picture'],['2001'],[],"['Mumbai', 'Maharashtra', 'India']",[],[],[],[],[],[],[]
Sahara One,[],[],[],[],"['Mumbai, Maharastra']",[],[],[],[],[],[],[]
Canadian Natural Resources Limited,['Public company'],['Petroleum industry'],['7\xa0November 1973'],[],"['Calgary, Alberta']",[],[],[' $17.491 billion (2020)'],[],[' $75.276 billion (2020)'],"['9,709 (2021)']","['www', '.cnrl', '.com']"
Baytex Energy Corp.,['Public'],['Petroleum industry'],['1993'],[],['Calgary'],[],[],['C$'],[],"['C$', '2.047\xa0billion dec 2010']",[],"['www', '.baytexenergy', '.com']"
ARC Resources Ltd.,['Public'],['Oil and gas'],['1996'],[],"['Calgary', 'Alberta']",[],[],['CAD'],[],[],['500 (2021)'],"['www', '.arcresources', '.com']"
Tullow Oil plc,['Public limited company'],['Oil and gas exploration'],"['Tullow', 'Ireland']",[],"['London, United Kingdom']",[],[],['$'],"[' $514.5\xa0million (2021)', '[1]']",[],[],"['www', '.tullowoil', '.com']"
Regal Petroleum plc,['Public limited company'],['Oil and gas industry'],[],[],['London'],[],[],[],[],[],[],"['www', '.regalpetroleum', '.com']"
Rajshri Productions,['Private'],['Entertainment'],['1947'],['Tarachand Barjatya'],['Mumbai'],[],[],[],[],[],[],"['www', '.rajshri', '.com']"
PVR Pictures Limited,['Subsidiary'],[],['1997'],[],"['Gurgaon', 'India']",[],[],[],[],[],[],"['www', '.pvrpictures', '.com']"
Padmalaya Studios,['Private'],['Entertainment'],['1970'],['Ghattamaneni Krishna'],"['Jubilee Hills', 'Hyderabad']",[],"['Film production', 'Film distribution']",[],[],[],[],[]
Nadiadwala Grandson Entertainment Pvt. Ltd,['Private'],['Entertainment'],"['Mumbai, Maharashtra']",['Abdul Karim Nadiadwala'],"['Mumbai, Maharashtra', 'India']",[],[],[],[],[],[],"['www', '.nadiadwalagrandson', '.com']"
Mukta Arts Ltd.,['Public'],['Entertainment'],['Subhash Ghai'],[],"['Mumbai', 'India']",[],[],[],[],[],[],['Mukta Arts']
