Name,Industry,Sector,Headquarters,Founded
Gold & Wood,Consumer goods,Personal products,Luxembourg City,1995
KBL European Private Bankers,Financials,Banks,Luxembourg City,1949
Kulczyk Investments,Financials,Investment services,Luxembourg City,2007
Lionair,Consumer services,Airlines,Luxembourg City,1988
Luvanis,Consumer goods,Clothing & accessories,Luxembourg City,2009
Luxair,Consumer services,Airlines,Sandweiler,1962
LuxAnimation,Consumer services,Broadcasting & entertainment,Doncols,2002
Luxembourg Stock Exchange,Financials,Investment services,Luxembourg City,1928
Luxempart,Financials,Investment services,Leudelange,1988
Melusine,Consumer services,Broadcasting & entertainment,Howald,1997
Mousel,Consumer goods,Brewers,Luxembourg City,1511
ORCO,Financials,Real estate holding & development,Capellen,1991
P&TLuxembourg,Telecommunications,Fixed line telecommunications,Luxembourg City,1992
Radio Luxembourg,Consumer services,Broadcasting & entertainment,Luxembourg City,1933
Regus,Industrials,Business support services,Luxembourg City,1989
Reinet Investments,Financials,Investment services,Luxembourg City,2008
Rotarex,Industrials,Industrial machinery,Lintgen,1922
RTL Group,Consumer services,Broadcasting & entertainment,Kirchberg,1920
Saint-Paul Luxembourg,Consumer services,Publishing,Luxembourg City,1848
SES S.A.,Telecommunications,Mobile telecommunications,Betzdorf,1985
Société Nationale de Crédit et d'Investissement,Financials,Banks,Luxembourg City,1978
Société Nationale des Chemins de Fer Luxembourgeois,Industrials,Railroads,Luxembourg City,1946
Strategic Airlines Luxembourg,Consumer services,Airlines,Luxembourg City,2010
Streamworks International,Consumer services,Broadcasting & entertainment,Luxembourg City,2006
Techniques d'Avant Garde,Consumer services,Airlines,Luxembourg City,1977
Utopia Group,Consumer services,Recreational services,Luxembourg City,2002
West Air Luxembourg,Industrials,Delivery services,Bertrange,2002
Achema,Basic materials,Specialty chemicals,Jonava,1962
Alita,Consumer goods,Brewers,Alytus,1963
Apranga,Consumer services,Apparel retailers,Vilnius,1993
Aurela,Consumer services,Airlines,Vilnius,1996
Avia Solutions Group,Industrials,Transportation services,Vilnius,2010
AviaAM Leasing,Industrials,Transportation services,Vilnius,2007
Aviavilsa,Industrials,Delivery services,Vilnius,1999
Avion Express,Consumer services,Airlines,Vilnius,2005
Baltija Shipbuilding Yard,Industrials,Commercial vehicles & trucks,Klaipėda,1952
Baltik vairas,Consumer goods,Recreational products,Šiauliai,1993
Čili,Consumer services,Restaurants & bars,Vilnius,1997
DOT LT,Consumer services,Airlines,Karmėlava,2003
Dvarčionių keramika,Industrials,Building materials & fixtures,Vilnius,1888
Ekspla,Industrials,Electronic equipment,Vilnius,1983
Gubernija,Consumer goods,Brewers,Šiauliai,1665
Kalnapilis,Consumer goods,Brewers,Panevėžys,1902
Lietuvos Dujos,Utilities,Gas distribution,Vilnius,1961
Lietuvos Energija,Utilities,Conventional electricity,Vilnius,1997
Lietuvos paštas,Consumer services,Delivery services,Vilnius,1918
Maxima Group,Consumer services,Broadline retailers,Vilnius,1992
Small Planet Airlines,Consumer services,Airlines,Vilnius,2007
Stumbras,Consumer goods,Distillers & vintners,Kaunas,1906
Tauras,Consumer goods,Brewers,Vilnius,1860
Teo LT,Telecommunications,Fixed line telecommunications,Vilnius,1992
Ūkio bankas,Financials,Banks,Kaunas,1989
Vilniaus prekyba,Consumer services,Broadline retailers,Vilnius,1992
Volfas Engelman,Consumer goods,Brewers,Kaunas,1853
ŽIA valda,Financials,Investment services,Vilnius,1997
ABLV Bank,Financials,Banks,Riga,1993
Aerodium Latvia,Industrials,Industrial machinery,Sigulda,2004
AirBaltic,Consumer services,Airlines,Riga,1995
Ave Line,Industrials,Marine transportation,Riga,2000
Baltic Coal Terminal,Industrials,Transportation services,Ventspils,2005
Banka Baltija,Financials,Banks,Riga,1993
Bank of Latvia,Financials,Banks,Riga,1992
Bellaccord Electro,Consumer services,Broadcasting & entertainment,Riga,1931
Cēsu Alus,Consumer goods,Brewers,Cēsis,1590
Citadele Banka,Financials,Banks,Riga,2010
Dartz,Consumer goods,Automobiles,Riga,2008
Double Coffee,Consumer services,Restaurants & bars,Riga,2002
Elko Grupa,Consumer goods,Consumer electronics,Riga,1993
Ford-Vairogs,Consumer goods,Automobiles,Riga,1936
Forticom,Technology,Software,Riga,1999
Grindeks,Health care,Pharmaceuticals,Riga,1991
Inversija,Industrials,Delivery services,Riga,1991
Just5,Telecommunications,Telecommunications equipment,Riga,2008
Laima,Consumer goods,Food products,Riga,1870
Lattelecom,Telecommunications,Fixed line telecommunications,Riga,1992
Latvenergo,Utilities,Conventional electricity,Riga,1958
Latvian Mobile Telephone,Telecommunications,Mobile telecommunications,Riga,1992
Latvian Shipping Company,Industrials,Marine transportation,Riga,1940
Latvijas Balzams,Consumer goods,Soft drinks,Riga,1997
Latvijas Gāze,Oil & gas,Exploration & production,Riga,1991
Latvijas Krājbanka,Financials,Banks,Riga,1924
Latvijas Pasts,Logistics,Delivery services,Riga,1992
Microphone Records,Consumer services,Broadcasting & entertainment,Riga,1993
Norvik Banka,Financials,Banks,Riga,1992
Olainfarm,Health care,Pharmaceuticals,Olaine,1972
Parex Bank,Financials,Banks,Riga,1992
PrivatBank Latvia,Financials,Banks,Riga,2007
RAF-Avia,Consumer services,Airlines,Riga,1990
Rietumu Banka,Financials,Banks,Riga,1992
Riga Autobus Factory,Consumer goods,Automobiles,Riga,1949
Rimi Baltic,Consumer services,Food retailers & wholesalers,Riga,2004
Russo-Balt,Consumer goods,Automobiles,Riga,1874
SAF Tehnika,Technology,Telecommunications equipment,Riga,1999
SEB Unibanka,Financials,Banks,Riga,1993
Sereal,Consumer goods,Recreational products,Riga,2011
SmartLynx Airlines,Consumer services,Airlines,Mārupe,1993
VEF,Consumer goods,Consumer electronics,Riga,1919
A&G Management Consulting,Industrials,Business support services,Turin,1988
A2A,Utilities,Multiutilities,Brescia,2008
Abarth,Consumer goods,Automobiles,Turin,1949
Abon Plastic,Industrials,Containers & packaging,Gornate-Olona,1973
Aermacchi,Industrials,Aerospace,Varese,1912
Agip,Oil & gas,Oil & gas refining & marketing,Rome,1926
AgustaWestland,Industrials,Aerospace & defense,Rome,2000
AGV,Consumer goods,Auto parts,Alessandria,1946
Air Dolomiti,Consumer services,Airlines,Villafranca di Verona,1991
Air One,Consumer services,Airlines,Fiumicino,1983
ALAN,Consumer goods,Recreational products,Veggiano,1972
Alenia Aermacchi,Industrials,Aerospace,Venegono Superiore,2012
Alenia Aeronautica,Industrials,Aerospace,Rome,1990
Alessi,Consumer goods,Durable household products,Omegna,1921
Alfa Romeo,Consumer goods,Automobiles,Turin,1910
Alitalia,Consumer services,Airlines,Fiumicino,1999
Alleanza Assicurazioni,Financials,Life insurance,Milan,1898
Alpinestars,Consumer goods,Clothing & accessories,Asolo,1963
Andrea Moda,Consumer goods,Clothing & accessories,Morrovalle,1985
Angelini,Health care,Pharmaceuticals,Rome,1919
Anonima Petroli Italiana,Oil & gas,Petroleum products,Rome,1933
Ansaldo Energia,Utilities,Conventional electricity,Genoa,1853
Ansaldo STS,Industrials,Railroads,Genoa,2006
Aprilia,Consumer goods,Automobiles,Noale,1945
Arflex,Consumer goods,Furnishings,Milan,1947
Armani,Consumer goods,Clothing & accessories,Milan,1975
Arnoldo Mondadori Editore,Consumer services,Publishing,Segrate,1907
Artemide,Consumer goods,Furnishings,Pregnana Milanese,1960
Assicurazioni Generali,Financials,Full line insurance,Trieste,1831
Atala,Consumer goods,Recreational products,Monza,1921
Autobianchi,Consumer goods,Automobiles,Milan,1995
Autogrill,Consumer services,Food retailers & wholesalers,Rozzano,1947
Avio,Industrials,Aerospace & defense,Rome,1908
Azimut Yachts,Industrials,Shipbuilding,Turin,1969
B Engineering,Consumer goods,Automobiles,Campogalliano,2000
B&B Italia,Consumer goods,Furnishings,Novedrate,1966
Baldinini,Consumer goods,Footwear,San Mauro Pascoli,1910
Banca Carige,Financials,Banks,Genoa,1483
Banca Monte dei Paschi di Siena,Financials,Banks,Siena,1472
Banca Nazionale del Lavoro,Financials,Banks,Rome,1913
Banca Popolare di Milano,Financials,Banks,Milan,1865
Banco Popolare,Financials,Banks,Verona,2007
Bandini Automobili,Consumer goods,Automobiles,Forlì,1946
Barilla Group,Consumer goods,Food products,Parma,1877
Basso Bikes,Consumer goods,Recreational products,San Zenone degli Ezzelini,1977
Benelli Armi SpA,Industrials,Defense,Urbino,1967
Benelli,Consumer goods,Automobiles,Pesaro,1911
Benetti,Industrials,Shipbuilding,Viareggio,1873
Benetton Group,Consumer goods,Clothing & accessories,Ponzano Veneto,1965
Bennet,Consumer services,Food retailers & wholesalers,Montano Lucino,1964
Beretta,Industrials,Defense,Brescia,1526
Bertolli,Consumer goods,Food products,Lucca,1865
Beta,Consumer goods,Automobiles,Rignano sull'Arno,1904
Bettanin & Venturi,Consumer goods,Footwear,Vigasio,1994
Bianchi,Consumer goods,Recreational products,Milan,1885
Bimota,Consumer goods,Automobiles,Rimini,1973
Birel,Consumer goods,Automobiles,Lissone,1958
Birra Amarcord,Consumer goods,Brewers,Rimini,1997
Birra Ichnusa,Consumer goods,Brewers,Assemini,1912
Birra Menabrea,Consumer goods,Brewers,Biella,1846
Birra Moretti,Consumer goods,Brewers,Udine,1859
Birrificio Angelo Poretti,Consumer goods,Brewers,Induno Olona,1877
Bizzarrini,Consumer goods,Automobiles,Livorno,1964
Blue Panorama Airlines,Consumer services,Airlines,Fiumicino,1998
Blufin,Consumer goods,Clothing & accessories,Carpi,1977
Bompiani,Consumer services,Publishing,Milan,1929
Bontempi,Consumer goods,Recreational products,Potenza Picena,1937
Bontoni,Consumer goods,Footwear,Montegranaro,2004
Borrani,Consumer goods,Tires,Milan,1922
Borsalino,Consumer goods,Clothing & accessories,Alessandria,1857
Bottecchia,Consumer goods,Recreational products,Cavarzere,1924
Bottega Veneta,Consumer goods,Clothing & accessories,Vicenza,1966
B-P Battioni e Pagani S.p.A.,Industrials,Commercial vehicles & trucks,Parma,1959
Braccialini,Consumer goods,Clothing & accessories,Florence,1954
Bracco Group,Health care,Pharmaceuticals,Milan,1927
Breda,Industrials,Industrial engineering,Brescia,1886
Brembo,Consumer goods,Auto parts,Stezzano,1961
Brioni,Consumer goods,Clothing & accessories,Rome,1945
Brionvega,Consumer goods,Consumer electronics,Pordenone,1945
Brondi,Consumer goods,Consumer electronics,Turin,1935
Brunello Cucinelli,Consumer goods,Clothing & accessories,Perugia,1978
Bruno Magli,Consumer goods,Footwear,Bologna,1936
Buitoni,Consumer goods,Food products,Sansepolcro,1827
Bulgari,Consumer goods,Clothing & accessories,Rome,1884
Buzzi Unicem,Industrials,Building materials & fixtures,Casale Monferrato,1999
C.A.I. Second,Consumer services,Airlines,Fiumicino,2006
Cagiva,Consumer goods,Automobiles,Varese,1978
Caltagirone Editore,Consumer services,Publishing,Rome,1999
Calzaturificio fratelli soldini,Consumer goods,Footwear,Capolona,1945
Cambiocasa,Financials,Real estate holding & development,Milan,1995
Campagnolo,Consumer goods,Recreational products,Vicenza,1933
Campari Group,Consumer goods,Beverages,Milan,1860
Canali,Consumer goods,Clothing & accessories,Sovico,1934
Candy,Consumer goods,Durable household products,Brugherio,1945
Caraceni,Consumer goods,Clothing & accessories,Rome,1913
Carpigiani,Consumer goods,Durable household products,Bologna,1944
Carrera Sunglasses,Consumer goods,Clothing & accessories,Padua,1956
Carrozzeria Boneschi,Industrials,Commercial vehicles & trucks,Milan,1919
Carrozzeria Castagna,Industrials,Commercial vehicles & trucks,Milan,1849
Carrozzeria Ghia,Industrials,Commercial vehicles & trucks,Turin,1916
Carrozzeria Marazzi,Industrials,Commercial vehicles & trucks,Milan,1967
Carrozzeria Scaglietti,Industrials,Commercial vehicles & trucks,Modena,1951
Carrozzeria Touring,Industrials,Commercial vehicles & trucks,Milan,1926
Casa Ricordi,Consumer services,Publishing,Milan,1808
Cassina S.p.A.,Consumer goods,Furnishings,Meda,1927
Castagnari,Consumer goods,Recreational products,Recanati,1914
Chicco,Consumer goods,Toys,Como,1958
Chiesi Farmaceutici S.p.A.,Health care,Pharmaceuticals,Parma,1935
Cinelli,Consumer goods,Recreational products,Milan,1948
Cinzano,Consumer goods,Distillers & vintners,Turin,1757
Cirio,Consumer goods,Food products,San Lazzaro di Savena,1856
Class Editori,Consumer services,Publishing,Milan,1986
Colnago,Consumer goods,Recreational products,Cambiago,1952
Colotti Trasmissioni,Consumer goods,Auto parts,Modena,1958
Columbus,Consumer goods,Recreational products,Settala,1919
Comau,Industrials,Industrial machinery,Turin,1973
Comus S.p.A.,Consumer goods,Recreational products,Ancona,?
COMVERT S.r.l.,Consumer goods,Clothing & accessories,Milan,1994
Conad,Consumer services,Food retailers & wholesalers,Bologna,1962
Coop,Consumer services,Food retailers & wholesalers,Casalecchio di Reno,1967
Coppola Industria Alimentare,Consumer goods,Food products,Mercato San Severino,1952
Corneliani,Consumer goods,Clothing & accessories,Mantua,1958
Costa Crociere,Consumer services,Travel & tourism,Genoa,1854
Crumar,Consumer goods,Recreational products,Castelfidardo,1971
Dainese,Consumer goods,Auto parts,Molvena,1972
Dallara,Consumer goods,Automobiles,Varano de' Melegari,1972
Damiani,Consumer goods,Clothing & accessories,Valenza,1924
Danieli,Industrials,Industrial machinery,Buttrio,1914
Dario Pegoretti,Consumer goods,Recreational products,Caldonazzo,1956
De Agostini,Consumer services,Publishing,Novara,1901
De Cecco,Consumer goods,Food products,Fara San Martino,1886
De Rosa,Consumer goods,Recreational products,Milan,1953
De Tomaso,Consumer goods,Automobiles,Modena,1959
Dell'Orto,Consumer goods,Auto parts,Cabiate,1933
DeLonghi,Consumer goods,Durable household products,Treviso,1902
Design42Day,Consumer services,Publishing,Milan,2007
Di Blasi Industriale,Consumer goods,Recreational products,Francofonte,1952
Diadora,Consumer goods,Footwear,Caerano di San Marco,1948
Diesel,Consumer goods,Clothing & accessories,Breganze,1978
Dolce & Gabbana,Consumer goods,Clothing & accessories,Milan,1985
DR Motor Company,Consumer goods,Automobiles,Macchia d'Isernia,2006
Ducati,Consumer goods,Automobiles,Bologna,1926
Ducati Energia,Industrials,Electronic & electrical equipment,Bologna,1926
Durst,Technology,Electronic & electrical equipment,Brixen,1936
Edison,Utilities,Multiutilities,Milan,1884
Edoardo Raffinerie Garrone,Utilities,Alternative electricity,Genoa,1938
Eko guitars,Consumer goods,Recreational products,Recanati,1959
Ellesse,Consumer goods,Clothing & accessories,Perugia,1959
E. Marinella,Consumer goods,Clothing & accessories,Naples,1914
Enel,Utilities,Multiutilities,Rome,1962
Energica Motor Company,Consumer goods,Automobiles,Modena,2010
Eni,Oil & gas,Integrated oil & gas,Rome,1953
Ermenegildo Zegna,Consumer goods,Clothing & accessories,Milan,1910
Erreà,Consumer goods,Clothing & accessories,Torrile,1988
Esselunga,Consumer services,Food retailers & wholesalers,Milan,1957
Etro,Consumer goods,Clothing & accessories,Milan,1968
Eurofly,Consumer services,Airlines,Milan,1989
Fabbrica Ligure Automobili Genova,Consumer goods,Automobiles,Genoa,1905
Fratelli Fabbri Editori,Consumer services,Publishing,Milan,1947
Fabbri Group,Consumer goods,Recreational products,Calto,1950
Facchini Group,Consumer goods,Food products,Cormano,1959
Faema,Consumer goods,Durable household products,Milan,1945
Falck Group,Basic materials,Iron & steel,Sesto San Giovanni,1906
FAMARS,Industrials,Defense,Gardone Val Trompia,1967
Fantic Motor,Consumer goods,Automobiles,Barzago,1968
Farfisa,Consumer goods,Recreational products,Osimo,1946
Fazioli,Consumer goods,Recreational products,Sacile,1981
Fedrigoni,Basic materials,Paper,Verona,1888
Feltrinelli,Consumer services,Publishing,Milan,1954
Fendi,Consumer goods,Clothing & accessories,Rome,1925
Ferrari,Consumer goods,Automobiles,Maranello,1939
Ferrero SpA,Consumer goods,Food products,Alba,1946
Ferretti Group,Industrials,Shipbuilding,Forlì,1968
Ferrovie dello Stato Italiane,Consumer services,Travel & tourism,Rome,1905
Fiat,Consumer goods,Automobiles,Turin,1899
Fincantieri,Industrials,Shipbuilding,Trieste,1959
Fiocchi Munizioni,Industrials,Defense,Lecco,1876
Fioravanti,Consumer goods,Automobiles,Turin,1987
Fondiaria-Sai,Financials,Property & casualty insurance,Turin,2002
Fondmetal,Consumer goods,Tires,Bergamo,1972
Fornasari,Consumer goods,Automobiles,Vicenza,1999
Forst,Consumer goods,Brewers,Algund,1857
Franchi,Industrials,Defense,Brescia,1987
Frera,Consumer goods,Automobiles,Milan,1905
Frette,Consumer goods,Clothing & accessories,Monza,1860
Fulcrum Wheels,Consumer goods,Recreational products,Arcugnano,2004
Fulgor,Consumer goods,Durable household products,Gallarate,1949
Furla,Consumer goods,Clothing & accessories,Bologna,1927
Gaggia,Consumer goods,Durable household products,Milan,1947
Gancia,Consumer goods,Distillers & vintners,Canelli,1850
Gardaland,Consumer services,Recreational services,Castelnuovo del Garda,1975
Garelli Motorcycles,Consumer goods,Automobiles,Milan,1919
Garlando,Consumer goods,Recreational products,Novi Ligure,1954
GDE Bertoni,Consumer goods,Recreational products,Milan,1938
GEDI Gruppo Editoriale,Consumer services,Publishing,Rome,1955
Geox,Consumer goods,Clothing & accessories,Montebelluna,1995
Ghezzi & Brian,Consumer goods,Automobiles,Missaglia,1995
Gilera,Consumer goods,Automobiles,Pontedera,1909
Gio. Ansaldo & C.,Industrials,Aerospace,Genoa,1853
Givova,Consumer goods,Clothing & accessories,Scafati,2008
Golden Goose,Consumer goods,Clothing & accessories,Venice,2000
Graziano Trasmissioni,Consumer goods,Auto parts,Turin,1951
Grimaldi Group,Transport & tourism,Consumer services,Palermo,1947
Grivel,Consumer goods,Recreational products,Courmayeur,1818
Gruppo Bertone,Consumer goods,Automobiles,Milan,1912
Gruppo Riva,Basic materials,Iron & steel,Milan,1954
Gruppo TIM,Telecommunications,Mobile Telecommunications,Rome,1994
Gucci,Consumer goods,Clothing & accessories,Florence,1921
Guerciotti,Consumer goods,Recreational products,Milan,1964
Gufram,Consumer goods,Furnishings,Cuneo,1966
Hera Group,Utilities,Multiutilities,Bologna,2002
Hitachi Rail Italy,Industrials,Commercial rail vehicles,Naples,2001
I.DE.A Institute,Consumer goods,Automobiles,Turin,1978
Illy,Consumer goods,Beverages,Trieste,1933
Impresa Pizzarotti,Industrials,Heavy construction,Parma,1910
Indesit Company,Consumer goods,Durable household products,Fabriano,1975
Innocenti,Consumer goods,Automobiles,Milan,1947
Intermarine,Industrials,Shipbuilding,Sarzana,1970
Intesa Sanpaolo,Financials,Banks,Turin,2007
Iride Bicycles,Consumer goods,Recreational products,Venice,1919
Iso,Consumer goods,Automobiles,Bresso,1953
Isotta Fraschini,Consumer goods,Automobiles,Milan,1900
ITA Airways,Consumer services,Airlines,Rome,2020
Italcementi,Industrials,Building materials & fixtures,Bergamo,1864
Italdesign Giugiaro,Consumer goods,Automobiles,Moncalieri,1968
Italjet,Consumer goods,Automobiles,Castel San Pietro Terme,1959
Iveco,Industrials,Commercial vehicles & trucks,Turin,1975
Kappa,Consumer goods,Clothing & accessories,Turin,1916
Kiton,Consumer goods,Clothing & accessories,Naples,1956
Krizia,Consumer goods,Clothing & accessories,Milan,1954
Kuota,Consumer goods,Recreational products,Albiate,2001
La Perla,Consumer goods,Clothing & accessories,Bologna,1954
La Rinascente,Consumer services,Broadline retailers,Milan,1865
La Sportiva,Consumer goods,Footwear,Ziano di Fiemme,1928
Lagostina,Consumer goods,Durable household products,Omegna,1901
Lamborghini,Consumer goods,Automobiles,Sant'Agata Bolognese,1963
Lambretta,Consumer goods,Automobiles,Milan,1947
Lancia,Consumer goods,Automobiles,Turin,1906
Landi Renzo,Consumer goods,Auto parts,Cavriago,1954
Lavazza,Consumer goods,Beverages,Turin,1895
Laverda,Consumer goods,Automobiles,Breganze,1873
Legea,Consumer goods,Clothing & accessories,Pompei,1993
Leonardo S.p.A.,Industrials,Aerospace & defense,Rome,1948
Livingston Energy Flight,Consumer services,Airlines,Milan,1992
Loacker,Consumer goods,Food products,Ritten,1925
Loro Piana,Consumer goods,Clothing & accessories,Quarona,1924
Lotto Sport Italia,Consumer goods,Clothing & accessories,Treviso,1973
Luigi Borrelli,Consumer goods,Clothing & accessories,Naples,1957
Luxottica,Consumer goods,Clothing & accessories,Milan,1961
Macron,Consumer goods,Clothing & accessories,Crespellano,1971
Magneti Marelli,Consumer goods,Auto parts,Corbetta,1919
Magni,Consumer goods,Automobiles,Samarate,1977
Malaguti,Consumer goods,Automobiles,San Lazzaro di Savena,1930
Mandarina Duck,Consumer goods,Clothing & accessories,Bologna,1977
Manfrotto,Consumer goods,Recreational products,Cassola,1972
Mapei,Industrials,Building materials & fixtures,Milan,1937
Marni,Consumer goods,Clothing & accessories,Milan,1994
Martini & Rossi,Consumer goods,Distillers & vintners,Turin,1863
Marzocchi,Consumer goods,Recreational products,Bologna,1949
Marzotto,Consumer goods,Clothing & accessories,Valdagno,1836
Maserati,Consumer goods,Automobiles,Modena,1914
Massimo Zanetti Beverage Group,Consumer goods,Beverages,Bologna,1973
Max Mara,Consumer goods,Clothing & accessories,Reggio Emilia,1951
MD Discount,Consumer services,Food retailers & wholesalers,Gricignano di Aversa,1994
Mediobanca,Financials,Banks,Milan,1946
Memphis Group,Industrials,Business support services,Milan,1982
Menarini,Health care,Pharmaceuticals,Florence,1886
Meridiana,Consumer services,Airlines,Olbia,1964
Miche,Consumer goods,Recreational products,San Vendemiano,1919
Milano Assicurazioni,Financials,Property & casualty insurance,Milan,1825
Minarelli,Consumer goods,Auto parts,Calderara di Reno,1951
Minardi,Consumer goods,Automobiles,Faenza,1979
Missoni,Consumer goods,Clothing & accessories,Varese,1953
Miu Miu,Consumer goods,Clothing & accessories,Milan,1993
Mivar,Consumer goods,Consumer electronics,Abbiategrasso,1945
Moby Lines,Industrials,Marine transportation,Milan,1959
Momo,Consumer goods,Auto parts,Milan,1964
Mondial,Consumer goods,Automobiles,Manerbio,1929
Moon Boot,Consumer goods,Footwear,Giavera del Montello,1969
Morbidelli,Consumer goods,Automobiles,Pesaro,1960
Moretti Motor Company,Consumer goods,Automobiles,Turin,1925
Moschino,Consumer goods,Clothing & accessories,Milan,1983
Moser Cicli,Consumer goods,Recreational products,Trento,1979
Moto Guzzi,Consumer goods,Automobiles,Mandello del Lario,1921
Moto Morini,Consumer goods,Automobiles,Bologna,1937
Moto Rumi,Consumer goods,Automobiles,Bergamo,?
Motobi,Consumer goods,Automobiles,Pesaro,1949
Mutti,Consumer goods,Food products,Montechiarugolo,1899
MV Agusta,Consumer goods,Automobiles,Varese,1945
Nardi,Consumer goods,Automobiles,Turin,1932
Natuzzi,Consumer goods,Furnishings,Santeramo in Colle,1959
Neos,Consumer services,Airlines,Somma Lombardo,2001
New Holland Construction,Industrials,Commercial vehicles & trucks,Turin,1895
Nolan,Consumer goods,Auto parts,Bergamo,1972
Nordica,Consumer goods,Clothing & accessories,Giavera del Montello,1939
Novarossi,Consumer goods,Recreational products,Monticelli Brusati,1984
Nuova Cometra,Industrials,Commercial rail vehicles,Pace del Mela,1999
Nuovo Banco Ambrosiano,Financials,Banks,Milan,1982
OSCA,Consumer goods,Automobiles,San Lazzaro di Savena,1947
Officine Meccaniche,Industrials,Commercial vehicles & trucks,Milan,1918
Olidata,Technology,Software,Cesena,1982
Olivetti,Consumer goods,Consumer electronics,Ivrea,1908
OMAS,Consumer goods,Nondurable household products,Bologna,1925
OMP Racing,Consumer goods,Auto parts,Ronco Scrivia,1973
Onda Mobile Communication,Technology,Telecommunications equipment,Roveredo in Piano,2003
Osella,Consumer goods,Automobiles,Verolengo,1965
Ostoni,Consumer goods,Durable household products,Cormano,1958
OTO Melara,Industrials,Defense,Rome,1905
OZ Group,Consumer goods,Tires,San Martino di Lupari,1971
Pagani,Consumer goods,Automobiles,San Cesario sul Panaro,1992
Pal Zileri,Consumer goods,Clothing & accessories,Vicenza,1980
Panerai,Consumer goods,Clothing & accessories,Milan,1860
Panini Comics,Consumer services,Publishing,Modena,1994
Parmalat,Consumer goods,Food products,Collecchio,1961
Partenavia,Industrials,Aerospace,Arzano,1957
Paton,Consumer goods,Automobiles,Settimo Milanese,1958
Peg Perego,Consumer goods,Toys,Arcore,1949
Perazzi,Industrials,Defense,Brescia,1957
Perfetti Van Melle,Consumer goods,Food products,Lainate,2001
Perini Navi,Industrials,Shipbuilding,Viareggio,1983
Permasteelisa,Industrials,Heavy construction,Vittorio Veneto,1973
Peroni S.p.A.,Consumer goods,Recreational products,Gallarate,1792
Persol,Consumer goods,Clothing & accessories,Agordo,1917
Perugina,Consumer goods,Food products,Perugia,1907
Piaggio Aerospace,Industrials,Aerospace & defense,Genoa,1884
Piaggio,Consumer goods,Automobiles,Pontedera,1884
Pinarello,Consumer goods,Recreational products,Treviso,1952
Pininfarina,Consumer goods,Automobiles,Cambiano,1930
Pirelli,Consumer goods,Tires,Milan,1872
Pogliaghi,Consumer goods,Recreational products,Milan,1947
Police,Consumer goods,Clothing & accessories,Venice,1983
Poste Air Cargo,Consumer services,Airlines,Rome,1981
Poste italiane,Industrials,Delivery services,Rome,1862
Prada,Consumer goods,Clothing & accessories,Milan,1913
Prinetti & Stucchi,Consumer goods,Recreational products,Milan,1901
Prysmian Group,Industrials,Electrical components & equipment,Milan,2011
RAI,Consumer services,Broadcasting & entertainment,Rome,1924
Rancilio,Consumer goods,Durable household products,Parabiago,1927
Ray-Ban,Consumer goods,Clothing & accessories,Milan,1936
RCS MediaGroup,Consumer services,Publishing,Milan,1927
Rifle,Consumer goods,Clothing & accessories,Prato,1958
Rizzani de Eccher,Industrials,Heavy construction,Pozzuolo del Friuli,1831
Sabelt,Consumer goods,Auto parts,Turin,1972
Saeco,Consumer goods,Durable household products,Bologna,1981
Safilo,Consumer goods,Clothing & accessories,Padua,1934
Salini Impregilo,Industrials,Heavy construction,Milan,2014
Salvatore Ferragamo S.p.A.,Consumer goods,Clothing & accessories,Florence,1928
San Pellegrino,Consumer goods,Beverages,San Pellegrino Terme,1899
Saras S.p.A.,Oil & gas,Oil & gas exploration & production,Sarroch,1962
Seleco,Consumer goods,Consumer electronics,Milan,1965
Selex ES,Industrials,Aerospace,Rome,2013
Sergio Rossi,Consumer goods,Footwear,Milan,1966
Shy,Consumer goods,Clothing & accessories,Venice,2001
Siae Microelettronica,Technology,Telecommunications equipment,Cologno Monzese,1952
SIAI-Marchetti,Industrials,Aerospace,Sesto Calende,1915
Sicom test,Technology,Telecommunications equipment,Trieste,2003
Sigma-Tau,Health care,Pharmaceuticals,Pomezia,1957
Simmel Difesa,Industrials,Defense,Colleferro,1948
Smeg,Consumer goods,Durable household products,Guastalla,1948
Snam,Utilities,Gas distribution,San Donato Milanese,1941
SNAV,Industrials,Marine transportation,Naples,1958
Società Generale Immobiliare,Financials,Real estate holding & development,Rome,1862
Società Torinese Automobili Rapid,Consumer goods,Automobiles,Turin,1904
Soilmec,Industrials,Commercial vehicles & trucks,Cesena,1969
Somec,Consumer goods,Recreational products,Lugo,1973
Sparco,Consumer goods,Auto parts,Volpiano,1977
SPEA,Technology,Semiconductors,Volpiano,1976
Suomy,Consumer goods,Auto parts,Inverigo,1997
Superga,Consumer goods,Footwear,Turin,1911
Tanfoglio,Industrials,Defense,Gardone Val Trompia,1948
Techint,Conglomerates,-,Milan,1945
Technogym,Consumer goods,Recreational products,Cesena,1983
Terra Modena,Consumer goods,Automobiles,Modena,2015
Tirrenia,Industrials,Marine transportation,Naples,1936
Tod's,Consumer goods,Clothing & accessories,Sant'Elpidio a Mare,1920
Trussardi,Consumer goods,Clothing & accessories,Milan,1911
Tuaca,Consumer goods,Distillers & vintners,Livorno,1938
UBI Banca,Financials,Banks,Bergamo,2003
UniCredit,Financials,Banks,Porta Nuova,1998
Unipol,Financials,Banks,Bologna,1963
UnoAErre,Consumer goods,Clothing & accessories,Arezzo,1926
