Name,Industry,Sector,Headquarters,Founded
Unicer Brewery,Consumer goods,Brewers,Matosinhos,1890
Uniplaces,Technology,Internet,Lisbon,2012
Visabeira,Conglomerates,-,Viseu,1980
Vista Alegre,Consumer goods,Durable household products,Ílhavo,1824
11 bit studios,Technology,Software,Warsaw,2010
Adamów Coal Mine,Basic materials,Coal,Turek,1979
Alior Bank,Financials,Banks,Warsaw,2008
Amica,Consumer goods,Durable household products,Wronki,1945
Asseco,Technology,Software,Rzeszów,1991
Bank Millennium,Financials,Banks,Warsaw,1989
Bank Pekao,Financials,Banks,Warsaw,1929
Bełchatów Coal Mine,Basic materials,Coal,Bełchatów,1955
Biedronka,Consumer services,Food retailers & wholesalers,Kostrzyn,1995
Bochnia Salt Mine,Basic materials,General mining,Bochnia,1248
Bogdanka Coal Mine,Basic materials,Coal,Lublin Voivodeship,1975
Brainly,Technology,Software,Kraków,2009
Browar Łomża,Consumer goods,Brewers,Łomża,1968
Carlsberg Polska,Consumer goods,Brewers,Warsaw,2004
CD Projekt,Technology,Software,Warsaw,1994
Comarch,Technology,Software,Kraków,1993
Elbrewery,Consumer goods,Brewers,Elbląg,1998
Elektrim,Industrials,Diversified industrials,Warsaw,1992
Enea SA,Utilities,Conventional Electricity,Poznań,2003
Ericpol,Technology,Software,Łódź,1991
Fablok,Industrials,Commercial vehicles & trucks,Chrzanów,1919
Fabryka Samochodów Małolitrażowych,Consumer goods,Automobiles,Bielsko-Biała,1948
Fabryka Samochodów Osobowych,Consumer goods,Automobiles,Warszawa,1948
FŁT-Kraśnik,Industrials,Diversified industrials,Kraśnik,1938
FASING S.A.,Industrials,Diversified industrials,Katowice,1913
Gaworzyce mine,Basic materials,Nonferrous metals,Gaworzyce,2004
Gaz-System,Utilities,Gas distribution,Warsaw,2004
Głogów Głęboki-Przemysłowy mine,Basic materials,Nonferrous metals,Polkowice,2004
Grupa Azoty,Chemical industry,Specialty chemicals,Tarnów,1927
Grupa Lotos,Oil & gas,Exploration & production,Gdańsk,2003
Gubin Coal Mine,Basic materials,Coal,Gubin,1955
Halemba Coal Mine,Basic materials,Coal,Ruda Śląska,1897
Hortex,Consumer goods,Food products,Warsaw,1958
ING Bank Śląski,Financials,Banks,Katowice,1988
ITI Group,Consumer services,Broadcasting & entertainment,Warsaw,1984
Jabłkowski Brothers,Consumer services,Retail,Warsaw,1884
JSW,Basic materials,Coal,Jastrzębie-Zdrój,1993
KGHM Polska Miedź,Basic materials,Nonferrous metals,Lubin,1961
Kino Polska,Consumer services,Broadcasting & entertainment,Warsaw,2003
Kłodawa Salt Mine,Basic materials,General mining,Kłodawa,1950
Kompania Piwowarska,Consumer goods,Brewers,Poznań,1999
Kompania Węglowa,Basic materials,Coal,Katowice,2003
Lech Browary Wielkopolski,Consumer goods,Brewers,Poznań,1975
Livechat Software,Technology,Software,Wrocław,2002
LOT Polish Airlines,Consumer services,Airlines,Warsaw,1929
LPP,Consumer services,Apparel retailers,Gdańsk,1991
Maspex,Food,Food concern,Wadowice,1990
Multikino,Consumer services,Recreational services,Warsaw,1998
Netia,Telecommunications,Fixed line telecommunications,Warsaw,1990
Okocim Brewery,Consumer goods,Brewers,Brzesko,1845
Optimus S.A.,Technology,Computer hardware,Warsaw,1988
Orange Polska,Telecommunications,Mobile telecommunications,Warsaw,1991
Pesa SA,Industrials,Commercial vehicles & trucks,Bydgoszcz,1851
PGNiG,Oil & gas,Exploration & production,Warsaw,1976
PKN Orlen,Oil & gas,Exploration & production,Płock,1999
Play,Telecommunications,Mobile telecommunications,Warsaw,2007
Plus,Telecommunications,Mobile telecommunications,Warsaw,1995
Poczta Polska,Consumer services,Delivery services,Warsaw,1558
Polcast Television,Consumer services,Broadcasting & entertainment,Warsaw,2006
Polish State Railways,Industrials,Railroads,Warsaw,1926
Polsat,Consumer services,Broadcasting & entertainment,Warsaw,1992
Polska Grupa Energetyczna,Utilities,Conventional electricity,Warsaw,1990
Polsteam,Industrials,Delivery services,Szczecin,1951
Powszechna Kasa Oszczędności Bank Polski,Financials,Banks,Warsaw,1948
Powszechny Zakład Ubezpieczeń,Financials,Full line insurance,Warsaw,1803
Pronar,Consumer goods,Machinery,Narew,1988
Przedsiębiorstwo Komunikacji Samochodowej,Consumer services,Travel & tourism,Białystok,1945
Przewozy Regionalne,Consumer services,Travel & tourism,Warsaw,2001
