name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Koninklijke Philips N.V.,$27.89 B,PHIA,Netherlands,Healthcare,Diagnostics & Research,"Amsterdam,Netherlands", 15 May 1891," 78,189", Mr. FranÃ§ois Adrianus van Houten
First Republic Bank,$27.90 B,FRC,United States,Financials,Banks,"SanFrancisco,CA,UnitedStates", 1985," 6,295", Mr. Michael J. Roffler
Heineken Holding N.V.,$22.78 B,HEIO,Netherlands,Consumer Staples,Beverages—Brewers,"Amsterdam,Netherlands",," 82,257",
SABIC Agri-Nutrients Company,$22.78 B,2020,Saudi Arabia,Basic Materials,Agricultural Inputs,"Jubail,SaudiArabia",,, Mr. Abdulrahman Ahmed Shamsaddin
Genmab A/S,$22.83 B,GMAB,Denmark,Healthcare,Biotechnology,"Copenhagen,Denmark",," 1,212", Dr. Jan G.J. van de Winkel
"Hengli Petrochemical Co.,Ltd.",$22.86 B,600346,China,Consumer Discretionary,Textile Manufacturing,"Dalian,China",," 29,522",
PPL Corporation,$22.87 B,PPL,United States,Utilities,Utilities—Regulated Electric,"Allentown,PA,UnitedStates"," June 4, 1920"," 5,607", Mr. Vincent  Sorgi
Dover Corporation,$22.94 B,DOV,United States,Industrials,Specialty Industrial Machinery,"DownersGrove,IL,UnitedStates", 1955," 25,000", Mr. Richard Joseph Tobin
V.F. Corporation,$22.96 B,VFC,United States,Consumer Discretionary,Apparel Manufacturing,"GreenwoodVillage,CO,UnitedStates", October 1899," 27,200", Mr. Steven E. Rendle
Olympus Corp,$23.00 B,7733,Japan,Healthcare,Medical Instruments & Supplies,"Tokyo,Japan",," 31,653", Mr. Yasuo  Takeuchi
Royalty Pharma plc,$23.04 B,RPRX,United States,Healthcare,Biotechnology,"NewYork,NY,UnitedStates",,, Mr. Pablo Gerardo Legorreta
Invitation Homes Inc.,$23.09 B,INVH,United States,Real Estate,REIT—Residential,"Dallas,TX,UnitedStates", 2012," 1,240", Mr. Dallas B. Tanner
China International Capital Corp Ltd,$23.13 B,601995,China,Financials,Capital Markets,"Beijing,China",," 9,372", Mr. Zhaohui  Huang
Terumo Corp,$23.16 B,4543,Japan,Healthcare,Medical Instruments & Supplies,"Tokyo,Japan",," 26,482", Mr. Shinjiro  Sato
Société Générale SA,$23.18 B,GLE,France,Financials,Banks,"Paris,France",," 124,089", Mr. Frederic  Oudea
Wens Foodstuff Group Co. Ltd,$23.20 B,300498,China,Consumer Staples,Farm Products,"Yunfu,China",," 52,809",
Fox Corporation,$23.26 B,FOXA,United States,Communication Services,Broadcasting,"NewYork,NY,UnitedStates"," January 1, 2019"," 9,000", Mr. Lachlan Keith Murdoch
Sany Heavy Industry Co. Ltd,$23.27 B,600031,China,Industrials,Farm & Heavy Construction Machinery,"Beijing,China",," 24,586",
Carnival Corporation & plc,$23.29 B,CCL,United States,Consumer Discretionary,Travel Services,"Miami,FL,UnitedStates", 1972," 40,000", Mr. Arnold W. Donald
Huazhu Group Limited,$23.34 B,HTHT,China,Consumer Discretionary,Lodging,"Shanghai,China", 2005," 18,352",
Garmin Ltd.,$23.35 B,GRMN,Switzerland,Technology,Scientific & Technical Instruments,"Schaffhausen,Switzerland", October 1989," 18,700", Mr. Clifton  Albert Pemble
United Microelectronics Corporation,$23.35 B,2303,Taiwan,Technology,Semiconductors,"HsinchuCity,Taiwan",," 19,500",
Liberty Broadband Corporation,$23.40 B,LBRDK,United States,Communication Services,Entertainment,"Englewood,CO,UnitedStates",,, Mr. Gregory B. Maffei
Formosa Plastics Corp,$23.42 B,1301,Taiwan,Basic Materials,Specialty Chemicals,"Kaohsiung,Taiwan",,,
Fortis Inc.,$23.43 B,FTS,Canada,Utilities,Utilities—Regulated Electric,"St.John's,NF,Canada",," 9,095", Mr. David Gerard Hutchens
"Rocket Companies, Inc.",$23.44 B,RKT,United States,Financials,Mortgage Finance,"Detroit,MI,UnitedStates", 1985," 26,000", Mr. Jay D. Farner
"Maxim Integrated Products, Inc.",$23.44 B,MXIM,United States,Technology,Semiconductors,"SanJose,CA,UnitedStates", 1983," 7,100",
MTN Group Ltd,$23.45 B,MTN,South Africa,Communication Services,Telecom Services,"Johannesburg,SouthAfrica",," 21,975"," Mr. Ralph Tendai Mupita B.Sc., M.B.A."
Kubota Corp,$23.46 B,6326,Japan,Industrials,Farm & Heavy Construction Machinery,"Osaka,Japan",," 43,293",
First Quantum Minerals Ltd.,$23.47 B,FM,Canada,Basic Materials,Copper,"Toronto,ON,Canada", 1983," 20,000", Mr. Philip Kelvin Rodda Pascall
PT Bank Mandiri (Persero) Tbk,$23.51 B,PQ9,Indonesia,Financials,Banks,"Jakarta,Indonesia",," 37,840",
Beiersdorf AG,$23.51 B,BEI,Germany,Consumer Staples,Household & Personal Products,"Hamburg,Germany",," 20,567", Mr. Vincent  Warnery
Sungrow Power Supply Co. Ltd,$23.55 B,300274,China,Industrials,Electrical Equipment & Parts,"Hefei,China",," 4,492", Mr. Ren Xian  Cao
"Stanley Black & Decker, Inc.",$23.57 B,SWK,United States,Industrials,Tools & Accessories,"NewBritain,CT,UnitedStates", 1843," 71,300", Mr. James M. Loree
Baoshan Iron & Steel Co. Ltd,$23.59 B,600019,China,Basic Materials,Steel,"Shanghai,China",," 47,710",
Horizon Therapeutics Public Limited Company,$23.64 B,HZNP,Ireland,Healthcare,Drug Manufacturers—General,"Dublin,Ireland", 2005," 1,890", Mr. Timothy P. Walbert
Compagnie Générale des Etablissements Michelin SCA,$23.65 B,ML,France,Consumer Discretionary,Auto Parts,"Clermont-Ferrand,France",," 118,400", Mr. Florent  Menegaux
SSE plc,$23.73 B,SSE,United Kingdom,Utilities,Utilities—Diversified,"Perth,UnitedKingdom", 1998," 11,865", Mr. Alistair  Phillips-Davies
"Endesa, SA",$23.78 B,ELE,Spain,Utilities,Utilities—Regulated Electric,"Madrid,Spain",," 9,258", Mr. Jose Damian  Bogas Galvez
"Ventas, Inc.",$23.81 B,VTR,United States,Real Estate,REIT—Healthcare Facilities,"Chicago,IL,UnitedStates", 1998, 434, Ms. Debra A. Cafaro
EVE Energy Co. Ltd,$23.82 B,300014,China,Industrials,Electrical Equipment & Parts,"Huizhou,China",," 9,669",
Splunk Inc.,$23.84 B,SPLK,United States,Technology,Software—Infrastructure,"SanFrancisco,CA,UnitedStates", October 2003," 7,500", Mr. Graham Vivian Smith
"M3, Inc.",$23.89 B,2413,Japan,Healthcare,Health Information Services,"Tokyo,Japan",," 8,249",
Entergy Corporation,$23.92 B,ETR,United States,Utilities,Utilities—Diversified,"NewOrleans,LA,UnitedStates", 1913," 12,369", Mr. Leo P. Denault
STERIS plc,$23.93 B,STE,Ireland,Healthcare,Medical Instruments & Supplies,"Dublin,Ireland", 1985," 13,000", Mr. Daniel A. Carestio
"Best Buy Co., Inc.",$23.93 B,BBY,United States,Consumer Discretionary,Specialty Retail,"Richfield,MN,UnitedStates"," August 22, 1966"," 57,750", Ms. Corie Sue Barry
CSC Financial Co. Ltd,$23.94 B,601066,China,Financials,Capital Markets,"Beijing,China",," 9,994",
"Martin Marietta Materials, Inc.",$23.94 B,MLM,United States,Basic Materials,Building Materials,"Raleigh,NC,UnitedStates", 1993," 10,000", Mr. C. Howard Nye
ORIX Corporation,$23.97 B,8591,Japan,Financials,Credit Services,"Tokyo,Japan",," 33,153", Mr. Makoto  Inoue
Schindler Holding AG,$24.02 B,SCHN,Switzerland,Industrials,Specialty Industrial Machinery,"Hergiswil,Switzerland",," 69,015", Mr. Silvio  Napoli
Public Joint Stock Company Polyus,$24.02 B,PLZL,Russia,Basic Materials,Gold,"Moscow,Russia",,,
Mega Financial Holding Co. Ltd,$20.21 B,2886,Taiwan,Financials,Banks,"Taipei,Taiwan",," 9,594",
MGM Resorts International,$20.22 B,MGM,United States,Consumer Discretionary,Resorts & Casinos,"LasVegas,NV,UnitedStates", 1986," 52,000", Mr. William Joseph Hornbuckle IV
Nomura Research Institute Ltd,$20.26 B,4307,Japan,Technology,Information Technology Services,"Tokyo,Japan",," 16,196", Mr. Shingo  Konomoto
"Brown & Brown, Inc.",$20.27 B,BRO,United States,Financials,Insurance Brokers,"DaytonaBeach,FL,UnitedStates", 1939," 12,023"," Mr. J. Powell Brown C.P.C.U., CPCU"
Markel Corporation,$20.30 B,MKL,United States,Financials,Insurance—Property & Casualty,"GlenAllen,VA,UnitedStates", 1930," 20,300", Mr. Thomas Sinnickson Gayner
Carvana Co.,$20.33 B,CVNA,United States,Consumer Discretionary,Internet Retail,"Tempe,AZ,UnitedStates", 2012," 21,000", Mr. Ernest C. Garcia III
Nippon Paint Holdings Co. Ltd,$20.38 B,4612,Japan,Basic Materials,Specialty Chemicals,"Osaka,Japan",," 27,318",
Guotai Junan Securities Co. Ltd,$20.39 B,601211,China,Financials,Capital Markets,"Shanghai,China",," 15,198",
Mitsubishi Estate Co. Ltd,$20.39 B,8802,Japan,Real Estate,Real Estate—Diversified,"Tokyo,Japan",," 9,982", Mr. Junichi  Yoshida
Investment AB Latour,$20.39 B,LATO.B,Sweden,Financials,Asset Management,"Gothenburg,Sweden",," 8,001", Mr. Johan  Hjertonsson MBA
Alinma Bank,$20.41 B,1150,Saudi Arabia,Financials,Banks,"Riyadh,SaudiArabia",," 3,280",
Synchrony Financial,$20.43 B,SYF,United States,Financials,Credit Services,"Stamford,CT,UnitedStates"," September 12, 2003"," 18,000", Mr. Brian D. Doubles
"Boston Properties, Inc.",$20.54 B,BXP,United States,Real Estate,REIT—Office,"Boston,MA,UnitedStates", 1970, 743, Mr. Owen David Thomas
Sojitz Corp,$20.55 B,2768,Japan,Industrials,Conglomerates,"Tokyo,Japan",," 19,463", Mr. Masayoshi  Fujimoto
Flutter Entertainment plc,$20.58 B,FLTR,Ireland,Consumer Discretionary,Gambling,"Dublin,Ireland", 2 February 2016," 16,813", Mr. Jeremy Peter Jackson
Pembina Pipeline Corporation,$20.61 B,PPL,Canada,Energy,Oil & Gas Midstream,"Calgary,AB,Canada",," 2,349", Mr. J. Scott Burrows
Kyocera Corp,$20.62 B,6971,Japan,Technology,Consumer Electronics,"Kyoto,Japan",," 78,490", Mr. Hideo  Tanimoto
Advanced Info Service PCL,$20.65 B,ADVANC,Thailand,Communication Services,Telecom Services,"Bangkok,Thailand",,, Mr. Somchai  Lertsutiwong
STERIS Corp,$20.66 B,S1TE34,United States,Healthcare,Medical Devices,"Mentor,OH,UnitedStates",,, Mr. Walter M. Rosebrough Jr.
CMS Energy Corporation,$20.73 B,CMS,United States,Utilities,Utilities—Regulated Electric,"Jackson,MI,UnitedStates", 1886," 8,504", Mr. Garrick J. Rochow
Li Ning Co Ltd,$20.75 B,2331,China,Consumer Discretionary,Leisure,"Beijing,China",," 4,019", Mr. Ning  Li
Standard Chartered plc,$20.78 B,STAN,United Kingdom,Financials,Banks,"London,UnitedKingdom"," As Chartered Bank of India, Australia, and China on 29 December 1853"," 81,770",
Marubeni Corp,$20.78 B,8002,Japan,Industrials,Conglomerates,"Tokyo,Japan",,, Mr. Masumi  Kakinoki
Repsol SA,$20.80 B,REP,Spain,Energy,Oil & Gas Integrated,"Madrid,Spain",," 23,268", Mr. Josu Jon  Imaz San Miguel Ph.D.
Royal Caribbean Cruises Ltd.,$20.81 B,RCL,United States,Consumer Discretionary,Travel Services,"Miami,FL,UnitedStates", 1997 ," 84,900", Mr. Jason T. Liberty
AppLovin Corp,$20.86 B,APP,United States,Technology,Software—Application,"PaloAlto,CA,UnitedStates",," 1,594", Mr. Adam Arash Foroughi
Fortive Corporation,$20.88 B,FTV,United States,Technology,Scientific & Technical Instruments,"Everett,WA,UnitedStates", 2016," 18,000", Mr. James A. Lico
"FLEETCOR Technologies, Inc.",$20.92 B,FLT,United States,Technology,Information Technology Services,"Atlanta,GA,UnitedStates", 2000," 9,700", Mr. Ronald F. Clarke
"HubSpot, Inc.",$20.93 B,HUBS,United States,Technology,Software—Application,"Cambridge,MA,UnitedStates", June 2006," 5,895", Ms. Yamini  Rangan
Microchip Technology Incorporated,$21.03 B,MCHP,United States,Technology,Semiconductors,"Chandler,AZ,UnitedStates", 1989," 19,500", Mr. Ganesh  Moorthy
Yandex N.V.,$21.05 B,YNDX,Netherlands,Communication Services,Internet Content & Information,"Schiphol,Netherlands", 23 September 1997," 18,004", Mr. Arkady  Volozh
SEGRO plc,$21.08 B,SGRO,United Kingdom,Real Estate,REIT—Industrial,"London,UnitedKingdom", 1920, 385, Mr. David John Rivers Sleath O.B.E.
Ingersoll Rand Inc.,$21.13 B,IR,United States,Industrials,Specialty Industrial Machinery,"Davidson,NC,UnitedStates", 1859," 16,000", Mr. Vicente  Reynal
China Mengniu Dairy Co Ltd,$21.17 B,2319,Hong Kong,Consumer Staples,Packaged Foods,"CausewayBay,HongKong",," 43,397", Mr. Minfang  Lu
Seagate Technology plc,$21.21 B,STX,Ireland,Technology,Computer Hardware,"Dublin,Ireland"," November 1, 1979"," 40,000", Dr. William David Mosley
China Northern Rare Earth,$21.21 B,600111,China,Basic Materials,Other Industrial Metals & Mining,"Baotou,China",," 9,111",
ViacomCBS Inc.,$21.22 B,VIACA,United States,Communication Services,Entertainment,"NewYork,NY,UnitedStates"," December 4, 2019"," 22,965", Mr. Robert Marc Bakish
ZoomInfo Technologies Inc.,$21.23 B,ZI,United States,Technology,Software—Application,"Vancouver,WA,UnitedStates", 2007," 2,742", Mr. Henry L. Schuck
Wheaton Precious Metals Corp.,$21.26 B,WPM,Canada,Basic Materials,Gold,"Vancouver,BC,Canada", 2004, 44," Mr. Randy V. J. Smallwood P.Eng, P.Eng."
Regions Financial Corporation,$21.32 B,RF,United States,Financials,Banks,"Birmingham,AL,UnitedStates", 1971," 19,626", Mr. John M. Turner Jr.
Legal & General Group plc,$21.34 B,LGEN,United Kingdom,Financials,Insurance—Life,"London,UnitedKingdom", 1836," 10,046", Dr. Nigel David Wilson
"The Cooper Companies, Inc.",$21.35 B,COO,United States,Healthcare,Medical Instruments & Supplies,"SanRamon,CA,UnitedStates", 1958 ," 12,000", Mr. Albert G. White III
NEXON Co. Ltd,$21.36 B,3659,Japan,Communication Services,Electronic Gaming & Multimedia,"Tokyo,Japan",," 6,288", Mr. Owen  Mahoney
Rede D'Or São Luiz SA,$21.40 B,RDOR3,Brazil,Healthcare,Medical Care Facilities,"SaoPaulo,SP,Brazil",,, Mr. Paulo Junqueira Moll
Teck Resources Limited,$21.41 B,TECK.B,Canada,Basic Materials,Other Industrial Metals & Mining,"Vancouver,BC,Canada",," 10,600"," Mr. Donald R. Lindsay B.Sc. Honours, M.B.A"
SGS SA,$21.43 B,SGSN,Switzerland,Industrials,Consulting Services,"Geneva,Switzerland",," 96,216",
The Saudi British Bank,$21.45 B,1060,Saudi Arabia,Financials,Banks,"Riyadh,SaudiArabia",," 4,156", Mr. Anthony William Cripps
Mitsui Fudosan Co. Ltd,$21.46 B,8801,Japan,Real Estate,Real Estate—Diversified,"Tokyo,Japan",," 23,992", Mr. Masanobu  Komoda
"J.B. Hunt Transport Services, Inc.",$21.48 B,JBHT,United States,Industrials,Integrated Freight & Logistics,"Lowell,AR,UnitedStates"," August 10, 1961"," 33,045", Mr. John N. Roberts III
Veolia Environnement SA,$18.14 B,VIE,France,Industrials,Waste Management,"Aubervilliers,France",," 171,450", Mr. Antoine  FrÃ©rot
CEZ AS,$18.16 B,CEZ,Czechia,                                        Utilities                                    ,                                        Utilities—Renewable                                    ,"Prague,Czechia",," 28,000", Engineer Daniel  BeneÂ
"Yum China Holdings, Inc.",$18.18 B,YUMC,China,Consumer Discretionary,Restaurants,"Shanghai,China"," November 1, 2016"," 147,000", Ms. Joey  Wat
Restaurant Brands International Inc.,$18.19 B,QSR,Canada,Consumer Discretionary,Restaurants,"Toronto,ON,Canada"," December 15, 2014"," 5,700",
Capitec Bank Holdings Ltd,$18.21 B,CPI,South Africa,Financials,Banks,"Stellenbosch,SouthAfrica",," 14,789"," Mr. Gerhardus Metselaar Fourie B.Com., M.B.A., B.Comm (Hons), MBA"
Asahi Group Holdings Ltd,$18.21 B,2502,Japan,Consumer Staples,Beverages—Brewers,"Tokyo,Japan",," 30,020", Mr. Atsushi  Katsuki
Haitong Securities Co. Ltd,$18.23 B,600837,China,Financials,Capital Markets,"Shanghai,China",," 11,282",
"Catalent, Inc.",$18.24 B,CTLT,United States,Healthcare,Drug Manufacturers—Specialty & Generic,"Somerset,NJ,UnitedStates", 2007," 17,300", Mr. John R. Chiminski
"Quanta Services, Inc.",$18.25 B,PWR,United States,Industrials,Engineering & Construction,"Houston,TX,UnitedStates", 1997," 43,700", Mr. Earl C. Austin Jr.
Ubiquiti Inc.,$18.25 B,UI,United States,Technology,Communication Equipment,"NewYork,NY,UnitedStates", October 2003," 1,223", Mr. Robert J. Pera
Shionogi & Co. Ltd,$18.27 B,4507,Japan,Healthcare,Drug Manufacturers—Specialty & Generic,"Osaka,Japan",," 5,485", Dr. Isao  Teshirogi Ph.D.
Link Real Estate Investment Trust,$18.27 B,0823,Hong Kong,Real Estate,REIT—Retail,"KwunTong,HongKong",," 1,100", Mr. Kwok Lung  Hongchoy
Aeon Co. Ltd,$18.32 B,8267,Japan,Consumer Discretionary,Department Stores,"Chiba,Japan",," 155,578",
"Alnylam Pharmaceuticals, Inc.",$18.33 B,ALNY,United States,Healthcare,Biotechnology,"Cambridge,MA,UnitedStates", 2002," 1,665"," Dr. Yvonne L. Greenstreet M.B.A., MBA, MBChB"
China Merchants Securities Co. Ltd,$18.35 B,600999,China,Financials,Capital Markets,"Shenzhen,China",," 10,169",
"Take-Two Interactive Software, Inc.",$18.35 B,TTWO,United States,Communication Services,Electronic Gaming & Multimedia,"NewYork,NY,UnitedStates"," September 30, 1993"," 6,495", Mr. Strauss H. Zelnick Esq.
Vodacom Group Ltd,$18.41 B,VOD,South Africa,Communication Services,Telecom Services,"Midrand,SouthAfrica",," 7,642", Mr. Mohamed Shameel Aziz Joosub
Genuine Parts Company,$18.41 B,GPC,United States,Consumer Discretionary,Specialty Retail,"Atlanta,GA,UnitedStates", 1925," 52,000", Mr. Paul D. Donahue
GF Securities Co. Ltd,$18.44 B,000776,China,Financials,Capital Markets,"Guangzhou,China",," 12,307",
HEICO Corporation,$18.49 B,HEI,United States,Industrials,Aerospace & Defense,"Hollywood,FL,UnitedStates", 1957 as Heinicke Instruments," 5,600", Mr. Laurans A. Mendelson
Sands China Ltd,$18.52 B,1928,Macao,                                        Consumer Discretionary                                    ,                                        Resorts & Casinos                                    ,"Taipa,Macao",," 25,751", Mr. Robert Glen Goldstein
"Huaneng Power International, Inc.",$18.57 B,600011,China,Utilities,Utilities—Independent Power Producers,"Beijing,China", 30 June 1994 in Beijing," 57,513",
South32 Limited,$18.67 B,S32,Australia,Basic Materials,Other Industrial Metals & Mining,"Perth,WA,Australia",," 13,576"," Mr. Graham  Kerr BBus, FCPA"
"JD Health International, Inc.",$18.69 B,8ZN,China,Healthcare,Medical Care Facilities,"Beijing,China",," 2,576", Mr. Enlin  Jin
Power Construction Corp of China Ltd,$18.69 B,601669,China,Industrials,Engineering & Construction,"Beijing,China",," 132,125",
Air China Ltd,$18.72 B,601111,China,Industrials,Airlines,"Beijing,China",," 89,373",
Credit Suisse Group AG,$18.72 B,CSGN,Switzerland,Financials,Banks,"Zurich,Switzerland", 1856," 50,110", Dr. Thomas P. Gottstein
The Liberty SiriusXM Group,$18.74 B,LSXMB,United States,Communication Services,Broadcasting,"Englewood,CO,UnitedStates", 1991, 84,
"MS&AD Insurance Group Holdings, Inc.",$18.75 B,8725,Japan,Financials,Insurance—Property & Casualty,"Tokyo,Japan",," 41,501", Mr. Noriyuki  Hara
"Healthpeak Properties, Inc.",$18.76 B,PEAK,United States,Real Estate,REIT—Healthcare Facilities,"Denver,CO,UnitedStates", 1985, 196, Mr. Thomas M. Herzog
"NetApp, Inc.",$18.76 B,NTAP,United States,Technology,Computer Hardware,"Sunnyvale,CA,UnitedStates", 1992," 11,000", Mr. George  Kurian
George Weston Limited,$18.77 B,WN,Canada,Consumer Staples,Grocery Stores,"Toronto,ON,Canada"," Toronto, Ontario, Canada 1882"," 215,298"," Mr. Galen G. Weston B.A., M.B.A, M.B.A."
Scottish Mortgage Investment Trust plc,$18.78 B,SMT,United Kingdom,Financials,Asset Management,, 1909,,
International Paper Company,$18.78 B,INPAP,United States,Consumer Discretionary,Packaging & Containers,"Memphis,TN,UnitedStates", 1898," 49,300",
"Aecc Aviation Power Co.,Ltd",$18.79 B,600893,China,Industrials,Aerospace & Defense,"Xi'an,China",," 34,977",
Omnicom Group Inc.,$18.80 B,OMC,United States,Communication Services,Advertising Agencies,"NewYork,NY,UnitedStates", 1986," 71,700", Mr. John D. Wren
Astra International Tbk PT,$18.90 B,ASJA,Indonesia,Consumer Discretionary,Auto Parts,"Jakarta,Indonesia",," 123,894",
"LG Electronics, Inc.",$18.91 B,066570,South Korea,Technology,Consumer Electronics,"Seoul,SouthKorea",," 37,245", Mr. Joo-Wan  Cho
Toshiba Corp,$18.93 B,6502,Japan,Industrials,Specialty Industrial Machinery,"Tokyo,Japan",," 117,300", Mr. Taro  Shimada
Check Point Software Technologies Ltd.,$18.94 B,CHKP,Israel,Technology,Software—Infrastructure,"TelAviv,Israel", 1993," 6,000", Mr. Gil  Shwed
"Citizens Financial Group, Inc.",$18.95 B,CFG,United States,Financials,Banks,"Providence,RI,UnitedStates", 1828," 17,463", Mr. Bruce Winfield Van Saun
Tenaris SA,$18.98 B,TEN,Luxembourg,                                        Energy                                    ,                                        Oil & Gas Equipment & Services                                    ,"LuxembourgCity,Luxembourg", 2001," 22,776", Mr. Paolo  Rocca
Otsuka Holdings Co. Ltd,$19.03 B,4578,Japan,Healthcare,Drug Manufacturers—General,"Tokyo,Japan",," 33,151", Mr. Tatsuo  Higuchi
Waters Corporation,$19.11 B,WAT,United States,Healthcare,Diagnostics & Research,"Milford,MA,UnitedStates", 1958," 7,800", Dr. Udit  Batra Ph.D.
NICE Ltd.,$19.12 B,NICE,Israel,Technology,Software—Application,"Raâanana,Israel", 1986," 6,800",
Carlsberg A-S,$19.12 B,CARL.A,Denmark,Consumer Staples,Beverages—Brewers,"Copenhagen,Denmark",," 39,000", Mr. Cees C. Â´t Hart
"SS&C Technologies Holdings, Inc.",$19.15 B,SSNC,United States,Technology,Software—Application,"Windsor,CT,UnitedStates"," March 1, 1986"," 24,900", Mr. William C. Stone
Zhejiang Huayou Cobalt Co. Ltd,$19.20 B,603799,China,Basic Materials,Other Industrial Metals & Mining,"Tongxiang,China",," 8,079",
Warner Music Group Corp.,$19.21 B,WMG,United States,Communication Services,Entertainment,"NewYork,NY,UnitedStates"," April 6, 1958"," 5,900", Mr. Stephen Forbes Cooper
Equinor ASA,$122.74 B,EQNR,Norway,                                        Energy                                    ,                                        Oil & Gas Integrated                                    ,"Stavanger,Norway", 14 June 1972," 21,126", Mr. Anders  Opedal
AIA Group Ltd,$125.16 B,1299,Hong Kong,Financials,Insurance—Life,"Central,HongKong",," 23,000",
Lockheed Martin Corporation,$124.98 B,LMT,United States,Industrials,Aerospace & Defense,"Bethesda,MD,UnitedStates"," March 15, 1995"," 114,000", Mr. James D. Taiclet Jr.
Caterpillar Inc.,$124.13 B,CAT,United States,Industrials,Farm & Heavy Construction Machinery,"Deerfield,IL,UnitedStates"," April 15, 1925"," 107,700", Mr. D. James Umpleby III
Anheuser-Busch InBev SA/NV,$123.59 B,ABI,Belgium,Consumer Staples,Beverages—Brewers,"Leuven,Belgium",," 169,339",
Christian Dior SE,$122.11 B,CDI,France,Consumer Discretionary,Luxury Goods,"Paris,France",," 119,243", Mr. Sidney  Toledano
Rio Tinto Group,$125.84 B,RIO,United Kingdom,Basic Materials,Other Industrial Metals & Mining,"London,UnitedKingdom", 1873," 49,000"," Mr. Jakob  Stausholm M.S., MS"
Sony Group Corporation,$126.64 B,6758,Japan,Technology,Consumer Electronics,"Tokyo,Japan", 7 May 1946," 109,700", Mr. Kenichiro  Yoshida
The Boeing Company,$110.46 B,BA,United States,Industrials,Aerospace & Defense,"Chicago,IL,UnitedStates"," July 15, 1916"," 142,000", Mr. David L. Calhoun
"Industria de Diseño Textil, SA",$110.65 B,ITX,Spain,Consumer Discretionary,Apparel Retail,"Corunna,Spain",," 104,431", Mr. Oscar Garcia Maceiras
Transurban Group,$110.79 B,TCL,Australia,Industrials,Infrastructure Operations,"Melbourne,VIC,Australia"," 14 March 1996, Melbourne", 672," Mr. Scott  Charlton M.B.A., BSci, BEng (Elec), MBA, Member of FEI, FTA"
"The Goldman Sachs Group, Inc.",$112.71 B,GS,United States,Financials,Capital Markets,"NewYork,NY,UnitedStates", 1869," 43,900", Mr. David  Solomon
Keyence Corp,$113.20 B,6861,Japan,Technology,Scientific & Technical Instruments,"Osaka,Japan",," 8,380",
Meituan,$114.28 B,3690,China,Consumer Discretionary,Internet Retail,"Beijing,China",," 69,205", Mr. Xing  Wang
China Life Insurance Company Limited,$97.31 B,LFC,China,Financials,Insurance—Life,"Beijing,China", 1949," 104,160",
Intuit Inc.,$126.77 B,INTU,United States,Technology,Software—Application,"MountainView,CA,UnitedStates", 1983," 13,500", Mr. Sasan K. Goodarzi
Danaher Corporation,$208.03 B,DHR,United States,Healthcare,Diagnostics & Research,"Washington,DC,UnitedStates", 1969," 78,000", Mr. Rainer M. Blair
"Merck & Co., Inc.",$210.38 B,MRK,United States,Healthcare,Drug Manufacturers—General,"Kenilworth,NJ,UnitedStates", 1891," 67,000", Mr. Robert M. Davis J.D.
BHP Group,$211.25 B,BHP,Australia,Basic Materials,Other Industrial Metals & Mining,"Melbourne,VIC,Australia", 1885," 40,110"," Mr. Mike P. Henry B.Sc., BSc (Chem)"
"Nike, Inc.",$213.60 B,NKE,United States,Consumer Discretionary,Footwear & Accessories,"Beaverton,OR,UnitedStates"," January 25, 1964"," 73,300", Mr. John J. Donahoe II
Abbott Laboratories,$215.02 B,ABT,United States,Healthcare,Medical Devices,"NorthChicago,IL,UnitedStates", 1888," 113,000", Mr. Robert B. Ford
Verizon Communications Inc.,$216.68 B,VZ,United States,Communication Services,Telecom Services,"NewYork,NY,UnitedStates"," October 7, 1983"," 118,400", Mr. Hans E. Vestberg
Comcast Corporation,$218.90 B,CMCSA,United States,Communication Services,Entertainment,"Philadelphia,PA,UnitedStates"," June 28, 1963"," 189,000", Mr. Brian L. Roberts
Accenture plc,$219.03 B,ACN,Ireland,Technology,Information Technology Services,"Dublin,Ireland", 1989," 699,000", Ms. Julie T. Spellman Sweet
L'Oréal SA,$225.24 B,OR,France,Consumer Staples,Household & Personal Products,"Clichy,France",," 85,400", Mr. Nicolas  Hieronimus
Oracle Corporation,$228.18 B,ORCL,United States,Technology,Software—Infrastructure,"RedwoodCity,CA,UnitedStates"," June 16, 1977"," 132,000", Ms. Safra Ada Catz
Thermo Fisher Scientific Inc.,$236.15 B,TMO,United States,Healthcare,Diagnostics & Research,"Waltham,MA,UnitedStates", 1956," 130,000", Mr. Marc N. Casper
"Cisco Systems, Inc.",$238.45 B,CSCO,United States,Technology,Communication Equipment,"SanJose,CA,UnitedStates"," December 10, 1984"," 79,500", Mr. Charles H. Robbins
"PepsiCo, Inc.",$241.05 B,PEP,United States,Consumer Staples,Beverages—Non-Alcoholic,"Purchase,NY,UnitedStates"," August 28, 1898"," 309,000", Mr. Ramon Luis Laguarta
The Walt Disney Company,$247.88 B,DIS,United States,Communication Services,Entertainment,"Burbank,CA,UnitedStates"," October 16, 1923"," 152,000", Mr. Robert A. Chapek
Industrial & Commercial Bank of China Ltd,$250.37 B,601398,China,Financials,Banks,"Beijing,China",," 439,787",
Novo Nordisk A/S,$257.24 B,NOVO.B,Denmark,Healthcare,Biotechnology,"Bagsvaerd,Denmark"," December 21, 1923"," 47,792", Mr. Lars Fruergaard Jorgensen
