name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Schlumberger Limited,$57.63 B,SLB,United States,Energy,Oil & Gas Equipment & Services,"Houston,TX,UnitedStates", 1926," 92,000", Mr. Olivier  Le Peuch
Pernod Ricard SA,$57.75 B,RI,France,Consumer Staples,Beverages—Wineries & Distilleries,"Paris,France",," 18,500", Mr. Alexandre  Ricard
"Air Products and Chemicals, Inc.",$57.82 B,APD,United States,Basic Materials,Chemicals,"Allentown,PA,UnitedStates", 1940," 20,000", Mr. Seifollah  Ghasemi
Marvell Technology Group Ltd.,$58.36 B,MRVL,Bermuda,                                        Technology                                    ,                                        Semiconductors                                    ,"Hamilton,Bermuda", 1995," 6,695", Mr. Matthew J. Murphy
RELX plc,$58.53 B,REL,United Kingdom,Communication Services,Publishing,"London,UnitedKingdom", 1993," 33,500", Mr. Erik  Engstrom
"Workday, Inc.",$58.70 B,WDAY,United States,Technology,Software—Application,"Pleasanton,CA,UnitedStates", March 2005," 15,200", Mr. Aneel  Bhusri
Vinci SA,$59.01 B,DG,France,Industrials,Engineering & Construction,"Rueil-Malmaison,France",," 218,569", Mr. Xavier M. P. Huillard
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,$59.26 B,300760,China,Healthcare,Medical Devices,"Shenzhen,China",," 11,833",
Southern Copper Corporation,$59.46 B,SCCO,United States,Basic Materials,Copper,"Phoenix,AZ,UnitedStates", 1952," 14,700", Mr. Oscar  Gonzalez Rocha
Saudi Telecom Company,$59.47 B,7010,Saudi Arabia,Communication Services,Telecom Services,"Riyadh,SaudiArabia",,,
Nongfu Spring Co. Ltd,$59.50 B,9633,China,Consumer Staples,Beverages—Non-Alcoholic,"Hangzhou,China",," 20,773",
Reckitt Benckiser Group plc,$59.53 B,RKT,United Kingdom,Consumer Staples,Household & Personal Products,"Slough,UnitedKingdom", 1814," 43,000",
Australia and New Zealand Banking Group Limited,$59.55 B,ANZ,Australia,Financials,Banks,"Melbourne,VIC,Australia", 1 October 1970," 39,684"," Mr. Shayne Cary Elliott B.Com, B.Com."
"Palo Alto Networks, Inc.",$59.65 B,PANW,United States,Technology,Software—Infrastructure,"SantaClara,CA,UnitedStates", 2005," 11,527", Mr. Nikesh  Arora C.F.A.
Emerson Electric Co.,$59.66 B,EMR,United States,Industrials,Specialty Industrial Machinery,"SaintLouis,MO,UnitedStates", 1890," 86,700", Mr. Surendralal Lanca Karsanbhai
Capital One Financial Corporation,$59.67 B,COF,United States,Financials,Credit Services,"McLean,VA,UnitedStates"," July 21, 1994"," 50,767", Mr. Richard D. Fairbank
