,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
288,4672b732a9bf47b4a585750b3e4a62c0,pinduoduo,pinduoduo inc.,shanghai,china,0,"7,986",mr. lei  chen,doll_57.09 b,"['china', 'consumerdiscretionary', 'internetretail', 'chinaconsumerdiscretionary', 'chinainternetretail']",0
289,d6d028c1c11e4d4eb3ae4cf54b2403ac,"marriott international, inc.",,bethesda,md,0,"120,000",mr. anthony g. capuano jr.,doll_57.18 b,"['unitedstates', 'consumerdiscretionary', 'lodging', 'unitedstatesconsumerdiscretionary', 'unitedstateslodging']",0
290,473999c2e9554de5b100d24ae3bf5a62,canadian imperial bank of commerce,,toronto,on,0,"46,030",mr. victor g. dodig,cdoll_71.61 b,"['canada', 'financials', 'banks', 'canadafinancials', 'canadabanks']",doll_57.20 b
291,8bf24517f54e43c4964daa93e0fa12f0,mitsubishi corp,,,,0,,,doll_¥7.011 t,"['japan', 'industrials', 'conglomerates', 'japanindustrials', 'japanconglomerates']",doll_57.23 b
292,9e598c9a1e2f4992a18d0fec2e904306,foshan haitian flavouring and food company ltd,,,,0,,,doll_cn¥365.26 b,"['china', 'consumerstaples', 'packagedfoods', 'chinaconsumerstaples', 'chinapackagedfoods']",doll_57.40 b
293,42d85feb77944407bfaae6c3ce5a9ec8,enterprise products partners l.p.,,houston,tx,1968,"7,000",mr. a. james teague,doll_57.43 b,"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']",0
294,6710128d56a54a489f03087071b311ec,itaú unibanco holding sa,,sã£opaulo,sp,0,"99,600",mr. milton maluhy filho,doll_57.45 b,"['brazil', 'financials', 'banks', 'brazilfinancials', 'brazilbanks']",0
295,1d9d049457f942f689bd0ed8235376fb,"marvell technology, inc.",,wilmington,de,0,"6,695",mr. matthew j. murphy,doll_€52.15 b,"['unitedstates', 'technology', 'semiconductors', 'unitedstatestechnology', 'unitedstatessemiconductors']",doll_57.62 b
296,e6293d6944dc4fc4a0e3192e76d82863,schlumberger limited,,houston,tx,1926,"92,000",mr. olivier  le peuch,doll_57.63 b,"['unitedstates', 'energy', 'oil&gasequipment&services', 'unitedstatesenergy', 'unitedstatesoil&gasequipment&services']",0
297,25e690fe760c40589fffe67017941481,pernod ricard sa,,paris,france,0,"18,500",mr. alexandre  ricard,doll_€52.27 b,"['france', 'consumerstaples', 'beverages—wineries&distilleries', 'franceconsumerstaples', 'francebeverages—wineries&distilleries']",doll_57.75 b
298,7ed091e1cdb44b158507056f0491914f,"air products and chemicals, inc.",,allentown,pa,1940,"20,000",mr. seifollah  ghasemi,doll_57.82 b,"['unitedstates', 'basicmaterials', 'chemicals', 'unitedstatesbasicmaterials', 'unitedstateschemicals']",0
299,ad5d6caa3c414df6af741e655b8c141e,marvell technology group ltd.,,hamilton,bermuda,1995,"6,695",mr. matthew j. murphy,doll_58.36 b,"['technology', 'semiconductors']",0
300,aaff69dcdfd94626b689da7fcd65b290,"honda motor co., ltd.",,tokyo,japan,0,"211,374",mr. toshihiro  mibe,doll_¥6.017 t,"['japan', 'consumerdiscretionary', 'automanufacturers', 'japanconsumerdiscretionary', 'japanautomanufacturers']",doll_49.11 b
