,name,mastercap,country,industry,sector
254,oxford instruments plc,doll_1.67 b,united kingdom,semiconductor equipment & materials,technology
255,aj bell plc,doll_1.66 b,united kingdom,capital markets,financials
256,gamma communications plc,doll_1.66 b,united kingdom,telecom services,communication services
257,cvs group plc,doll_1.65 b,united kingdom,personal services,consumer discretionary
258,workspace group plc,doll_1.65 b,united kingdom,reitoffice,real estate
259,rsa insurance group plc,doll_1.65 b,united kingdom,insuranceproperty & casualty,financials
260,auction technology group plc,doll_1.64 b,united kingdom,softwareapplication,technology
261,daily mail and general trust plc,0,united kingdom,publishing,communication services
262,blue prism group plc,0,united kingdom,softwareinfrastructure,technology
263,fidelity european values plc,doll_1.63 b,united kingdom,asset management,financials
264,helios towers plc,doll_1.61 b,united kingdom,telecom services,communication services
265,next fifteen communications group plc,doll_1.61 b,united kingdom,advertising agencies,communication services
266,clinigen group plc,doll_1.61 b,united kingdom,medical distribution,healthcare
267,trainline plc,doll_1.60 b,united kingdom,travel services,consumer discretionary
268,aberforth smaller companies trust plc,doll_1.60 b,united kingdom,asset management,financials
269,fdm group (holdings) plc,doll_1.60 b,united kingdom,information technology services,technology
270,herald investment trust,doll_1.59 b,united kingdom,asset management,financials
271,learning technologies group plc,doll_1.59 b,united kingdom,education & training services,consumer staples
272,bodycote plc,doll_1.58 b,united kingdom,specialty industrial machinery,industrials
273,atrium european real estate ltd,0,united kingdom,real estate services,real estate
274,telecom plus plc,doll_1.58 b,united kingdom,utilitiesdiversified,utilities
275,draper esprit plc,doll_1.57 b,united kingdom,asset management,financials
276,tp icap plc,doll_1.57 b,united kingdom,capital markets,financials
277,hill & smith holdings plc,doll_1.55 b,united kingdom,engineering & construction,industrials
278,bytes technology group plc,doll_1.54 b,united kingdom,softwareapplication,technology
279,talktalk telecom group plc,0,united kingdom,telecom services,communication services
280,globalworth real estate investments limited,doll_1.54 b,united kingdom,real estate services,real estate
281,rathbone brothers plc,doll_1.53 b,united kingdom,asset management,financials
