,name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
492,klabin sa,doll_19.86 b,klbn11,brazil,basic materials,paper & paper products,"saopaulo,sp,brazil",,, mr. cristiano cardoso teixeira
493,"paycom software, inc.",doll_19.87 b,payc,united states,technology,software—application,"oklahomacity,ok,unitedstates", 1998," 5,385", mr. chad r. richison
494,vedanta limited,doll_19.93 b,vedl,india,basic materials,other industrial metals & mining,"mumbai,india", 22 april 2003 as angelchange limited ," 17,047", mr. sunil  duggal
495,trina solar co. ltd,doll_19.94 b,688599,china,technology,solar,"changzhou,china",," 18,645",
496,tradeweb markets inc.,doll_19.98 b,tw,united states,financials,capital markets,"newyork,ny,unitedstates", 1998," 1,046", mr. lee  olesky
497,"sun communities, inc.",doll_19.98 b,sui,united states,real estate,reit—residential,"southfield,mi,unitedstates", 1975," 4,948", mr. gary a. shiffman
498,hannover rück se,doll_20.02 b,hnrb,germany,financials,insurance—reinsurance,"hanover,germany",," 3,346", mr. jean-jacques  henchoz
499,"perkinelmer, inc.",doll_20.05 b,pki,united states,healthcare,diagnostics & research,"waltham,ma,unitedstates", 1937," 16,700", dr. prahlad r. singh ph.d.
500,norsk hydro asa,doll_20.10 b,nhy,norway,                                        basic materials                                    ,                                        aluminum                                    ,"oslo,norway",," 31,264", ms. hilde merete aasheim
501,"principal financial group, inc.",doll_20.13 b,pfg,united states,financials,insurance—diversified,"desmoines,ia,unitedstates", 1879," 18,600", mr. daniel joseph houston
502,imperial brands plc,doll_20.14 b,imb,united kingdom,consumer staples,tobacco,"bristol,unitedkingdom", 1901," 30,300", mr. stefan  bomhard
503,ctbc financial holding co. ltd,doll_20.15 b,2891,taiwan,financials,insurance—life,"taipeicity,taiwan",," 21,159",
504,china railway group ltd,doll_20.15 b,0390,hong kong,industrials,engineering & construction,"kowloon,hongkong",," 288,729",
505,telenor asa,doll_20.15 b,tel,norway,                                        communication services                                    ,                                        telecom services                                    ,"fornebu,norway",," 18,000", mr. sigve  brekke
506,swiss life holding ag,doll_20.16 b,slhn,switzerland,financials,insurance—diversified,"zurich,switzerland",," 8,623", dr. patrick  frost
507,the people's insurance company (group) of china ltd,doll_27.93 b,601319,china,financials,insurance—property & casualty,"beijing,china",," 193,494",
508,ck hutchison holdings ltd,doll_27.94 b,0001,hong kong,industrials,conglomerates,"central,hongkong",," 172,907",
509,airports of thailand public company ltd,doll_28.00 b,aot,thailand,industrials,airports & air services,"bangkok,thailand",,,
510,sirius xm holdings inc.,doll_28.05 b,siri,united states,communication services,broadcasting,"newyork,ny,unitedstates"," july 29, 2008"," 5,590", ms. jennifer c. witz
511,porsche automobil holding se,doll_28.15 b,paha,germany,consumer discretionary,auto manufacturers,"stuttgart,germany",, 888, mr. george  wills
512,semiconductor manufacturing international corp,doll_28.24 b,688981,china,technology,semiconductors,"shanghai,china",," 17,354", dr. hai jun  zhao
513,tesco plc,doll_28.11 b,tsco,united kingdom,consumer staples,grocery stores,"welwyngardencity,unitedkingdom"," 1919 (1919) - hackney, london, england"," 360,000", mr. ken  murphy
514,equifax inc.,doll_28.24 b,efx,united states,industrials,consulting services,"atlanta,ga,unitedstates", 1899," 12,700", mr. mark w. begor
515,ashtead group plc,doll_28.28 b,aht,united kingdom,industrials,rental & leasing services,"london,unitedkingdom", 1947," 21,033", mr. brendan  horgan
516,cerner corporation,doll_28.31 b,cern,united states,healthcare,health information services,"northkansascity,mo,unitedstates", 1979," 25,150", dr. david todd feinberg mba
517,hormel foods corporation,doll_28.52 b,hrl,united states,consumer staples,packaged foods,"austin,mn,unitedstates", 1891," 20,000", mr. james p. snee
518,apa group,doll_28.55 b,apa,australia,utilities,utilities—regulated gas,"sydney,nsw,australia",," 2,000"," mr. robert anthony wheals c.a., b.com., bcom, ca, gaicd, maicd"
519,"naturgy energy group, sa",doll_28.71 b,ntgy,spain,utilities,utilities—regulated gas,"humanesdemadrid,spain",," 7,231", mr. francisco miguel  reynã©s massanet
520,techtronic industries company ltd,doll_28.75 b,0669,hong kong,industrials,tools & accessories,"kwaichung,hongkong",," 51,426"," mr. joseph  galli jr., bsba, m.b.a., mba."
521,csx corporation,doll_28.90 b,csx,united states,industrials,railroads,"jacksonville,fl,unitedstates"," november 1, 1980"," 20,900", mr. james m. foote
522,svb financial group,doll_28.91 b,sivb,united states,financials,banks,"santaclara,ca,unitedstates", 1983," 6,567", mr. gregory w. becker
523,cosco shipping holdings co ltd,doll_28.93 b,601919,china,industrials,marine shipping,"shanghai,china",," 29,379",
524,rwe ag,doll_29.06 b,rwe,germany,utilities,utilities—diversified,"essen,germany",," 18,902", dr. markus  krebber
525,las vegas sands corp.,doll_29.07 b,lvs,united states,consumer discretionary,resorts & casinos,"lasvegas,nv,unitedstates"," november 17, 1988"," 44,500", mr. robert glen goldstein
526,tongwei co. ltd,doll_29.10 b,600438,china,consumer staples,farm products,"chengdu,china",," 25,549",
527,rogers communications inc.,doll_29.13 b,rci.b,canada,communication services,telecom services,"toronto,on,canada",," 23,000"," mr. anthony  staffieri f.c.a., fca, fcpa"
528,electricité de france sa,doll_29.17 b,edf,france,utilities,utilities—diversified,"paris,france",," 163,423", mr. jean-bernard  levy
529,"amadeus it group, sa",doll_29.19 b,ams,spain,technology,information technology services,"madrid,spain",," 15,936", mr. luis  maroto camino
530,"astellas pharma, inc.",doll_29.22 b,4503,japan,healthcare,drug manufacturers—general,"tokyo,japan",," 15,455", mr. kenji  yasukawa ph.d.
531,"keysight technologies, inc.",doll_29.40 b,keys,united states,technology,scientific & technical instruments,"santarosa,ca,unitedstates", 2014," 14,300", mr. ronald s. nersesian
532,ball corporation,doll_29.40 b,bll,united states,consumer discretionary,packaging & containers,"westminster,ca,unitedstates", 1880," 24,300", mr. john a. hayes
533,saudi electricity company,doll_29.42 b,5110,saudi arabia,utilities,utilities—regulated electric,"riyadh,saudiarabia",,,
534,weyerhaeuser company,doll_29.42 b,wy,united states,real estate,reit—specialty,"seattle,wa,unitedstates", 1900," 9,214"," mr. devin w. stockfish esq., j.d."
535,"nasdaq, inc.",doll_29.52 b,ndaq,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates"," february 8, 1971"," 5,814", ms. adena t. friedman
536,spotify technology sa,doll_29.56 b,spot,luxembourg,                                        communication services                                    ,                                        internet content & information                                    ,"luxembourg,luxembourg", 23 april 2006," 6,617", mr. daniel g. ek
537,"copart, inc.",doll_29.58 b,cprt,united states,industrials,specialty business services,"dallas,tx,unitedstates"," vallejo, california 1982"," 8,600", mr. a. jayson adair
538,cathay financial holding co. ltd,doll_29.58 b,2882,taiwan,financials,insurance—life,"taipei,taiwan",," 57,347",
539,unicredit s.p.a.,doll_29.65 b,ucg,italy,financials,banks,"milan,mi,italy",," 80,879", mr. andrea  orcel
540,kbc group nv,doll_29.81 b,kdb,belgium,financials,banks,"brussels,belgium",," 33,916", mr. johan  thijs
541,"match group, inc.",doll_29.82 b,mtch,united states,communication services,internet content & information,"dallas,tx,unitedstates", 1986," 2,500", ms. sharmistha  dubey
542,willis towers watson plc,doll_29.85 b,wltw,united kingdom,financials,insurance brokers,"london,unitedkingdom", 5 january 2016," 46,000", mr. carl a. hess
543,riyad bank,doll_29.86 b,1010,saudi arabia,financials,banks,"riyadh,saudiarabia",," 5,660", mr. mohammed abdullah al-yahya
544,vestas wind systems a-s,doll_29.93 b,vws,denmark,industrials,specialty industrial machinery,"aarhus,denmark",," 29,427", mr. henrik  andersen
545,cummins inc.,doll_29.94 b,cmi,united states,industrials,specialty industrial machinery,"columbus,in,unitedstates", 1919," 59,900", mr. n. thomas linebarger
546,assa abloy ab,doll_30.05 b,alz,sweden,industrials,security & protection services,"stockholm,sweden",," 51,000", mr. nico  delvaux
547,"alexandria real estate equities, inc.",doll_30.10 b,are,united states,real estate,reit—office,"pasadena,ca,unitedstates", october 1994, 559, mr. peter m. moglia
548,compagnie de saint-gobain sa,doll_30.16 b,sgo,france,industrials,building products & equipment,"courbevoie,france",," 167,816", mr. benoit  bazin
549,"west pharmaceutical services, inc.",doll_30.23 b,wst,united states,healthcare,medical instruments & supplies,"exton,pa,unitedstates", 1923," 10,065", mr. eric m. green
550,fujitsu ltd,doll_30.28 b,6702,japan,technology,information technology services,"tokyo,japan",," 126,371", mr. takahito  tokita
551,"american water works company, inc.",doll_30.43 b,awk,united states,utilities,utilities—regulated water,"camden,nj,unitedstates", 1886," 6,400", ms. m. susan hardwick
552,"cbre group, inc.",doll_30.45 b,cbre,united states,real estate,real estate services,"losangeles,ca,unitedstates"," august 27, 1906"," 105,000", mr. robert e. sulentic
553,fifth third bancorp,doll_30.46 b,fitb,united states,financials,banks,"cincinnati,oh,unitedstates"," june 17, 1858"," 19,112", mr. gregory d. carmichael
554,bae systems plc,doll_30.51 b,ba.,united kingdom,industrials,aerospace & defense,"london,unitedkingdom", 30 november 1999," 89,600",
555,ferguson plc,doll_30.52 b,ferg,united kingdom,industrials,industrial distribution,"wokingham,unitedkingdom",," 31,000", mr. kevin  murphy
556,"shimano, inc.",doll_21.51 b,7309,japan,consumer discretionary,leisure,"sakai,japan",," 12,244", mr. yozo  shimano
557,"contura energy, inc.",doll_21.57 b,ctra,united states,energy,thermal coal,"bristol,tn,unitedstates"," july 26, 2016", 936, mr. thomas e. jorden
558,"b3 s.a. - brasil, bolsa, balcao",doll_21.58 b,b3sa3,brazil,financials,financial data & stock exchanges,"saopaulo,sp,brazil",,, mr. gilson  finkelsztain
559,teledyne technologies incorporated,doll_21.65 b,tdy,united states,technology,scientific & technical instruments,"thousandoaks,ca,unitedstates", 1960," 14,500", dr. robert  mehrabian
560,keycorp,doll_21.71 b,key,united states,financials,banks,"cleveland,oh,unitedstates", 1825," 17,654", mr. christopher marrott gorman
561,m&t bank corporation,doll_21.74 b,mtb,united states,financials,banks,"buffalo,ny,unitedstates"," august 29, 1856"," 17,115", mr. rene f. jones cpa
562,"dai-ichi life holdings, inc.",doll_21.76 b,8750,japan,financials,insurance—life,"tokyo,japan",," 64,823",
563,"ulta beauty, inc.",doll_21.82 b,ulta,united states,consumer discretionary,specialty retail,"bolingbrook,il,unitedstates", 1990," 16,000", mr. david c. kimbell
