00-avengers-name,01-DDD-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,09-wissel-name
ping an insurance,polymetal,ntt (nippon telegraph & telephone),tjx companies,samsung sdi,intuitive surgical,csl,cloudflare
intuit,j&j snack foods,mitsubishi ufj financial,intuitive surgical,china state construction engineering,porsche,citigroup,elastic nv
china life insurance,american eagle outfitters,airbus,chubb,jiangsu hengrui medicine,csl,automatic data processing,altair engineering
equinor,pennon group,stryker corporation,estee lauder,anta sports,stryker corporation,equinor,amc entertainment
american express,westports,equinor,keyence,capital one,ntt (nippon telegraph & telephone),stryker corporation,biomarin pharmaceutical
s&p global,olink holding,citigroup,mondelez,ahold delhaize,applied materials,allianz,digital realty
anheuser-busch inbev,shapir civil and marine engineering,csl,cigna,loblaw companies,airbus,estee lauder,malibu boats
aia,hensoldt,cigna,porsche,eversource energy,british american tobacco,cigna,roku
starbucks,harmonic drive systems,allianz,citigroup,rockwell automation,mondelez,mitsubishi ufj financial,portland general electric
intel,wsfs financial,estee lauder,british american tobacco,smc corp,tjx companies,inditex,clearwater paper
amd,coforge,chubb,csl,cement roadstone holding,chubb,applied materials,select energy services
hsbc,pacific premier bancorp,tjx companies,allianz,henkel,citigroup,tjx companies,express
caterpillar,adapthealth,merck kgaa,mitsubishi ufj financial,state street corporation,general electric,glencore,lands' end
bank of china,o-i glass,inditex,inditex,givaudan,estee lauder,chubb,bio-techne
commonwealth bank,rubis,applied materials,applied materials,w. w. grainger,analog devices,booking holdings (booking.com),kadant
target,petco,mondelez,paypal,crédit agricole,glencore,intuitive surgical,sotera health
duke energy,installed building products,intuitive surgical,merck kgaa,telus,allianz,schneider electric,invitae
canadian pacific railway,curaleaf,lg energy solution,marsh & mclennan companies,d. r. horton,lg energy solution,paypal,barnes & noble education
progressive,stepstone group,paypal,booking holdings (booking.com),restaurant brands international,merck kgaa,servicenow,taylor morrison
vale,sumitomo chemicalindia,schneider electric,analog devices,rwe,marsh & mclennan companies,lg energy solution,covenant logistics
air liquide,immunocore,booking holdings (booking.com),schneider electric,wec energy group,essilorluxottica,merck kgaa,arista networks
china shenhua energy,dycom industries,general electric,glencore,aier eye hospital,canadian national railway,mondelez,united bankshares
booking holdings (booking.com),cvent,glencore,canadian national railway,dell,servicenow,british american tobacco,cf industries
icici bank,brink's,marsh & mclennan companies,altria group,constellation energy,altria group,essilorluxottica,bowlero
merck kgaa,harmony biosciences,analog devices,enbridge,mtr corporation,volkswagen,marsh & mclennan companies,armstrong world industries
vertex pharmaceuticals,bancfirst,british american tobacco,essilorluxottica,pseg,inditex,vale,skillsoft
eog resources,viva energy,vale,vale,barrick gold,paypal,general electric,preformed line products
inditex,prospect capital,essilorluxottica,lg energy solution,weg on,northrop grumman,enbridge,marcus corporation
enbridge,maxlinear,enbridge,duke energy,vodafone,regeneron pharmaceuticals,compagnie financière richemont,bristow group
servicenow,sma solar technology,compagnie financière richemont,compagnie financière richemont,albemarle,schneider electric,analog devices,azenta
regeneron pharmaceuticals,highpeak energy,canadian national railway,al rajhi bank,yili group,enbridge,canadian national railway,g-iii apparel group
northrop grumman,prothena,servicenow,regeneron pharmaceuticals,enbw energie,moderna,al rajhi bank,sterling construction
schneider electric,siegfried holding,al rajhi bank,northrop grumman,equity residential,vertex pharmaceuticals,air liquide,casella waste systems
essilorluxottica,kinaxis,schlumberger,progressive,coca-cola european partners,duke energy,china shenhua energy,nuvasive
paypal,intercorp financial services,air liquide,general electric,skandinaviska enskilda banken,infosys,schlumberger,seneca foods
al rajhi bank,shangri-la,altria group,air liquide,united rentals,al rajhi bank,bnp paribas,thredup
estee lauder,evo payments,china shenhua energy,southern company,ulta beauty,booking holdings (booking.com),altria group,cubesmart
altria group,suntec reit,duke energy,volkswagen,compagnie de saint-gobain,vale,vertex pharmaceuticals,primerica
analog devices,inmode,bnp paribas,schlumberger,olympus,icici bank,infosys,procore
infosys,conmed,volkswagen,bnp paribas,rivian,southern company,regeneron pharmaceuticals,black hills
allianz,growthpoint properties,regeneron pharmaceuticals,china shenhua energy,kbc,china shenhua energy,volkswagen,aaon
marsh & mclennan companies,yuhan,progressive,infosys,raymond james,air liquide,duke energy,oppenheimer holdings
moderna,gmr group,mercedes-benz,eog resources,entergy,hindustan unilever,eog resources,ameris bancorp
illinois tool works,papa john's pizza,infosys,mercedes-benz,riyad bank,compagnie financière richemont,sinopec,tripadvisor
3m,hisense visual technology,vertex pharmaceuticals,vertex pharmaceuticals,e.on,progressive,mercedes-benz,valhi
general dynamics,graham holdings,sinopec,icici bank,diamondback energy,eog resources,zoetis,oneok
air products and chemicals,freshpet,southern company,servicenow,edison international,glaxosmithkline,sabic,kaman
bank central asia,viscofan,eog resources,becton dickinson,cdw corporation,gazprom,icici bank,cal-maine foods
brookfield asset management,ats automation,sabic,target,bridgestone,mercedes-benz,petrobras,havertys
zurich insurance group,samsung heavy industries,target,hindustan unilever,formosa petrochemical,canadian pacific railway,target,avalonbay communities
becton dickinson,marel,icici bank,sinopec,kellogg's,sinopec,progressive,townebank
glaxosmithkline,archaea energy,hindustan unilever,canadian pacific railway,assa abloy,air products and chemicals,moderna,haemonetics
kering,federal signal,zoetis,sabic,ultratech cement,becton dickinson,hca healthcare,nl industries
mercedes-benz,cnx resources,kering,hca healthcare,beiersdorf,zurich insurance group,hindustan unilever,opendoor
sinopec,nomad foods,moderna,glaxosmithkline,lennar,schlumberger,canadian pacific railway,new york community bank
zoetis,pierer mobility,canadian pacific railway,u.s. bancorp,equifax,iberdrola,southern company,matrix service
southern company,mainova,hca healthcare,zurich insurance group,labcorp,mitsubishi ufj financial,glaxosmithkline,seaworld entertainment
gazprom,bic,becton dickinson,iberdrola,verisign,zoetis,cnooc,commvault
petrobras,syngene international,glaxosmithkline,3m,anhui conch cement,target,becton dickinson,rocky brands
compagnie financière richemont,guoco,u.s. bancorp,illinois tool works,doordash,3m,iberdrola,eog resources
schlumberger,squarespace,iberdrola,moderna,crrc,bnp paribas,china yangtze power,mission produce
hindustan unilever,amot investment,illinois tool works,china yangtze power,china railway group,hca healthcare,zurich insurance group,buckle
iberdrola,softcat,3m,air products and chemicals,standard chartered,illinois tool works ,axa,jackson financial
waste management,livanova,china tourism group duty free,zoetis,fujifilm,csx corporation,u.s. bancorp,montrose environmental
freeport-mcmoran,multichoice group,china yangtze power,axa,panasonic,general dynamics,china tourism group duty free,mirion technologies
uber,rajesh exports,northrop grumman,general dynamics,china minsheng bank,waste management,kering,monolithic power systems
china tourism group duty free,abm industries,axa,kering,ares management,boston scientific,bank of montreal,hireright
investor ab,vienna airport,zurich insurance group,csx corporation,cardinal health,softbank,illinois tool works,zoominfo
vinci,pjt partners,petrobras,bank of montreal,trip.com,axa,national australia bank,community bank system
kkr & co.,main street capital,alpha dhabi,china tourism group duty free,great-west lifeco,bank central asia,northrop grumman,myers industries
ubs,ingevity,national australia bank,petrobras,naver,state bank of india,alpha dhabi,etsy
london stock exchange,axsome therapeutics,walmex,colgate-palmolive,ck asset holdings,china yangtze power,bank central asia,trustmark
norfolk southern,texas capital bancshares,air products and chemicals,boston scientific,ansys,colgate-palmolive,air products and chemicals,the chefs' warehouse
bmw,comstock resources,bank of montreal,pnc financial services,huntington bancshares,u.s. bancorp,ubs,zimvie
activision blizzard,kumho petrochemical,csx corporation,dbs group,quanta services,humana,aon,esco technologies
abb,privia health group,dbs group,bank central asia,insulet,national australia bank,csx corporation,wheels up
housing development finance corporation,premium brands,cnooc,waste management,banorte,equinix,dbs group,novanta
micron technology,wienerberger,equinix,kddi,nio,sabic,walmex,scansource
truist financial,sabra health care reit,boston scientific,state bank of india,zoom,fiserv,kddi,liberty tripadvisor holdings
the saudi national bank,epr properties,bank central asia,fiserv,komatsu,dbs group,postal savings bank of china,seagen
atlas copco,makemytrip,state bank of india,walmex,tenaris,kering,canadian natural resources,natera
metlife,iluka resources,softbank,eaton,northern trust,sherwin-williams,3m,dropbox
intercontinental exchange,aci worldwide,pnc financial services,softbank,trina solar,kddi,america movil,marinemax
crown castle,hostess brands,ubs,cnooc,conagra brands,eaton,equinix,protolabs
charter communications,linamar,general dynamics,aon,kaō,cnooc,softbank,nextgen healthcare
siemens healthineers,kb home,postal savings bank of china,ubs,kakao,lam research,fiserv,monarch casino & resort
blackstone group,santen pharmaceutical,bmw,national australia bank,clorox,fast retailing,boston scientific,extreme networks
scotiabank,nordic semiconductor,aon,nongfu spring,wabtec,daiichi sankyō,state bank of india,biglari
fast retailing,ovh groupe,eaton,postal savings bank of china,shiseido,aon,freeport-mcmoran,oscar health
bharti airtel,strã¶er,crown castle,crown castle,legal & general,china tourism group duty free,lam research,agilethought
america movil,abcellera,fiserv,cme group,tourmaline oil,cme group,vinci,thryv
occidental petroleum,eastern bankshares,colgate-palmolive,equinix,roblox,canadian natural resources,bmw,hostess brands
verbund ag,alvotech,america movil,humana,wilmar international,verbund ag,crown castle,mrc global
daiichi sankyō,cd projekt,nongfu spring,bmw,celltrion,nongfu spring,airbnb,vishay precision group
lam research,exxaro resources,lam research,micron technology,powergrid corporation of india,bank of montreal,general dynamics,premier
aon,kansai paint,kddi,america movil,steris,walmex,micron technology,shoe carnival
nongfu spring,lion corp,freeport-mcmoran,sherwin-williams,royalty pharma,siemens healthineers,truist financial,mesa air
cnooc,pagseguro,sherwin-williams,fast retailing,carlsberg,investor ab,sherwin-williams,alteryx
cme group,amp limited,enel,abb,paycom,pnc financial services,abb,american public education
equinix,national vision holdings,canadian natural resources,truist financial,nu holdings,activision blizzard,colgate-palmolive,columbia care
airbnb,lxp industrial trust,airbnb,canadian natural resources,teck resources,norfolk southern,cme group,hill international
eaton,ultragenyx,waste management,lam research,aes,housing development finance corporation,humana,interactive brokers
kddi,enel chile,cme group,activision blizzard,incyte,petrobras,daiichi sanky?,united community bank
dbs group,avista,truist financial,freeport-mcmoran,swedbank,bharti airtel,waste management,affirm
colgate-palmolive,vz holding,abb,scotiabank,sun communities,micron technology,enel,boston beer company
pnc financial services,tripadvisor,humana,enel,otsuka holdings,atlas copco,atlas copco,bank ozk
walmex,tower bersama infrastructure,micron technology,norfolk southern,standard bank group,crown castle,pnc financial services,pc connection
state bank of india,nextdc,vinci,hong kong exchanges & clearing,hindustan zinc,airbnb,nongfu spring,weber
boston scientific,frontline,mindray,the saudi national bank,geely,abb,eaton,rci hospitality holdings
sherwin-williams,oil india,investor ab,intercontinental exchange,bolloré,postal savings bank of china,mindray,century aluminum
canadian natural resources,boralex,scotiabank,daiichi sankyō,geberit,bmw,charter communications,sofi
fiserv,cushman & wakefield,sumitomo mitsui financial group,vinci,etsy,ubs,scotiabank,genworth financial
sabic,moelis & company,blackstone group,occidental petroleum,hydro one,scotiabank,china telecom,evertec
national australia bank,phoenix mills,bayer,metlife,avangrid,the saudi national bank,blackstone group,rayonier advanced materials
csx corporation,st. galler kantonalbank,siemens healthineers,bharti airtel,live nation,america movil,housing development finance corporation,match group
softbank,plexus,daiichi sankyō,housing development finance corporation,itaúsa,blackstone group,occidental petroleum,zumiez
axa,euronav,kkr & co.,charter communications,w. p. carey,intercontinental exchange,emirates telecom (etisalat group),echostar
hca healthcare,mister car wash,charter communications,blackstone group,zscaler,occidental petroleum,intercontinental exchange,harte hanks
mitsubishi ufj financial,pegasystems,midea,emerson,ball corporation,kla,uber,multiplan
bank of montreal,stoneco,emirates telecom (etisalat group),kla,cincinnati financial,vinci,siemens healthineers,vse corporation
bnp paribas,chindata,intercontinental exchange,atlas copco,check point software,metlife,bayer,vera bradley
u.s. bancorp,evolent health,activision blizzard,investor ab,power corporation of canada,emerson,anglo american,corsair gaming
humana,plains gp,southern copper,thomson reuters,first solar,enel,safran,dxp enterprises
china yangtze power,sig (semen indonesia),kla,heineken,rocket companies,freeport-mcmoran,hong kong exchanges & clearing,otter tail
sempra energy,3m india,occidental petroleum,mindray,atmos energy,truist financial,kkr & co.,ducommun
rosneft,asana,the saudi national bank,airbnb,novozymes,adani enterprises,fast retailing,wesbanco
palo alto networks,hannon armstrong,norfolk southern,anglo american,tata steel,westpac banking,midea,chegg
marriott international,mr. cooper group,hong kong exchanges & clearing,kkr & co.,pkn orlen,thomson reuters,investor ab,alpha & omega semiconductor
pernod ricard,cathay general bancorp,atlas copco,siemens healthineers,swedish match,relx,marathon petroleum,orion-group-holdings
eni,braze,foshan haitian flavouring and food,relx,j.m. smucker company,kkr & co.,norfolk southern,selective insurance
safran,tata chemicals,uber,dollar general,magna international,dollar general,moody's,stepan company
synopsys,strauss group,safran,pioneer natural resources,ems-chemie,uber,kla,global partners lp
reckitt benckiser,sigma lithium,housing development finance corporation,sumitomo mitsui financial group,align technology,life insurance corporation of india (lic),netease,targa resources
united heavy machinery,equitrans midstream,westpac banking,westpac banking,spotify,hong kong exchanges & clearing,westpac banking,mid-america apartment communities
o'reilly automotive,stepan company,anglo american,verbund ag,essex property trust,heineken,sumitomo mitsui financial group,webster financial
enterprise products,globalstar,china telecom,safran,enel américas,moody's,southern copper,emergent biosolutions
anglo american,casio,netease,china telecom,ptc,bayer,activision blizzard,kimball international
monster beverage,qinetiq,moody's,midea,ase group,general motors,verbund ag,renasant corp
tokyo electron,engagesmart,verbund ag,marathon petroleum,bunge,mindray,pioneer natural resources,hayward
shopify,encavis,heineken,mckesson,fortum,ford,the saudi national bank,simon property group
mckesson,jumbo s.a.,marathon petroleum,industrial bank,sodexo,midea,heineken,steve madden
keurig dr pepper,ihs towers,emerson,santander,inpex,united heavy machinery,thomson reuters,civeo
adani enterprises,softwareone,fast retailing,enterprise products,united airlines holdings,pioneer natural resources,relx,globus medical
dollar general,galapagos nv,pioneer natural resources,life insurance corporation of india (lic),arca continental,china telecom,santander,computer programs and systems
kla,jamf,santander,vmware,tatneft,safran,bharti airtel,big 5 sporting goods
moody's,amylyx pharmaceuticals,industrial bank,united heavy machinery,royal caribbean,foshan haitian flavouring and food,enterprise products,ll flooring
marathon petroleum,beach energy,thomson reuters,netease,lucid motors,monster beverage,industrial bank,tredegar
relx,netlink trust,metlife,monster beverage,grasim industries,reckitt benckiser,mercadolibre,equity residential
heineken,carter's,enterprise products,foshan haitian flavouring and food,shinhan financial group,vmware,foshan haitian flavouring and food,csw industrials
ford,sats,relx,moody's,ucb,enterprise products,metlife,myriad genetics
enel,piper sandler,bharti airtel,adani enterprises,aercap,keurig dr pepper,valero energy,mercury systems
westpac banking,compagnie plastic omnium,eni,o'reilly automotive,hyundai mobis,public storage,life insurance corporation of india (lic),ehealth
general motors,pagerduty,life insurance corporation of india (lic),uber,ctbc financial holding,mckesson,mckesson,ayr wellness
mindray,win semiconductors,mercadolibre,recruit,aspentech,anglo american,tokyo electron,workiva
pioneer natural resources,bata india,pernod ricard,kraft heinz,cloudflare,shin-etsu chemical,united heavy machinery,oil states international
thomson reuters,corcept therapeutics,mckesson,southern copper,surgutneftegas,tokyo electron,pernod ricard,the andersons
postal savings bank of china,renew power,united heavy machinery,bayer,china steel,industrial bank,longi green energy technology,dolby
