00-avengers-categories,01-DDD-categories,04-iGMM-categories
['mining'],real-estate ,['retail']
['real estate'],mining ,"['banks', 'financialservices']"
"['banks', 'financial services']",none,['conglomerate']
"['chemicals', 'fertilizer companies']",electricity energy ,"['realestate', 'investment', 'reits']"
['investment'],none,['buildingmaterials']
['automakers'],specialty-vehicles ,"['hotels', 'travel']"
"['airlines', 'travel', 'transportation']",none,"['tech', 'software', 'financialservices']"
['chemicals'],investment ,"['banks', 'financialservices']"
['chemicals'],banks financial-services ,"['internet', 'gambling', 'entertainment']"
"['clothing', 'retail']",banks financial-services ,"['biotech', 'genomics', 'diagnosticsandtesting']"
['construction'],oil-gas chemicals energy ,"['mining', 'goldmining']"
['advertising'],pharmaceuticals biotech ,['food']
,banks financial-services ,['entertainment']
"['real estate', 'internet', 'tech']",internet e-commerce tech retail ,['utilitycompanies']
['financial services'],steel-producers steel-industry ,[]
"['agriculture', 'manufacturing']",semiconductors tech tech-hardware ,"['energy', 'oilgas']"
['sports goods'],tires ,['tires']
"['oil&gas', 'energy']",real-estate investment reit ,['education']
['retail'],real-estate investment reit ,[]
['insurance'],real-estate investment reit ,"['oilgas', 'energy']"
,none,"['pharmaceuticals', 'biotech']"
"['alcoholic beverages', 'beverages']",none,['advertising']
['automakers'],mining gold-mining ,"['financialservices', 'insurance']"
,sports clothing footwear ,"['pharmaceuticals', 'biotech']"
,chemicals ,"['realestate', 'investment', 'reits']"
"['auto parts', 'automotive suppliers', 'manufacturing']",none,"['oilgas', 'energy']"
['transportation'],energy oil-gas ,"['manufacturing', 'machinerymanufacturing']"
,mining ,"['hotels', 'travel']"
"['energy', 'oil&gas']",automakers ,[]
"['pharmaceuticals', 'biotech']",agriculture chemicals ,['telecommunicationsequipment']
['electronics'],insurance ,['pharmaceuticals']
"['retail', 'supermarket chains']",professional-services ,"['realestate', 'investment', 'reits']"
,gambling entertainment ,"['videogames', 'entertainment', 'tech']"
,financial-services ,['pharmaceuticals']
"['railways', 'transportation']",software tech ,[]
,software tech ,[]
,none,[]
"['electricity', 'utility companies', 'energy']",airlines travel transportation ,['healthcare']
['insurance'],none,"['software', 'tech']"
,manufacturing ,"['biotech', 'software', 'tech']"
['building materials'],genomics biotech ,"['oilgas', 'energy']"
['insurance'],banks financial-services ,[]
"['asset management', 'investment', 'financial services']",financial-services ,"['batteries', 'electricity']"
['financial services'],none,"['batteries', 'electricity']"
['real estate'],real-estate reit investment ,['healthcare']
['energy'],software tech ,['realestate']
,electricity renewable-energy ,['tech']
,steel-producers steel-industry ,"['financialservices', 'tech']"
['healthcare'],oil-gas energy infrastructure ,['robotics']
['healthcare'],real-estate investment reit ,['entertainment']
"['real estate', 'investment', 'reits']",hotels travel ,['diagnosticsandtesting']
"['oil&gas', 'energy']",none,"['pharmaceuticals', 'biotech']"
"['reits', 'real estate', 'investment']",tires ,['pharmaceuticals']
['beverages'],automotive-suppliers manufacturing ,['advertising']
['real estate'],energy renewable-energy ,['mining']
"['banks', 'financial services']",restaurant-chains food ,[]
"['transportation', 'maritime transportation']",pharmaceuticals biotech ,[]
"['railways', 'transportation']",financial-services ,['retail']
['investment'],uranium ,['construction']
['engineering'],none,"['cement', 'buildingmaterials']"
,none,['food']
,none,[]
,education ,"['supermarketchains', 'retail']"
['chemicals'],none,"['entertainment', 'gambling', 'hotels']"
,beverages alcoholic-beverages ,"['software', 'tech', 'itservices', 'professionalservices']"
,ridesharing internet tech ,"['electronics', 'manufacturing']"
"['stock exchanges', 'financial services', 'stock/crypto exchanges']",food restaurant-chains ,[]
,none,['transportation']
"['retail', 'e-commerce', 'internet', 'tech', 'food']",none,['insurance']
"['semiconductors', 'tech', 'tech hardware']",education ,[]
"['real estate', 'investment', 'reits']",investment real-estate ,['healthcare']
['investment'],automotive-suppliers ,['telecommunication']
['sports goods'],engineering ,"['banks', 'financialservices']"
"['financial services', 'tech', 'internet']",pharmaceuticals ,['aluminum']
['automotive suppliers'],financial-services banks insurance ,[]
,transportation ,"['financialservices', 'banks']"
,financial-services investment insurance ,['defensecontractors']
"['banks', 'financial services']",none,['mediapress']
"['defense contractors', 'aerospace']",oil-gas energy ,['furniture']
,construction ,"['clothing', 'retail']"
['retail'],hotels ,"['clothing', 'retail']"
"['railways', 'transportation']",software tech it-security ,[]
,oil-gas energy ,"['realestate', 'professionalservices']"
"['beverages', 'alcoholic beverages']",none,['financialservices']
"['investment', 'financial services']",building-materials ,['chemicals']
,none,[]
['manufacturing'],oil-gas energy ,['mining']
"['entertainment', 'media/press']",pharmaceuticals ,['conglomerate']
['financial services'],banks financial-services ,[]
"['hotels', 'travel']",food ,['insurance']
"['real estate', 'investment', 'reits']",specialty-vehicles manufacturing ,[]
"['restaurant chains', 'food']",railways investment infrastructure ,['chemicals']
"['steel producers', 'steel industry']",none,"['banks', 'financialservices']"
"['semiconductors', 'tech', 'tech hardware']",professional-services ,"['banks', 'financialservices']"
,electricity energy ,"['consumergoods', 'manufacturing']"
,retail ,"['biotech', 'pharmaceuticals']"
,none,[]
"['software', 'tech']",insurance ,"['onlinedating', 'internet', 'tech']"
"['hotels', 'travel']",chemicals ,['professionalservices']
['real estate'],none,"['videogames', 'entertainment']"
"['manufacturing', 'furniture']",none,"['banks', 'financialservices']"
['medical devices'],none,[]
"['financial services', 'insurance']",none,"['energy', 'electricity', 'renewableenergy']"
,semiconductors tech ,"['banks', 'financialservices', 'investment']"
"['banks', 'financial services']",none,[]
"['media/press', 'entertainment']",banks financial-services ,[]
"['software', 'tech']",food ,"['education', 'tech', 'software']"
['retail'],investment financial-services ,"['pharmaceuticals', 'biotech']"
,none,"['software', 'tech']"
,electronics ,"['entertainment', 'gambling']"
"['railways', 'transportation']",financial-services ,['food']
,none,['clothing']
"['real estate', 'investment', 'reits']",food-delivery food internet tech ,['manufacturing']
"['electronics', 'tech', 'tech hardware']",telecommunication ,['cannabis']
,investment ,"['mining', 'goldmining', 'silvermining']"
"['semiconductors', 'tech', 'tech hardware']",railways infrastructure ,['retail']
"['internet', 'tech', 'healthcare', 'telehealth']",none,"['oilgas', 'energy']"
,car-retail used-car-retailer internet e-commerce ,['securityprotectionservices']
"['pulp and paper', 'machinery manufacturing', 'manufacturing']",oil-gas energy ,"['electronics', 'manufacturing']"
['education'],chemicals ,"['retail', 'furniture', 'homekitchenappliances']"
,insurance ,"['bitcoin', 'financialservices']"
['telecommunication'],mining ,"['mining', 'silvermining', 'goldmining']"
,oil-gas energy infrastructure ,"['professionalservices', 'staffingemploymentservices']"
['construction'],energy renewable-energy electricity ,"['oilgas', 'energy']"
"['banks', 'financial services']",none,['food']
"['pharmaceuticals', 'biotech']",chemicals ,"['electricity', 'evcharging']"
"['engineering', 'energy']",none,"['financialservices', 'tech', 'internet']"
"['oil&gas', 'energy']",aerospace defense-contractors ,[]
"['healthcare', 'diagnostics and testing', 'manufacturing']",retail supermarkets ,['manufacturing']
,financial-services ,[]
['packaging'],real-estate ,['transportation']
"['airlines', 'travel', 'transportation']",transportation ,[]
['food'],mining ,"['software', 'tech']"
['professional services'],none,"['telecommunication', 'tech', 'aerospace']"
['real estate'],electricity energy ,"['oilgasequipmentservices', 'oilgas', 'energy']"
"['railways', 'infrastructure']",chemicals fertilizer ,"['software', 'tech']"
['transportation'],banks financial-services ,"['hotels', 'travel']"
,manufacturing scientific-and-technical-instruments ,"['chemicals', 'fertilizercompanies']"
"['food delivery', 'food', 'internet', 'tech']",reit real-estate investment ,['tires']
,cement building-materials ,"['airlines', 'travel', 'transportation']"
"['genomics', 'biotech']",real-estate ,[]
['telecommunication'],tech software ,[]
,automakers manufacturing ,[]
"['investment', 'financial services']",none,['mediapress']
['investment'],oil-gas energy ,['food']
,software tech ,"['semiconductors', 'tech', 'techhardware', 'lidar', 'autonomoriving']"
"['reits', 'real estate', 'investment']",pharmaceuticals biotech ,[]
"['oil&gas', 'energy']",clothing ,"['tech', 'financialservices']"
['consumer goods'],media-press telecommunication ,"['realestate', 'investment', 'reits', 'hotels', 'travel']"
"['oil&gas', 'energy', 'infrastructure']",manufacturing ,"['semiconductors', 'tech', 'techhardware']"
['education'],it-security tech software ,"['pharmaceuticals', 'biotech', 'chemicals']"
['financial services'],none,"['biotech', 'medicaldevices']"
,software tech ,['food']
['chemicals'],healthcare ,"['tech', 'internet']"
"['energy', 'oil&gas']",food ,"['telehealth', 'healthcare', 'tech', 'internet']"
,none,"['banks', 'financialservices']"
"['gambling', 'entertainment']",banks financial-services ,"['banks', 'financialservices']"
"['internet', 'tech', 'food', 'food delivery']",professional-services ,"['banks', 'financialservices']"
"['beverages', 'alcoholic beverages']",chemicals ,"['oilgas', 'energy']"
['healthcare'],none,"['assetmanagement', 'investment']"
['professional services'],consumer-goods ,[]
['mining'],clothing manufacturing ,['realestate']
"['tech', 'software']",telecommunication ,"['restaurantchains', 'food']"
,healthcare insurance ,"['software', 'tech', 'financialservices']"
,none,['glassware']
['retail'],professional-services ,"['videogames', 'entertainment']"
['specialty vehicles'],airports infrastructure ,"['software', 'tech']"
"['internet', 'tech']",used-car-retailer internet car-retail tech ,"['mining', 'goldmining']"
,construction ,['chemicals']
['investment'],transportation container-shipping maritime-transportation ,"['videogames', 'tech', 'entertainment']"
"['real estate', 'investment', 'reits']",clothing manufacturing ,"['semiconductors', 'tech', 'techhardware']"
,none,"['realestate', 'investment', 'reits']"
"['food', 'dairy companies']",none,['agriculture']
,construction ,['aerospace']
"['banks', 'financial services']",none,"['banks', 'financialservices']"
,retail ,"['evcharging', 'electricity', 'energy']"
"['banks', 'financial services']",construction ,"['reits', 'realestate', 'investment']"
"['mining', 'gold mining']",none,['advertising']
['insurance'],none,"['financialservices', 'investment', 'assetmanagement']"
"['automotive suppliers', 'auto parts', 'manufacturing']",biotech pharmaceuticals ,"['food', 'retail', 'supermarketchains']"
"['software', 'tech']",none,[]
"['pharmaceuticals', 'biotech']",oil-gas energy ,[]
"['diagnostics and testing', 'genomics']",transportation delivery-services ,"['realestate', 'investment', 'reits']"
"['e-commerce', 'tech', 'internet', 'retail']",media-press ,"['entertainment', 'gambling', 'internet']"
"['semiconductors', 'tech', 'tech hardware', 'manufacturing']",banks financial-services ,[]
"['pharmaceuticals', 'biotech']",software tech ,[]
,none,['football']
,automakers manufacturing ,"['tech', 'bitcoin', 'bitcoinmining']"
"['mining', 'gold mining']",pharmaceuticals biotech ,"['pharmaceuticals', 'biotech']"
,engineering it-services professional-services ,"['biotech', 'pharmaceuticals']"
['transportation'],real-estate investment reit ,"['software', 'tech']"
,professional-services ,['chemicals']
,mining coal-mining energy ,"['pharmaceuticals', 'biotech']"
,professional-services ,['homekitchenappliances']
['conglomerate'],electronics manufacturing ,"['medicaldevices', 'diagnosticsandtesting']"
['professional services'],tech telecommunication ,[]
"['oil&gas', 'energy']",oil-gas energy ,"['oilgas', 'energy']"
,software tech ,"['advertising', 'internet', 'software', 'tech']"
"['food delivery', 'food', 'internet', 'tech']",machinery-manufacturing manufacturing ,"['energy', 'renewableenergy', 'electricity']"
"['engineering', 'construction']",none,[]
"['it security', 'software', 'tech']",healthcare diagnostics manufacturing ,"['financialservices', 'tech', 'internet']"
,manufacturing ,['advertising']
"['investment', 'food']",stock-exchanges financial-services exchanges ,"['evcharging', 'electricity', 'energy']"
['financial services'],sports clothing ,[]
"['banks', 'financial services']",steel-industry ,"['mining', 'silvermining']"
,financial-services ,"['realestate', 'investment', 'reits']"
"['banks', 'financial services']",real-estate ,"['ecommerce', 'internet', 'tech']"
"['software', 'tech']",none,['mining']
"['software', 'tech', 'engineering']",pharmaceuticals biotech ,"['pharmaceuticals', 'biotech']"
['construction'],electronics manufacturing ,"['staffingemploymentservices', 'professionalservices']"
"['banks', 'financial services']",semiconductors tech tech-hardware ,['construction']
,none,"['pharmaceuticals', 'biotech']"
['home & kitchen appliances'],video-games entertainment ,['mining']
"['video games', 'entertainment']",pulp-and-paper ,"['clothing', 'retail']"
"['pharmaceuticals', 'biotech']",internet ,"['oilgas', 'energy']"
"['reits', 'real estate', 'investment']",video-games entertainment ,['utilitycompanies']
,none,"['electricity', 'energy']"
"['advertising', 'software', 'tech']",entertainment media-press ,"['financialservices', 'investment']"
['professional services'],none,"['mining', 'goldmining']"
,none,"['software', 'tech']"
"['crispr', 'pharmaceuticals', 'genomics', 'biotech', 'gene therapy']",food ,"['pharmaceuticals', 'tech']"
['electronics'],telecommunication ,"['footwear', 'retail']"
"['home & kitchen appliances', 'manufacturing']",real-estate investment reit ,"['transportation', 'courier']"
['manufacturing'],electricity energy ,"['biotech', 'pharmaceuticals']"
,manufacturing furniture ,"['software', 'tech']"
"['banks', 'financial services']",none,['healthcare']
,none,"['videogames', 'entertainment']"
"['oil&gas', 'utility companies', 'energy']",waste-recycling ,[]
"['hotels', 'gambling', 'entertainment', 'travel']",software tech ,"['aerospace', 'electronics']"
"['real estate', 'investment', 'reits']",video-games retail ,[]
,none,"['oilgas', 'energy']"
,none,"['realestate', 'financialservices']"
"['professional services', 'software', 'tech']",professional-services ,['pharmaceuticals']
"['oil&gas', 'energy']",insurance ,"['ecommerce', 'financialservices', 'tech']"
"['real estate', 'investment']",oil-gas energy ,['glovesppe']
"['railways', 'transportation', 'infrastructure']",pharmaceuticals biotech ,[]
"['pharmaceuticals', 'biotech']",financial-services ,"['batteries', 'electricity']"
"['software', 'professional services', 'tech']",none,"['retail', 'clothing']"
"['airlines', 'travel', 'transportation']",none,"['banks', 'financialservices']"
"['airports', 'infrastructure']",chemicals ,"['mining', 'goldmining']"
"['retail', 'internet', 'e-commerce']",sports footwear ,"['scientifictechnicalinstruments', 'tech']"
"['engineering', 'construction']",pharmaceuticals ,['chemicals']
"['medical care facilities', 'healthcare']",banks financial-services ,"['banks', 'financialservices']"
,software it-security tech ,"['videogames', 'tech']"
['manufacturing'],none,"['videogames', 'entertainment', 'tech']"
"['semiconductors', 'tech', 'manufacturing']",iot tech tech-hardware software ,"['restaurantchains', 'food']"
"['software', 'tech']",steel-producers steel-industry ,"['oilgas', 'energy']"
,chemicals ,[]
,medical-devices ,"['pharmaceuticals', 'biotech']"
"['electricity', 'batteries']",insurance ,"['3dprinting', 'software', 'tech']"
,none,['insurance']
"['internet', 'e-commerce', 'tech']",it-services professional-services ,"['investment', 'assetmanagement']"
"['financial services', 'asset management', 'insurance']",restaurant-chains food ,"['biotech', 'pharmaceuticals']"
,banks financial-services ,['agriculture']
,none,['automotivesuppliers']
,none,['medicaldevices']
['retail'],motorcycle-manufacturers manufacturing ,"['healthcare', 'insurance']"
,none,"['aircraftmanufacturers', 'manufacturing', 'aerospace']"
"['tech', 'semiconductors']",none,[]
['wellness'],real-estate ,"['steelproducers', 'steelindustry']"
['chemicals'],video-games ,[]
['gloves & ppe'],food ,[]
,infrastructure toll-road-operators ,"['restaurantchains', 'food']"
"['cement', 'building materials']",transportation maritime-transportation container-shipping ,[]
"['entertainment', 'gambling']",chemicals pharmaceuticals biotech ,"['banks', 'financialservices']"
['mining'],banks financial-services ,['medicaldevices']
,none,[]
['mining'],cruise-lines travel ,"['videogames', 'entertainment']"
"['banks', 'financial services']",investment banks financial-services ,"['pharmaceuticals', 'biotech']"
"['renewable energy', 'energy']",none,"['pharmaceuticals', 'biotech']"
['construction'],none,"['tech', 'lidar', 'techhardware', 'autonomoriving']"
"['oil&gas', 'energy']",video-games entertainment ,['electricvehicles']
"['aluminum', 'mining']",none,"['diagnosticsandtesting', 'biotech']"
,retail ,['medicaldevices']
"['pulp and paper', 'packaging']",none,"['videogames', 'tech', 'esports']"
['manufacturing'],none,"['software', 'tech']"
"['pharmaceuticals', 'biotech']",pharmaceuticals ,[]
"['chemicals', 'paint & coating']",paint-and-coating ,"['maritimetransportation', 'transportation', 'oilgas', 'energy']"
"['biotech', 'pharmaceuticals']",none,['retail']
['ports'],education ,['medicaldevices']
,healthcare ,[]
"['software', 'biotech', 'tech']",none,"['electronics', 'manufacturing']"
"['hotels', 'travel']",energy oil-gas utility-companies ,['financialservices']
"['oil&gas', 'energy']",pharmaceuticals ,"['pharmaceuticals', 'biotech']"
"['financial services', 'banks']",none,"['banks', 'financialservices']"
['media/press'],biotech pharmaceuticals ,"['pharmaceuticals', 'biotech']"
['manufacturing'],pharmaceuticals biotech ,['construction']
"['pharmaceuticals', 'biotech']",none,"['semiconductors', 'tech']"
['investment'],railways ,['construction']
['motorcycle manufacturers'],telecommunication ,[]
"['semiconductors', 'tech']",mining ,"['hotels', 'travel']"
"['financial services', 'tech']",telecommunication ,"['software', 'tech']"
,professional-services ,['mediapress']
['real estate'],banks financial-services ,"['goldmining', 'silvermining', 'mining']"
,engineering ,"['videogames', 'tech', 'entertainment']"
,financial-services ,['footwear']
,semiconductors tech tech-hardware ,"['genetherapy', 'genomics', 'pharmaceuticals', 'biotech']"
"['renewable energy', 'energy', 'manufacturing']",none,['clothing']
"['luxury goods', 'retail']",none,"['energy', 'renewableenergy']"
,airports infrastructure ,['telecommunication']
"['reits', 'real estate', 'investment']",none,['clothing']
"['software', 'tech']",food ,"['pharmaceuticals', 'biotech']"
"['software', 'tech']",none,"['reits', 'realestate', 'investment']"
,medical-devices ,['telecommunication']
['mining'],investment financial-services ,[]
,financial-services tech internet ,[]
"['pharmaceuticals', 'biotech']",airlines travel transportation ,"['wasterecycling', 'software', 'tech']"
"['software', 'tech']",real-estate ,"['pharmaceuticals', 'biotech']"
['automotive suppliers'],retail supermarkets ,"['pharmaceuticals', 'biotech']"
"['real estate', 'investment', 'reits']",financial-services tech ,[]
['gloves & ppe'],none,"['reits', 'realestate', 'investment']"
"['specialty vehicles', 'manufacturing']",retail home-and-kitchen-appliances ,"['banks', 'financialservices']"
,energy renewable-energy electricity ,['retail']
,semiconductors tech tech-hardware ,['construction']
"['video games', 'entertainment']",airlines travel transportation ,['medicaldevices']
"['banks', 'financial services']",banks financial-services ,['education']
,conglomerate manufacturing machinery-manufacturing ,['mining']
,mining gold-mining silver-mining ,"['cruiselines', 'transportation', 'travel', 'maritimetransportation']"
"['oil&gas', 'energy']",none,"['cement', 'buildingmaterials']"
"['video games', 'entertainment']",car-rental ,"['videogames', 'entertainment']"
"['renewable energy', 'electricity', 'energy']",investment ,"['pharmaceuticals', 'biotech']"
,pulp-and-paper machinery-manufacturing manufacturing ,"['pharmaceuticals', 'biotech']"
['real estate'],none,['entertainment']
"['financial services', 'investment']",electricity energy ,"['ledlightingmanufacturers', 'manufacturing']"
"['entertainment', 'media/press']",none,"['pharmaceuticals', 'biotech']"
"['pharmaceuticals', 'biotech']",engineering energy ,[]
,cosmetics ,[]
['retail'],semiconductors tech ,"['reits', 'realestate', 'investment']"
"['real estate', 'investment', 'reits']",education ,"['alcoholicbeverages', 'beverages']"
['beverages'],none,"['realestate', 'financialservices']"
"['banks', 'financial services']",none,"['telecommunicationsequipment', 'networkinghardware']"
['healthcare'],engineering ,"['videogames', 'tech', 'entertainment']"
"['food', 'dairy companies']",none,['medicaldevices']
,oil-gas energy ,"['realestate', 'investment']"
,banks financial-services ,['aerospace']
['scientific & technical instruments'],food ,['financialservices']
,oil-gas energy ,"['clothing', 'retail']"
"['aircraft manufacturers', 'aerospace', 'manufacturing']",none,"['pharmaceuticals', 'biotech']"
"['staffing & employment services', 'professional services']",mining gold-mining ,[]
"['biotech', 'genomics']",real-estate ,"['oilgas', 'energy']"
['electronics'],food ,"['videogames', 'entertainment', 'tech']"
['chemicals'],oil-gas energy ,['luxurygoods']
"['banks', 'financial services']",banks financial-services ,"['pharmaceuticals', 'biotech']"
"['telecommunication', 'media/press']",gambling hotels entertainment travel ,"['banks', 'financialservices']"
"['software', 'tech']",real-estate investment reit ,"['tech', 'iot', 'techhardware']"
"['it services', 'professional services']",electricity utility-companies energy ,"['tech', 'networkinghardware', 'techhardware']"
"['real estate', 'investment']",none,['clothing']
['financial services'],motorcycle-manufacturers ,"['banks', 'financialservices']"
,telecommunication ,"['tech', 'financialservices']"
['healthcare'],aircraft-leasing rental-and-leasing-services ,['pharmaceuticals']
['pharmaceuticals'],oil-gas energy ,"['investment', 'financialservices', 'assetmanagement']"
"['transportation', 'maritime transportation']",none,"['realestate', 'investment', 'reits']"
,none,['electronics']
"['beverages', 'alcoholic beverages']",real-estate investment reit ,"['airlines', 'travel', 'transportation']"
"['oil&gas', 'transportation', 'maritime transportation']",alcoholic-beverages beverages ,"['realestate', 'investment']"
"['restaurant chains', 'food']",internet ,"['pharmaceuticals', 'biotech']"
,investment electricity energy ,['footwear']
"['mining', 'silver mining', 'gold mining']",entertainment ,['food']
,video-games tech entertainment ,"['biotech', 'pharmaceuticals', 'genomics', 'genetherapy']"
"['steel producers', 'steel industry']",real-estate investment reit ,"['software', 'tech', 'healthcare']"
"['automakers', 'electric vehicles']",none,"['biotech', 'pharmaceuticals']"
['personal care'],none,['transportation']
"['software', 'tech']",banks financial-services ,['consumergoods']
['manufacturing'],none,['automotivesuppliers']
,tech tech-hardware semiconductors electronics ,[]
"['banks', 'financial services']",packaging ,"['gambling', 'entertainment']"
"['it services', 'professional services', 'defense contractors']",software tech ,[]
['construction'],staffing-employment professional-services ,"['financialservices', 'tech', 'software']"
,investment ,"['tech', 'techhardware']"
"['investment', 'hotels', 'gambling', 'entertainment', 'travel']",healthcare ,"['banks', 'financialservices']"
['financial services'],gambling entertainment ,['transportation']
,airlines travel transportation ,[]
"['bitcoin', 'investment']",real-estate investment ,"['banks', 'financialservices']"
"['real estate', 'investment', 'reits', 'hotels', 'travel']",paint-and-coating ,['retail']
"['banks', 'financial services']",mining ,"['banks', 'financialservices']"
"['oil&gas', 'energy']",tech software ,['financialservices']
"['software', 'tech']",steel-producers steel-industry ,"['pharmaceuticals', 'biotech']"
"['oil&gas', 'energy']",financial-services ,"['banks', 'financialservices']"
,banks financial-services ,"['banks', 'financialservices']"
['transportation'],none,"['cement', 'buildingmaterials']"
"['banks', 'financial services']",glasses-and-contact-lenses ,"['biotech', 'pharmaceuticals', 'genomics', 'genetherapy']"
['professional services'],semiconductors tech tech-hardware ,[]
"['it security', 'software', 'tech']",retail ,['financialservices']
,chemicals ,"['oilgas', 'energy']"
"['asset management', 'investment']",none,['clothing']
"['oil&gas', 'energy']",beverages ,"['banks', 'financialservices']"
['professional services'],real-estate ,['chemicals']
,none,"['cannabis', 'tobacco']"
,engineering ,[]
"['software', 'tech']",real-estate ,['pharmaceuticals']
"['beverages', 'alcoholic beverages']",it-services professional-services ,['medicaldevices']
['healthcare'],chemicals ,"['3dprinting', 'tech']"
,chemicals ,"['construction', 'engineering']"
"['energy', 'infrastructure', 'electricity', 'oil&gas']",none,[]
"['food', 'restaurant chains']",none,"['biotech', 'pharmaceuticals', 'genetherapy', 'genomics', 'crispr']"
,none,"['gambling', 'entertainment']"
"['oil&gas', 'energy']",software tech financial-services internet ,"['pharmaceuticals', 'biotech']"
,staffing-employment professional-services ,[]
['professional services'],medical-devices medical-equipment ,[]
"['construction', 'engineering', 'infrastructure']",real-estate ,"['lidar', 'tech', 'techhardware', 'software', 'autonomoriving']"
"['oil&gas', 'energy']",pharmaceuticals biotech ,"['pulpandpaper', 'packaging']"
"['e-commerce', 'internet', 'clothing', 'tech']",none,['telecommunicationsequipment']
"['telecommunications equipment', 'manufacturing']",none,['professionalservices']
"['financial services', 'tech']",none,['financialservices']
['glasses and contact lenses'],mining coal-mining energy ,['pharmaceuticals']
['gold mining'],none,"['oilgas', 'energy']"
"['electronics', 'education']",railways transportation ,"['clothing', 'retail']"
"['banks', 'financial services']",none,"['banks', 'financialservices']"
,banks financial-services ,['entertainment']
"['hotels', 'real estate', 'investment', 'travel', 'reits']",banks financial-services ,['financialservices']
"['pharmaceuticals', 'biotech']",internet tech food food-delivery ,['furniture']
"['multi-level marketing', 'dietary supplements']",software tech ,['automotivesuppliers']
"['medical care facilities', 'real estate', 'investment', 'reits']",none,"['software', 'tech']"
['media/press'],none,"['oilgas', 'oilgasequipmentservices', 'energy']"
['furniture'],financial-services insurance ,"['semiconductors', 'tech', 'techhardware']"
"['insurance', 'financial services']",entertainment ,['toys']
"['real estate', 'investment', 'reits']",insurance ,"['software', 'tech', 'itservices', 'professionalservices']"
['education'],electronics ,"['videogames', 'entertainment']"
,banks financial-services ,"['videogames', 'energy']"
['financial services'],banks financial-services ,"['automakers', 'electricvehicles']"
"['software', 'tech']",banks financial-services ,"['banks', 'financialservices', 'investment']"
['entertainment'],none,"['beverages', 'alcoholicbeverages']"
,none,"['banks', 'financialservices']"
"['reits', 'real estate', 'investment']",automakers ,['food']
"['software', 'tech']",none,"['reits', 'realestate', 'investment']"
['cosmetics and beauty'],software tech ,"['biotech', 'pharmaceuticals']"
"['airlines', 'travel', 'transportation']",real-estate investment reit ,['realestate']
"['real estate', 'investment', 'reits']",tobacco ,"['insurance', 'financialservices']"
"['financial services', 'investment', 'asset management']",none,"['tech', 'techhardware', 'itsecurity']"
"['financial services', 'tech']",none,[]
['healthcare'],none,"['medicaldevices', 'medicalequipment']"
"['uranium', 'energy', 'mining']",oil-gas energy ,['professionalservices']
"['tech', 'software', 'batteries', 'electricity', 'energy']",banks financial-services ,"['internet', 'travel']"
['scientific & technical instruments'],video-games entertainment tech ,[]
['manufacturing'],telecommunication ,"['semiconductors', 'tech', 'techhardware']"
"['asset management', 'investment']",none,"['financialservices', 'tech']"
"['electronics', 'manufacturing']",none,['automotivesuppliers']
"['electronics', 'manufacturing']",telecommunication ,['financialservices']
['mining'],hotels travel ,"['software', 'tech']"
"['education', 'media/press']",chemicals ,"['glassesandcontactlenses', 'internet', 'ecommerce', 'tech']"
,none,"['advertising', 'tech', 'software']"
['renewable energy'],railways ,"['carretail', 'retail']"
"['pharmaceuticals', 'biotech']",financial-services ,"['ecommerce', 'internet', 'recommerce', 'tech']"
['manufacturing'],none,"['pharmaceuticals', 'biotech']"
['financial services'],none,[]
"['conglomerate', 'energy', 'electricity']",biofuel energy ,"['software', 'tech', 'healthcare']"
"['healthcare', 'transportation']",none,"['pharmaceuticals', 'biotech']"
['medical devices'],internet tech healthcare telehealth ,['financialservices']
"['professional services', 'software', 'tech']",chemicals ,"['videogames', 'tech', 'entertainment']"
"['real estate', 'reits', 'investment', 'telecommunication', 'infrastructure']",pharmaceuticals ,"['food', 'restaurantchains']"
"['internet', 'gambling', 'entertainment']",investment ,"['tech', 'internet']"
,none,"['pharmaceuticals', 'biotech']"
,none,['telecommunication']
"['reits', 'real estate', 'investment']",real-estate ,[]
,financial-services insurance ,['agriculture']
['aluminum'],none,"['engineering', 'professionalservices']"
,retail ,['financialservices']
"['clothing', 'retail']",none,"['banks', 'banks']"
"['oil&gas', 'transportation', 'maritime transportation']",chemicals ,"['software', 'itsecurity', 'tech']"
"['banks', 'financial services']",none,"['healthcare', 'software', 'tech']"
['chemicals'],reit real-estate investment ,"['financialservices', 'banks']"
,consumer-goods ,"['pharmaceuticals', 'biotech']"
['energy'],banks financial-services ,"['software', 'tech']"
"['pharmaceuticals', 'biotech']",retail ,"['pharmaceuticals', 'biotech']"
['medical devices'],none,['electronics']
['manufacturing'],food ,"['videogames', 'entertainment', 'tech']"
"['pharmaceuticals', 'biotech']",none,"['airlines', 'travel', 'transportation']"
['professional services'],steel-producers steel-industry ,[]
,video-games tech ,[]
"['tech', 'internet']",software tech ,['automotivesuppliers']
['pharmaceuticals'],car-retail retail ,['electronics']
['healthcare'],oil-gas-equipment-services ,['diagnosticsandtesting']
"['mining', 'gold mining']",airlines travel transportation ,"['biotech', 'pharmaceuticals']"
"['banks', 'financial services']",none,['mining']
['cannabis'],real-estate investment reit ,[]
['mining'],retail supermarkets ,"['software', 'tech']"
['financial services'],none,['medicaldevices']
,none,"['realestate', 'investment', 'reits']"
"['banks', 'financial services']",reit real-estate investment ,['pharmaceuticals']
