name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
Join Business Management Consulting,Italy,Management Consulting,10189790,3128700,77,25,2013
Vennes,Germany,Construction,17048000,5244000,57,27,2003
Piggy,The Netherlands,Technology,2946126,906341,31,7,2013
Epassi,Finland,Fintech,205312456,63207258,130,40,2007
Atheneum Partners,Germany,Technology,33400000,10300000,315,150,2010
Pharmacy2U,UK,Technology,156232906,48580102,454,211,1999
PHOENIX DEVELOPPEMENT,France,Support Services,1797294,556159,18,6,2011
Wiwie Transport,Germany,Transport,4200000,1300000,25,10,2016
Mevas Auto Center,Romania,Automobiles,2595034,834708,31,23,2003
BK Beachhouse Mode,Germany,Retail,5172479,1602458,35,21,2015
F.lli Urso,Italy,Construction,2009090,622800,9,3,2015
GoHenry,UK,Financial Services,22020382,6882489,166,61,2011
Adrilog,Italy,Transport,57057180,17727950,816,634,2014
Attachment,UK,Advertising,7191249,2250946,6,2,2015
PARIS HERBES,France,Agricultural Commodities,12934943,4020469,25,15,2015
Interlog Logistic,France,Transport,5480946,1703819,28,37,2015
Conglomerati Bituminosi,Italy,Construction,33371870,10393680,75,34,1975
Nikkel Art,Belgium,Ecommerce,3762160,1172617,26,5,2010
Esyen,Italy,Technology,3868940,1206770,25,9,2011
Sav-eco Packaging Ltd,UK,Industrial Goods,16923940,5322238,165,104,2014
Elmar Mair Tiefbau,Germany,Construction,2302685,719638,19,8,2016
ATLAS Innovative Engineering,Spain,Energy,3495981,1094666,15,12,2014
SECURE-IC,France,Technology,6934182,2171492,76,48,2010
DATALYO,France,Technology,3544255,1111687,36,16,2014
Signify Technology,UK,Management Consulting,2547992,805029,29,14,2016
BOXT,UK,Ecommerce,38373430,12127395,59,20,2017
James and James Fulfilment,UK,Ecommerce,30887883,9762332,158,55,2010
Armonie,Italy,Food & Beverage,2803150,879670,9,5,2014
Maverick Group,Italy,Technology,5313290,1674690,5,1,2017
Brainpull,Italy,Advertising,4264120,1344240,29,10,2012
Wiseband,France,Media,1636674,516164,15,4,2014
Groupe Ezdo La Boulangerie Des Gourmets,France,Agricultural Commodities,40777823,12867410,15,4,2013
