07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
doll_42.9 m,doll_220.42 b,doll_5.356 m,doll_71.22 m,doll_1.3 b,doll_2.2 b,doll_87.614 m,doll_1.7 b,doll_1.65 b,doll_53.31 m
doll_42.02 m,doll_218.38 b,doll_203.750 m,doll_70.87 m,doll_2.27 b,doll_2.18 b,doll_25.371 m,doll_1.69 b,doll_1.42 b,doll_42.45 m
doll_54.03 m,doll_217.34 b,doll_111.210 m,doll_70.5 m,doll_2.64 b,doll_2.17 b,doll_133.610 m,doll_1.66 b,doll_1.77 b,doll_56.77 m
doll_61.32 m,doll_211.28 b,doll_10.411 m,doll_69.39 m,doll_1.08 b,doll_2.11 b,doll_26.492 m,doll_1.64 b,doll_1.41 b,doll_51.53 m
doll_70.79 m,doll_202.83 b,doll_86.615 m,doll_68.99 m,doll_2.32 b,doll_2.03 b,doll_79.020 m,doll_1.63 b,doll_1.67 b,doll_72.39 m
doll_28.03 m,doll_202.06 b,doll_61.787 m,doll_68.83 m,doll_1.03 b,doll_2.02 b,doll_18.970 m,doll_2.41 b,doll_1.87 b,doll_41.97 m
doll_62.11 m,doll_201.26 b,doll_65.801 m,doll_67.91 m,doll_2.15 b,doll_2.01 b,doll_48.553 m,doll_2.41 b,doll_2.16 b,doll_61.9 m
doll_39.31 m,doll_199.86 b,doll_19.628 m,doll_66.91 m,doll_1.4 b,doll_2.0 b,doll_97.287 m,doll_2.4 b,doll_2.24 b,doll_47.89 m
doll_46.42 m,doll_199.56 b,0 million usd,doll_66.67 m,doll_1.57 b,doll_2.0 b,doll_52.877 m,doll_2.4 b,doll_2.52 b,doll_51.21 m
0,doll_197.13 b,doll_164.660 m,doll_64.8 m,doll_33.24 m,doll_1.97 b,doll_23.222 m,0,0,doll_47.53 m
doll_42.03 m,doll_193.87 b,doll_4.706 m,doll_62.96 m,doll_1.13 b,doll_1.94 b,doll_120.930 m,doll_2.39 b,doll_2.19 b,doll_57.57 m
doll_57.94 m,doll_189.61 b,doll_17.323 m,doll_62.3 m,doll_1.02 b,doll_1.9 b,doll_56.414 m,doll_2.38 b,doll_2.13 b,doll_63.48 m
doll_71.79 m,doll_187.74 b,0 million usd,doll_61.02 m,doll_2.84 b,doll_1.88 b,doll_24.002 m,doll_2.38 b,doll_2.01 b,doll_54.04 m
doll_35.34 m,doll_186.71 b,doll_39.083 m,doll_60.84 m,doll_83.87 m,doll_1.87 b,doll_33.560 m,doll_2.35 b,doll_2.13 b,doll_48.1 m
doll_64.25 m,doll_182.17 b,doll_55.080 m,doll_60.65 m,doll_2.23 b,doll_1.82 b,doll_168.860 m,doll_2.34 b,doll_2.5 b,doll_55.69 m
doll_47.44 m,doll_181.56 b,doll_8.821 m,doll_60.06 m,doll_2.37 b,doll_1.82 b,doll_45.066 m,doll_1.63 b,doll_1.78 b,doll_49.85 m
doll_39.78 m,doll_178.12 b,doll_41.554 m,doll_59.39 m,doll_1.35 b,doll_1.78 b,doll_18.996 m,doll_1.44 b,doll_1.18 b,doll_45.19 m
doll_29.41 m,doll_173.44 b,doll_12.188 m,doll_59.35 m,doll_62.46 m,doll_1.73 b,doll_30.793 m,doll_1.44 b,doll_1.29 b,doll_49.72 m
doll_66.23 m,doll_172.04 b,doll_110.010 m,doll_59.25 m,doll_78.34 m,doll_1.72 b,doll_37.417 m,doll_1.43 b,doll_1.39 b,doll_45.54 m
doll_35.77 m,doll_171.94 b,doll_11.063 m,doll_58.86 m,doll_1.14 b,doll_1.72 b,doll_9.898 m,doll_1.61 b,doll_1.61 b,doll_44.48 m
doll_48.35 m,doll_169.55 b,doll_9.482 m,doll_58.74 m,doll_1.2 b,doll_1.7 b,doll_17.069 m,doll_1.61 b,doll_1.55 b,doll_47.2 m
doll_27.31 m,doll_169.17 b,doll_5.750 m,doll_57.62 m,doll_93.56 m,doll_1.69 b,doll_180.640 m,doll_1.61 b,doll_2.02 b,doll_47.28 m
doll_47.99 m,doll_165.72 b,0 million usd,doll_56.18 m,doll_1.26 b,doll_1.66 b,doll_21.804 m,doll_1.6 b,doll_1.46 b,doll_36.66 m
doll_15.14 m,doll_163.79 b,doll_24.545 m,doll_55.99 m,doll_1.27 b,doll_1.64 b,doll_18.344 m,doll_1.59 b,doll_1.34 b,doll_19.67 m
doll_17.61 m,doll_162.91 b,doll_4.776 m,doll_55.64 m,doll_1.41 b,doll_1.63 b,doll_96.250 m,doll_1.56 b,doll_1.29 b,doll_29.55 m
doll_26.54 m,doll_162.54 b,doll_9.835 m,doll_55.61 m,doll_1.7 b,doll_1.63 b,doll_28.141 m,doll_1.54 b,doll_1.61 b,doll_38.36 m
0,doll_160.76 b,387 million usd,doll_55.25 m,doll_1.86 b,doll_1.61 b,doll_72.397 m,doll_1.5 b,doll_1.46 b,0
doll_64.44 m,doll_160.71 b,doll_23.400 m,doll_54.84 m,doll_69.11 m,doll_1.61 b,doll_16.434 m,doll_1.49 b,doll_1.6 b,doll_70.75 m
doll_78.08 m,doll_160.51 b,doll_48.577 m,doll_54.46 m,doll_78.82 m,doll_1.61 b,doll_34.392 m,doll_1.43 b,doll_1.9 b,doll_57.61 m
doll_65.79 m,doll_159.75 b,doll_16.677 m,doll_54.38 m,doll_1.13 b,doll_1.6 b,doll_202.290 m,doll_1.42 b,doll_1.48 b,doll_60.28 m
doll_46.65 m,doll_159.41 b,doll_22.427 m,doll_53.95 m,doll_55.86 m,doll_1.59 b,doll_35.376 m,doll_1.41 b,doll_1.8 b,doll_45.19 m
doll_35.74 m,doll_156.01 b,doll_8.823 m,doll_53.54 m,doll_1.0 b,doll_1.56 b,doll_31.405 m,doll_1.39 b,doll_1.49 b,doll_43.3 m
doll_26.45 m,doll_154.34 b,doll_26.981 m,doll_52.51 m,doll_1.35 b,doll_1.54 b,doll_104.700 m,doll_1.39 b,doll_1.32 b,doll_37.87 m
doll_43.27 m,doll_150.12 b,doll_21.730 m,doll_52.12 m,doll_2.27 b,doll_1.5 b,doll_30.682 m,doll_1.38 b,doll_1.17 b,doll_41.83 m
doll_32.39 m,doll_148.53 b,doll_14.293 m,doll_51.74 m,doll_1.28 b,doll_1.49 b,doll_12.726 m,doll_1.38 b,doll_1.14 b,doll_40.04 m
doll_56.98 m,doll_144.32 b,doll_84.380 m,doll_51.73 m,doll_1.02 b,doll_1.44 b,doll_4.611 m,doll_2.31 b,doll_2.29 b,doll_37.26 m
doll_8.12 m,doll_143.7 b,doll_18.970 m,doll_51.38 m,doll_1.48 b,doll_1.44 b,doll_5.511 m,doll_2.29 b,doll_2.79 b,doll_19.63 m
doll_58.76 m,doll_143.38 b,0 million usd,doll_51.0 m,doll_93.28 m,doll_1.43 b,doll_380.440 m,doll_2.28 b,doll_2.28 b,doll_35.3 m
doll_30.14 m,doll_143.34 b,doll_1.860 m,doll_50.25 m,doll_46.91 m,doll_1.43 b,doll_70.765 m,doll_2.25 b,doll_2.6 b,doll_37.88 m
doll_34.48 m,doll_142.42 b,0 million usd,doll_49.61 m,doll_85.88 m,doll_1.42 b,doll_184.630 m,doll_2.21 b,doll_2.15 b,doll_32.84 m
doll_50.49 m,doll_141.39 b,doll_26.500 m,doll_49.34 m,doll_1.54 b,doll_1.41 b,doll_46.385 m,doll_2.2 b,doll_3.39 b,doll_47.9 m
doll_11.6 m,doll_139.46 b,150 million usd,doll_48.28 m,doll_1.52 b,doll_1.39 b,doll_292.110 m,doll_2.18 b,doll_1.88 b,doll_24.26 m
0,doll_138.71 b,doll_1.275 m,doll_6.54 m,doll_1.09 b,doll_1.39 b,doll_31.677 m,doll_2.17 b,doll_2.19 b,doll_5.82 m
doll_42.11 m,doll_138.01 b,0 million usd,doll_47.53 m,doll_1.45 b,doll_1.38 b,doll_32.501 m,doll_2.11 b,doll_2.31 b,doll_34.7 m
doll_13.98 m,doll_137.54 b,doll_4.882 m,doll_47.3 m,doll_98.69 m,doll_1.38 b,doll_68.616 m,doll_2.03 b,doll_1.93 b,doll_27.38 m
doll_49.7 m,doll_137.22 b,doll_17.852 m,doll_47.23 m,doll_1.52 b,doll_1.37 b,doll_76.991 m,doll_1.37 b,doll_1.45 b,doll_51.12 m
doll_43.38 m,doll_137.07 b,doll_11.496 m,doll_46.81 m,doll_68.37 m,doll_1.37 b,doll_250.120 m,doll_1.37 b,doll_1.72 b,doll_85.75 m
doll_42.59 m,doll_135.64 b,0 million usd,doll_46.25 m,doll_1.51 b,doll_1.36 b,doll_42.838 m,doll_1.36 b,doll_1.3 b,doll_36.63 m
doll_29.03 m,doll_135.55 b,doll_7.105 m,doll_46.06 m,doll_79.27 m,doll_1.36 b,doll_63.644 m,doll_1.36 b,doll_1.44 b,doll_38.53 m
doll_24.59 m,0.0,doll_15.618 m,doll_45.84 m,0,0,doll_123.070 m,0,0,doll_35.18 m
