00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
141 million usd,285 million usd,doll_300.0 m,141 million usd,322 million usd
-6 million usd,-145 million usd,0.0,77 million usd,285 million usd
194 million usd,52 million usd,doll_195.0 m,195 million usd,329 million usd
,97 million usd,doll_77.0 m,,77 million usd
41 million usd,,doll_141.0 m,300 million usd,
33 million usd,,doll_496.0 m,179 million usd,
47 million usd,,doll_2.09 b,462 million usd,
20 million usd,,doll_90.0 m,90 million usd,
,,0.0,,
,,doll_161.0 m,,
,,doll_322.0 m,,
97 million usd,,doll_285.0 m,77 million usd,
52 million usd,,doll_329.0 m,329 million usd,
-145 million usd,,doll_77.0 m,285 million usd,
285 million usd,236 million usd,0.0,322 million usd,"2,817 million usd"
160 million usd,,0.0,161 million usd,
,,0.0,,
,,0.0,,
,,0.0,,
,,0.0,,
236 million usd,,0.0,doll_2.817 m,
,138 million usd,0.0,,138 million usd
,,0.0,,
,-29 million usd,0.0,,"1,278 million usd"
,-514 million usd,doll_2.82 b,,179 million usd
,,0.0,,
,69 million usd,0.0,,350 million usd
,-14 million usd,0.0,,"2,343 million usd"
69 million usd,76 million usd,0.0,350 million usd,783 million usd
,,0.0,,
-514 million usd,-37 million usd,0.0,179 million usd,0 million usd
-29 million usd,-16 million usd,doll_138.0 m,doll_1.278 m,357 million usd
,,0.0,,
138 million usd,,doll_1.28 b,138 million usd,
,,doll_179.0 m,,
,-41 million usd,0.0,,"2,969 million usd"
,,doll_350.0 m,,
-14 million usd,111 million usd,doll_2.34 b,doll_2.343 m,"4,547 million usd"
,52 million usd,doll_783.0 m,,"1,487 million usd"
-41 million usd,19 million usd,0.0,doll_2.969 m,470 million usd
,58 million usd,0.0,,"3,224 million usd"
,,doll_357.0 m,,
,,0.0,,
-16 million usd,,0.0,357 million usd,
-37 million usd,97 million usd,0.0,0 million usd,"1,028 million usd"
,13 million usd,doll_2.97 b,,923 million usd
76 million usd,17 million usd,0.0,783 million usd,818 million usd
111 million usd,141 million usd,doll_4.55 b,doll_4.547 m,994 million usd
17 million usd,116 million usd,doll_1.49 b,818 million usd,"3,103 million usd"
13 million usd,,doll_470.0 m,923 million usd,
97 million usd,,doll_3.22 b,doll_1.028 m,
,150 million usd,0.0,,383 million usd
,58 million usd,0.0,,597 million usd
,51 million usd,0.0,,470 million usd
58 million usd,,doll_1.03 b,doll_3.224 m,
19 million usd,,doll_923.0 m,470 million usd,
52 million usd,46 million usd,doll_818.0 m,doll_1.487 m,177 million usd
141 million usd,62 million usd,doll_994.0 m,994 million usd,801 million usd
46 million usd,,doll_3.1 b,177 million usd,
,51 million usd,0.0,,"1,139 million usd"
,,0.0,,
51 million usd,,doll_383.0 m,470 million usd,
58 million usd,32 million usd,doll_597.0 m,597 million usd,93 million usd
150 million usd,19 million usd,doll_470.0 m,383 million usd,578 million usd
,,0.0,,
,-20 million usd,0.0,,1 million usd
116 million usd,,doll_177.0 m,doll_3.103 m,
62 million usd,-185 million usd,doll_801.0 m,801 million usd,205 million usd
,-281 million usd,0.0,,77 million usd
-20 million usd,2 million usd,doll_1.14 b,1 million usd,724 million usd
,-93 million usd,0.0,,390 million usd
19 million usd,,0.0,578 million usd,
32 million usd,44 million usd,doll_93.0 m,93 million usd,668 million usd
,75 million usd,doll_578.0 m,,443 million usd
,1 million usd,0.0,,221 million usd
51 million usd,,doll_1.0 m,doll_1.139 m,
,,0.0,,
-185 million usd,189 million usd,doll_205.0 m,205 million usd,"12,459 million usd"
,112 million usd,doll_77.0 m,,563 million usd
,112 million usd,doll_724.0 m,,204 million usd
1 million usd,,doll_390.0 m,221 million usd,
75 million usd,-1 million usd,0.0,443 million usd,"3,673 million usd"
44 million usd,,doll_668.0 m,668 million usd,
,39 million usd,doll_443.0 m,,"5,228 million usd"
-93 million usd,59 million usd,doll_221.0 m,390 million usd,697 million usd
2 million usd,47 million usd,0.0,724 million usd,"1,653 million usd"
-281 million usd,78 million usd,0.0,77 million usd,536 million usd
189 million usd,4 million usd,doll_12.46 b,doll_12.459 m,57 million usd
78 million usd,,doll_563.0 m,536 million usd,
47 million usd,59 million usd,doll_204.0 m,doll_1.653 m,"1,191 million usd"
59 million usd,-542 million usd,0.0,697 million usd,953 million usd
39 million usd,119 million usd,doll_3.67 b,doll_5.228 m,703 million usd
,,0.0,,
-1 million usd,-41 million usd,doll_5.23 b,doll_3.673 m,512 million usd
,,doll_697.0 m,,
112 million usd,125 million usd,doll_1.65 b,204 million usd,306 million usd
112 million usd,-3 million usd,doll_536.0 m,563 million usd,24 million usd
4 million usd,,doll_57.0 m,57 million usd,
-3 million usd,164 million usd,0.0,24 million usd,513 million usd
125 million usd,,doll_1.19 b,306 million usd,
,,doll_953.0 m,,
-41 million usd,14 million usd,doll_703.0 m,512 million usd,15 million usd
,,0.0,,
119 million usd,,doll_512.0 m,703 million usd,
-542 million usd,137 million usd,0.0,953 million usd,"1,496 million usd"
59 million usd,,doll_306.0 m,doll_1.191 m,
,95 million usd,doll_24.0 m,,193 million usd
,,0.0,,
95 million usd,,doll_513.0 m,193 million usd,
,,0.0,,
137 million usd,21 million usd,0.0,doll_1.496 m,80 million usd
,338 million usd,doll_15.0 m,,"25,597 million usd"
,48 million usd,0.0,,398 million usd
14 million usd,,0.0,15 million usd,
,,doll_1.5 b,,
,-2 million usd,0.0,,26 million usd
164 million usd,60 million usd,doll_193.0 m,513 million usd,"1,668 million usd"
,,0.0,,
60 million usd,,0.0,doll_1.668 m,
-2 million usd,59 million usd,0.0,26 million usd,392 million usd
,-39 million usd,doll_80.0 m,,337 million usd
,,doll_25.6 b,,
48 million usd,54 million usd,doll_398.0 m,398 million usd,"4,685 million usd"
338 million usd,-151 million usd,0.0,doll_25.597 m,-151 million usd
21 million usd,,0.0,80 million usd,
,191 million usd,doll_26.0 m,,785 million usd
,67 million usd,doll_1.67 b,,728 million usd
,-8 million usd,0.0,,267 million usd
67 million usd,128 million usd,0.0,728 million usd,"1,459 million usd"
191 million usd,77 million usd,doll_392.0 m,785 million usd,224 million usd
,353 million usd,doll_337.0 m,,360 million usd
-151 million usd,-79 million usd,0.0,-151 million usd,142 million usd
54 million usd,,doll_4.68 b,doll_4.685 m,
,72 million usd,doll_-151.0 m,,633 million usd
-39 million usd,,0.0,337 million usd,
59 million usd,44 million usd,doll_785.0 m,392 million usd,278 million usd
,,doll_728.0 m,,
-8 million usd,94 million usd,doll_267.0 m,267 million usd,250 million usd
,,doll_1.46 b,,
44 million usd,,doll_224.0 m,278 million usd,
,-69 million usd,doll_360.0 m,,3 million usd
72 million usd,90 million usd,doll_142.0 m,633 million usd,"1,298 million usd"
,22 million usd,0.0,,465 million usd
-79 million usd,162 million usd,doll_633.0 m,142 million usd,343 million usd
353 million usd,,0.0,360 million usd,
77 million usd,201 million usd,doll_278.0 m,224 million usd,217 million usd
128 million usd,,0.0,doll_1.459 m,
94 million usd,,doll_250.0 m,250 million usd,
,,0.0,,
201 million usd,,0.0,217 million usd,
,-71 million usd,doll_3.0 m,,6 million usd
162 million usd,-36 million usd,doll_1.3 b,343 million usd,247 million usd
22 million usd,-60 million usd,doll_465.0 m,465 million usd,9 million usd
90 million usd,,doll_343.0 m,doll_1.298 m,
-69 million usd,,0.0,3 million usd,
,-104 million usd,doll_217.0 m,,40 million usd
,157 million usd,0.0,,"2,584 million usd"
,,0.0,,
157 million usd,103 million usd,0.0,doll_2.584 m,504 million usd
-104 million usd,15 million usd,0.0,40 million usd,"7,626 million usd"
,,doll_6.0 m,,
,40 million usd,doll_247.0 m,,130 million usd
-60 million usd,2 million usd,doll_9.0 m,9 million usd,161 million usd
-36 million usd,,0.0,247 million usd,
-71 million usd,234 million usd,0.0,6 million usd,"5,713 million usd"
,12 million usd,doll_40.0 m,,75 million usd
,316 million usd,doll_2.58 b,,317 million usd
,137 million usd,0.0,,"3,029 million usd"
316 million usd,"1,762 million usd",doll_504.0 m,317 million usd,"6,110 million usd"
12 million usd,,doll_7.63 b,75 million usd,
234 million usd,,0.0,doll_5.713 m,
,44 million usd,doll_130.0 m,,554 million usd
2 million usd,61 million usd,doll_161.0 m,161 million usd,213 million usd
40 million usd,71 million usd,0.0,130 million usd,"1,344 million usd"
,27 million usd,doll_5.71 b,,163 million usd
15 million usd,55 million usd,doll_75.0 m,doll_7.626 m,342 million usd
103 million usd,-32 million usd,doll_317.0 m,504 million usd,305 million usd
137 million usd,11 million usd,doll_3.03 b,doll_3.029 m,115 million usd
-32 million usd,13 million usd,doll_6.11 b,305 million usd,507 million usd
55 million usd,4 million usd,0.0,342 million usd,209 million usd
27 million usd,243 million usd,0.0,163 million usd,"1,879 million usd"
71 million usd,67 million usd,doll_554.0 m,doll_1.344 m,415 million usd
61 million usd,,doll_213.0 m,213 million usd,
44 million usd,115 million usd,doll_1.34 b,554 million usd,347 million usd
,129 million usd,doll_163.0 m,,"6,903 million usd"
,,doll_342.0 m,,
doll_1.762 m,30 million usd,doll_305.0 m,doll_6.110 m,36 million usd
11 million usd,,doll_115.0 m,115 million usd,
30 million usd,,doll_507.0 m,36 million usd,
,288 million usd,doll_209.0 m,,"2,258 million usd"
129 million usd,,doll_1.88 b,doll_6.903 m,
115 million usd,,doll_415.0 m,347 million usd,
,-63 million usd,0.0,,251 million usd
67 million usd,-641 million usd,doll_347.0 m,415 million usd,"1,316 million usd"
243 million usd,204 million usd,doll_6.9 b,doll_1.879 m,"2,144 million usd"
4 million usd,,0.0,209 million usd,
13 million usd,,doll_36.0 m,507 million usd,
,6 million usd,0.0,,215 million usd
,43 million usd,0.0,,572 million usd
,,doll_2.26 b,,
204 million usd,,0.0,doll_2.144 m,
-641 million usd,47 million usd,0.0,doll_1.316 m,415 million usd
-63 million usd,21 million usd,doll_251.0 m,251 million usd,65 million usd
,79 million usd,doll_1.32 b,,"1,203 million usd"
,34 million usd,doll_2.14 b,,"1,261 million usd"
288 million usd,,0.0,doll_2.258 m,
,,0.0,,
6 million usd,24 million usd,doll_215.0 m,215 million usd,245 million usd
,,doll_572.0 m,,
,82 million usd,0.0,,204 million usd
79 million usd,,0.0,doll_1.203 m,
34 million usd,,doll_415.0 m,doll_1.261 m,
21 million usd,49 million usd,doll_65.0 m,65 million usd,"1,050 million usd"
47 million usd,-3 million usd,doll_1.2 b,415 million usd,24 million usd
,,doll_1.26 b,,
,2 million usd,0.0,,"1,671 million usd"
43 million usd,,0.0,572 million usd,
24 million usd,-33 million usd,doll_245.0 m,245 million usd,112 million usd
,-25 million usd,0.0,,17 million usd
2 million usd,,doll_204.0 m,doll_1.671 m,
,,0.0,,
-3 million usd,134 million usd,0.0,24 million usd,"1,546 million usd"
49 million usd,,doll_1.05 b,doll_1.050 m,
,,doll_24.0 m,,
,,0.0,,
82 million usd,,doll_1.67 b,204 million usd,
,64 million usd,0.0,,"1,068 million usd"
-33 million usd,,doll_112.0 m,112 million usd,
64 million usd,,doll_17.0 m,doll_1.068 m,
,,0.0,,
,,0.0,,
,,doll_1.55 b,,
,,0.0,,
134 million usd,,0.0,doll_1.546 m,
,,0.0,,
,,0.0,,
-25 million usd,,doll_1.07 b,17 million usd,
,38 million usd,0.0,,75 million usd
,,0.0,,
,84 million usd,0.0,,"2,209 million usd"
,,0.0,,
,0 million usd,0.0,,0 million usd
,77 million usd,0.0,,804 million usd
,,0.0,,
,,0.0,,
,24 million usd,0.0,,139 million usd
,42 million usd,0.0,,159 million usd
38 million usd,17 million usd,doll_75.0 m,75 million usd,177 million usd
42 million usd,-287 million usd,0.0,159 million usd,326 million usd
24 million usd,,doll_2.21 b,139 million usd,
,14 million usd,0.0,,103 million usd
,83 million usd,0.0,,398 million usd
77 million usd,,doll_804.0 m,804 million usd,
0 million usd,31 million usd,0.0,0 million usd,431 million usd
,86 million usd,0.0,,447 million usd
84 million usd,57 million usd,doll_139.0 m,doll_2.209 m,"1,177 million usd"
,,doll_159.0 m,,
17 million usd,195 million usd,doll_177.0 m,177 million usd,225 million usd
,,doll_326.0 m,,
57 million usd,,0.0,doll_1.177 m,
86 million usd,45 million usd,doll_103.0 m,447 million usd,167 million usd
31 million usd,5 million usd,doll_398.0 m,431 million usd,"5,156 million usd"
,,0.0,,
83 million usd,114 million usd,doll_431.0 m,398 million usd,"2,084 million usd"
14 million usd,94 million usd,doll_447.0 m,103 million usd,720 million usd
,55 million usd,doll_1.18 b,,663 million usd
-287 million usd,,0.0,326 million usd,
195 million usd,29 million usd,doll_225.0 m,225 million usd,378 million usd
,,0.0,,
55 million usd,-5 million usd,0.0,663 million usd,0 million usd
94 million usd,108 million usd,doll_167.0 m,720 million usd,"1,345 million usd"
114 million usd,,doll_5.16 b,doll_2.084 m,
,,0.0,,
5 million usd,529 million usd,doll_2.08 b,doll_5.156 m,64 million usd
45 million usd,-21 million usd,doll_720.0 m,167 million usd,730 million usd
,-65 million usd,doll_663.0 m,,191 million usd
,"-1,421 million usd",0.0,,"1,462 million usd"
29 million usd,-379 million usd,doll_378.0 m,378 million usd,-379 million usd
doll_-1.421 m,-144 million usd,0.0,doll_1.462 m,243 million usd
-65 million usd,60 million usd,0.0,191 million usd,93 million usd
-21 million usd,48 million usd,doll_1.34 b,730 million usd,463 million usd
529 million usd,,0.0,64 million usd,
,125 million usd,0.0,,"3,042 million usd"
,,doll_64.0 m,,
108 million usd,310 million usd,doll_730.0 m,doll_1.345 m,192 million usd
-5 million usd,,doll_191.0 m,0 million usd,
,,doll_1.46 b,,
-379 million usd,318 million usd,doll_-379.0 m,-379 million usd,"15,791 million usd"
,,doll_243.0 m,,
,66 million usd,doll_93.0 m,,859 million usd
310 million usd,34 million usd,doll_463.0 m,192 million usd,198 million usd
,187 million usd,0.0,,88 million usd
125 million usd,,doll_3.04 b,doll_3.042 m,
,0 million usd,0.0,,195 million usd
48 million usd,,doll_192.0 m,463 million usd,
60 million usd,40 million usd,0.0,93 million usd,"1,765 million usd"
-144 million usd,68 million usd,0.0,243 million usd,824 million usd
318 million usd,,doll_15.79 b,doll_15.791 m,
68 million usd,,0.0,824 million usd,
40 million usd,,doll_859.0 m,doll_1.765 m,
,,doll_198.0 m,,
0 million usd,,doll_88.0 m,195 million usd,
,25 million usd,0.0,,338 million usd
187 million usd,,doll_195.0 m,88 million usd,
66 million usd,93 million usd,0.0,859 million usd,"1,334 million usd"
34 million usd,,doll_1.76 b,198 million usd,
,,doll_824.0 m,,
,-17 million usd,0.0,,195 million usd
,,0.0,,
,75 million usd,0.0,,387 million usd
93 million usd,,0.0,doll_1.334 m,
,7 million usd,0.0,,81 million usd
25 million usd,,doll_338.0 m,338 million usd,
,39 million usd,0.0,,322 million usd
,,doll_1.33 b,,
,,0.0,,
,45 million usd,0.0,,712 million usd
-17 million usd,,doll_195.0 m,195 million usd,
45 million usd,-288 million usd,0.0,712 million usd,"7,947 million usd"
,,doll_387.0 m,,
,,0.0,,
39 million usd,-55 million usd,doll_81.0 m,322 million usd,70 million usd
,,0.0,,
7 million usd,,doll_322.0 m,81 million usd,
,120 million usd,0.0,,329 million usd
75 million usd,-61 million usd,0.0,387 million usd,166 million usd
,92 million usd,doll_712.0 m,,229 million usd
,-38 million usd,0.0,,500 million usd
92 million usd,-48 million usd,doll_7.95 b,229 million usd,48 million usd
-61 million usd,33 million usd,0.0,166 million usd,"1,518 million usd"
120 million usd,,0.0,329 million usd,
,80 million usd,doll_70.0 m,,197 million usd
,14 million usd,0.0,,42 million usd
-55 million usd,,0.0,70 million usd,
,34 million usd,doll_329.0 m,,372 million usd
,,doll_166.0 m,,
-288 million usd,57 million usd,doll_229.0 m,doll_7.947 m,71 million usd
-38 million usd,210 million usd,doll_500.0 m,500 million usd,641 million usd
57 million usd,,doll_48.0 m,71 million usd,
,131 million usd,doll_1.52 b,,"2,744 million usd"
34 million usd,,0.0,372 million usd,
,,doll_197.0 m,,
14 million usd,-5 million usd,doll_42.0 m,42 million usd,169 million usd
80 million usd,18 million usd,0.0,197 million usd,46 million usd
,,doll_372.0 m,,
33 million usd,,0.0,doll_1.518 m,
-48 million usd,67 million usd,doll_71.0 m,48 million usd,71 million usd
210 million usd,,doll_641.0 m,641 million usd,
67 million usd,18 million usd,0.0,71 million usd,174 million usd
,,doll_2.74 b,,
,,0.0,,
18 million usd,,0.0,46 million usd,
-5 million usd,,doll_169.0 m,169 million usd,
,,doll_46.0 m,,
,,0.0,,
131 million usd,,0.0,doll_2.744 m,
,,doll_71.0 m,,
,,0.0,,
,284 million usd,doll_174.0 m,,"1,163 million usd"
,,0.0,,
,109 million usd,0.0,,"1,906 million usd"
,118 million usd,0.0,,964 million usd
,-143 million usd,0.0,,460 million usd
,-533 million usd,0.0,,188 million usd
,,0.0,,
,71 million usd,0.0,,"3,062 million usd"
18 million usd,,0.0,174 million usd,
,,0.0,,
,35 million usd,doll_1.16 b,,293 million usd
71 million usd,75 million usd,0.0,doll_3.062 m,363 million usd
,2 million usd,doll_1.91 b,,880 million usd
-533 million usd,56 million usd,doll_964.0 m,188 million usd,129 million usd
-143 million usd,123 million usd,doll_460.0 m,460 million usd,"6,324 million usd"
118 million usd,-16 million usd,doll_188.0 m,964 million usd,207 million usd
109 million usd,215 million usd,0.0,doll_1.906 m,308 million usd
,,doll_3.06 b,,
284 million usd,18 million usd,0.0,doll_1.163 m,116 million usd
35 million usd,-236 million usd,0.0,293 million usd,467 million usd
,,doll_293.0 m,,
18 million usd,,doll_363.0 m,116 million usd,
,,doll_880.0 m,,
215 million usd,84 million usd,doll_129.0 m,308 million usd,473 million usd
-16 million usd,,doll_6.32 b,207 million usd,
123 million usd,1 million usd,doll_207.0 m,doll_6.324 m,91 million usd
56 million usd,,doll_308.0 m,129 million usd,-16 million usd
2 million usd,,0.0,880 million usd,
75 million usd,73 million usd,doll_116.0 m,363 million usd,"1,799 million usd"
-236 million usd,,doll_467.0 m,467 million usd,
73 million usd,49 million usd,0.0,doll_1.799 m,1 million usd
,,0.0,,
,,0.0,-16 million usd,
1 million usd,,doll_473.0 m,91 million usd,
,73 million usd,0.0,,"2,521 million usd"
84 million usd,121 million usd,doll_91.0 m,473 million usd,100 million usd
,-83 million usd,doll_-16.0 m,,361 million usd
,62 million usd,0.0,,"1,977 million usd"
,,doll_1.8 b,,
,96 million usd,0.0,,"1,564 million usd"
,,doll_1.0 m,,
62 million usd,76 million usd,0.0,doll_1.977 m,"1,410 million usd"
-83 million usd,7 million usd,0.0,361 million usd,623 million usd
121 million usd,,0.0,100 million usd,
73 million usd,,doll_2.52 b,doll_2.521 m,
,,doll_100.0 m,,
,-8 million usd,doll_361.0 m,,75 million usd
,,doll_1.98 b,,
49 million usd,,0.0,1 million usd,
96 million usd,,doll_1.56 b,doll_1.564 m,
,,0.0,,
,,doll_1.41 b,,
-8 million usd,-365 million usd,doll_623.0 m,75 million usd,865 million usd
,-11 million usd,0.0,,2 million usd
,73 million usd,0.0,,341 million usd
,66 million usd,0.0,,"1,481 million usd"
7 million usd,42 million usd,doll_75.0 m,623 million usd,518 million usd
76 million usd,,0.0,doll_1.410 m,
,37 million usd,0.0,,223 million usd
,,0.0,,
37 million usd,37 million usd,0.0,223 million usd,481 million usd
,65 million usd,0.0,,424 million usd
42 million usd,122 million usd,doll_865.0 m,518 million usd,"1,434 million usd"
66 million usd,,doll_2.0 m,doll_1.481 m,
73 million usd,-3 million usd,doll_341.0 m,341 million usd,744 million usd
-11 million usd,75 million usd,doll_1.48 b,2 million usd,2 million usd
-365 million usd,,doll_518.0 m,865 million usd,
,,0.0,,
,69 million usd,doll_223.0 m,,"2,892 million usd"
,4 million usd,0.0,,"2,855 million usd"
69 million usd,89 million usd,doll_481.0 m,doll_2.892 m,0 million usd
,101 million usd,doll_424.0 m,,"1,875 million usd"
,49 million usd,doll_1.43 b,,"1,491 million usd"
75 million usd,,0.0,2 million usd,
-3 million usd,,doll_744.0 m,744 million usd,
,106 million usd,doll_2.0 m,,873 million usd
122 million usd,45 million usd,0.0,doll_1.434 m,63 million usd
65 million usd,,0.0,424 million usd,
37 million usd,,doll_2.89 b,481 million usd,
4 million usd,62 million usd,doll_2.85 b,doll_2.855 m,926 million usd
,,0.0,,
,13 million usd,doll_1.88 b,,229 million usd
45 million usd,37 million usd,doll_1.49 b,63 million usd,820 million usd
106 million usd,,0.0,873 million usd,
,5 million usd,0.0,,297 million usd
,,doll_873.0 m,,
49 million usd,84 million usd,doll_63.0 m,doll_1.491 m,220 million usd
101 million usd,,0.0,doll_1.875 m,
89 million usd,,0.0,0 million usd,
62 million usd,,doll_926.0 m,926 million usd,
,0 million usd,0.0,,0 million usd
,92 million usd,doll_229.0 m,,304 million usd
84 million usd,24 million usd,doll_820.0 m,220 million usd,494 million usd
,,0.0,,
5 million usd,,doll_297.0 m,297 million usd,
,84 million usd,0.0,,411 million usd
37 million usd,,doll_220.0 m,820 million usd,
13 million usd,,0.0,229 million usd,
,,0.0,,
,828 million usd,0.0,,523 million usd
,21 million usd,0.0,,176 million usd
,70 million usd,doll_304.0 m,,174 million usd
,-77 million usd,doll_494.0 m,,0 million usd
84 million usd,,0.0,411 million usd,
,89 million usd,0.0,,416 million usd
,105 million usd,doll_411.0 m,,266 million usd
24 million usd,-53 million usd,0.0,494 million usd,"1,946 million usd"
92 million usd,33 million usd,0.0,304 million usd,204 million usd
0 million usd,-31 million usd,0.0,0 million usd,242 million usd
828 million usd,-172 million usd,doll_523.0 m,523 million usd,772 million usd
-31 million usd,58 million usd,doll_176.0 m,242 million usd,"1,953 million usd"
33 million usd,-12 million usd,doll_174.0 m,204 million usd,29 million usd
-53 million usd,21 million usd,0.0,doll_1.946 m,88 million usd
105 million usd,,0.0,266 million usd,
89 million usd,,doll_416.0 m,416 million usd,
,,doll_266.0 m,,
-77 million usd,16 million usd,doll_1.95 b,0 million usd,122 million usd
70 million usd,43 million usd,doll_204.0 m,174 million usd,275 million usd
21 million usd,138 million usd,doll_242.0 m,176 million usd,"1,010 million usd"
-172 million usd,96 million usd,doll_772.0 m,772 million usd,"1,446 million usd"
138 million usd,,doll_1.95 b,doll_1.010 m,
43 million usd,40 million usd,doll_29.0 m,275 million usd,"1,167 million usd"
16 million usd,,doll_88.0 m,122 million usd,-10 million usd
,,0.0,,
,184 million usd,0.0,,191 million usd
,,0.0,,
21 million usd,10 million usd,doll_122.0 m,88 million usd,76 million usd
-12 million usd,,doll_275.0 m,29 million usd,
58 million usd,75 million usd,doll_1.01 b,doll_1.953 m,472 million usd
96 million usd,,doll_1.45 b,doll_1.446 m,
75 million usd,,0.0,472 million usd,
,,doll_1.17 b,,
,"-2,013 million usd",doll_-10.0 m,,"2,927 million usd"
184 million usd,,0.0,191 million usd,
10 million usd,,doll_191.0 m,76 million usd,
,53 million usd,0.0,,439 million usd
,,doll_76.0 m,-10 million usd,
40 million usd,15 million usd,0.0,doll_1.167 m,341 million usd
,,doll_472.0 m,,
,,0.0,,
,105 million usd,0.0,,707 million usd
15 million usd,16 million usd,0.0,341 million usd,135 million usd
,-1 million usd,doll_2.93 b,,77 million usd
53 million usd,,0.0,439 million usd,
,,0.0,,
,,doll_439.0 m,,
doll_-2.013 m,44 million usd,0.0,doll_2.927 m,273 million usd
,,doll_341.0 m,,
,42 million usd,0.0,,306 million usd
,45 million usd,0.0,,544 million usd
-1 million usd,60 million usd,doll_707.0 m,77 million usd,211 million usd
16 million usd,4 million usd,doll_135.0 m,135 million usd,162 million usd
105 million usd,46 million usd,doll_77.0 m,707 million usd,114 million usd
,,0.0,,
42 million usd,-28 million usd,0.0,306 million usd,326 million usd
,,0.0,,
44 million usd,433 million usd,doll_273.0 m,273 million usd,138 million usd
,58 million usd,0.0,,748 million usd
,102 million usd,doll_306.0 m,,"14,270 million usd"
45 million usd,318 million usd,doll_544.0 m,544 million usd,"1,640 million usd"
102 million usd,,doll_211.0 m,doll_14.270 m,
58 million usd,170 million usd,doll_162.0 m,748 million usd,655 million usd
433 million usd,,doll_114.0 m,138 million usd,
,65 million usd,0.0,,316 million usd
-28 million usd,,doll_326.0 m,326 million usd,
,60 million usd,0.0,,"1,196 million usd"
46 million usd,,doll_138.0 m,114 million usd,
4 million usd,,doll_748.0 m,162 million usd,
60 million usd,154 million usd,doll_14.27 b,211 million usd,"1,330 million usd"
318 million usd,54 million usd,doll_1.64 b,doll_1.640 m,775 million usd
154 million usd,-18 million usd,0.0,doll_1.330 m,-16 million usd
,6 million usd,doll_655.0 m,,0 million usd
,-16 million usd,0.0,,
60 million usd,,doll_316.0 m,doll_1.196 m,
,119 million usd,0.0,,"1,183 million usd"
65 million usd,,doll_1.2 b,316 million usd,
,150 million usd,0.0,,"1,174 million usd"
170 million usd,,0.0,655 million usd,
,2 million usd,doll_1.33 b,,11 million usd
54 million usd,105 million usd,doll_775.0 m,775 million usd,109 million usd
2 million usd,91 million usd,doll_-16.0 m,11 million usd,"1,612 million usd"
,,0.0,,
150 million usd,,0.0,doll_1.174 m,
,,0.0,,
119 million usd,68 million usd,doll_1.18 b,doll_1.183 m,707 million usd
,16 million usd,0.0,,302 million usd
-16 million usd,50 million usd,doll_1.17 b,,205 million usd
6 million usd,,0.0,0 million usd,
-18 million usd,,doll_11.0 m,-16 million usd,
105 million usd,100 million usd,doll_109.0 m,109 million usd,507 million usd
,,doll_1.61 b,,
,-50 million usd,0.0,,190 million usd
50 million usd,,0.0,205 million usd,
16 million usd,170 million usd,0.0,302 million usd,117 million usd
68 million usd,118 million usd,doll_707.0 m,707 million usd,"1,135 million usd"
,,doll_302.0 m,,
,34 million usd,doll_205.0 m,,362 million usd
,,0.0,,
91 million usd,44 million usd,0.0,doll_1.612 m,230 million usd
100 million usd,,doll_507.0 m,507 million usd,
44 million usd,66 million usd,0.0,230 million usd,"1,064 million usd"
,94 million usd,doll_190.0 m,,468 million usd
34 million usd,,0.0,362 million usd,
,7 million usd,doll_117.0 m,,215 million usd
118 million usd,,doll_1.14 b,doll_1.135 m,
170 million usd,-190 million usd,0.0,117 million usd,"1,194 million usd"
,66 million usd,doll_362.0 m,,"1,212 million usd"
-50 million usd,44 million usd,0.0,190 million usd,891 million usd
,,doll_230.0 m,,
,,0.0,,
,75 million usd,doll_1.06 b,,"1,007 million usd"
44 million usd,35 million usd,doll_468.0 m,891 million usd,"18,035 million usd"
66 million usd,6 million usd,0.0,doll_1.212 m,214 million usd
-190 million usd,,doll_215.0 m,doll_1.194 m,
,52 million usd,0.0,,467 million usd
7 million usd,155 million usd,doll_1.19 b,215 million usd,157 million usd
,136 million usd,doll_1.21 b,,563 million usd
94 million usd,168 million usd,doll_891.0 m,468 million usd,637 million usd
66 million usd,15 million usd,0.0,doll_1.064 m,170 million usd
,22 million usd,0.0,,787 million usd
15 million usd,124 million usd,doll_1.01 b,170 million usd,473 million usd
168 million usd,,doll_18.04 b,637 million usd,
136 million usd,50 million usd,doll_214.0 m,563 million usd,161 million usd
155 million usd,,0.0,157 million usd,
,,doll_467.0 m,,
52 million usd,92 million usd,doll_157.0 m,467 million usd,"1,769 million usd"
35 million usd,370 million usd,doll_563.0 m,doll_18.035 m,"8,735 million usd"
6 million usd,24 million usd,doll_637.0 m,214 million usd,49 million usd
75 million usd,49 million usd,doll_170.0 m,doll_1.007 m,"1,861 million usd"
22 million usd,86 million usd,doll_787.0 m,787 million usd,302 million usd
49 million usd,41 million usd,doll_473.0 m,doll_1.861 m,"2,222 million usd"
24 million usd,,0.0,49 million usd,
370 million usd,-81 million usd,doll_161.0 m,doll_8.735 m,"4,710 million usd"
92 million usd,451 million usd,0.0,doll_1.769 m,459 million usd
,,0.0,,
,108 million usd,doll_1.77 b,,261 million usd
50 million usd,,doll_8.73 b,161 million usd,
,42 million usd,doll_49.0 m,,352 million usd
