00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
james d. taiclet,,paul perreault,paul perreault,christian buhl,juan ramón alaix,northern america
kevin a. lobo,abdullah bin sulaiman,waleed a. al-mogbel,waleed a. al-mogbel,nancy mckinstry,helge lund,northern america
juan ramn alaix,stefan hartung,,,stephane richard,william clay ford jr.,northern america
anders dons,jim rohr,william s. demchak,william s. demchak,henrik andersen,dirk van de put,northern europe
markus duesmann,abdulaziz saleh aljarbou,yousef al-benyan,yousef al-benyan,thomas oetterli,punit renjen,western europe
billy gifford,abhijit y. talwalkar,timothy m. archer,timothy m. archer,martin carlesund,wang chuanfu,northern america
frank slootman,dirk van de put,dirk van de put,dirk van de put,torbjorn magnusson,markus duesmann,northern america
timotheus hottges,wang chuanfu,,,edmond scanlon,abhijit y. talwalkar,western europe
,,timotheus hottges,timotheus hottges,stephan sturm,jim rohr,eastern asia
dirk van de put,frank slootman,frank slootman,frank slootman,peter jackson,abdulaziz saleh aljarbou,northern america
timothy m. archer,mr. farrell,billy gifford,billy gifford,dolf van den brink,mr. farrell,northern america
yousef al-benyan,,markus duesmann,markus duesmann,markus krebber,frank slootman,western asia
william s. demchak,punit renjen,anders dons,anders dons,damian paul gammell,dr. frank appel,northern america
daniel o'day,,jean-laurent bonnafe,jean-laurent bonnafe,michael o'leary,max jadot,northern america
ola kallenius,andrew cecere,andrew cecere,andrew cecere,markus rauramo,not found,western europe
jack bowles,mary barra,mary barra,mary barra,daniel julien,masumi minegishi,northern europe
anders opedal,,,,magdalena martullo-blocher,frank mckenna,northern europe
bruce flatt,masumi minegishi,hisayuki idekoba,hisayuki idekoba,antoine frerot,mary barra,northern america
hisayuki idekoba,frank mckenna,bruce flatt,bruce flatt,jose maria alvarez-pallete lopez,andrew cecere,eastern asia
,marit arnstad,anders opedal,anders opedal,,marit arnstad,northern america
mary barra,,jack bowles,jack bowles,nigel wilson,daniel oday,northern america
andrew cecere,,ola kallenius,ola kallenius,maurici lucena betriu,jack bowles,northern america
jean-laurent bonnafe,daniel oday,daniel o'day,daniel o'day,cees 't hart,bernd pischetsrieder,western europe
stephane bancel,,francesco milleri,francesco milleri,thomas gottstein,francesco milleri,northern america
william h. bill rogers jr,ernie herrman,ernie herrman,ernie herrman,niklas oestberg,brian j. porter,northern america
tracy robinson,vincent roche,vincent roche,vincent roche,frankie ng,nayla hayek,northern america
toshiki kawai,brian j. porter,brian j. porter,brian j. porter,vicente reynal,vincent roche,eastern asia
brian j. porter,tetsuo tsuneishi,toshiki kawai,toshiki kawai,johan hjertonsson,stephane bancel,northern america
vincent roche,robert pace,tracy robinson,tracy robinson,gonzalo gortazar rotaeche,ernie herrman,northern america
ernie herrman,william h. “bill” rogers jr,william h. “bill” rogers jr,william h. “bill” rogers jr,,robert pace,northern america
francesco milleri,stephane bancel,stephane bancel,stephane bancel,philip jansen,william h. “bill” rogers jr,western europe
nick hayek jr.,evan g. greenberg,evan g. greenberg,evan g. greenberg,jan g. j. van de winkel,tetsuo tsuneishi,western europe
evan g. greenberg,nayla hayek,nick hayek jr.,nick hayek jr.,,evan g. greenberg,western europe
brenton l. saunders,fang hongbo,paul fang,paul fang,alistair phillips-davies,sanjeev krishan,northern europe
stephen a. schwarzman,john g. morikis,john g. morikis,john g. morikis,,francois jackow,northern america
james m. foote,sanjeev krishan,,,dan carestio,fang hongbo,northern america
herman gref,jerome lambert,jerome lambert,jerome lambert,jose d. bogas galvez,jerome lambert,eastern europe
jay a. brown,,francois jackow,francois jackow,frank mastiaux,michael j. ward,northern america
francois jackow,landis martin,jay a. brown,jay a. brown,vincent warnery,brenton l. saunders,western europe
jerome lambert,sergey ignatiev,herman gref,herman gref,arnd kaldowski,landis martin,western europe
,michael j. ward,james m. foote,james m. foote,jens henriksson,stephen a. schwarzman,northern europe
john g. morikis,stephen a. schwarzman,stephen a. schwarzman,stephen a. schwarzman,magnus groth,sergey ignatiev,northern america
paul fang,brenton l. saunders,brenton l. saunders,brenton l. saunders,steve cutler,john g. morikis,eastern asia
,,daniel s. glaser,daniel s. glaser,timothy p walbert,"james e. rogers, jr.",
faisal omar al-sakkaf,ed crenshaw,,,amanda blanc,ed crenshaw,western asia
lynn good,al monaco,al monaco,al monaco,carina akerstrom,michael lee-chin,northern america
dara khosrowshahi,masayoshi son,masayoshi son,masayoshi son,george g. weston,not found,northern america
terrence a. duffy,,bernd montag,bernd montag,,ralf thomas,northern america
bernd montag,terrence a. duffy,terrence a. duffy,terrence a. duffy,pavel sergeevich grachev,daniel s. glaser,western europe
masayoshi son,ronald sugar,dara khosrowshahi,dara khosrowshahi,sigve brekke,ronald sugar,eastern asia
al monaco,"james e. rogers, jr.",lynn good,lynn good,,masayoshi son,northern america
,michael lee-chin,faisal omar al-sakkaf,faisal omar al-sakkaf,ignacio madridejos fernandez,al monaco,northern america
daniel s. glaser,,,,ester baiget,terrence a. duffy,northern america
johan forssell,michele crisostomo,francesco starace,francesco starace,scott w. wine,frank appel,northern europe
,lv jiajin,lv jiajin,lv jiajin,gilles g. martin,hironori kamezawa,eastern asia
mats rahmstrom,ming shan lei,lei mingshan,lei mingshan,,ming shan lei,northern europe
samuel n. hazen,hironori kamezawa,hironori kamezawa,hironori kamezawa,stefan bomhard,jacob wallenberg,northern america
,,frank appel,frank appel,jussi pesonen,akash ambani,southern asia
frank appel,,,,paolo bertoluzzo,mats rahmstrom,western europe
hironori kamezawa,thomas frist iii,samuel n. hazen,samuel n. hazen,thierry vanlancker,dai houliang,eastern asia
lei mingshan,mats rahmstrom,mats rahmstrom,mats rahmstrom,jean-christophe tellier,thomas frist iii,eastern asia
lv jiajin,dai houliang,,,oliver hughes,lv jiajin,eastern asia
francesco starace,jacob wallenberg,johan forssell,johan forssell,joao manuel brito martins,michele crisostomo,south europe
rj scaringe,h edward hanway,david cordani,david cordani,bill winters,ashok sekhar ganguly,northern america
sanjiv mehta,e. scott santi,ernest scott santi,ernest scott santi,john elkann,shona brown,southern asia
michael a mussallem,shona brown,mike cannon-brookes,mike cannon-brookes,alfred stern,michael a mussallem,northern america
mike cannon-brookes,michael a mussallem,michael a mussallem,michael a mussallem,daniel benes,morten wierod,"australia, new zealand"
ernest scott santi,,sanjiv mehta,sanjiv mehta,bernhard spalt,e. scott santi,northern america
david cordani,robert joseph scaringe,rj scaringe,rj scaringe,patrick frost,jeffrey c. sprecher,northern america
jeffrey c. sprecher,morten wierod,bjorn rosengren,bjorn rosengren,heinz-juergen bertram,gerhard schroder,northern america
pieter van der,gerhard schroder,igor sechin,igor sechin,benjamin loh,h edward hanway,western europe
igor sechin,,pieter van der,pieter van der,arkady volozh,robert joseph scaringe,eastern europe
bjorn rosengren,jeffrey c. sprecher,jeffrey c. sprecher,jeffrey c. sprecher,marco alvera,piero s. overmars,western europe
pang kang,antoine gosset-grainville,thomas buberl,thomas buberl,david schneider,george a cope,eastern asia
james a. squires,george a cope,darryl white,darryl white,rice powell,antoine gosset-grainville,northern america
thomas polen,,sandeep bakhshi,sandeep bakhshi,remo ruffini,laura cha,northern america
thomas a. fanning,laura cha,nicolas aguzin,nicolas aguzin,patrice caine,david m. ratcliffe,northern america
lee seok-hee,chen zongnian,hongjia gong,hongjia gong,fabien simon,lee seok-hee,eastern asia
hongjia gong,lee seok-hee,lee seok-hee,lee seok-hee,steve foots,chen zongnian,eastern asia
nicolas aguzin,david m. ratcliffe,thomas a. fanning,thomas a. fanning,christian bruch,charles moorman,eastern asia
sandeep bakhshi,edward j. ludwig,thomas polen,thomas polen,vladimir bogdanov,pang kang,southern asia
darryl white,charles moorman,james a. squires,james a. squires,mark read,edward j. ludwig,northern america
thomas buberl,pang kang,pang kang,pang kang,vivek badrinath,girish chandra chaturvedi,western europe
keith creel,jose ignacio sanchez galan,jose ignacio sanchez galan,jose ignacio sanchez galan,josu jon imaz,jose ignacio sanchez galan,northern america
,frank bisignano,frank bisignano,frank bisignano,ivan arriagada,charles edelstenne,western europe
gary nagle,jose luciano duarte penido,eduardo bartolomeo,eduardo bartolomeo,aleksandr shevelev,kalidas madhavpeddi,western europe
noel r. wallace,gary a. norcross,gary a. norcross,gary a. norcross,bjorn gulden,jose luciano duarte penido,northern america
bernard charles,chihiro kanagawa,yasuhiko saito,yasuhiko saito,markus weber,gary a. norcross,western europe
yasuhiko saito,,bernard charles,bernard charles,arthur sadoun,chihiro kanagawa,eastern asia
gary a. norcross,noel r. wallace,noel r. wallace,noel r. wallace,david knibbe,frank bisignano,northern america
eduardo bartolomeo,,gary nagle,gary nagle,matteo del fante,andrew reardon,south america
frank bisignano,,,,stephane dedeyan,oliver zipse,northern america
jose ignacio sanchez galan,andrew reardon,keith creel,keith creel,grigory vitalevich fedorishin,noel r. wallace,south europe
,,,,klaus-dieter maubach,not found,western europe
ross mcewan,rick hill,matthew murphy,matthew murphy,rolv erik ryssdal,colin huang zheng,"australia, new zealand"
,colin huang zheng,colin huang zheng,colin huang zheng,ian gallienne,andrew liveris,northern america
