00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
jayant v dhobley,,tim steiner,tim steiner,,harold boel,southern asia
gil shwed,,,,,kumar mangalam birla,western asia
hanan friedman,samer haj-yehia,hanan friedman,hanan friedman,,not found,western asia
,gil shwed,gil shwed,gil shwed,,gil shwed,eastern asia
tim steiner,,jayant v dhobley,jayant v dhobley,,james belardi,northern europe
,ceo jue wong,ceo jue wong,ceo jue wong,,rick haythornthwaite,eastern asia
harold boel,,,,,not found,western europe
allison kirkby,,allison kirkby,allison kirkby,,not found,northern europe
,,anthony eisen,anthony eisen,,not found,"australia, new zealand"
,gerrie fourie,gerrie fourie,gerrie fourie,,anthony eisen,eastern asia
,,,,,roger farah,eastern asia
anthony ledru,,,,,gerrie fourie,northern america
meg o neill,roger farah,anthony ledru,anthony ledru,,myra salkinder,"australia, new zealand"
,,meg o neill,meg o neill,,not found,eastern asia
,,,,,lars-johan jarnheimer,eastern asia
gerrie fourie,,,,,meg o neill,southern africa
anthony eisen,,,,,not found,"australia, new zealand"
roland diggelmann,,roland diggelmann,roland diggelmann,,not found,northern europe
tanin buranamanit,jerre stead,jerre stead,jerre stead,,jerre stead,south east asia
noriaki horikiri,,tony lombardo,tony lombardo,,roberto quarta,eastern asia
,,,,,soopakij chearavanont,eastern asia
andrew williams,stefano antonio donnarumma,stefano antonio donnarumma,stefano antonio donnarumma,,fabio cerchiai,northern europe
carlo bertazzo,fabio cerchiai,carlo bertazzo,carlo bertazzo,,not found,south europe
stefano antonio donnarumma,,andrew williams,andrew williams,,yuzaburo mogi,south europe
,,,,,andrew williams,eastern asia
tony lombardo,yuzaburo mogi,noriaki horikiri,noriaki horikiri,,stefano antonio donnarumma,"australia, new zealand"
jerre stead,soopakij chearavanont,tanin buranamanit,tanin buranamanit,,tony lombardo,northern europe
,,,,,not found,eastern asia
colin s. goldschmidt m.d.,timothy p. smucker,mark smucker,mark smucker,,guilherme dias fernandes benchimol,"australia, new zealand"
andrew meslow,guilherme dias fernandes benchimol,thiago maffra,thiago maffra,,john w. thompson,northern america
jean-jacques bienaime,andreas nauen,andreas nauen,andreas nauen,,andrew meslow,northern america
vincent pilette,luca garavoglia,robert kunze-concewitz,robert kunze-concewitz,,colin s. goldschmidt m.d.,northern america
terry d bassham,terry d bassham,terry d bassham,terry d bassham,,luca garavoglia,northern america
robert kunze-concewitz,john w. thompson,vincent pilette,vincent pilette,,jean-jacques bienaime,south europe
andreas nauen,jean-jacques bienaime,jean-jacques bienaime,jean-jacques bienaime,,timothy p. smucker,south europe
thiago maffra,andrew meslow,andrew meslow,andrew meslow,,andreas nauen,south america
mark smucker,colin s. goldschmidt m.d.,colin s. goldschmidt m.d.,colin s. goldschmidt m.d.,,terry d bassham,northern america
suk cha,suk cha,suk cha,suk cha,,suk cha,eastern asia
satoshi kasai,,christian kullmann,christian kullmann,,scott kirby,eastern asia
,james s. tisch,james s. tisch,james s. tisch,,james s. tisch,eastern europe
scott kirby,rick m. mcconnell,rick m. mcconnell,rick m. mcconnell,,chang byung-gyu,northern america
andres gluski,carsten rasch egeriis,carsten rasch egeriis,carsten rasch egeriis,,christian kullmann,northern america
kim chang-han,chang byung-gyu,kim chang-han,kim chang-han,,carsten rasch egeriis,eastern asia
carsten rasch egeriis,andres gluski,andres gluski,andres gluski,,rick m. mcconnell,northern europe
rick m. mcconnell,scott kirby,scott kirby,scott kirby,,andres gluski,northern america
james s. tisch,,,,,satoshi kasai,northern america
christian kullmann,satoshi kasai,satoshi kasai,satoshi kasai,,not found,western europe
mike kaufmann,mike kaufmann,mike kaufmann,mike kaufmann,,not found,northern america
earl c. austin jr.,,alexandre merieux,alexandre merieux,,alexandre merieux,northern america
masahiro noda,john o. larsen,john o. larsen,john o. larsen,,not found,eastern asia
,milton cooper,conor c. flynn,conor c. flynn,,mike kaufmann,eastern asia
,,michael zahn,michael zahn,,nicholas j. anderson,eastern asia
nicholas j. anderson,,nicholas j. anderson,nicholas j. anderson,,earl c. austin jr.,northern europe
michael zahn,,,,,michael zahn,western europe
conor c. flynn,,,,,john o. larsen,northern america
john o. larsen,masahiro noda,masahiro noda,masahiro noda,,masahiro noda,northern america
alexandre merieux,earl c. austin jr.,earl c. austin jr.,earl c. austin jr.,,milton cooper,western europe
,,,,,not found,eastern asia
keith cozza,,,,,mark poweska,northern america
,,,,,william p. foley ii,eastern asia
,william p. foley ii,raymond r quirk,raymond r quirk,,miuccia prada,eastern asia
owen wilson,miuccia prada,miuccia prada,miuccia prada,,keith cozza,"australia, new zealand"
mark poweska,mark poweska,mark poweska,mark poweska,,owen wilson,northern america
miuccia prada,,owen wilson,owen wilson,,not found,south europe
raymond r quirk,,,,,not found,northern america
,,,,,not found,eastern asia
,keith cozza,keith cozza,keith cozza,,not found,eastern asia
annica bresky,annica bresky,annica bresky,annica bresky,,not found,northern europe
peter cowgill,,robert swaak,robert swaak,,annica bresky,northern europe
,dave flitman,dave flitman,dave flitman,,jason e. fox,eastern asia
david zaslav,,,,,hiroshi mikitani,northern america
mike fries,hiroshi mikitani,hiroshi mikitani,hiroshi mikitani,,david zaslav,northern europe
jason e. fox,jason e. fox,jason e. fox,jason e. fox,,robert swaak,northern america
hiroshi mikitani,mike fries,mike fries,mike fries,,mike fries,eastern asia
,david zaslav,david zaslav,david zaslav,,dave flitman,western asia
dave flitman,,,,,peter cowgill,northern america
robert swaak,,peter cowgill,peter cowgill,,not found,western europe
evgenii nikitin,stewart yen,,,,marguerite m nader,eastern europe
bradley shaw,lungisa fuzile,lungisa fuzile,lungisa fuzile,,not found,northern america
lungisa fuzile,bradley shaw,bradley shaw,bradley shaw,,evgenii nikitin,southern africa
,,evgenii nikitin,evgenii nikitin,,shrikant madhav vaidya,eastern asia
,,,,,not found,south east asia
marguerite m nader,,,,,bradley shaw,northern america
,william r. berkley,william r. berkley,william r. berkley,,lungisa fuzile,eastern asia
william r. berkley,,,,,stewart yen,northern america
,marguerite m nader,marguerite m nader,marguerite m nader,,wei chen,southern asia
,wei chen,,,,william r. berkley,eastern asia
james c. o rourke,james c. o rourke,james c. o rourke,james c. o rourke,,shigenao ishiguro,northern america
rayan mohammed fayez,thomas r. greco,thomas r. greco,thomas r. greco,,jeremiah o callaghan,western asia
sasndor csanyi,jeremiah o callaghan,gilberto tomazoni,gilberto tomazoni,,james c. o rourke,eastern europe
philippe krakowsky,,,,,w anthony will,northern america
shigenao ishiguro,w anthony will,w anthony will,w anthony will,,not found,eastern asia
liam kelly,liam kelly,liam kelly,liam kelly,,thomas r. greco,northern america
w anthony will,shigenao ishiguro,shigenao ishiguro,shigenao ishiguro,,liam kelly,northern america
,philippe krakowsky,philippe krakowsky,philippe krakowsky,,sasndor csanyi,eastern asia
gilberto tomazoni,sasndor csanyi,sasndor csanyi,sasndor csanyi,,rayan mohammed fayez,south america
thomas r. greco,rayan mohammed fayez,rayan mohammed fayez,rayan mohammed fayez,,philippe krakowsky,northern america
satish pai,,satish pai,satish pai,,not found,southern asia
tomomi nakamura,romeo lacher ,philipp rickenbacher,philipp rickenbacher,,not found,eastern asia
,,,,,not found,south east asia
,logan green,logan green,logan green,,pedro manuel de castro soares dos santos,eastern asia
pedro manuel de castro soares dos santos,,,,,not found,south europe
,pedro manuel de castro soares dos santos,pedro manuel de castro soares dos santos,pedro manuel de castro soares dos santos,,logan green,eastern europe
logan green,,,,,not found,northern america
,,,,,yasuyuki yoshinaga,eastern asia
,yasuyuki yoshinaga,tomomi nakamura,tomomi nakamura,,kumar mangalam birla,eastern asia
philipp rickenbacher,,,,,romeo lacher ,western europe
,,,,,not found,eastern asia
eiichi kuriwada,phongsthorn thavisin,phongsthorn thavisin,phongsthorn thavisin,,eiichi kuriwada,eastern asia
yoshihiro nakai,,anthony smurfit,anthony smurfit,,not found,eastern asia
neil rossy,,,,,irial finan,northern america
vivek s. sankaran,,,,,not found,northern america
,,,,,hide seguchi,northern america
,vivek s. sankaran,vivek s. sankaran,vivek s. sankaran,,stephen gunn,northern america
,stephen gunn,neil rossy,neil rossy,,phongsthorn thavisin,south east asia
anthony smurfit,hide seguchi,yoshihiro nakai,yoshihiro nakai,,vivek s. sankaran,northern europe
phongsthorn thavisin,eiichi kuriwada,eiichi kuriwada,eiichi kuriwada,,not found,south east asia
shameel joosub,shameel joosub,shameel joosub,shameel joosub,,michael r. minogue,southern africa
didier michaud-daniel,,,,,not found,western europe
warren east,michael r. minogue,michael r. minogue,michael r. minogue,,shameel joosub,northern europe
dov kotler,john c. plant,john c. plant,john c. plant,,john c. plant,western asia
iwona duda,andre guilherme brandao,andre guilherme brandao,andre guilherme brandao,,didier michaud-daniel,eastern europe
alfredo egydio arruda villela filho,alfredo egydio arruda villela filho,alfredo egydio arruda villela filho,alfredo egydio arruda villela filho,,warren east,south america
andre guilherme brandao,iwona duda,iwona duda,iwona duda,,andre guilherme brandao,south america
john c. plant,dov kotler,dov kotler,dov kotler,,iwona duda,northern america
michael r. minogue,,warren east,warren east,,alfredo egydio arruda villela filho,northern america
,,didier michaud-daniel,didier michaud-daniel,,dov kotler,eastern asia
bertrand camus,,bertrand camus,bertrand camus,,george c. mcnamee,western europe
rich barton,richard mcvey,richard mcvey,richard mcvey,,richard mcvey,northern america
frank b. holding,,daniel pimentel slaviero,daniel pimentel slaviero,,rich barton,northern america
mark pearson,george c. mcnamee,andrew j. marsh,andrew j. marsh,,daniel pimentel slaviero,northern america
,stefano domenicali,stefano domenicali,stefano domenicali,,shri k. sreekant,eastern asia
shri r.n. nayak,,shri r.n. nayak,shri r.n. nayak,,lewis r. holding,southern asia
stefano domenicali,,,,,not found,northern america
andrew j. marsh,joan lamm-tennant,mark pearson,mark pearson,,bertrand camus,northern america
daniel pimentel slaviero,lewis r. holding,frank b. holding,frank b. holding,,joan lamm-tennant,south america
richard mcvey,rich barton,rich barton,rich barton,,chase carey,northern america
chong-hua cheng,cheng cheng mount,chong-hua cheng,chong-hua cheng,,not found,south east asia
,,,,,cheng cheng mount,eastern asia
walter schalka,chris comparato,chris comparato,chris comparato,,walter schalka,south america
,"john r. stuelpnagel, d.v.m",serge saxonov,serge saxonov,,ricardo ramos,western europe
,ricardo ramos,ricardo ramos,ricardo ramos,,not found,eastern asia
masashi miyamoto,masashi miyamoto,masashi miyamoto,masashi miyamoto,,masashi miyamoto,eastern asia
ricardo ramos,,,,,not found,south america
serge saxonov,,,,,"john r. stuelpnagel, d.v.m",northern america
chris comparato,walter schalka,walter schalka,walter schalka,,not found,northern america
,,,,,chris comparato,eastern asia
,,,,,daniel servitje montull,eastern asia
arnaud de puyfontaine,dan arnold,dan arnold,dan arnold,,not found,western europe
daniel servitje montull,,,,,francois locoh-donou,central america
,francois locoh-donou,francois locoh-donou,francois locoh-donou,,lee m. tillman,eastern asia
rich stoddart,lee m. tillman,lee m. tillman,lee m. tillman,,not found,northern america
,,,,,not found,eastern asia
lee m. tillman,rich stoddart,rich stoddart,rich stoddart,,not found,northern america
francois locoh-donou,,,,,dan arnold,northern america
,daniel servitje montull,daniel servitje montull,daniel servitje montull,,rich stoddart,eastern asia
dan arnold,,arnaud de puyfontaine,arnaud de puyfontaine,,arnaud de puyfontaine,northern america
sandeep biswas,,sandeep biswas,sandeep biswas,,not found,"australia, new zealand"
,,rob smith,rob smith,,sandeep biswas,eastern asia
joe kiani,"glen f. post, iii",jeffrey storey,jeffrey storey,,simon wolfson,northern america
dominik von achten,,,,,steve vamos,western europe
simon wolfson,robert biesterfeld,robert biesterfeld,robert biesterfeld,,"glen f. post, iii",northern europe
steve vamos,,steve vamos,steve vamos,,robert biesterfeld,"australia, new zealand"
robert biesterfeld,,simon wolfson,simon wolfson,,rob smith,northern america
,,dominik von achten,dominik von achten,,not found,western asia
jeffrey storey,joe kiani,joe kiani,joe kiani,,joe kiani,northern america
rob smith,,,,,dominik von achten,western europe
timothy j. donahue,john w. conway,timothy j. donahue,timothy j. donahue,,john w. conway,northern america
christian kohlpaintner,,,,,kelvin loh,western europe
,kelvin loh,kelvin loh,kelvin loh,,not found,eastern asia
,joseph n.c. huang,joseph n.c. huang,joseph n.c. huang,,not found,eastern asia
kevin akers,,,,,alex lo,northern america
win yang,win yang,win yang,win yang,,robert w. best,south east asia
,robert w. best,kevin akers,kevin akers,,yung-jen huang,northern europe
joseph n.c. huang,,,,,christian kohlpaintner,south east asia
kelvin loh,,,,,not found,south east asia
,,christian kohlpaintner,christian kohlpaintner,,not found,eastern asia
eduardo navarro,eduardo navarro,eduardo navarro,eduardo navarro,,martin bouygues,northern america
david p. singelyn,,martin bouygues,martin bouygues,,not found,northern america
sundaram nagarajan,,mohit malhotra,mohit malhotra,,david p. singelyn,northern america
edward k aldag,fong-long chen,,,,henri poupart-lafarge,northern america
,kentaro okuda,kentaro okuda,kentaro okuda,,sundaram nagarajan,eastern asia
henri poupart-lafarge,,henri poupart-lafarge,henri poupart-lafarge,,fong-long chen,western europe
kentaro okuda,,,,,kentaro okuda,eastern asia
,edward k aldag,edward k aldag,edward k aldag,,eduardo navarro,south east asia
mohit malhotra,sundaram nagarajan,sundaram nagarajan,sundaram nagarajan,,amit burman,southern asia
martin bouygues,david p. singelyn,david p. singelyn,david p. singelyn,,edward k aldag,western europe
mark clouse,keith r. mcloughlin,mark clouse,mark clouse,,not found,northern america
,,anish shah,anish shah,,bracken p. darrell,eastern asia
andy ransom,jeff m. fettig,marc bitzer,marc bitzer,,jeff m. fettig,northern europe
nicholas fink,,,,,not found,northern america
michael allison,bracken p. darrell,bracken p. darrell,bracken p. darrell,,keith r. mcloughlin,western europe
joe shoen,joe shoen,joe shoen,joe shoen,,nicholas fink,northern america
bracken p. darrell,,michael allison,michael allison,,anand mahindra,western europe
,nicholas fink,nicholas fink,nicholas fink,,andy ransom,eastern asia
marc bitzer,,andy ransom,andy ransom,,martin komischke,northern america
anish shah,,,,,joe shoen,southern asia
,miguel kai kwun ko,,,,miguel kai kwun ko,eastern asia
,,,,,not found,south east asia
,mark a. douglas,mark a. douglas,mark a. douglas,,not found,eastern asia
ahn jae-yong,fredrik lundberg,helena stjernholm,helena stjernholm,,fredrik lundberg,eastern asia
greg heckman,,,,,kaushik dutta,northern america
hitoshi nagasawa,kaushik dutta,deepinder goyal,deepinder goyal,,not found,eastern asia
