,name,country,sector,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,founding_year
132,goyago,germany,retail,"1,005.08",122.74,doll_3.73m,"337,525",43,4,2014
133,la regie de portage salarial,france,support services,"1,003.16",122.61,doll_7.64m,"692,440",140,23,2016
134,dall energy,denmark,energy,991.29,121.81,doll_6.01m,"551,000",15,5,2007
135,appinio,germany,technology,988.35,121.61,doll_3.6m,"330,500",44,5,2014
136,pinsami,italy,food & beverage,975.16,120.71,doll_4.89m,"455,000",33,14,2015
137,aer trading,france,retail,969.96,120.35,doll_17.58m,"1,643,572",1,1,2013
138,valumen,france,support services,968.54,120.26,doll_2.2m,"205,554",4,1,2014
139,follow,france,advertising,964.02,119.95,doll_6.84m,"643,299",14,4,2016
140,darpdecade,germany,retail,954.24,119.27,doll_6.62m,"628,384",173,4,2016
141,bolt,estonia,technology,949.32,118.93,doll_221.39m,"21,098,843",1798,399,2013
142,kiteworldshop.com,italy,ecommerce,941.48,118.38,doll_1.67m,"160,539",5,2,2014
143,peter kenkel,germany,retail,938.81,118.2,doll_22.14m,"2,131,000",19,10,2006
144,templafy,denmark,technology,937.64,118.11,doll_15.49m,"1,521,010",292,32,2014
145,comservice,italy,support services,935.17,117.94,doll_2.02m,"194,780",99,17,2014
146,falcor presse,italy,industrial goods,927.28,117.38,doll_3.0m,"291,720",5,1,2017
147,roomraccoon,the netherlands,technology,927.15,117.38,doll_1.72m,"167,000",40,8,2017
148,signaturit,spain,technology,921.07,116.95,doll_5.64m,"552,355",95,37,2013
149,modulr,uk,fintech,914.74,116.5,doll_12.79m,"1,269,382",191,31,2015
150,profishop,germany,ecommerce,909.37,116.11,doll_43.81m,"4,340,517",63,17,2012
151,floer,the netherlands,interiors,908.11,116.02,doll_2.52m,"249,975",15,2,2015
152,audiosalus,italy,retail,904.15,115.74,doll_1.57m,"156,300",12,4,2011
153,statsbomb,uk,technology,897.81,115.29,doll_2.03m,"204,620",26,2,2016
154,theras biocare,italy,pharmaceuticals,888.84,114.64,doll_26.63m,"2,693,390",8,2,2013
155,stenn,uk,fintech,886.94,114.5,doll_29.62m,"3,058,141",61,32,2016
156,nanushka,hungary,fashion,884.55,114.33,doll_20.83m,"2,456,563",180,30,2012
157,dpm - deutsches personal management,germany,support services,882.56,114.18,doll_2.27m,"230,800",60,10,2016
158,monese,uk,fintech,880.00,114.0,doll_18.2m,"1,870,109",243,84,2013
159,arquimea,spain,technology,867.03,113.05,doll_72.04m,"7,450,099",288,40,2005
160,groupeâ perspective,france,education,866.15,112.98,doll_2.71m,"280,390",18,4,2013
161,funnel,sweden,technology,866.06,112.98,doll_11.5m,"1,217,338",155,37,2014
162,living quarter,germany,health,847.68,111.62,doll_5.02m,"529,371",49,5,2015
163,svea solar,sweden,energy,842.47,111.23,doll_66.15m,"7,177,912",287,38,2013
164,bevcraft group,ireland,food & beverage,842.21,111.21,doll_4.05m,"429,505",16,6,2016
165,learning technologies group,uk,technology,834.19,110.61,doll_19.45m,"2,096,570",932,767,2013
166,cura farma,italy,health,825.58,109.96,doll_4.44m,"479,290",9,2,2014
167,kamado bono,lithuania,personal & household goods,824.45,109.88,doll_6.8m,"735,758",7,2,2013
168,sipadan,spain,management consulting,823.89,109.83,doll_3.46m,"374,200",47,3,2007
169,dateio,czech republic,fintech,812.34,108.95,doll_4.71m,"530,785",45,18,2013
170,crest investment,germany,property,811.16,108.86,doll_4.86m,"533,144",16,4,2016
171,componenti digitali,italy,retail,808.60,108.67,doll_2.81m,"308,810",19,2,2017
172,immo-konzepte,germany,property,797.40,107.81,doll_2.27m,"252,871",6,3,2006
173,swipbox,denmark,technology,792.08,107.4,doll_9.39m,"1,052,796",41,3,2014
174,nextory,sweden,media,790.71,107.29,doll_26.53m,"3,046,667",85,9,2015
175,itds polska,poland,technology,789.96,107.23,doll_8.61m,"1,057,443",176,32,2016
176,savait,italy,ecommerce,787.93,107.07,doll_2.11m,"237,410",5,4,2015
177,adpone,spain,advertising,786.15,106.94,doll_11.12m,"1,255,372",18,3,2015
178,nord security,lithuania,cyber security,785.05,106.85,doll_156.62m,"18,035,029",1000,350,2012
179,mews,the netherlands,technology,784.47,106.81,doll_22.39m,"2,531,000",226,25,2012
180,titulae,spain,education,783.80,106.75,doll_4.87m,"551,128",35,9,2015
181,systeme.io,ireland,ecommerce,780.26,106.48,doll_2.41m,"273,552",40,5,2016
182,eodh sa,greece,aerospace & defence,765.91,105.35,doll_2.6m,"299,988",30,20,2003
183,multix solutions,italy,health,764.38,105.23,doll_11.59m,"1,340,430",5,2,2015
184,b2digit,france,technology,763.88,105.19,doll_1.98m,"228,982",12,2,2016
185,a million ads,uk,advertising,761.93,105.03,doll_4.88m,"570,564",47,5,2015
186,woodwatch,the netherlands,retail,758.51,104.76,doll_5.59m,"651,170",25,5,2013
187,fenãªtres du doubs,france,construction,753.42,104.36,doll_2.24m,"262,280",12,3,2010
188,koesea,germany,construction,750.00,104.08,doll_3.4m,"400,000",65,3,2016
189,podium advanced technologies,italy,automobiles,744.97,103.68,doll_18.03m,"2,133,310",38,14,2011
190,spegra,croatia,construction,744.07,103.61,doll_17.06m,"2,025,879",166,109,2010
191,gpainnova,spain,industrial goods,739.66,103.25,doll_15.25m,"1,815,680",117,18,2013
192,soluzione tasse,italy,management consulting,736.20,102.97,doll_18.94m,"2,264,940",23,4,2016
193,velocultour,germany,retail,731.33,102.58,doll_2.46m,"295,731",15,2,2016
194,butorpiac.hu,hungary,ecommerce,731.00,102.55,doll_2.18m,"305,268",7,2,2011
195,success solutions,czech republic,technology,727.39,102.26,doll_2.63m,"327,218",44,8,2016
196,bug bite thing europe,denmark,health,722.29,101.84,doll_1.58m,"191,679",1,1,1989
197,dexatel,estonia,technology,721.49,101.78,doll_11.09m,"1,349,733",24,4,2015
198,gemco,italy,construction,718.65,101.54,doll_3.94m,"481,510",6,1,2015
199,lyonnaise de construction et renovation,france,construction,717.46,101.44,doll_6.64m,"812,371",none,none,2015
200,gousto,uk,food & beverage,713.62,101.13,doll_210.95m,"26,112,757",702,204,2012
201,winter in venice,uk,beauty,710.72,100.89,doll_12.68m,"1,575,522",6,4,2010
202,infratech bau,germany,construction,710.04,100.83,doll_60.07m,"7,415,334",72,18,2007
203,4streets building innovation tunnels bridges roads,italy,construction,708.86,100.74,doll_6.74m,"833,230",46,3,2016
204,landbay,uk,fintech,708.18,100.68,doll_8.98m,"1,119,178",95,31,2013
205,degoo,sweden,technology,708.03,100.67,doll_1.97m,"249,818",18,3,2012
206,franco fresco,germany,food & beverage,707.67,100.64,doll_50.72m,"6,280,267",320,52,2016
207,lendable,uk,fintech,707.63,100.63,doll_40.31m,"5,026,349",84,25,2014
208,ulrich mã¼ller wealth academy,germany,education,698.59,99.88,doll_3.52m,"440,369",6,2,2014
209,cerascreen,germany,health,698.46,99.87,doll_10.5m,"1,315,000",84,19,2012
210,eqinov,france,energy,696.48,99.71,doll_70.18m,"8,811,708",43,24,2011
211,serre famiglia pederiva viticoltori dal 1958,italy,food & beverage,695.08,99.59,doll_9.02m,"1,134,730",12,7,1996
212,bloom & wild,uk,ecommerce,693.19,99.43,doll_155.6m,"19,757,296",170,68,2013
213,brã¤utigam,germany,automobiles,693.15,99.43,doll_6.32m,"796,207",29,9,2016
214,newil & bau,finland,construction,693.05,99.42,doll_19.42m,"2,448,858",7,1,2006
215,id finance,spain,fintech,687.67,98.97,doll_103.63m,"13,157,000",411,271,2015
216,kry,sweden,health,683.39,98.61,doll_77.76m,"10,152,222",600,74,2014
217,sixth sense,italy,technology,682.63,98.54,doll_3.92m,"500,440",25,4,2015
218,nethive,italy,cyber security,681.63,98.46,doll_3.96m,"506,730",19,7,2014
219,latitude investment management,uk,financial services,680.23,98.34,doll_1.75m,"225,964",8,3,2016
220,qred,sweden,fintech,679.70,98.29,doll_30.41m,"3,989,355",68,10,2015
221,oculavis,germany,technology,678.11,98.16,doll_3.92m,"504,357",55,15,2016
222,the information lab,italy,technology,675.86,97.97,doll_4.25m,"548,180",30,5,2015
223,md sonnenschutztechnik,germany,construction,675.34,97.92,doll_4.07m,"524,750",10,6,2015
224,syntio,croatia,technology,673.74,97.79,doll_2.13m,"274,966",43,7,2017
225,bomae,denmark,financial services,673.44,97.76,doll_1.66m,"214,713",13,3,2016
226,gophr,uk,technology,665.31,97.07,doll_5.74m,"755,191",18,6,2014
227,memory pc,germany,retail,662.76,96.85,doll_57.38m,"7,522,000",110,20,2012
228,sollis solargroãhandel,germany,retail,661.92,96.77,doll_11.86m,"1,556,607",6,2,2017
229,spotawheel,greece,automobiles,660.16,96.62,doll_15.65m,"2,058,315",123,37,2015
230,ooni pizza ovens,uk,personal & household goods,656.17,96.28,doll_63.88m,"8,508,398",83,18,2012
231,robovox distributions,germany,retail,655.91,96.26,doll_19.43m,"2,570,000",35,10,2015
232,centralnic group,uk,technology,655.01,96.18,doll_197.26m,"26,626,422",650,92,2000
233,bernd andert transporte,germany,transport,651.57,95.88,doll_4.11m,"546,226",83,16,2003
234,bluewater bio,uk,technology,651.07,95.84,doll_20.2m,"2,708,983",18,16,2007
235,tecma solutions,italy,technology,650.65,95.8,doll_7.32m,"975,140",107,25,2012
236,delante,poland,sales & marketing,645.92,95.39,doll_2.16m,"316,525",48,21,2015
237,intumind,germany,health,641.45,95.0,doll_6.56m,"884,885",15,8,2015
