,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
22974,Clicks Group,3960000000.0,South Africa,16.0,,,,,,,,
22975,Nexans,3960000000.0,France,91.0,,,,,,,,
22976,Enact Holdings,3960000000.0,USA,24.0,,,,,,,,
22977,Tenable,3960000000.0,USA,35.0,,,,,,,,
22978,Petronet LNG,3960000000.0,India,3.0,,,,,,,,
22979,COSMOS Pharmaceutical,3950000000.0,Japan,100.0,,,,,,,,
22980,Rambus,3950000000.0,USA,37.0,,,,,,,,
22981,Zurn Water Solutions,3950000000.0,USA,22.0,,,,,,,,
22982,Rural Electrification Corp,3940000000.0,India,2.0,,,,,,,,
22983,RLX Technology,3940000000.0,China,3.0,,,,,,,,
22984,Aaon,3940000000.0,USA,74.0,,,,,,,,
22985,Visteon,3940000000.0,USA,140.0,,,,,,,,
22986,Cabot Corporation,3930000000.0,USA,70.0,,,,,,,,
22987,Braskem,3930000000.0,Brazil,9.0,,,,,,,,
22988,Infratil,3920000000.0,New Zealand,5.0,,,,,,,,
22989,Cleanaway Waste Management,3920000000.0,Australia,2.0,,,,,,,,
22990,Denali Therapeutics,3920000000.0,USA,29.0,,,,,,,,
22991,Toyo Suisan,3920000000.0,Japan,37.0,,,,,,,,
22992,National Shipping Company of Saudi Arabia (Bahri),3920000000.0,S. Arabia,8.0,,,,,,,,
22993,Avnet,3920000000.0,USA,43.0,,,,,,,,
22994,AppFolio,3910000000.0,USA,111.0,,,,,,,,
22995,Indofood,3910000000.0,Indonesia,0.0,,,,,,,,
22996,Onex,3900000000.0,Canada,48.0,,,,,,,,
22997,Allison Transmission,3900000000.0,USA,42.0,,,,,,,,
22998,GATX,3900000000.0,USA,111.0,,,,,,,,
22999,United Community Bank,3900000000.0,USA,34.0,,,,,,,,
23000,Balchem,3900000000.0,USA,121.0,,,,,,,,
23001,Howard Hughes Corporation,3900000000.0,USA,78.0,,,,,,,,
23002,Qualys,3900000000.0,USA,103.0,,,,,,,,
23003,Dufry,3900000000.0,Switzerland,43.0,,,,,,,,
23004,Finning,3900000000.0,Canada,26.0,,,,,,,,
23005,Altra Industrial Motion,3900000000.0,USA,60.0,,,,,,,,
23006,Gujarat Fluorochemicals,3900000000.0,India,36.0,,,,,,,,
23007,IG Group,3890000000.0,UK,9.0,,,,,,,,
23008,WNS,3890000000.0,India,81.0,,,,,,,,
23009,Capital Power,3890000000.0,Canada,33.0,,,,,,,,
23010,Elang Mahkota Teknologi,3880000000.0,Indonesia,0.0,,,,,,,,
23011,Independence Realty Trust,3870000000.0,USA,17.0,,,,,,,,
23012,ICU Medical,3870000000.0,USA,162.0,,,,,,,,
23013,Vontobel,3870000000.0,Switzerland,70.0,,,,,,,,
23014,Parkland Corp,3870000000.0,Canada,22.0,,,,,,,,
23015,Virtu Financial,3860000000.0,USA,21.0,,,,,,,,
23016,Spectris,3860000000.0,UK,37.0,,,,,,,,
23017,F&F Co,3850000000.0,S. Korea,99.0,,,,,,,,
23018,LG Display,3850000000.0,S. Korea,5.0,,,,,,,,
23019,General Insurance Corporation of India,3840000000.0,India,2.0,,,,,,,,
23020,Nuvei,3840000000.0,Canada,27.0,,,,,,,,
23021,Vopak,3830000000.0,Netherlands,31.0,,,,,,,,
23022,Freshworks,3830000000.0,USA,14.0,,,,,,,,
23023,Charter Hall Group,3830000000.0,Australia,8.0,,,,,,,,
23024,SFS Group,3830000000.0,Switzerland,99.0,,,,,,,,
23025,Aroundtown,3830000000.0,Luxembourg,3.0,,,,,,,,
23026,Kirby Corporation,3820000000.0,USA,64.0,,,,,,,,
23027,H.B. Fuller,3820000000.0,USA,72.0,,,,,,,,
23028,SeaWorld Entertainment,3820000000.0,USA,60.0,,,,,,,,
23029,ITV plc,3810000000.0,UK,1.0,,,,,,,,
23030,Topgolf Callaway Brands,3810000000.0,USA,21.0,,,,,,,,
23031,Oberbank,3800000000.0,Austria,108.0,,,,,,,,
23032,Stadler Rail,3800000000.0,Switzerland,38.0,,,,,,,,
23033,Maxar Technologies,3800000000.0,USA,51.0,,,,,,,,
23034,Bombardier,3800000000.0,Canada,41.0,,,,,,,,
23035,Manchester United,3800000000.0,UK,23.0,,,,,,,,
23036,Storebrand,3800000000.0,Norway,8.0,,,,,,,,
23037,Steadfast Group,3800000000.0,Australia,4.0,,,,,,,,
23038,Ziff Davis,3800000000.0,USA,81.0,,,,,,,,
23039,Electrolux,3790000000.0,Sweden,17.0,,,,,,,,
23040,AntarChile,3790000000.0,Chile,8.0,,,,,,,,
23041,Luzerner Kantonalbank,3790000000.0,Switzerland,444.0,,,,,,,,
23042,Scout24,3790000000.0,Germany,50.0,,,,,,,,
23043,Arçelik,3790000000.0,Turkey,6.0,,,,,,,,
23044,Spire Energy,3780000000.0,USA,72.0,,,,,,,,
23045,Franklin Electric,3780000000.0,USA,82.0,,,,,,,,
23046,PBBank (Public Bank Bhd),3780000000.0,Malaysia,1.0,,,,,,,,
23047,Bakkafrost,3780000000.0,Denmark,57.0,,,,,,,,
23048,Contact Energy,3780000000.0,New Zealand,5.0,,,,,,,,
23049,MGIC Investment,3780000000.0,USA,13.0,,,,,,,,
23050,Pan American Silver,3770000000.0,Canada,18.0,,,,,,,,
23051,Supreme Industries,3770000000.0,India,30.0,,,,,,,,
23052,Blackstone Mortgage Trust,3760000000.0,USA,22.0,,,,,,,,
23053,Umpqua Holdings,3760000000.0,USA,17.0,,,,,,,,
23054,Altair Engineering,3760000000.0,USA,47.0,,,,,,,,
23055,Lumentum,3760000000.0,USA,55.0,,,,,,,,
23056,APL Apollo,3760000000.0,India,14.0,,,,,,,,
23057,Oberoi Realty,3760000000.0,India,10.0,,,,,,,,
23058,Perfect World Entertainment,3750000000.0,China,2.0,,,,,,,,
23059,Bendigo and Adelaide Bank,3750000000.0,Australia,7.0,,,,,,,,
23060,SentinelOne,3750000000.0,USA,13.0,,,,,,,,
23061,UniFirst,3750000000.0,USA,201.0,,,,,,,,
23062,Minda Industries,3750000000.0,India,6.0,,,,,,,,
23063,Dätwyler,3740000000.0,Switzerland,221.0,,,,,,,,
23064,Aurubis,3740000000.0,Germany,86.0,,,,,,,,
23065,Indoritel,3740000000.0,Indonesia,0.0,,,,,,,,
23066,Allete,3740000000.0,USA,65.0,,,,,,,,
23067,ServisFirst Bancshares,3730000000.0,USA,69.0,,,,,,,,
23068,Buzzi Unicem,3730000000.0,Italy,20.0,,,,,,,,
23069,New Relic,3730000000.0,USA,55.0,,,,,,,,
23070,Biocon,3730000000.0,India,3.0,,,,,,,,
23071,Assured Guaranty,3730000000.0,Bermuda,62.0,,,,,,,,
23072,Lawson,3730000000.0,Japan,37.0,,,,,,,,
23073,Kojamo,3720000000.0,Finland,15.0,,,,,,,,
23074,Haemonetics,3720000000.0,USA,74.0,,,,,,,,
23075,Independent Bank,3720000000.0,USA,82.0,,,,,,,,
23076,Südzucker,3720000000.0,Germany,18.0,,,,,,,,
23077,Bloom Energy,3710000000.0,USA,19.0,,,,,,,,
23078,AllianceBernstein,3710000000.0,USA,37.0,,,,,,,,
23079,China Airlines,3710000000.0,Taiwan,1.0,,,,,,,,
23080,Crescent Point Energy,3700000000.0,Canada,7.0,,,,,,,,
23081,Air France-KLM,3700000000.0,France,1.0,,,,,,,,
23082,Kangwon Land,3700000000.0,S. Korea,18.0,,,,,,,,
23083,G-bits Network Technology,3700000000.0,China,52.0,,,,,,,,
23084,Foot Locker,3690000000.0,USA,40.0,,,,,,,,
23085,CRISPR Therapeutics,3690000000.0,Switzerland,47.0,,,,,,,,
23086,Société Foncière Lyonnaise,3690000000.0,France,86.0,,,,,,,,
23087,SoFi,3690000000.0,USA,5.0,,,,,,,,
23088,Insight Enterprises,3690000000.0,USA,105.0,,,,,,,,
23089,Lendlease,3680000000.0,Australia,5.0,,,,,,,,
23090,Sarana Menara Nusantara,3680000000.0,Indonesia,0.0,,,,,,,,
23091,Vaxcyte,3680000000.0,USA,47.0,,,,,,,,
23092,PrairieSky Royalty,3680000000.0,Canada,15.0,,,,,,,,
23093,Lundbeck,3670000000.0,Denmark,4.0,,,,,,,,
23094,Huhtamäki,3670000000.0,Finland,35.0,,,,,,,,
23095,Brighthouse Financial,3670000000.0,USA,53.0,,,,,,,,
23096,Direct Line Group,3670000000.0,UK,3.0,,,,,,,,
23097,Mayora,3670000000.0,Indonesia,0.0,,,,,,,,
23098,Royal Unibrew,3670000000.0,Denmark,73.0,,,,,,,,
23099,Sunoco,3670000000.0,USA,44.0,,,,,,,,
23100,Cousins Properties,3670000000.0,USA,24.0,,,,,,,,
23101,Olaplex,3670000000.0,USA,6.0,,,,,,,,
23102,Venture Corporation,3670000000.0,Singapore,13.0,,,,,,,,
23103,Grupo Catalana Occidente,3670000000.0,Spain,31.0,,,,,,,,
23104,Onto Innovation,3660000000.0,USA,74.0,,,,,,,,
23105,360 DigiTech,3660000000.0,China,23.0,,,,,,,,
23106,Thai Oil,3660000000.0,Thailand,2.0,,,,,,,,
23107,Patterson-UTI Energy,3650000000.0,USA,17.0,,,,,,,,
23108,White Mountains Insurance Group,3650000000.0,Bermuda,1420.0,,,,,,,,
23109,Nisshin Seifun Group,3650000000.0,Japan,12.0,,,,,,,,
23110,SM Energy,3650000000.0,USA,30.0,,,,,,,,
23111,Enerplus,3650000000.0,Canada,16.0,,,,,,,,
23112,Abcam,3650000000.0,UK,16.0,,,,,,,,
23113,Meritage Homes,3640000000.0,USA,100.0,,,,,,,,
23114,Physicians Realty Trust,3640000000.0,USA,15.0,,,,,,,,
23115,Innolux,3630000000.0,Taiwan,0.0,,,,,,,,
23116,Summit Materials,3630000000.0,USA,31.0,,,,,,,,
23117,Adient,3630000000.0,Ireland,38.0,,,,,,,,
23118,DoubleVerify,3630000000.0,USA,22.0,,,,,,,,
23119,Elis,3620000000.0,France,16.0,,,,,,,,
23120,Aspen Pharmacare,3620000000.0,South Africa,8.0,,,,,,,,
23121,Diodes Incorporated,3610000000.0,USA,80.0,,,,,,,,
23122,AppLovin,3610000000.0,USA,10.0,,,,,,,,
23123,YETI Holdings,3610000000.0,USA,42.0,,,,,,,,
23124,Simply Good Foods,3610000000.0,USA,35.0,,,,,,,,
23125,Sinch,3610000000.0,Sweden,4.0,,,,,,,,
23126,Tsuruha Holdings,3600000000.0,Japan,74.0,,,,,,,,
23127,Teladoc Health,3600000000.0,USA,22.0,,,,,,,,
23128,Inari Medical,3600000000.0,USA,67.0,,,,,,,,
23129,Metro AG,3600000000.0,Germany,10.0,,,,,,,,
23130,Bumble,3590000000.0,USA,19.0,,,,,,,,
23131,PotlatchDeltic,3590000000.0,USA,45.0,,,,,,,,
23132,PCCW,3590000000.0,Hong Kong,0.0,,,,,,,,
23133,Syneos Health,3590000000.0,USA,35.0,,,,,,,,
23134,Tate & Lyle,3590000000.0,UK,9.0,,,,,,,,
23135,Hecla Mining,3580000000.0,USA,6.0,,,,,,,,
23136,ATCO,3580000000.0,Canada,31.0,,,,,,,,
23137,Acom,3580000000.0,Japan,2.0,,,,,,,,
23138,Freedom Holding,3580000000.0,Kazakhstan,60.0,,,,,,,,
23139,SSR Mining,3580000000.0,Canada,17.0,,,,,,,,
23140,Krones,3570000000.0,Germany,112.0,,,,,,,,
23141,Arcadis,3570000000.0,Netherlands,40.0,,,,,,,,
23142,BellRing Brands,3570000000.0,USA,27.0,,,,,,,,
23143,Nippon Shinyaku,3570000000.0,Japan,53.0,,,,,,,,
23144,Games Workshop Group,3570000000.0,UK,109.0,,,,,,,,
23145,Persistent Systems,3560000000.0,India,47.0,,,,,,,,
23146,Apple Hospitality REIT,3560000000.0,USA,16.0,,,,,,,,
23147,AmTrust Financial Services,3550000000.0,USA,18.0,,,,,,,,
23148,Associated Banc-Corp,3540000000.0,USA,24.0,,,,,,,,
23149,AGL Energy,3540000000.0,Australia,5.0,,,,,,,,
23150,China Lesso Group,3540000000.0,China,1.0,,,,,,,,
23151,Harvey Norman,3540000000.0,Australia,3.0,,,,,,,,
23152,Taylor Morrison,3540000000.0,USA,33.0,,,,,,,,
23153,Neogen,3530000000.0,USA,16.0,,,,,,,,
23154,Transocean,3530000000.0,Switzerland,5.0,,,,,,,,
23155,Inmobiliaria Colonial,3530000000.0,Spain,7.0,,,,,,,,
23156,Indraprastha Gas,3530000000.0,India,5.0,,,,,,,,
23157,De' Longhi,3530000000.0,Italy,24.0,,,,,,,,
23158,Hamilton Lane,3530000000.0,USA,66.0,,,,,,,,
23159,Grand Canyon Education,3520000000.0,USA,113.0,,,,,,,,
23160,Faurecia,3520000000.0,France,18.0,,,,,,,,
23161,Interparfums,3520000000.0,USA,111.0,,,,,,,,
23162,Dechra Pharmaceuticals,3520000000.0,UK,31.0,,,,,,,,
23163,Weatherford International,3520000000.0,USA,50.0,,,,,,,,
23164,Spirit AeroSystems,3510000000.0,USA,33.0,,,,,,,,
23165,CVB Financial,3510000000.0,USA,25.0,,,,,,,,
23166,Ubisoft,3510000000.0,France,27.0,,,,,,,,
23167,Magazine Luíza,3500000000.0,Brazil,1.0,,,,,,,,
23168,NorthWestern Corporation,3500000000.0,USA,59.0,,,,,,,,
23169,Livent,3500000000.0,USA,20.0,,,,,,,,
23170,Gates Industrial Corp,3500000000.0,USA,12.0,,,,,,,,
23171,Sweco,3500000000.0,Sweden,10.0,,,,,,,,
23172,eMemory Technology,3490000000.0,Taiwan,47.0,,,,,,,,
23173,American States Water,3490000000.0,USA,95.0,,,,,,,,
23174,The a2 Milk Company,3490000000.0,New Zealand,5.0,,,,,,,,
23175,Instructure Holdings,3490000000.0,USA,25.0,,,,,,,,
23176,Beijing Airport,3490000000.0,China,1.0,,,,,,,,
23177,Kemper,3490000000.0,USA,55.0,,,,,,,,
23178,Envestnet,3490000000.0,USA,63.0,,,,,,,,
23179,Korea Aerospace Industries,3480000000.0,S. Korea,35.0,,,,,,,,
23180,Galicia Financial Group,3480000000.0,Argentina,11.0,,,,,,,,
23181,DMG Mori,3480000000.0,Germany,44.0,,,,,,,,
23182,PGE Polska,3470000000.0,Poland,2.0,,,,,,,,
23183,Beacon Roofing Supply,3470000000.0,USA,53.0,,,,,,,,
23184,Vir Biotechnology,3460000000.0,USA,26.0,,,,,,,,
23185,Land and Houses,3460000000.0,Thailand,0.0,,,,,,,,
23186,Escorts Limited,3460000000.0,India,26.0,,,,,,,,
23187,Icade,3440000000.0,France,46.0,,,,,,,,
23188,African Rainbow Minerals,3440000000.0,South Africa,18.0,,,,,,,,
23189,Federal Bank,3440000000.0,India,2.0,,,,,,,,
23190,Avient,3440000000.0,USA,38.0,,,,,,,,
23191,SmartCentres REIT,3440000000.0,Canada,20.0,,,,,,,,
23192,Greif,3430000000.0,USA,67.0,,,,,,,,
23193,Mueller Industries,3430000000.0,USA,60.0,,,,,,,,
23194,Community Bank System,3420000000.0,USA,64.0,,,,,,,,
23195,Workman,3420000000.0,Japan,42.0,,,,,,,,
23196,Teradata,3420000000.0,USA,34.0,,,,,,,,
23197,Netmarble,3420000000.0,S. Korea,41.0,,,,,,,,
23198,Hysan Development,3420000000.0,Hong Kong,3.0,,,,,,,,
23199,SNC-Lavalin Group,3420000000.0,Canada,19.0,,,,,,,,
23200,Federated Hermes,3420000000.0,USA,38.0,,,,,,,,
23201,NWS holdings,3410000000.0,Hong Kong,1.0,,,,,,,,
23202,Mercari,3410000000.0,Japan,21.0,,,,,,,,
23203,TietoEVRY,3410000000.0,Finland,29.0,,,,,,,,
23204,Surgery Partners,3410000000.0,USA,28.0,,,,,,,,
23205,Advanced Energy,3410000000.0,USA,91.0,,,,,,,,
23206,Imerys,3390000000.0,France,40.0,,,,,,,,
23207,California Water Service,3390000000.0,USA,62.0,,,,,,,,
23208,easyJet,3390000000.0,UK,4.0,,,,,,,,
23209,Taiwan Business Bank,3380000000.0,Taiwan,0.0,,,,,,,,
23210,Rotork,3380000000.0,UK,4.0,,,,,,,,
23211,First Hawaiian Bank,3380000000.0,USA,26.0,,,,,,,,
23212,Kerry Properties,3380000000.0,Hong Kong,2.0,,,,,,,,
23213,Nelnet,3370000000.0,USA,91.0,,,,,,,,
23214,EVN Group,3370000000.0,Austria,19.0,,,,,,,,
23215,BB Biotech,3370000000.0,Switzerland,61.0,,,,,,,,
23216,Leroy Seafood,3370000000.0,Norway,6.0,,,,,,,,
23217,Bank of East Asia,3370000000.0,Hong Kong,1.0,,,,,,,,
23218,Unicaja Banco,3360000000.0,Spain,1.0,,,,,,,,
23219,Select Medical Holdings,3360000000.0,USA,26.0,,,,,,,,
23220,Maravai LifeSciences,3360000000.0,USA,13.0,,,,,,,,
23221,Granite Real Estate,3350000000.0,Canada,53.0,,,,,,,,
23222,Sprouts Farmers Market,3350000000.0,USA,32.0,,,,,,,,
23223,One Medical (1Life Healthcare),3350000000.0,USA,16.0,,,,,,,,
23224,Copa Holdings,3350000000.0,Panama,85.0,,,,,,,,
23225,Boyd Group,3350000000.0,Canada,156.0,,,,,,,,
23226,NCR Corporation,3350000000.0,USA,24.0,,,,,,,,
23227,Ambu,3350000000.0,Denmark,13.0,,,,,,,,
23228,Cohen & Steers,3350000000.0,USA,69.0,,,,,,,,
23229,The AZEK Company,3340000000.0,USA,22.0,,,,,,,,
23230,Mayr-Melnhof,3340000000.0,Austria,167.0,,,,,,,,
23231,Qube Holdings,3330000000.0,Australia,2.0,,,,,,,,
23232,Lantheus Holdings,3330000000.0,USA,48.0,,,,,,,,
23233,Aixtron,3330000000.0,Germany,30.0,,,,,,,,
23234,Logista (Compañía de Distribución Integral Logista),3330000000.0,Spain,25.0,,,,,,,,
23235,Marqeta,3310000000.0,USA,6.0,,,,,,,,
23236,Renishaw,3310000000.0,UK,46.0,,,,,,,,
23237,NewMarket Corp,3310000000.0,USA,336.0,,,,,,,,
23238,Sime Darby,3310000000.0,Malaysia,1.0,,,,,,,,
23239,Cactus Wellhead,3310000000.0,USA,55.0,,,,,,,,
23240,BTS Group,3310000000.0,Thailand,0.0,,,,,,,,
23241,Amicus Therapeutics,3300000000.0,USA,12.0,,,,,,,,
23242,Tootsie Roll Industries,3300000000.0,USA,46.0,,,,,,,,
23243,Grupo Aeroportuario Centro Norte,3300000000.0,Mexico,69.0,,,,,,,,
23244,Taisho Pharmaceutical,3300000000.0,Japan,40.0,,,,,,,,
23245,Essential Properties Realty Trust,3300000000.0,USA,23.0,,,,,,,,
23246,Vontier,3290000000.0,USA,21.0,,,,,,,,
23247,Samsung Heavy Industries,3290000000.0,S. Korea,162.0,,,,,,,,
23248,Ameris Bancorp,3290000000.0,USA,47.0,,,,,,,,
23249,Metsä Board,3290000000.0,Finland,11.0,,,,,,,,
23250,Prestige Consumer Healthcare,3290000000.0,USA,66.0,,,,,,,,
23251,Intellia Therapeutics,3280000000.0,USA,38.0,,,,,,,,
23252,Global-e,3270000000.0,Israel,21.0,,,,,,,,
23253,Playtika,3270000000.0,Israel,9.0,,,,,,,,
23254,Armstrong World Industries,3270000000.0,USA,72.0,,,,,,,,
23255,Nordic Semiconductor,3270000000.0,Norway,17.0,,,,,,,,
23256,Blackbaud,3270000000.0,USA,62.0,,,,,,,,
23257,Ultragenyx,3270000000.0,USA,47.0,,,,,,,,
23258,RingCentral,3260000000.0,USA,34.0,,,,,,,,
23259,Voltas,3260000000.0,India,10.0,,,,,,,,
23260,Alteryx,3260000000.0,USA,47.0,,,,,,,,
23261,Transportadora de Gas del Sur,3260000000.0,Argentina,12.0,,,,,,,,
23262,JB Hi-Fi,3250000000.0,Australia,30.0,,,,,,,,
23263,Sanmina,3250000000.0,USA,57.0,,,,,,,,
23264,Signet Jewelers,3240000000.0,Bermuda,71.0,,,,,,,,
23265,Fielmann,3240000000.0,Germany,39.0,,,,,,,,
23266,Ollie's Bargain Outlet,3230000000.0,USA,52.0,,,,,,,,
23267,Black Stone Minerals,3230000000.0,USA,15.0,,,,,,,,
23268,Nikon,3230000000.0,Japan,9.0,,,,,,,,
23269,Coway,3230000000.0,S. Korea,43.0,,,,,,,,
23270,Derwent London,3230000000.0,UK,29.0,,,,,,,,
23271,Melisron,3230000000.0,Israel,68.0,,,,,,,,
23272,Halkbank,3230000000.0,Turkey,1.0,,,,,,,,
23273,Belden,3230000000.0,USA,75.0,,,,,,,,
23274,Frasers Logistics & Industrial Trust,3220000000.0,Singapore,1.0,,,,,,,,
23275,Natura&Co,3220000000.0,Brazil,5.0,,,,,,,,
23276,Chegg,3220000000.0,USA,26.0,,,,,,,,
23277,Ambarella,3220000000.0,USA,83.0,,,,,,,,
23278,Marks & Spencer,3210000000.0,UK,2.0,,,,,,,,
23279,Virgin Money UK,3210000000.0,UK,2.0,,,,,,,,
23280,Avista,3210000000.0,USA,44.0,,,,,,,,
23281,Coromandel,3210000000.0,India,11.0,,,,,,,,
23282,CIE Automotive,3210000000.0,Spain,27.0,,,,,,,,
23283,Comgás,3210000000.0,Brazil,24.0,,,,,,,,
23284,mBank,3200000000.0,Poland,76.0,,,,,,,,
23285,Eastern Bankshares,3200000000.0,USA,18.0,,,,,,,,
23286,CVR Energy,3200000000.0,USA,32.0,,,,,,,,
23287,Proximus,3200000000.0,Belgium,10.0,,,,,,,,
23288,Deepak Nitrite,3200000000.0,India,23.0,,,,,,,,
23289,Enel Chile,3190000000.0,Chile,2.0,,,,,,,,
23290,Bank of Hawaii,3190000000.0,USA,80.0,,,,,,,,
23291,National Vision Holdings,3190000000.0,USA,40.0,,,,,,,,
23292,Sega Sammy Holdings,3180000000.0,Japan,14.0,,,,,,,,
23293,Enviva,3180000000.0,USA,48.0,,,,,,,,
23294,Harmony Biosciences,3180000000.0,USA,54.0,,,,,,,,
23295,Summit Industrial Income REIT,3170000000.0,Canada,17.0,,,,,,,,
23296,InMode,3170000000.0,Israel,38.0,,,,,,,,
23297,Douglas Emmett,3170000000.0,USA,15.0,,,,,,,,
23298,Indosat,3160000000.0,Indonesia,0.0,,,,,,,,
23299,Badger Meter,3160000000.0,USA,108.0,,,,,,,,
23300,Subsea 7,3160000000.0,Luxembourg,11.0,,,,,,,,
23301,Euronav,3150000000.0,Belgium,16.0,,,,,,,,
23302,TUI,3150000000.0,Germany,2.0,,,,,,,,
23303,Albany International,3150000000.0,USA,101.0,,,,,,,,
23304,Indah Kiat Pulp & Paper,3150000000.0,Indonesia,1.0,,,,,,,,
23305,Enovis,3140000000.0,USA,58.0,,,,,,,,
23306,Vishay Intertechnology,3140000000.0,USA,22.0,,,,,,,,
23307,Lazard,3140000000.0,Bermuda,37.0,,,,,,,,
23308,Ardagh Metal Packaging,3140000000.0,Luxembourg,5.0,,,,,,,,
23309,Capstone Infrastructure,3140000000.0,Canada,10.0,,,,,,,,
23310,Fluidra,3130000000.0,Spain,17.0,,,,,,,,
23311,Aurobindo Pharma,3130000000.0,India,5.0,,,,,,,,
23312,Broadstone Net Lease,3130000000.0,USA,17.0,,,,,,,,
23313,Vienna Insurance Group,3130000000.0,Austria,24.0,,,,,,,,
23314,Boralex,3130000000.0,Canada,30.0,,,,,,,,
23315,Quaker Houghton,3130000000.0,USA,175.0,,,,,,,,
23316,Meitetsu,3130000000.0,Japan,16.0,,,,,,,,
23317,Sembcorp Marine,3120000000.0,Singapore,0.0,,,,,,,,
23318,ESAB,3120000000.0,USA,52.0,,,,,,,,
23319,Sensient Technologies,3120000000.0,USA,74.0,,,,,,,,
23320,Gland Pharma,3120000000.0,India,19.0,,,,,,,,
23321,Hostess Brands,3120000000.0,USA,23.0,,,,,,,,
23322,Harbour Energy,3110000000.0,UK,4.0,,,,,,,,
23323,HUTCHMED,3110000000.0,Hong Kong,17.0,,,,,,,,
23324,Thoughtworks,3110000000.0,USA,10.0,,,,,,,,
23325,Highwoods Properties,3110000000.0,USA,28.0,,,,,,,,
23326,Romgaz,3100000000.0,Romania,8.0,,,,,,,,
23327,Cathay General Bancorp,3100000000.0,USA,42.0,,,,,,,,
23328,Goodyear,3100000000.0,USA,11.0,,,,,,,,
23329,Skyline Champion,3100000000.0,USA,54.0,,,,,,,,
23330,Max Financial Services,3100000000.0,India,9.0,,,,,,,,
23331,Shangri-La,3090000000.0,Hong Kong,1.0,,,,,,,,
23332,St. Galler Kantonalbank,3090000000.0,Switzerland,518.0,,,,,,,,
23333,Alumina Limited,3090000000.0,Australia,1.0,,,,,,,,
23334,Stagwell,3090000000.0,USA,7.0,,,,,,,,
23335,California Resources Corporation,3090000000.0,USA,42.0,,,,,,,,
23336,Tower Bersama Infrastructure,3090000000.0,Indonesia,0.0,,,,,,,,
23337,John Bean Technologies,3080000000.0,USA,97.0,,,,,,,,
23338,Dave Inc.,3080000000.0,USA,8.0,,,,,,,,
23339,EnerSys,3080000000.0,USA,76.0,,,,,,,,
23340,ScottsMiracle-Gro,3080000000.0,USA,56.0,,,,,,,,
23341,Jungheinrich,3080000000.0,Germany,30.0,,,,,,,,
23342,ACEA,3070000000.0,Italy,14.0,,,,,,,,
23343,ChargePoint,3070000000.0,USA,9.0,,,,,,,,
23344,Exxaro Resources,3070000000.0,South Africa,12.0,,,,,,,,
23345,Travel + Leisure,3070000000.0,USA,38.0,,,,,,,,
23346,e.l.f. Cosmetics,3070000000.0,USA,58.0,,,,,,,,
23347,Texas Capital Bancshares,3070000000.0,USA,62.0,,,,,,,,
23348,BillerudKorsnäs,3070000000.0,Sweden,12.0,,,,,,,,
23349,Phoenix Mills,3070000000.0,India,17.0,,,,,,,,
23350,Evotec,3070000000.0,Germany,9.0,,,,,,,,
23351,SPX Corporation,3060000000.0,USA,68.0,,,,,,,,
23352,Equitrans Midstream,3060000000.0,USA,7.0,,,,,,,,
23353,ACI Worldwide,3060000000.0,USA,27.0,,,,,,,,
23354,Telecom Argentina,3060000000.0,Argentina,5.0,,,,,,,,
23355,Curaleaf,3060000000.0,USA,4.0,,,,,,,,
23356,Sabra Health Care REIT,3060000000.0,USA,13.0,,,,,,,,
23357,GN Store Nord,3060000000.0,Denmark,24.0,,,,,,,,
23358,Lion Corp,3060000000.0,Japan,11.0,,,,,,,,
23359,VZ Holding,3050000000.0,Switzerland,78.0,,,,,,,,
23360,Dada Nexus,3040000000.0,China,12.0,,,,,,,,
23361,Viscofan,3040000000.0,Spain,66.0,,,,,,,,
23362,3M India,3040000000.0,India,270.0,,,,,,,,
23363,Acushnet Holdings,3040000000.0,USA,43.0,,,,,,,,
23364,Scorpio Tankers,3040000000.0,Monaco,49.0,,,,,,,,
23365,Vodafone Idea,3030000000.0,India,0.0,,,,,,,,
23366,Mister Car Wash,3030000000.0,USA,10.0,,,,,,,,
23367,PJT Partners,3030000000.0,USA,77.0,,,,,,,,
23368,Peloton,3030000000.0,USA,9.0,,,,,,,,
23369,Bellway,3030000000.0,UK,25.0,,,,,,,,
23370,ABM Industries,3030000000.0,USA,46.0,,,,,,,,
23371,Hillenbrand,3020000000.0,USA,44.0,,,,,,,,
23372,Yuhan,3020000000.0,S. Korea,43.0,,,,,,,,
23373,SIG (Semen Indonesia),3010000000.0,Indonesia,0.0,,,,,,,,
23374,LivaNova,3010000000.0,UK,56.0,,,,,,,,
23375,Carter's,3010000000.0,USA,79.0,,,,,,,,
23376,Archaea Energy,3010000000.0,USA,26.0,,,,,,,,
23377,Old Mutual,3010000000.0,South Africa,1.0,,,,,,,,
23378,Kohl's,3000000000.0,USA,27.0,,,,,,,,
23379,Pennon Group,3000000000.0,UK,11.0,,,,,,,,
23380,Hankook Tire,3000000000.0,S. Korea,25.0,,,,,,,,
23381,Plains GP,3000000000.0,USA,12.0,,,,,,,,
23382,ALK-Abelló,3000000000.0,Denmark,13.0,,,,,,,,
23383,Groupe Lagardère,3000000000.0,France,21.0,,,,,,,,
23384,Encavis,2990000000.0,Germany,19.0,,,,,,,,
23385,OVH Groupe,2990000000.0,France,16.0,,,,,,,,
23386,Kinaxis,2990000000.0,Canada,107.0,,,,,,,,
