,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
41217,Cingulate,$10.33 M,USA,$0.91,,,,CING,,,,
41218,IMTE,$10.29 M,Australia,$0.70,,,,IMTE,,,,
41219,Virtual Interactive Technologies,$10.27 M,Bermuda,$1.35,,,,VRVR,,,,
41220,Playgon Games,$10.26 M,Canada,$0.04000,,,,DEAL.V,,,,
41221,Biocept,$10.23 M,USA,$0.60,,,,BIOC,,,,
41222,Ontrak,$10 M,USA,$0.37,,,,OTRK,,,,
41223,VYNE Therapeutics,$9.75 M,USA,$0.17,,,,VYNE,,,,
41224,Guardforce AI,$9.56 M,Singapore,$0.17,,,,GFAI,,,,
41225,Arcimoto,$9.41 M,USA,$3.68,,,,FUV,,,,
41226,Direct Digital Holdings,$9.27 M,USA,$2.85,,,,DRCT,,,,
41227,Yield10 Bioscience,$9.24 M,USA,$1.87,,,,YTEN,,,,
41228,Heart Test Laboratories,$9.22 M,USA,$1.13,,,,HSCS,,,,
41229,Tricida,$9.21 M,USA,$0.16,,,,TCDA,,,,
41230,Jeffs' Brands,$9.04 M,Israel,$1.12,,,,JFBR,,,,
41231,Actelis Networks,$9 M,USA,$0.52,,,,ASNS,,,,
41232,Qiiwi Games,$8.96 M,Sweden,$0.90,,,,QIIWI.ST,,,,
41233,OpGen,$8.86 M,USA,$0.17,,,,OPGN,,,,
41234,Avinger,$8.84 M,USA,$1.19,,,,AVGR,,,,
41235,Great Panther Mining,$8.8 M,Canada,$0.19,,,,GPL,,,,
41236,Hallmark Financial Services,$8.71 M,USA,$0.48,,,,HALL,,,,
41237,Onfolio Holdings,$8.68 M,USA,$1.70,,,,ONFO,,,,
41238,Cryptyde,$8.61 M,USA,$0.27,,,,TYDE,,,,
