03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd
doll_3.82 b,doll_39.93 m,doll_2.214 m,"3,819 million usd",doll_93.51 b
doll_500.0 m,doll_50.31 m,doll_3.896 m,500 million usd,doll_6.63 b
doll_3.9 b,doll_61.32 m,500 million usd,"3,896 million usd",doll_10.41 b
doll_2.21 b,doll_45.2 m,doll_3.819 m,"2,214 million usd",doll_6.22 b
doll_-4747.0 m,0,doll_1.220 m,"-4,747 million usd",doll_27.0 m
doll_4.4 b,doll_55.27 m,-421 million usd,"4,397 million usd",doll_11.55 b
doll_6.09 b,doll_70.79 m,,"6,086 million usd",doll_86.61 b
doll_17.94 b,doll_28.03 m,doll_2.648 m,"17,942 million usd",doll_61.79 b
doll_22.89 b,doll_1.04 b,doll_2.144 m,"22,891 million usd",doll_97.14 b
0.0,0,doll_1.042 m,,doll_62.54 b
doll_4.91 b,doll_69.17 m,doll_1.816 m,"4,907 million usd",doll_39.74 b
doll_1.32 b,doll_14.01 m,doll_5.203 m,"1,322 million usd",doll_11.78 b
doll_5.2 b,doll_62.11 m,doll_1.322 m,"5,203 million usd",doll_65.8 b
doll_1.82 b,doll_48.22 m,doll_4.907 m,"1,816 million usd",doll_17.93 b
doll_1.04 b,0,,"1,042 million usd",doll_4.32 b
doll_2.14 b,doll_39.31 m,doll_22.891 m,"2,144 million usd",doll_19.63 b
doll_2.65 b,doll_47.52 m,doll_17.942 m,"2,648 million usd",doll_13.76 b
doll_1.93 b,doll_35.78 m,999 million usd,"1,926 million usd",doll_40.25 b
doll_7.46 b,doll_46.42 m,doll_12.390 m,"7,457 million usd",0.0
doll_-487.0 m,doll_23.49 m,doll_1.129 m,-487 million usd,doll_4.12 b
doll_12.15 b,doll_58.78 m,doll_2.099 m,"12,154 million usd",doll_32.49 b
doll_9.87 b,doll_54.24 m,doll_2.127 m,"9,870 million usd",doll_43.08 b
doll_2.13 b,doll_60.29 m,doll_9.870 m,"2,127 million usd",doll_5.42 b
doll_2.1 b,doll_51.51 m,doll_12.154 m,"2,099 million usd",doll_10.32 b
doll_1.13 b,doll_55.33 m,-487 million usd,"1,129 million usd",doll_12.73 b
doll_12.39 b,doll_47.73 m,doll_7.457 m,"12,390 million usd",0.0
doll_999.0 m,doll_40.84 m,doll_1.926 m,999 million usd,doll_14.0 b
doll_1.59 b,doll_41.67 m,doll_1.400 m,"1,589 million usd",doll_22.69 b
doll_166.0 m,doll_27.47 m,doll_3.350 m,166 million usd,doll_17.66 b
doll_4.94 b,doll_49.82 m,doll_15.648 m,"4,937 million usd",doll_10.28 b
0.0,0,doll_8.075 m,,0.0
doll_8.11 b,doll_51.62 m,doll_3.288 m,"8,107 million usd",doll_52.66 b
doll_3.29 b,doll_68.7 m,doll_8.107 m,"3,288 million usd",doll_13.96 b
doll_8.07 b,doll_41.28 m,,"8,075 million usd",doll_16.07 b
doll_15.65 b,0,doll_4.937 m,"15,648 million usd",doll_164.66 b
doll_3.35 b,doll_43.01 m,166 million usd,"3,350 million usd",doll_47.68 b
doll_1.4 b,doll_24.88 m,doll_1.589 m,"1,400 million usd",doll_5.43 b
doll_3.88 b,doll_23.04 m,doll_1.255 m,"3,882 million usd",doll_17.19 b
doll_3.32 b,doll_28.97 m,doll_4.825 m,"3,321 million usd",doll_9.21 b
doll_7.0 b,doll_59.88 m,doll_1.953 m,"7,005 million usd",doll_35.67 b
doll_915.0 m,doll_42.03 m,doll_1.164 m,915 million usd,doll_4.71 b
doll_2.22 b,doll_52.75 m,29 million usd,"2,222 million usd",doll_37.06 b
doll_29.0 m,doll_38.89 m,doll_2.222 m,29 million usd,doll_5.14 b
doll_1.16 b,doll_30.69 m,915 million usd,"1,164 million usd",doll_3.68 b
doll_1.95 b,doll_44.92 m,doll_7.005 m,"1,953 million usd",doll_3.42 b
doll_4.83 b,doll_59.7 m,doll_3.321 m,"4,825 million usd",doll_12.74 b
doll_1.25 b,doll_48.78 m,doll_3.882 m,"1,255 million usd",doll_12.19 b
doll_-42.0 m,doll_57.94 m,doll_3.016 m,-42 million usd,doll_17.32 b
doll_880.0 m,doll_35.78 m,doll_1.040 m,880 million usd,doll_2.52 b
doll_4.31 b,doll_19.46 m,doll_1.305 m,"4,306 million usd",doll_22.84 b
doll_8.95 b,doll_71.79 m,doll_2.862 m,"8,953 million usd",0.0
doll_3.1 b,0,doll_3.443 m,"3,096 million usd",doll_7.84 b
doll_3.44 b,doll_35.34 m,doll_3.096 m,"3,443 million usd",doll_39.08 b
doll_2.86 b,doll_64.25 m,doll_8.953 m,"2,862 million usd",doll_55.08 b
