06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
financial services,"bangalore/bengaluru, karnataka, india",societe generale
bpo,"chicago, illinois, united states (usa)",r.r. donnelley
electrical equipment,"bangalore/bengaluru, karnataka, india",bhel
food processing,"reading,reading, united kingdom",britannia
consumer electronics & appliances,"mumbai, maharashtra, india",blue star
metals & mining,india,kalyan jewellers
financial services,"mumbai,maharashtra, india",mahindra rural housing finance
pharma,"san francisco,california, united states",the himalaya drug company
automobile,"chennai, tamil nadu, india",renault-nissan
pharma,"pune, india",emcure pharmaceuticals
hospitality,"mumbai, maharashtra, india",mahindra holidays & resorts
media & entertainment,"gurgaon, india",pvr cinemas
fashion & textile,"new york, united states",raymond
logistics,"bangalore,karnataka, india",blackbuck
nbfc,"mumbai, maharashtra, india",poonawalla fincorp
building material,"delhi/ncr, new delhi, india",dalmia bharat cement
it services & consulting,"gurgaon/gurugram, haryana, india",igt solutions
automobile,"hoshiarpur, punjab, india",sonalika tractors
financial services,"boston,massachusetts, united states",state street corporation
auto components,"tokyo, tokyo, japan",yazaki
auto components,"chennai, tamil nadu, india",tvs sundram fasteners
insurance,"bangalore/bengaluru, karnataka, india",exide life insurance
real estate,"mumbai, india",sterling & wilson
building material,"mumbai, maharashtra, india",ambuja cements
auto components,"gurgaon, india",uno minda
food processing,"mumbai, maharashtra, india",parle agro
electronics manufacturing,"mumbai, maharashtra, india",cg power and industrial solutions
nbfc,"chennai,tamil nadu, india",tvs credit
building material,"kolkata, west bengal, india",shree cement
edtech,"lucknow, uttar pradesh, india",exotic learning
import & export,"faridabad, haryana, india",shahi exports
retail,"gurgaon/gurugram, haryana, india",v-mart
automobile,"pune, maharashtra, india",force motors
it services & consulting,"mumbai, india",datamatics global services
auto components,"chennai, tamil nadu, india",brakes india
telecom,"gurgaon,haryana, india",indus towers
other,"mumbai,maharashtra, india",mahindra logistics
building material,"nagda, india",grasim industries
retail,"navi mumbai, maharashtra, india",reliance trends
fmcg,"noida, uttar pradesh, india",ds group
beverage,"bengaluru, karnataka, india",café coffee day
financial services,"chennai, tamil nadu, india",shriram city
