06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
software product,"new york, new york, united states (usa)",buddi.ai
edtech,"mumbai,maharashtra, india",ekeeda
it services & consulting,"gurgaon,haryana, india",fleetx.io
it services & consulting,"new delhi, india",hitachi mgrm net
,,samkwang india electronic
marketing & advertising,"29079 whitegate highland, ca 92346, united states (usa)",7search ppc
electrical equipment,"rajkot,",pixon energy
recruitment,"bangalore, karnataka, india",teamlease digital
fintech,"princeton, new jersey, united states",i-exceed technology solutions
building material,"new delhi, india",u k paints
fashion & textile,"ahmedabad, india",chiripal group
it services & consulting,"gurgaon/gurugram, haryana, india",c1 india
healthcare,"chennai, tamil nadu, india",lifeline hospital india
it services & consulting,"banglore, india",zenith software
ports & shipping,"hamburg, hamburg, germany",bernhard schulte shipmanagement
semiconductors,"singapore, singapore, singapore",element14
it services & consulting,"borehamwood, uk",infoplus technologies
travel & tourism,"jaipur,rajasthan, india",thrillophilia
recruitment,"london, united kingdom",ubique systems
it services & consulting,"hyderabad/secunderabad, telangana, india",ray business technologies
it services & consulting,"hyderabad, india",terasoftware
waste management,"liberty lake, united states",itron
software product,"mississauga, canada",soti
software product,"singapore, singapore",ntt data fa insurance systems
fashion & textile,"hooghly, india",jaya shree textiles
healthcare,"bodakdev, gujarat, india",biotech vision care
auto components,"faridabad, india",sietz technologies
other,"chennai, india",funskool india
defence & aerospace,"greater noida, uttar pradesh, india",anjani technoplast
industrial automation,"faridabad, india",synergy systems & solutions
petrochemicals,"kolkata, india",ori-plast
it services & consulting,"new york, new york, united states (usa)",icreon communications
power,"singapore, singapore",etp international
education & training,"noida, india",bal bharati public school
chemicals / agri inputs,"tanuku, india",andhra petrochemicals
auto components,"neemrana, rajasthan, india",takahata precision
bpo,"kolkata, india",atcis technology
beauty & personal care,"bangalore,karnataka, india",ylg salon & spa
insurance,"hyderabad, india",good health tpa services
packaging,"ujjain, india",shriji polymers
urban transport,"hyderabad, india",l t metro rail
education & training,"ghaziabad, india",abes engineering college
pharma,"vadodara, india",comed chemicals
healthcare,"thane, india",madhavbaug
auto components,"neemrana, rajasthan, india",takahata precision
auto components,"chennai, india",sac engine components
hospitality,"mumbai, maharashtra, india",degustibus hospitality
healthcare,"osaka,osaka-fu, japan",nipro medical
chemicals,"vijayawada, india",lg polymers
industrial automation,"faridabad, india",synergy systems & solutions
healthcare,"mangalore, india",aj hospital and research centre
auto components,"faridabad, india",sietz technologies
automobile,"sahibabad, india",atlas cycles
education & training,"noida, india",bal bharati public school
fashion & textile,"hooghly, india",jaya shree textiles
,"guwahati, india",brahmaputra cracker and polymer
healthcare,"bodakdev, gujarat, india",biotech vision care
petrochemicals,"kolkata, india",ori-plast
software product,"ahmedabad, gujarat, india",jekson vision
iron & steel,"gurugram, india",jindal stainless steelway
power,"singapore, singapore",etp international
it services & consulting,"bellevue, united states",aditi consulting
management consulting,"seattle, washington, united states (usa)",milliman
it services & consulting,"chennai, tamil nadu, india",4i apps solutions
industrial automation,"mumbai, india",devu tools
insurance,"delhi,nct, india",agriculture insurance company of india
healthcare,"bangalore/bengaluru, karnataka, india",tbs india telematic biomedical services
consumer electronics & appliances,,celkon mobiles
it services & consulting,"ghaziabad, uttar pradesh, india",edunext technologies
real estate,"gurgaon, india",advance india projects
industrial machinery,"kolkata, west bengal, india",lal baba seamless tubes
agriculture,"kolkata, india",anmol feeds
fitness & wellness,"chennai, india",s10 healthcare solutions
engineering & construction,"cairo, egypt",petrojet
power,"mumbai, india",l&t power development limited
,india,defence research & development laboratory
it services & consulting,"banglore, india",zenith software
healthcare,"lucknow, uttar pradesh, india",sahara hospital
semiconductors,"singapore, singapore, singapore",element14
engineering & construction,"riyadh , saudi arabia",al ayuni investment and contracting
it services & consulting,"borehamwood, uk",infoplus technologies
it services & consulting,"bengaluru, india",wyzmindz solutions
logistics,"chandigarh, india",vtc tradewings
insurance,"hyderabad, india",good health tpa services
recruitment,"bhopal, india",primeone workforce
chemicals / agri inputs,"tanuku, india",andhra petrochemicals
bpo,"kolkata, india",atcis technology
logistics,"hyderabad/secunderabad, telangana, india",seaways shipping logistics
real estate,"chennai, tamil nadu, india",amarprakash developers
agriculture,"kolkata, west bengal, india",premier irrigation adritec
engineering & construction,"hosur, india",jp group
beauty & personal care,"bangalore,karnataka, india",ylg salon & spa
pharma,"navi mumbai, maharashtra, india",sitec labs
industrial automation,"greater noida, india",minda silca engineering
real estate,"kochi, india",soffit infrastructure services
auto components,"pune, india",jaya hind montupet (p) ltd. pune
furniture & furnishing,"grand rapids, united states",steelcase asia pacific holdings india
education & training,"ghaziabad, india",abes engineering college
pharma,"vadodara, india",comed chemicals
automobile,"ghaziabad, india",ghaziabad precision products
it services & consulting,"oak brook, illinois, united states",tenpath
oil & gas,"beijing, beijing, china",china petroleum engineering & construction corporation
engineering & construction,"istanbul, turkey",enka insaat ve sanayi
engineering & construction,"cairo, egypt",petrojet
financial services,"gurgaon/gurugram, haryana, india",entra solutions
metals & mining,"pune, india",oerlikon balzers
financial services,"eindhoven, netherlands",de lage landen financial services
it services & consulting,"ahmedabad, india",sattrix information security
education & training,"chennai, india",saveetha university
real estate,"chennai, tamil nadu, india",amarprakash developers
automobile,"sahibabad, india",atlas cycles
engineering & construction,"hosur, india",jp group
healthcare,"humlebaek,capital region, denmark",coloplast
it services & consulting,"new jersey, united states of america",tvs next
engineering & construction,"singapore, singapore",utracon structural systems
power,"mumbai, india",l&t power development limited
,,icapidilite
,"kolkata, india",han river technology
financial services,"hyderabad, india",asmitha microfinance
real estate,"mumbai,maharashtra, india",sai estate consultants.
it services & consulting,"windsor, connecticut, united states (usa)",dst systems
accounting & auditing,"kolkata, india",sdp & associates (office)
hospitality,,hotel andaz delhi aerocity
it services & consulting,"woodland hills, california, united states (usa)",osi digital
fitness & wellness,"los angeles,california, united states",herbalife
,,svp hospital
,,wize brains
,,pearl organisation
hospitality,"delhi/ncr, new delhi, india",burman hospitality
waste management,"liberty lake, united states",itron
auto components,"gurgaon/gurugram, haryana, india",kiran udyog auto industries
management consulting,"chicago, illinois, united states of america",bdo rise
it services & consulting,"new york, new york, united states (usa)",icreon communications
hospitality,"delhi/ncr, new delhi, india",burman hospitality
telecom,"lagos, nigeria",stallion group
it services & consulting,"sunnyvale,california, united states",gemalto
education & training,"vadodara, india",iant
chemicals,"mumbai, india",jesons industries
financial services,"dallas, united states",cxc infotech
fashion & textile,"kolkata, west bengal, india",sabyasachi couture
consumer electronics & appliances,"new delhi, india",aster (india)
it services & consulting,"gurgaon/gurugram, haryana, india",skilrock technologies
consumer electronics & appliances,"taoyuan, taiwan",htc
insurance,"stamford, unitedstates",xl catlin
retail,"thane, india",colorplus fashions
hospitality,"mumbai, maharashtra, india",keys hotels
recruitment,"troy, united states",iconma
it services & consulting,"walnut creek, california, united states (usa)",bpo systems
recruitment,"mumbai, india",white crow research
power,"bengaluru, india",bescom
hospitality,"chennai, india",fresh & honest cafe
retail,"chennai, india",pp merchandising services
education & training,"new delhi, india",don bosco
it services & consulting,"mumbai,maharashtra, india",zinghr
chemicals,"mumbai, maharashtra, india",viswaat chemicals
auto components,"thane, india",piano presitel
fashion & textile,"mumbai, india",mandhana industries
oil & gas,"mumbai, india",oil field instrumentation
engineering & construction,"dubai, uae",alec
engineering & construction,"jinan, china",sepco electric power construction corporation
it services & consulting,"mohali, punjab, india",softprodigy system solutions
auto components,"mohali, india",allena auto industries
automobile,"chennai, india",chennai ford
travel & tourism,"new york, united states (usa)",fragomen immigration services
education & training,"new delhi, india",pearl academy
industrial automation,"bietigheim-bissingen,baden-wurttemberg, germany",durr india
electronics manufacturing,"noida, india",elcomponics sales
banking,"seoul, jung-gu, south korea",shinhan bank
non-profit,"delhi/ncr, delhi, india",public health foundation of india
hospitality,"bengaluru, karnataka, india",siesta hospitality services
electrical equipment,"mumbai, india",s r enterprises
non-profit,"new york city,new york, united states",alliance india
engineering & construction,"kolkata, india",hindustan steelworks construction
it services & consulting,"nassaulaan, netherlands",ars traffic and transport technology
auto components,"tokyo, japan",sankei giken
logistics,"pune, maharashtra, india",dexters logistics
media & entertainment,"mumbai, india",miraj entertainment
automobile,"kukas, india",eicher polaris
petrochemicals,"gurgaon, india",machino polymers
chemicals,"kolkata, india",mcpi
it services & consulting,"kolkata, india",wizertech informatics
metals & mining,"hyderabad, india",robo silicon
jewellery,"mumbai, india",gia india laboratory
accounting & auditing,"noida, india",blue consulting
education & training,"new delhi, india",apeejay education society
auto components,"sonipat, india",viney corporation
consumer electronics & appliances,"new delhi, india",spice retail
financial services,"mumbai, india",my eco energy
it services & consulting,"ahmedabad, gujarat, india",hyperlink infosystem
consumer electronics & appliances,"hyderabad, india",zen technologies
electrical equipment,"vadodara/baroda, gujarat, india",voltamp transformers
retail,"mumbai,maharashtra, india",appsdaily
furniture & furnishing,"bangalore/bengaluru, karnataka, india",featherlite
it services & consulting,"kolkata, india",wizertech informatics
financial services,"noida, india",m.b.a consulting india
petrochemicals,"gurgaon, india",machino polymers
engineering & construction,"kolkata, india",hindustan steelworks construction
jewellery,"mumbai, india",gia india laboratory
accounting & auditing,"noida, india",blue consulting
chemicals,"kolkata, india",mcpi
it services & consulting,"noida, uttar pradesh, india",vehant technologies
education & training,"vadodara, india",iant
it services & consulting,"noida, uttar pradesh, india",velocity software solutions
metals & mining,"hyderabad, india",robo silicon
auto components,"tokyo, japan",sankei giken
logistics,"pune, maharashtra, india",dexters logistics
automobile,"noida, india",a.m. motors
furniture & furnishing,"bangalore/bengaluru, karnataka, india",featherlite
it services & consulting,"walnut creek, california, united states (usa)",bpo systems
consumer electronics & appliances,"taoyuan, taiwan",htc
it services & consulting,"herndon, virginia, united states (usa)",idexcel technologies
automobile,"rajkot , india",captain tractors
education & training,"new delhi, india",pearl academy
semiconductors,"kolkata, india",anvil cables
engineering & construction,"dubai, uae",alec
engineering & construction,"jinan, china",sepco electric power construction corporation
it services & consulting,"mohali, punjab, india",softprodigy system solutions
auto components,"mohali, india",allena auto industries
education & training,"new delhi, india",apeejay education society
it services & consulting,"cologne, germany",sqs infosystems
non-profit,"new york city,new york, united states",alliance india
banking,"seoul, jung-gu, south korea",shinhan bank
non-profit,"delhi/ncr, delhi, india",public health foundation of india
hospitality,"bengaluru, karnataka, india",siesta hospitality services
electrical equipment,"mumbai, india",s r enterprises
auto components,"sonipat, india",viney corporation
media & entertainment,"mumbai, india",miraj entertainment
automobile,"kukas, india",eicher polaris
healthcare,"thane, maharashtra, india",bhaktivedanta hospital
food processing,"hyderabad, india",prayagh nutri products
agro chemicals,"new delhi, india",shriram fertilizers & chemicals
internet,"gurgaon,haryana, india",nopaperforms
oil & gas,"al khobar, saudi arabia",br.cat international
automobile,"mumbai, india",modi hyundai
nbfc,"gurgaon, india",square capital advisory services
industrial machinery,,manitou equipment india
semiconductors,"taoyuan , taiwan",tsmt technology india
fashion & textile,"kolkata, west bengal, india",ajanta shoe co
engineering & construction,"noida, india",k k construction
fintech,"gurgaon/gurugram, haryana, india",red carpet
management consulting,"ernakulam, india",futurewins trading solutions
software product,"bielefeld, germany",itelligence india software solutions
power,"kolkata, west bengal, india",rina
education & training,"noida, uttar pradesh, india",ashpra skills
fitness & wellness,"mumbai, india",prettislim
iron & steel,"noida, india",american precoat
iron & steel,"bangalore/bengaluru, karnataka, india",shri lakshmi steel suppliers
pharma,"chennai, tamil nadu, india",anjan drug
fashion & textile,"delhi/ncr, delhi, india",om enterprises
it services & consulting,"bangalore/bengaluru, karnataka, india",abs india
,"kinshasa, congo, democratic republic of the",somika sarl
auto components,,futaba industrial gujarat
education & training,"lucknow,uttar pradesh, india",edugorilla community
agriculture,"new delhi, delhi, india",maharashtra feeds
retail,,mr.diy
chemicals,"wickliffe, ohio, united states of america",lubrizol corporation
software product,"gurgaon,haryana, india",leena ai
building material,"hyderabad/secunderabad, telangana, india",ncl buildtek
fitness & wellness,"delhi,nct, india",beato
financial services,"chicago, usa,",formidium corp
it services & consulting,"delhi/ncr, delhi, india",indovision services
analytics & kpo,"georgia, united states (usa)",savista global solutions
industrial machinery,"chennai, india",usha fire safety equipments
gaming,"redwood city, united states",electronic arts
education & training,"new delhi, delhi, india",kumon india education
healthcare,"new york, unitedstates",carestream health
it services & consulting,"chennai, tamil nadu, india",lennox india technology centre
it services & consulting,"stamford,connecticut, united states",information services group
hospitality,"hydrabad, india",avasa hotels
metals & mining,"mumbai, india",orient abrasives
electrical equipment,"bangalore/bengaluru, karnataka, india",kalpa electrikal
auto components,"oxford, united kingdom",ti automotive
beverage,"chicago, united states",beam global spirits & wine
media & entertainment,"london, united kingdom (uk)",moving picture company
medical equipment,"bangalore,karnataka, india",medfin india
it services & consulting,"bangalore,karnataka, india",c-square info solutions
logistics,"holzwickede, germany",rhenus logistics
chemicals,"mumbai, maharashtra, india",esdee paints
software product,"san francisco,california, united states",harness
engineering & construction,"muscat, oman",al adrak trading and contracting
automobile,"new delhi, india",rana motors
software product,"pune, maharashtra, india",great software laboratory
pharma,"new delhi, delhi, india",medicamen biotech
printing & publishing,"chennai, tamil nadu, india",diacritech
printing & publishing,"osaka, japan",kyocera document solutions india
packaging,"bhiwadi, india",raj industries
real estate,"bangalore/bengaluru, karnataka, india",karle infra
engineering & construction,"muscat, oman",al adrak trading and contracting
software product,"san francisco,california, united states",harness
retail,"new york, united states",collage
pharma,"new delhi, india",xl laboratories
pharma,"chennai, india",curatio healthcare
petrochemicals,"pune, india",oriental rubber industries
recruitment,"gurgaon, haryana, india",planet pci infotech
medical equipment,"bangalore,karnataka, india",medfin india
it services & consulting,"chennai, tamil nadu, india",lennox india technology centre
financial services,"murrah, utah, usa",finicity
edtech,"chennai,",edufic digital
engineering & construction,"vadodara, india",iot anwesha engineering & construction
chemicals,"schenectady, unitedstates",si group
engineering & construction,"jaipur, india",unique builders
fashion & textile,"ludhiana, punjab, india",sportking
fmcg,"ahmedabad, gujarat, india",gokul agro resources
logistics,"gurgaon/gurugram, haryana, india",axpress logistics
engineering & construction,"dubai, unitedarabemirates",al basti & muktha llc
aviation,"delhi/ncr, new delhi, india",bird group
education & training,"new delhi, india",institute of liver & biliary sciences
printing & publishing,"luxembourg, luxembourg, europe",flint group
engineering & construction,"ardiya, kuwait",combined group contracting
,"chennai, india",sundirect
management consulting,"troy, united states of america",rapid global business solutions
education & training,"hyderabad, india",slate the school
it services & consulting,"delhi/ncr, new delhi, india",capital business systems
media & entertainment,"mumbai,maharashtra, india",shotformats digital production
logistics,"holzwickede, germany",rhenus logistics
chemicals,"mumbai, maharashtra, india",esdee paints
it services & consulting,"noida , india",champ info software
healthcare,"nairobi, nairobi, kenya",life care hospital
auto components,"kariya city, japan",toyota boshoku automotive
retail,"noida, india",luxor international
chemicals,"kolkata, india",ivl dhunseri petrochem industries
auto components,,bundy india
logistics,"düsseldorf, germany",ecolog international
it services & consulting,"mumbai, maharashtra, india",simeio solutions
oil & gas,"mangaluru/mangalore, karnataka, india",mangalore refinery and petrochemicals
building material,"hyderabad/secunderabad, telangana, india",pokarna
metals & mining,"mumbai, india",orient abrasives
education & training,"new delhi, delhi, india",kumon india education
pharma,"new delhi, delhi, india",medicamen biotech
internet,"gurgaon, india",ibibo group
auto components,"ludhiana, india",emson gears
automobile,"new delhi, india",rana motors
software product,"pune, maharashtra, india",great software laboratory
automobile,"jamnagar, india",atul motors
engineering & construction,"thane, india",mukand engineers
logistics,"bonn, germany",dhl lemuir logistics
chemicals,"delhi/ncr, delhi, india",fil industries
engineering & construction,"hyderabad, india",bsc-c&c jv
it services & consulting,"hyderabad/secunderabad, telangana, india",clove technologies
non-profit,"fitchburg,",luk india
chemicals / agri inputs,"kolkata, india",tide water oil
real estate,"kolkata, west bengal, india",rajwada group
telecom,"wuhan , china",fiberhome
industrial machinery,"louisiana, united states",delval flow controls
electrical equipment,,abb gisl
electrical equipment,"noida, uttar pradesh, india",ovt india
internet,"delhi,nct, india",yaantra
semiconductors,"oguchi, japan",tokai rika minda
agro chemicals,"creve coeur, missouri, united states (usa)",monsanto holdings
electronics manufacturing,"new delhi, india",edgetech air systems pvt.
education & training,"noida, india",smart brains engineers and technologist
industrial machinery,"reggio emilia, italy",ognibene india
nbfc,"jaipur, india",jumbo finvest india
travel & tourism,"abu dhabi, united arab emirates",national corporation for tourism & hotels
healthcare,"delhi/ncr, new delhi, india",apollo home healthcare
education & training,"bareilly, india",shri ram murti smarak institute of medical sciences
pharma,"mumbai, india",encore healthcare
urban transport,"new delhi, india","ecos (india), mobility and hospatility"
internet,"gurgaon,haryana, india",amplus solar
education & training,"delhi/ncr, delhi, india",air force school
retail,,cart2india online retail
power,"ahmedabad, gujarat, india",solarig gensol utilities
iron & steel,"tema, ghana",b5 plus
hospitality,"mumbai, maharashtra, india",lenexis foodworks
government,,panchayati raj department
engineering & construction,"gurgaon, india",skylark infra engineering
financial services,"austin,texas, united states",homeward
education & training,"ahmedabad, india",u n mehta institute of cardiology & research centre
industrial machinery,"noida, uttar pradesh, india",krishna enterprises
urban transport,"ahmedabad, india",gsrtc
auto components,"chennai, tamil nadu, india",powermech engineering
healthcare,"bareilly, india",rohilkhand medical college and hospital
,,xiaomi service center
electrical equipment,,abb gisl
healthcare,"lucknow, uttar pradesh, india",apollomedics super speciality hospitals
software product,"nagpur, maharashtra, india",cropdata technology
it services & consulting,,smartried software technologies
broadcasting,,radio mirchi
,,agile airport services
it services & consulting,"gurgaon,haryana, india",unthinkable solutions
software product,"sidcup,england, united kingdom",kovai.co
it services & consulting,"hyderabad/secunderabad, telangana, india",aggne global it services
government,,quality control department
software product,"seattle, seattle, united states (usa)",jungleworks
edtech,"hyderabad, telangana, india",turito
industrial machinery,"kolkata, india",nipha exports
engineering & construction,"kochi,kerala, india",kuber enterprises
it services & consulting,"mumbai,maharashtra, india",games24x7
it services & consulting,"pune, maharashtra, india",openview technologies
railways,"mumbai, india",western railway
auto components,"bangalore, india",macurex sensors
retail,"gastonia, new caledonia",fresher than fresh
automobile,"kolkata, india",hindustan motors
beverage,india,brindavan agro industries
it services & consulting,"gurgaon/gurugram, haryana, india",iap company
it services & consulting,"alameda, united states",absolutdata
internet,"delhi,nct, india",lybrate
it services & consulting,"bloomfield hills, michigan, united states (usa)",v2soft
industrial machinery,"vadodara/baroda, gujrat, india",axtel industries
it services & consulting,"kolkata, west bengal, india",ikf technologies
internet,"mumbai, india",joister infomedia
industrial machinery,"pune, india",ksb tech
it services & consulting,"kolkata, india",wizard e-marketing
marketing & advertising,"delhi/ncr, delhi, india",tdi international india
it services & consulting,"noida, uttar pradesh, india",3pillar global
engineering & construction,"nagpur, maharashtra, india",artefact projects
chemicals,"chennai, india",prabha industries
telecom,"gurgaon, india",nutek
chemicals,"mumbai, maharashtra, india",visen industries
pharma,"mumbai, india",bec chemicals
pharma,"new delhi, delhi, india",an pharmaceuticals
edtech,"bangalore/bengaluru, karnataka, india",sri sri ravishankar vidya mandir
food processing,"gurgaon, india",paras spices
it services & consulting,"navi mumbai, maharashtra, india",modern informatics
industrial machinery,"chennai, india",tag corporation
auto components,"mumbai, india",grp
education & training,"lakshmangarh, rajasthan, india",mody university science technology
real estate,"hyderabad, india",vensa infrastructure
it services & consulting,"burlington, unitedstates",oasis
engineering & construction,"delhi/ncr, new delhi, india",jaguar overseas
analytics & kpo,"gurugram, india",moody's analytics knowledge services
electronics manufacturing,"kolkata, india",cabcon india
electrical equipment,"new delhi, india",trinity touch
fashion & textile,"bharuch, gujarat, india",vardhman acrylics
industrial machinery,"gurgaon, india",donaldson india filter systems
internet,"bangalore,karnataka, india",hush puppies
it services & consulting,"ahmedabad, gujarat, india",evolutionary systems
electrical equipment,"noida, india",eon electric
engineering & construction,,ram kripal singh construction
it services & consulting,"mumbai, maharashtra, india",itmantra techintellect
real estate,"lucknow, india",rishita developers
urban transport,"faridabad,haryana, india",vaaan infra
software product,"new delhi, india",busy infotech
automobile,"jharkhand, india",gulf ashley motor
chemicals,"chennai, tamil nadu, india",archean chemical industries
real estate,"gurgaon, india",international land developers
electronics manufacturing,"gandhinagar, india",amtech electronics
food processing,"mehsana, india",dudhsagar dairy
it services & consulting,"chicago, illinois, united states (usa)",beyond key systems
it services & consulting,"gurgaon/gurugram, india",think future technologies
it services & consulting,"atlanta, georgia, united states",zieta technologies
real estate,"hyderabad/secunderabad, telangana, india",lansum properties
it services & consulting,"bangalore/bengaluru, karnataka, india",shiksha infotech
power,"hyderabad, india",simhapuri energy
it services & consulting,"rockville, maryland, us",hytech professionals
it services & consulting,"bangalore,karnataka, india",qwikcilver solutions
marketing & advertising,"greenwood village, colorado, united states (usa)",selling simplified
analytics & kpo,"bangalore, india",lotus labs
software product,"new york, united states",mediaocean
automobile,"mumbai, maharashtra, india",excell autovista
fmcg,"bangalore/bengaluru, karnataka, india",garuda polyflex foods
fashion & textile,"ludhiana, india",oswal woollen mills
financial services,"mumbai, maharashtra, india",destimoney securities
fashion & textile,"mumbai, india",krishna beads industries
engineering & construction,"hyderabad, india",jayabheri automotives
non-profit,"vadodara, gujarat, india",bhailal amin general hospital
,"ahmedabad, india",krazy mantra it
oil & gas,"dubai, united arab emirates",emirates national oil company
power,"kochi/cochin, kerala, india",kshema power and infrastructure company
automobile,"gothenburg , sweden",volvo it
telecom,"bhubaneswar, india",nemhans solutions
semiconductors,"faridabad, india",picl
it services & consulting,"mumbai, maharashtra, india",willis processing services
engineering & construction,"hyderabad, india",jayabheri automotives
automobile,"gothenburg , sweden",volvo it
internet,"bangalore,karnataka, india",hush puppies
pharma,"mumbai, india",bec chemicals
education & training,"lakshmangarh, rajasthan, india",mody university science technology
industrial machinery,"chennai, india",tag corporation
auto components,"mumbai, india",grp
fashion & textile,"bharuch, gujarat, india",vardhman acrylics
real estate,"hyderabad, india",vensa infrastructure
electrical equipment,"new delhi, india",trinity touch
internet,"howrah,west bengal, india",stylebaazar
logistics,"mumbai, india",scorpion express
recruitment,"bangalore/bengaluru, karnataka, india",bellfast management
fintech,"pune, india",verinite technologies
logistics / shipping,"indore, india",life care logistic
it services & consulting,"burlington, unitedstates",oasis
analytics & kpo,"gurugram, india",moody's analytics knowledge services
electrical equipment,"noida, india",eon electric
industrial machinery,"gurgaon, india",donaldson india filter systems
financial services,"lucknow, india",margdarshak financial services
financial services,"mumbai, india",axis asset management company
,"ahmedabad, india",krazy mantra it
engineering & construction,"delhi/ncr, new delhi, india",jaguar overseas
industrial machinery,"rohtak, india",universal precision screws
beverage,"delhi,nct, india",bira 91
industrial machinery,"vadodara, india",radiant hitech eng
it services & consulting,"austin, united states",equalizercm services
education & training,,u c s k m public school
it services & consulting,"toronto, ontario, canada",dlt lab technologies
automobile,"pune, india",spaco technologies
it services & consulting,"austin, united states",equalizercm services
industrial machinery,"rohtak, india",universal precision screws
logistics / shipping,"indore, india",life care logistic
it services & consulting,"nagpur, maharashtra, india",vowelweb
healthcare,"new delhi, india",aegis associates
non-profit,"delhi, delhi, india",pradhan mantri kaushal kendra
it services & consulting,"mumbai, maharashtra, india",arcon techsolutions
iron & steel,,jsw ispat special products
gaming,"bangalore/bengaluru, karnataka, india",mobile premier league
,,sogefi engine systems india
management consulting,"gurgaon/gurugram, haryana,",dhruv research
it services & consulting,"noida, uttar pradesh, india",bhavna corp.
edtech,"bangalore,karnataka, india",masai school
marketing & advertising,"lucknow, india",hoppoo lifestyle india
telecom,"mumbai, india",tata docomo
it services & consulting,"san francisco, california, united states (usa)",deqode
investment banking / venture capital / private equity,"copenhagen, denmark",saxo group india
education & training,"noida, uttar pradesh, india",shapemyskills
logistics,,amazon distribution
education & training,"greater noida, uttar pradesh, india",salarycanyon
non-profit,"udaipur, india",narayan seva sansthan
real estate,"kolkata, india",merlin group
software product,"san jose, california, united states (usa)",azuga telematics
beverage,"mumbai,maharashtra, india",storia foods
internet,"san jose,california, united states",ebay
financial services,"kolkata, west bengal, india",gillanders arbuthnot & co
it services & consulting,"hyderabad/secunderabad, telangana, india",dhanush infotech
it services & consulting,"mumbai, india",tejora
investment banking / venture capital / private equity,"mumbai, maharashtra, india",asit c mehta investment interrmediates
engineering & construction,"new delhi, india",jindal itf
it services & consulting,"bhopal, india",mponline
financial services,"kolkata, west bengal, india",gillanders arbuthnot & co
it services & consulting,"rye, united states",greenpoint global
non-profit,"new york, united states",american india foundation
analytics & kpo,"new york, india",insync analytics
fashion & textile,"albstadt, germany",groz - beckert asia
pharma,"new delhi, india",pci
media & entertainment,"mumbai, maharashtra, india",balaji telefilms
semiconductors,"bangalore, india",cerium systems
hospitality,"puteaux, france",golden tulip chandigarh
education & training,"yankton, sd (us),",sacred heart school
government,"thiruvananthapuram, india",government of kerala
software product,"chennai, india",inspace technologies
it services & consulting,"mumbai, india",tejora
food processing,"pune, india",pravin masalewale
agro chemicals,"noida, india",kribhco fertilizers limited
printing & publishing,"new york, new york, united states (usa)",mcgraw-hill education
engineering & construction,"new delhi, india",jindal itf
agriculture,"hyderabad,telangana, india",seedworks international
it services & consulting,"delhi,nct, india",e2e networks
marketing & advertising,"new delhi, india",kestone integrated marketing services
it services & consulting,"kolkata, west bengal, india",webguru infosystems
medical equipment,"milan,milan, italy",amplifon
non-profit,"bengaluru, india",the art of living
education & training,"gurgaon, india",sgt medical college hospital research institute
industrial machinery,"mumbai, india",sterling generators
oil & gas,"pune, india",precision seals manufacturing
agro chemicals,"bangalore/bengaluru, karnataka, india",mangalore chemicals & fertilizers
pharma,"san francisco, united states",larvol
auto components,"new delhi, india",castex technologies
chemicals,"mumbai, maharashtra, india",chemspec chemicals
auto components,"gurgaon, india",alpha maier
food processing,"noida, uttar pradesh, india",rakesh masala
pharma,"new delhi, india",nestor pharmaceuticals
engineering & construction,"hyderabad, india",indus projects
engineering & construction,"kolkata, india",imperial electric company
power,"raipur, india",trn energy
engineering & construction,"visakhapatnam/vizag, andhra pradesh, india",ssnr projects.pvt.ltd
packaging,"faridabad, india",skypack
pharma,"hyderabad, india",virchow laboratories
management consulting,"new delhi, delhi, india",formula group
education & training,"raipur, india",kalinga university
other,"mumbai,maharashtra, india",keya foods international
hospitality,"mumbai, maharashtra, india",the irish house
auto components,"kanchipuram, india",besmak components
healthcare / pharma,,pharma companies
healthcare,"thane, india",contacare eye hospital
engineering & construction,"mumbai, india",jasubhai engineering pvt.ltd
industrial automation,"wotton-under-edge,gloucestershire, united kingdom",renishaw
design,"mumbai, india",insta exhibition
healthcare,"jaipur, india",bhagwan mahaveer cancer hospital & research centre
it services & consulting,"santa clara, california, united states",volansys technologies
it services & consulting,"visakhapatnam/vizag, andhra pradesh, india",symbiosys technologies
fashion & textile,"ahmedabad, india",saffron lifestyle traders
agriculture,"hyderabad, india",phi seeds
engineering & construction,"lusail, qatar",urbacon trading & contracting
food processing,"chicago, united states",beam suntory
accounting & auditing,"new york, new york, united states (usa)",cogneesol
bpo,"kolkata, west bengal, india",mallcom
pharma,"vadodara/baroda, gujrat, india",bharat parenterals
engineering & construction,"mumbai, india",jasubhai engineering pvt.ltd
engineering & construction,"visakhapatnam/vizag, andhra pradesh, india",ssnr projects.pvt.ltd
healthcare / pharma,,pharma companies
healthcare,"mumbai, maharashtra, india",d y patil hospital
it services & consulting,"hyderabad/secunderabad, telangana, india",dhanush infotech
accounting & auditing,"new york, new york, united states (usa)",cogneesol
bpo,"kolkata, west bengal, india",mallcom
investment banking / venture capital / private equity,"mumbai, maharashtra, india",asit c mehta investment interrmediates
healthcare,"jaipur, india",bhagwan mahaveer cancer hospital & research centre
it services & consulting,"santa clara, california, united states",volansys technologies
it services & consulting,"visakhapatnam/vizag, andhra pradesh, india",symbiosys technologies
fashion & textile,"ahmedabad, india",saffron lifestyle traders
packaging,"faridabad, india",skypack
pharma,"hyderabad, india",virchow laboratories
engineering & construction,"lusail, qatar",urbacon trading & contracting
